"seq_no","str","kia","wia","kw","miapow","belligerent","attacker"
25,20000,381,1800,2181,1670,"Confederate",FALSE
25,29373,410,1844,2254,187,"Union",TRUE
26,22301,,,6240,,"Confederate",FALSE
26,45556,502,2550,3052,147,"Union",TRUE
27,4192,,,235,,"Confederate",FALSE
27,13000,293,1545,1838,157,"Union",TRUE
28,3487,22,25,47,,"Confederate",FALSE
28,6000,203,1401,1604,188,"Union",TRUE
29,75054,3903,18735,22638,5425,"Confederate",TRUE
29,83289,3155,14529,17684,5365,"Union",FALSE
30,1785,36,133,169,5,"Confederate",FALSE
30,5264,246,880,1126,389,"Union",TRUE
31,66326,2312,14674,16986,1468,"Confederate",TRUE
31,58222,1657,9756,11413,4757,"Union",FALSE
32,46165,361,2160,2521,4146,"Confederate",FALSE
32,56359,753,4722,5475,349,"Union",TRUE
33,44426,110,570,680,65,"Confederate",FALSE
33,69643,173,1099,1272,381,"Union",TRUE
34,5200,93,841,934,,"Confederate",TRUE
34,5115,203,1152,1355,506,"Union",FALSE
35,14300,,,1000,500,"Confederate",FALSE
35,12647,150,844,994,375,"Union",TRUE
36,66089,,,9187,,"Confederate",FALSE
36,110123,,,10528,1240,"Union",TRUE
37,61025,,,7750,,"Confederate",FALSE
37,101895,2246,12037,14283,3383,"Union",TRUE
38,,,,,,"Confederate",FALSE
38,37822,753,3347,4100,,"Union",TRUE
39,,,,,,"Confederate",FALSE
39,65785,,,6020,800,"Union",TRUE
40,18025,,,2860,210,"Confederate",FALSE
40,15800,390,2380,2770,1390,"Union",TRUE
41,,,,,,"Confederate",FALSE
41,107907,,,12000,,"Union",TRUE
42,41499,,,,,"Confederate",FALSE
42,63797,,,8150,,"Union",TRUE
43,17733,,,270,172,"Confederate",FALSE
43,16225,,,1999,52,"Union",TRUE
44,6600,210,1116,1326,,"Confederate",TRUE
44,14000,77,559,636,38,"Union",FALSE
45,18832,,,2500,,"Confederate",TRUE
45,20139,,,1600,,"Union",FALSE
46,36934,,,7000,1000,"Confederate",TRUE
46,30477,430,1559,1989,1733,"Union",FALSE
47,18450,,,4100,200,"Confederate",TRUE
47,13226,,,559,73,"Union",FALSE
48,11466,,,,,"Confederate",FALSE
48,20708,,,2864,929,"Union",TRUE
49,20008,,,,,"Confederate",FALSE
49,27974,328,1852,2180,721,"Union",TRUE
50,14787,,,1200,419,"Confederate",FALSE
50,20289,198,1105,1303,3152,"Union",TRUE
51,23811,,,1725,,"Confederate",TRUE
51,14170,,,179,,"Union",FALSE
52,12661,,,,,"Confederate",FALSE
52,20460,223,946,1169,105,"Union",TRUE
53,17103,276,1827,2103,1818,"Confederate",FALSE
53,37711,697,3983,4680,338,"Union",TRUE
54,10836,,,,,"Confederate",FALSE
54,19639,383,2299,2682,645,"Union",TRUE
55,18410,320,1540,1860,1050,"Confederate",TRUE
55,30829,644,3430,4074,1591,"Union",FALSE
56,20324,,,,,"Confederate",FALSE
56,42823,166,1028,1194,564,"Union",TRUE
57,26897,1750,3800,5550,702,"Confederate",TRUE
57,27939,189,1033,1222,1104,"Union",FALSE
58,23207,,,,4462,"Confederate",FALSE
58,49773,387,2562,2949,112,"Union",TRUE
59,13835,,,,,"Confederate",FALSE
59,34517,170,1160,1330,182,"Union",TRUE
60,16895,195,1313,1508,610,"Confederate",TRUE
60,16127,139,794,933,170,"Union",FALSE
61,49496,,,6266,43230,"Confederate",FALSE
61,112992,1316,7750,9066,1714,"Union",TRUE
62,20030,,,,,"Confederate",FALSE
62,45247,,,2198,583,"Union",TRUE
63,18576,,,,,"Confederate",FALSE
63,63299,625,3189,3814,326,"Union",TRUE
