from,battle_name,battle_name_other,to,relation
15,SOUTH MOUNTAIN,South_Mountain_1862-09-14,MD002,=
16,ANTIETAM,Antietam_1862-09-16,MD003,=
17,CORINTH,Corinth_1862-10-03,MS002,=
18,PERRYVILLE,Perryville_1862-10-08,KY009,=
19,"PRAIRIE GROVE, ARK",Prairie_Grove_1862-12-07,AR005,=
20,FREDERICKSBURG,Fredericksburg_1862-12-13,VA028,=
21,CHICKASAW BAYOU AND BLUFF,Chickasaw_Bayou_1862-12-27,MS003,=
22,STONE'S RIVER,Stone's_River_1862-12-31,TN010,=
23,ARKANSAS POST,Arkansas_Post_1863-01-11,AR006,=
24,CHANCELLORSVILLE & FREDERICKSBURG,Chancellorsville_1863-05-01,VA032,=
25,CHAMPION'S HILL,Champion_Hill_1863-05-16,MS009,=
26,VICKSBURG,Vicksburg_1863-05-22,MS011,=
27,PORT HUDSON I,Port_Hudson_1863-05-27,LA010,<
28,PORT HUDSON II,Port_Hudson_1863-06-14,LA010,<
29,GETTYSBURG,Gettysburg_1863-07-01,PA002,=
30,FORT WAGNER,Fort_Wagner_1863-07-18,SC007,=
31,CHICKAMAUGA,Chickamagua_1863-09-19,GA004,=
32,CHATTANOOGA,Chattanooga_1863-11-23,TN024,=
33,MINE RUN,Mine_Run_1863-11-27,VA044,=
34,"OLUSTEE, FLA",Olustee_1864-02-20,FL005,=
35,PLEASANT HILL,Pleasant_Hill_1864-04-09,LA019,=
36,ATLANTA CAMPAIGN,Atlanta_Campaign_1864-05-01,GA011,>
36,ATLANTA CAMPAIGN,Atlanta_Campaign_1864-05-01,GA007,>
36,ATLANTA CAMPAIGN,Atlanta_Campaign_1864-05-01,GA008,>
36,ATLANTA CAMPAIGN,Atlanta_Campaign_1864-05-01,GA012,>
36,ATLANTA CAMPAIGN,Atlanta_Campaign_1864-05-01,GA009,>
36,ATLANTA CAMPAIGN,Atlanta_Campaign_1864-05-01,GA010,>
37,WILDERNESS,Wilderness_1864-05-05,VA046,=
38,SPOTTSYLVANIA I,Spottsylvania_1864-05-10,VA048,<
39,SPOTTSYLVANIA II,Spottsylvania_1864-05-12,VA048,<
40,DREWRY'S BLUFF,Drewry's_Bluff_1864-05-12,VA053,=
41,COLD HARBOR,Cold_Harbor_1864-06-01,VA062,=
42,PETERSBURG,Petersburg_1864-06-15,VA063,=
43,KENESAW MOUNTAIN,The_Mine_1864-07-30,VA070,=
44,"TUPELO, MISS",Deep_Bottom_1864-08-14,VA071,=
45,PEACH TREE CREEK,Weldon_R._R._1864-08-18,VA072,=
46,ATLANTA,Kenesaw_Mountain_1864-06-27,GA015,=
47,EZRA CHURCH (ATLANTA),Tupelo_1864-07-13,MS015,=
48,THE MINE,Peach_Tree_Creek_1864-07-20,GA016,=
49,DEEP BOTTOM,Atlanta_1864-07-22,GA017,=
50,WELDON RAILROAD,Atlanta_1864-07-28,GA018,=
51,"JONESBORO, GA I",Jonesborough_1864-08-31,GA022,<
52,"JONESBORO, GA II",Jonesborough_1864-09-01,GA022,<
53,WINCHESTER (OPEQUAN),Winchester_1864-09-19,VA119,=
54,CHAFFIN'S FARM AND FORTS HARRISON AND GILMER,Chaffin's_Farm_1864-09-29,VA075,=
55,CEDAR CREEK,Cedar_Creek_1864-10-19,VA122,=
56,BOYDTON PLANK ROAD,Boydton_Plank_Road_1864-10-27,VA079,=
57,FRANKLIN,Franklin_1864-11-30,TN036,=
58,NASHVILLE,Nashville_1864-12-15,TN038,=
59,HATCHER'S RUN,Hatcher's_Run_1865-02-05,VA083,=
60,BENTONVILLE,Bentonville_1865-03-19,NC020,=
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA085,>
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA089,>
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA088,>
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA090,>
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA087,>
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA124,>
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA091,>
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29,VA086,>
62,DINWIDDIE COURTHOUSE AND WHITE OAK ROAD,Dinwiddie_1865-03-29,VA086,=
63,PETERSBURG II,Petersburg_1865-04-02,VA089,=
