battle,belligerent,description,strength
DC001,US,"The District of Columbia Legion, 400",
FL001,Confederate,Santa Rosa Island Expedition,
FL001,US,Fort Pickens Garrison,
FL002,Confederate,Osceola Rangers,
FL002,US,One Federal gunboat,
FL003,Confederate,Saint John's Bluff Garrison,
FL003,US,"Saint John's River Expedition, Saint John's River Flotilla, South Atlantic Blockading Squadron",
FL004,Confederate,"Company A, 2nd Florida Infantry Battalion, Florida Volunteers",
FL004,US,USS Tahoma and the USS Adela; Navy landing party,
FL005,Confederate,District of East Florida,
FL005,US,District of Florida,
FL006,Confederate,"Kilcrease’s Artillery, Dunham’s Battery, Abell's Battery, 5th Florida Cavalry, 1st Florida Militia, Barwick’s Company Reserves, Hodges’ Company Reserves, Company A Milton Light Artillery, Companies A, B, and F - Florida Reserves",
FL006,US,"2nd and 99th United States Colored Troops, battalion of the 2nd Florida U.S. Cavalry, two U.S. Navy boat howitzers",
GA001,Confederate,Fort Pulaski garrison,
GA001,US,Port Royal Expeditionary Force,
GA002,Confederate,Fort McAllister garrison,
GA002,US,Flotilla from the South Atlantic Blockading Squadron,
GA003,Confederate,"Hindman's Division, Army of Tennessee",
GA003,US,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland",
GA004,Confederate,Army of Tennessee,
GA004,US,Army of the Cumberland,
GA005,Confederate,"Cleburne's Division, Hardee's Corps, Army of Tennessee",
GA005,US,"XX Army Corps, Army of the Cumberland",
GA006,Confederate,Army of Tennessee,
GA006,US,Army of the Cumberland,
GA007,Confederate,Army of Tennessee,
GA007,US,Military Division of the Mississippi,
GA008,Confederate,Army of Tennessee,
GA008,US,Military Division of the Mississippi,
GA009,Confederate,"Cheatham’s Division, Hardee’s Corps, Army of Tennessee",
GA009,US,"2nd and 3rd Divisions, IV Corps, Army of the Cumberland",
GA010,Confederate,Army of Tennessee,
GA010,US,"XX Corps, Army of the Cumberland",
GA011,Confederate,"Hardee's Corps, Army of Tennessee",
GA011,US,,
GA012,Confederate,"Cleburne's Division and Kelly's Cavalry Division, Army of Tennessee",
GA012,US,"IV Corps, Military Division of the Mississippi",
GA013,Confederate,Army of Tennessee,
GA013,US,Military Division of the Mississippi,
GA014,Confederate,"Hood's Corps, Army of Tennessee",
GA014,US,"XX and XXIII Army Corps, Military Division of the Mississippi",
GA015,Confederate,Army of Tennessee,
GA015,US,Military Division of the Mississippi,
GA016,Confederate,Army of Tennessee,
GA016,US,"IV and XIV Corps, Army of the Cumberland",
GA017,Confederate,Army of Tennessee,
GA017,US,"Army of the Tennessee, Military Division of the Mississippi",
GA018,Confederate,"Lee and Stewart's Corps, Army of Tennessee",
GA018,US,Army of the Tennessee,
GA019,Confederate,"Bate's Division, Lee's Corps, Army of Tennessee",
GA019,US,"XXIII and XIV Corps, Military Division of the Mississippi",
GA020,Confederate,Wheeler's Cavalry Corps,
GA020,US,District of Etowah,
GA021,Confederate,"Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee",
GA021,US,"2nd and 3rd Cavalry Divisions, Army of the Cumberland",
GA022,Confederate,"Hardee and Lee's Corps, Army of Tennessee",
GA022,US,Military Division of the Mississippi,
GA023,Confederate,"French's Division, Stewart's Corps, Army of Tennessee",
GA023,US,"Detachments of the 3rd and 4th Divisions, XV Corps, Army of the Tennessee",
GA025,Confederate,"Wheeler's Cavalry Corps, Department of South Carolina Georgia and Florida; and the 1st Division Georgia Militia",
GA025,US,"2nd Brigade, 1st Division, XV Army Corps",
GA026,Confederate,"Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida",
GA026,US,"3rd Cavalry Division, Military Division of Mississippi",
GA027,Confederate,"Wheeler's Cavalry Corps, Army of Tennessee",
GA027,US,"3rd Cavalry Division, Military Division of Mississippi",
GA028,Confederate,Fort McAllister garrison,
GA028,US,"2nd Division, XV Army Corps",
ID001,Native American,Shoshone Indians,
ID001,US,District of Utah,
IN001,Confederate,"Morgan’s Cavalry Division, 1,800",1800
IN001,US,"Indiana Legion, 400",400
KS001,Confederate,Quantrill’s Raiders,
KS001,US,"None, civilian forces only",
KS002,Confederate,Quantrill’s Raiders,
KS002,US,"Fort Baxter garrision: one company of the 2nd Kansas United States Colored Troops, portions of C Company and D Company,3rd Wisconsin Cavalry; Blunt's Escort: Company I, 3rd Wisconsin Cavalry, Company A, 14th Kansas Cavalry",
KS003,Confederate,"Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River)",
KS003,US,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln)",
KS004,Confederate,"Fagan’s and Marmaduke’s Divisions, Army of Missouri",
KS004,US,"2nd Provisional Cavalry Division, Army of the Border",
KY001,Confederate,approximately 800 men commanded by Col. Joel A. Battle,800
KY001,US,Home Guard (approximately 300 men),300
KY002,Confederate,Zollicoffer’s Brigade,
KY002,US,Camp Wildcat Garrison and Schoepf’s Brigade,
KY003,Confederate,"9 infantry companies, 2 cavalry companies",
KY003,US,Detachments from 12 Ohio and Kentucky units,
KY004,Confederate,"Terry’s Texas Rangers, 7th Texas Cavalry, 1st Arkansas Battalion",
KY004,US,32nd Indiana Volunteer Infantry Regiment,
KY005,Confederate,Army of Southwestern Virginia,
KY005,US,"18th Brigade, Army of the Ohio",
KY006,Confederate,"1st and 2nd Brigades, Crittenden’s Division",
KY006,US,"Brig. Gen. Albin Schoepf’s Brigade, 1st Division, Army of the Ohio",
KY007,Confederate,Army of Kentucky,
KY007,US,"1st and 2nd Brigades, Army of Kentucky",
KY008,Confederate,Army of the Mississippi,
KY008,US,Union garrison,
KY009,Confederate,Army of the Mississippi,
KY009,US,Army of the Ohio,
KY010,Confederate,"3rd, 7th, 8th, and 12th Regiments, Kentucky Cavalry",
KY010,US,"Union garrison (8th Colored Heavy Artillery, 16th Kentucky Cavalry, and Companies C, H, and K, 122nd Illinois Infantry) and Gunboats: USS Peosta – Tinclad Side Wheel Steamer, USS Paw Paw (Gunboat #31) – Tinclad Center Wheel Steamer",
KY011,Confederate,Morgan’s Division,
KY011,US,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, Kentucky Harrison County Home Guards",
LA001,Confederate,Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet,
LA001,US,West Gulf Blockading Squadron,
LA002,Confederate,New Orleans garrison,
LA002,US,West Gulf Blockading Squadron and the Department of the Gulf,
LA003,Confederate,Breckinridge’s Division; ram CSS Arkansas,
LA003,US,Baton Rouge Garrison; Division of Flotilla in Western Waters,
LA004,Confederate,Partisan rangers,
LA004,US,West Gulf Blockading Squadron,
LA005,Confederate,"18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment",
LA005,US,"Department of the Gulf, Reserve Brigade",
LA006,Confederate,Army of Western Louisiana,
LA006,US,"XIX Army Corps, Department of the Gulf and the USS Clifton",
LA007,Confederate,Army of Western Louisiana,
LA007,US,"4th Division, XIX Corps, Department of the Gulf, and Naval Forces in Berwick Bay",
LA008,Confederate,Army of Western Louisiana,
LA008,US,"XIX Corps, Department of the Gulf",
LA009,Confederate,Elements of the Port Hudson Garrison,
LA009,US,"1st Division, XIX Corps, Department of the Gulf",
LA010,Confederate,Port Hudson garrison,
LA010,US,"XIX Corps, Department of the Gulf and the Flotilla of the West Gulf Blockading Squadron",
LA011,Confederate,Walker's Texas Division,
LA011,US,"The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington",
LA012,Confederate,"2nd Cavalry Brigade, District of Western Louisiana",
LA012,US,"Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery",
LA013,Confederate,Detachments of Green's and Moutons's Texas Brigades,
LA013,US,"Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo",
LA014,Confederate,"12th and 19th Texas Cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron’s Louisiana Battery, and Ralston’s Mississippi Battery",
LA014,US,"Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana Volunteers (African Descent), and the Mississippi Marine Brigade",
LA015,Confederate,Major's Brigade and Green's Texas Brigade,
LA015,US,"1st Brigade, 2nd Division and the 3rd Brigade, 3rd Division, XIX Army Corps",
LA016,Confederate,Confederate Forces on the Atchafalaya,
LA016,US,"Detachments of the 19th Iowa, 26th Indiana, and 37th Illinois Infantry Regiments, detachments of the 6th Missouri and 2nd and 36th Illinois Cavalry Regiments, and a section of Battery E, 1st Missouri Light Artillery",
LA017,Confederate,Fort DeRussy garrison,
LA017,US,"Detachments of the XVI and XVII Corps, USS Eastport",
LA018,Confederate,Department of West Louisiana,
LA018,US,Red River Expeditionary Force,
LA019,Confederate,Department of West Louisiana,
LA019,US,Red River Expeditionary Force,
LA020,Confederate,Green’s Cavalry Division,
LA020,US,"Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald",
LA021,Confederate,Bee's Cavalry Division,
LA021,US,Red River Expeditionary Force,
LA022,Confederate,Department of West Louisiana,
LA022,US,Red River Expeditionary Force,
LA023,Confederate,Department of West Louisiana,
LA023,US,Red River Expeditionary Force,
MD001,Confederate,The Valley District,
MD001,US,Garrison of Hancock,
MD002,Confederate,Daniel Harvey Hill’s Division and Howell Cobb’s Brigade,
MD002,US,"1st, 9th, and 6th Corps Army of the Potomac",
MD003,Confederate,"Army of Northern Virginia, 40,000",40000
MD003,US,"Army of the Potomac, 60,000",60000
MD004,Confederate,Army of Northern Virginia,
MD004,US,Army of the Potomac,
MD006,Confederate,Stuart’s Cavalry Division,
MD006,US,First and Third U.S. Cavalry Divisions,
MD007,Confederate,2nd Corps Army of Northern Virginia,
MD007,US,"Home Guards and Rickett’s (3rd) Division, VI Army Corps",
MD008,Confederate,McCausland’s and Johnson’s Cavalry Brigades,
MD008,US,Cumberland Garrison,
MN001,Native American,Santee Sioux,
MN001,US,"Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians",
MN002,Native American,Santee Sioux,
MN002,US,"6th Minnesota Volunteer Infantry, other volunteers",
MO001,Confederate,Missouri State Guard,
MO001,US,"Battery F, 2nd US Artillery, Company B, 2nd US Infantry, Two Recruit Companies, 4th US Artillery, 1st and 2nd Regiments Missouri Volunteers",
MO002,Confederate,2nd Division Missouri State Guard,
MO002,US,Second Brigade Missouri Volunteers,
MO003,Confederate,4th Division Missouri State Guard,
MO003,US,"500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery)",570
MO004,Confederate,Western Army; Missouri State Guard,
MO004,US,Army of the West,
MO005,Confederate,Missouri State Guard,
MO005,US,Kansas Brigade,
MO006,Confederate,Missouri State Guard,
MO006,US,Lexington Garrison,
MO007,Confederate,Missouri State Guard,
MO007,US,"17th, 20th, 21st, and 33rd Illinois Volunteer Infantry, 11th Missouri Infantry, five companies of the 1st Indiana Cavalry, Stewart’s Independent Cavalry Company, Benton Hussars Cavalry Battalion, White’s section of Battery B, 1st Illinois Light Artillery, Battery A, 1st Missouri Light Artillery",
MO008,Confederate,Missouri State Guard,
MO008,US,"Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company",
MO009,Confederate,"First Division, Western Department",
MO009,US,District of Southwest Missouri; USS Lexington and USS Tyler,
MO010,Confederate,"Dorsey’s Battalion, Missouri Cavalry",
MO010,US,Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters,
MO011,Confederate,5th Regiment of the Missouri State Guard,
MO011,US,"Four companies of the 1st and three companies of the 2nd Missouri Cavalry, one company of the 4th Ohio Cavalry, and the 1st Battalion of the 1st Iowa Cavalry",
MO012,Confederate,Garrisons of New Madrid and Island No. 10; Confederate States Navy,
MO012,US,Army of the Mississippi and the Mississippi River Squadron,
MO013,Confederate,1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars,
MO013,US,"Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry",
MO014,Confederate,"Confederate Partisans and recruits under Hughes, Hays and Quantrill",
MO014,US,Independence Garrison,
MO015,Confederate,Confederate recruits,
MO015,US,"Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia",
MO016,Confederate,Cooper’s Division,
MO016,US,"Division, Army of Kansas",
MO017,Confederate,"3rd, 4th, and 8th Missouri Cavalry, Marmaduke’s Division, Army of the West",
MO017,US,"Company C and M, 10th Illinois Cavalry and Company H, Missouri Home Guard Militia",
MO018,Confederate,"4th Division, First Corps, Trans-Mississippi Department",
MO018,US,"Southwestern District of Missouri, Springfield Garrison",
MO019,Confederate,"4th Division, First Corps, TransMississippi Department",
MO019,US,"Elements of the 3rd Iowa Cavalry, 21st Iowa Infantry, 99th Illinois Infantry, 3rd Missouri Cavalry, and a section of Battery L, 2nd Missouri Light Artillery",
MO020,Confederate,"4th Division, First Corps, TransMississippi Department",
MO020,US,Cape Girardeau Garrison,
MO021,Confederate,Army of Missouri,
MO021,US,"Detachment from the 14th Iowa Infantry; Garrison consisting of Battery H, 2nd Missouri Light Artillery and companies from the 47th Missouri Infantry, 50th Missouri Infantry, 1st Missouri State Militia Infantry, 2nd Missouri State Militia Cavalry, and 3rd Missouri State Militia Cavalry",
MO022,Confederate,"Marmaduke’s Brigade, Marmaduke’s Division, and Jackman’s Brigade and Collins’ Missouri Battery, Shelby’s Division, Army of Missouri",
MO022,US,"Garrison consisting of parts of the 43rd Missouri Infantry, 4th Provisional Regiment Enrolled Missouri Militia, 9th Cavalry Missouri State Militia, 13th Missouri Cavalry, and two companies of citizen militia",
MO023,Confederate,Army of Missouri,
MO023,US,"1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border",
MO024,Confederate,"Marmaduke’s Division and Shelby’s Division, Army of Missouri",
MO024,US,"11th Kansas Cavalry; 1st and 4th Brigades, 1st Division [Provisional Cavalry], Army of the Border",
MO025,Confederate,"Cabell’s Brigade and Slemon’s Brigade, Fagan’s Division, Army of Missouri",
MO025,US,"Provisional Cavalry Division, Department of Missouri",
MO026,Confederate,"Shelby’s Division, Army of Missouri",
MO026,US,"1st Cavalry Brigade, Army of the Border; 2nd Brigade, Army of the Border",
MO027,Confederate,Army of Missouri,
MO027,US,Army of the Border,
MO028,Confederate,"Shelby’s Division, Army of Missouri",
MO028,US,"2nd Brigade and 4th Brigade, Provisional Cavalry Division, Department of the Missouri",
MO029,Confederate,"Shelby’s Division, Army of Missouri",
MO029,US,"Portions of Provisional Cavalry Division, Army of the Border and 3rd Brigade, Provisional Cavalry Division, Department of Missouri",
MS001,Confederate,"1st Division, Army of the West",
MS001,US,"2nd Division and Cavalry Division, Army of the Mississippi",
MS002,Confederate,Army of the West Tennessee,
MS002,US,Army of the Mississippi,
MS003,Confederate,Department of Mississippi and East Louisiana,
MS003,US,"Right Wing, Army of the Tennessee and Mississippi River Squadron",
MS004,Confederate,Grand Gulf Garrison,
MS004,US,"Mississippi Squadron and Companies A, B, D, F, G, H, and K of the 58th Ohio Volunteer Infantry Regiment",
MS005,Confederate,Hebert’s Brigade,
MS005,US,"2nd Division, XV Corps, Army of the Tennessee and a flotilla of 8 gunboats and 10 transports, Mississippi River Squadron",
MS006,Confederate,one detached division,
MS006,US,"XIII Army Corps, 3rd Division, XVII Corps",
MS007,Confederate,Gregg’s Task Force,
MS007,US,"XVII Army Corps, Army of the Tennessee",
MS008,Confederate,Jackson Garrison,
MS008,US,"XV and XVII Army Corps, Army of the Tennessee",
MS009,Confederate,Army of Vicksburg,
MS009,US,Army of the Tennessee,
MS010,Confederate,Bowen’s Division and Vaughn’s East Tennessee Brigade,
MS010,US,"XIII Army Corps, Army of the Tennessee",
MS011,Confederate,Army of Vicksburg,
MS011,US,"Army of the Tennessee, Mississippi River Squadron",
MS012,Confederate,"Department of Alabama, Mississippi, and East Louisiana",
MS012,US,Department of the Tennessee,
MS013,Confederate,Forrest’s Cavalry Corps,
MS013,US,Meridian Mississippi Expedition Cavalry,
MS014,Confederate,Forrest’s Cavalry Corps,
MS014,US,Mississippi Expedition,
MS015,Confederate,"Department of Alabama, Mississippi, and East Louisiana",
MS015,US,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops",
MS016,Confederate,"Army of the Mississippi, Department No. 2",
MS016,US,Department of the Mississippi,
NC001,Confederate,Hatteras Island garrison,
NC001,US,"9th (220 men) and 20th New York (500 men) regiments, 60 of the 2nd United States Artillery, 100 Coast Guard guardians, 55 Marines, and the Atlantic Blockading Squadron",935
NC002,Confederate,Wise’s Legion,
NC002,US,Department of North Carolina and the North Atlantic Blockading Squadron,
NC003,Confederate,"1st Division, Department of North Carolina",
NC003,US,Department North Carolina and the Naval Forces in Pamlico Sound,
NC004,Confederate,Fort Macon garrison,
NC004,US,"3rd Division, Department of North Carolina, and Naval forces in North Carolina",
NC005,Confederate,"3rd Georgia Infantry Regiment, Colonel Ferebee’s North Carolina Militia, McComas’s Battery, and Captain Gillett’s Southhampton Cavalry Company",
NC005,US,"2nd and 4th Brigades, 2nd Division, Department of North Carolina",
NC006,Confederate,44th North Carolina Infantry,
NC006,US,"24th Massachusetts Volunteer Infantry, Captain George F. Jocknick’s company of the 3rd New York Cavalry and two pieces of artillery",
NC007,Confederate,Evans’s Brigade,
NC007,US,"Department of North Carolina, 1st Division, and USN Neuse River Flotilla",
NC008,Confederate,Robertson’s Brigade,
NC008,US,"Five companies of the 3rd New York Cavalry, a section of artillery from the 23rd New York Independent Battery, Colonel Thomas J. C. Amory’s Brigade, and Thomas G. Stevenson’s Brigade",
NC009,Confederate,Clingman’s Brigade,
NC009,US,"Department of North Carolina, 1st Division",
NC010,Confederate,Hill’s Division,
NC010,US,"1st Division, XVIII Corps, and the Naval forces in the Sounds of North Carolina",
NC011,Confederate,Hill’s Division,
NC011,US,"The Washington garrison, the relief column of the XVIII Corps, and the Naval Forces in the Pamlico Sound",
NC012,Confederate,Hoke’s Division,
NC012,US,Plymouth garrison,
NC013,Confederate,"the Ironclad Ram CSS Albemarle, transport steamer CSS Cotton Plant, and the Erie Canal steamer CSS Bombshell",
NC013,US,Albemarle Sound Naval Squadron,
NC014,Confederate,Hoke’s Division and the Fort Fisher garrison,
NC014,US,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron",
NC015,Confederate,Hoke’s Division and the Fort Fisher garrison,
NC015,US,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron",
NC016,Confederate,Major General Robert F. Hoke’s Division and Brigadier General Johnson Hagood’s Brigade,
NC016,US,"Department of North Carolina, Army of the Ohio, and the North Atlantic Blockading Squadron",
NC017,Confederate,"Major Generals Robert F. Hoke and Daniel H. Hill’s Division’s, Department of North Carolina",
NC017,US,Major General Jacob D. Cox’s Provisional Corps,
NC018,Confederate,Hampton’s Cavalry Command (Wheeler’s Cavalry Corps and Butler’s Division),
NC018,US,3rd Cavalry Division,
NC019,Confederate,"Hardee’s Corps, Wheeler’s Cavalry Corps",
NC019,US,"XX and XIV Corps, Army of Georgia",
NC020,Confederate,"The Army of Tennessee, Stewart's Corps, the Department of North Carolina, and the Department of South Carolina, Georgia and Florida",
NC020,US,The Army of Georgia and the XV and XVII Corps,
ND001,Native American,Santee Sioux (Northern Sisseton and Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]),
ND001,US,District of Minnesota,
ND002,Native American,Santee Sioux (Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]),
ND002,US,District of Minnesota,
ND003,Native American,Santee Sioux (Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]),
ND003,US,District of Minnesota,
ND004,Native American,"Santee Sioux (Sisseton and Wahpekute), Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]), and Yankton-Yanktonai Sioux (Pabaksa [Cuthead], and Yankton)",
ND004,US,"Army detachments of: 6th Iowa Cavalry, 2nd Nebraska Cavalry, Dakota Cavalry, 7th Iowa Cavalry, 45th Iowa Infantry",
ND005,Native American,"Santee Sioux (Wahpekute), Teton Sioux (Hunkpapa, Miniconjou, Sans Arc, and Sihasapa [Blackfeet]), and Yankton-Yanktonai Sioux (Pabaksa [Cuthead] and Yanktonai)",
ND005,US,"Army detachments of 8th Minnesota Infantry, 2nd Minnesota Cavalry, 3rd Minnesota Battery, Brackett’s Minnesota Battalion of Cavalry, 6th Iowa Cavalry, 7th Iowa Cavalry, Dakota Cavalry Regiment, Nebraska Scouts, Pope’s Prairie Battery",
NM001,Confederate,Army of New Mexico,
NM001,US,Department of New Mexico (combination of regular and volunteer units),
NM002,Confederate,Army of New Mexico,
NM002,US,"Northern Division, Army of New Mexico",
OH001,Confederate,"Brigade, 1,700",1700
OH001,US,"Brigade, 3,000",3000
OH002,Confederate,"Confederate Army, 800",800
OH002,US,"9th Michigan Cavalry, 2,600",2600
OK001,Confederate,"Six companies of the First Regiment Choctaw and Chickasaw Mounted Rifles, a detachment of the 9th Texas Cavalry, the Creek Regiment, and the Creek and Seminole Battalion",
OK001,US,"Creek, Cherokee, and Seminole allies",
OK002,Confederate,Indian Department,
OK002,US,"Creek, Cherokee, and Seminole allies",
OK003,Confederate,Indian Department,
OK003,US,"Creek, Cherokee, and Seminole allies",
OK004,Confederate,"First Brigade, Indian Department",
OK004,US,"First Division, Army of the Frontier",
OK005,Confederate,"Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment",
OK005,US,Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,
OK006,Confederate,"1st Cherokee Mounted Rifles, First Creek Mounted Volunteers, a detachment of the 29th Texas Cavalry, and a detachment of Martin’s Partisan Rangers",
OK006,US,"Fort Scott Relief Column (consisting of six companies of the 2nd Colorado Infantry, one company each of the 3rd Wisconsin, 9th Kansas and 14th Kansas Cavalries, the 1st Kansas Colored Infantry, the 3rd Indian Regiment, and the 2nd Kansas Artillery)",
OK007,Confederate,"1st Brigade, Indian Department",
OK007,US,District of the Frontier,
PA001,Confederate,"Stuart’s Cavalry Division, Army of Northern Virginia",
PA001,US,"3rd Cavalry Division, Army of the Potomac, including Farnsworth’s 1st Brigade and Custer’s 2nd Brigade",
PA002,Confederate,Army of Northern Virginia,
PA002,US,Army of the Potomac,
SC001,Confederate,Provisional Forces of the Confederate States in Charleston Harbor,
SC001,US,1st United States Artillery,
SC002,Confederate,Second Military District of South Carolina and the Tower Battery/Fort Lamar garrison,
