reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,military_jim,military_ed,military_bill,protected_acres,protected_percent,county,land_value,priority1,url
CO001,Sand Creek,Engagement,1864-11-29,1864-11-29,Trans-Mississippi Theater of Operations,"Sand Creek Campaign (1864), 11/01/64, II",Low,0,0,1,0,0,0,Fair,B,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,B,C,,,Kiowa,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=18&dt=295
DC001,Fort Stevens,Action,1864-07-12,1864-07-12,Main Eastern Theater of Operation,"Early's Raid and Ops agnst B&O RR (1864), 06/01/64, II",,1,0,1,0,0,1,Lost,B,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,C,,,,District of Columbia,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=19&dt=295
FL001,Santa Rosa Island,Action,1861-10-09,1861-10-09,Lower Seaboard Theater of Operation,"Ops. [U] of Gulf Blockading Squadron (1861), 09/01/61, III",Low,1,0,0,0,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,,,,,Escambia,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=325&dt=295
FL002,Tampa,Bombardment,1862-06-30,1862-07-01,Lower Seaboard Theater of Operation,Undefined Code,,1,1,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Hillsborough,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=23&dt=295
FL003,Saint John's Bluff,Engagement,1862-10-01,1862-10-01,Lower Seaboard Theater of Operation,"Exp Hilton Head, SC to St John's Bluff, FL (1862), 10/01/62, III",,1,1,1,0,0,1,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Duval,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=21&dt=295
FL004,Fort Brooke,Engagement,1863-10-16,1863-10-16,Lower Seaboard Theater of Operation,"Exped to Destroy Ships in Hillsboro R., FL (1863), 10/16/63, III",,1,1,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Hillsborough,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=22&dt=295
FL005,Olustee,Engagement,1864-02-20,1864-02-20,Lower Seaboard Theater of Operation,"Florida Expedition (1864), 02/20/64, II",Low,1,0,1,1,0,1,Good,B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,C,,,Baker,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=20&dt=295
FL006,Natural Bridge,Action,1865-03-06,1865-03-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Ops. in the Vic. of Saint Mark's FL (1865), 02/21/65, III",Low,0,0,1,1,0,1,Good,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,D,C,,,Leon,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=326&dt=295
GA001,Fort Pulaski,Operation,1862-04-10,1862-04-11,Lower Seaboard Theater of Operation,"Union Operations Against Fort Pulaski (1862), 01/01/62, II",Low,1,1,1,1,0,1,Good,B,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,A,,,,Chatham,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=41&dt=295
GA002,Fort McAllister,Naval,1863-03-03,1863-03-03,Lower Seaboard Theater of Operation,"Naval [U] Attacks on Fort McAllister (1863), 01/27/63, III",Low,0,1,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Bryan,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=44&dt=295
GA003,Davis' Cross-Roads,Skirmish,1863-09-10,1863-09-11,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chickagmauga Campaign (1863), 08/21/63, I",Mod,0,0,1,0,0,0,Good,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,,C,,,"Dade, Walker",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=327&dt=295
GA004,Chickamauga,Battle,1863-09-19,1863-09-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chickagmauga Campaign (1863), 08/21/63, I",Mod,1,0,1,0,0,1,Good,A,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,,,,5200,98,"Catoosa, Ft. Oglethrope, Town of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=24&dt=295
GA005,Ringgold Gap,Engagement,1863-11-27,1863-11-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chattanooga-Ringgold Campaign (1863), 11/28/63, I",Mod,1,0,1,1,0,0,Fair,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,B,,,,"Catoosa, Ringgold, City of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=25&dt=295
GA006,Dalton I,Demonstration,1864-02-22,1864-02-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Meridian Exp and Exp fr Memphis up Yazoo (1864), 02/14/64, II",High,1,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Whitfield,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=26&dt=295
GA007,Rocky Face Ridge,Demonstration,1864-05-08,1864-05-11,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,0,0,1,0,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,,,Whitfield,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=27&dt=295
GA008,Resaca,Battle,1864-05-13,1864-05-15,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,0,0,1,0,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,,,,,"Whitfield, Gordon",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=28&dt=295
GA009,Adairsville,Engagement,1864-05-17,1864-05-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",Low,0,0,1,0,0,0,Good,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,C,,,,"Gordon, Bartow",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=29&dt=295
GA010,New Hope Church,Combat,1864-05-25,1864-06-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,0,1,1,0,0,0,Fair,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,,,,,"Paulding, New Hope, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=48&dt=295
GA011,Dallas,Combat,1864-05-26,1864-06-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,0,1,1,0,0,0,Poor,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,Paulding,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=39&dt=295
GA012,Pickett's Mills,Combat,1864-05-27,1864-05-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",Low,0,0,0,1,0,1,Good,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,Paulding,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=32&dt=295
GA013A,"Marietta (b,c,d)",Operation,1864-06-10,1864-07-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,0,1,1,0,0,0,Poor,B,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,B,,,,Cobb,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=43&dt=295
GA014,Kolb's Farm,Combat,1864-06-22,1864-06-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,1,0,1,0,0,1,Fair,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Cobb,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=33&dt=295
GA015,Kennesaw Mountain,Combat,1864-06-27,1864-06-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,1,0,1,0,0,1,Fair,B,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Cobb,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=40&dt=295
GA016,Peachtree Creek,Battle,1864-07-20,1864-07-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,1,Lost,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,B,B,,,"Fulton, Atlanta, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=35&dt=295
GA017,Atlanta,Battle,1864-07-22,1864-07-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,1,Lost,B,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,B,B,A,0,0,"Fulton, DeKalb, Atlanta, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=37&dt=295
GA018,Ezra Church,Battle,1864-07-28,1864-07-28,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Lost,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Fulton, Atlanta, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=38&dt=295
GA019,Utoy Creek,Assault,1864-08-06,1864-08-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",Mod,0,1,1,0,0,0,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,D,,,,"Fulton, Atlanta, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=42&dt=295
GA020,Dalton II,Combat,1864-08-14,1864-08-15,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Whitfield,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=31&dt=295
GA021,Lovejoy's Station,Combat,1864-08-20,1864-08-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",Mod,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Clayton,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=317&dt=295
GA022,Jonesborough,Battle,1864-08-31,1864-09-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Lost,A,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,A,A,,,,Clayton,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=34&dt=295
GA023,Allatoona,Engagement,1864-10-05,1864-10-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Hood's Ops. Agnst Sherman's Commun. (1864), 10/05/64, II",Mod,0,0,1,0,0,0,Good,B,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Bartow,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=36&dt=295
GA024,Dalton III,Combat,1864-10-13,1864-10-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",High,0,1,1,0,0,0,Poor,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Whitfield,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=316&dt=295
GA025,Griswoldville,Engagement,1864-11-22,1864-11-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",Low,0,0,1,0,0,0,Good,B,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,C,,,"Twiggs, Jones",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=45&dt=295
GA026,Buck Head Creek,Engagement,1864-11-28,1864-11-28,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",Low,0,0,1,0,0,0,Good,C,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Jenkins,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=46&dt=295
GA027,Waynesborough,Engagement,1864-12-04,1864-12-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",High,0,0,1,0,0,0,Poor,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,C,,,,Burke,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=47&dt=295
GA028,Fort McAllister,Engagement,1864-12-13,1864-12-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",Low,0,0,1,1,0,1,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Bryan,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=30&dt=295
ID001,Bear River,Engagement,1863-01-29,1863-01-29,Pacific Coast Theater,"Expedition Camp Douglas to Cache Valley (1863), 01/22/63, III",Low,0,1,1,1,0,0,Good,C,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,C,,D,,,Franklin,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=49&dt=295
IN001,Corydon,Skirmish,1863-07-09,1863-07-09,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid in KY, IN, OH (1863), 07/02/63, III",Low,0,1,1,0,0,1,Good,C,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,D,C,,,Harrison,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=328&dt=295
KS001,Lawrence,Massacre,1863-08-21,1863-08-21,Trans-Mississippi Theater of Operations,"Quantrill's Raid into Kansas (1863), 07/09/63, III",,0,1,1,0,0,0,Lost,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,D,C,,,"Douglas, Lawrence, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=329&dt=295
KS002,Baxter Springs,Action,1863-10-06,1863-10-06,Trans-Mississippi Theater of Operations,"Occup [U] of Ind. Terr. No. of Arkansas R. (1863), 10/01/63, III",,0,1,1,0,0,0,Lost,C,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Cherokee,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=50&dt=295
KS003,Mine Creek,Engagement,1864-10-25,1864-10-25,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",Low,0,0,1,1,0,1,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Linn,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=51&dt=295
KS004,Marais des Cygnes,Engagement,1864-10-25,1864-10-25,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",Low,1,1,0,1,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Linn,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=52&dt=295
KY001,Barbourville,Action,1861-09-19,1861-09-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Knox,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=53&dt=295
KY002,Camp Wild Cat,Action,1861-10-21,1861-10-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",Low,1,0,1,0,0,0,Good,C,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,C,,,,,Laurel,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=54&dt=295
KY003,Ivy Mountain,Engagement,1861-11-08,1861-11-09,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",,0,0,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Floyd,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=55&dt=295
KY004,Rowlett's Station,Action,1861-12-17,1861-12-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Hart,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=56&dt=295
KY005,Middle Creek,Engagement,1862-01-10,1862-01-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",Low,0,0,1,0,0,0,Good,C,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,C,B,C,,,Floyd,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=57&dt=295
KY006,Mill Springs,Engagement,1862-01-19,1862-01-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",Mod,0,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,,,,"Pulaski, Wayne",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=59&dt=295
KY007,Richmond,Battle,1862-08-29,1862-08-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",Low,1,0,1,1,0,0,Fair,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Madison,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=60&dt=295
KY008,Munfordville,Siege,1862-09-14,1862-09-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",Low,0,0,1,0,0,0,Good,B,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,B,,,,,Hart,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=58&dt=295
