cwsac_id,attacker,naval,siege,ships_U,ships_C
VA017,Confederate,No,0,0,0
NC019,US,No,0,0,0
ND004,,No,0,0,0
MS008,US,No,0,0,0
MS009,US,No,0,0,0
ND005,,No,0,0,0
NC018,US,No,0,0,0
VA016,Confederate,No,0,0,0
VA002,US,Yes,0,4,0
TN036,Confederate,No,0,0,0
TN022,Confederate,No,0,0,0
KY005,US,No,0,0,0
GA022,Confederate,No,0,0,0
KY011,Confederate,No,0,0,0
OH002,US,No,0,0,0
TN008,Confederate,No,0,0,0
KY007,Confederate,No,0,0,0
GA020,Confederate,No,0,0,0
GA008,US,No,0,0,0
TN034,Confederate,No,0,0,0
TN020,US,No,0,0,0
SC008,US,Partial,1,13,0
VA028,US,No,0,0,0
VA014,Confederate,No,0,0,0
VA001,US,Yes,0,2,0
VA015,US,No,0,0,0
VA029,US,No,0,0,0
SC009,US,Partial,0,13,0
TN021,Confederate,No,0,0,0
GA009,US,No,0,0,0
TN035,Confederate,No,0,0,0
GA021,US,No,0,0,0
KY006,Confederate,No,0,0,0
TN009,Confederate,No,0,0,0
TN031,Confederate,No,0,0,0
GA019,US,No,0,0,0
TN025,Confederate,No,0,0,0
KY002,US,No,0,0,0
GA025,Confederate,No,0,0,0
TN019,Confederate,No,0,0,0
VA011,Confederate,No,0,0,0
VA005,US,No,0,0,0
VA039,Confederate,No,0,0,0
ND002,,No,0,0,0
ND003,,No,0,0,0
VA038,US,No,0,0,0
VA004,US,No,0,0,0
VA010,US,No,0,0,0
TN018,US,No,0,0,0
KY003,Confederate,No,0,0,0
GA018,Confederate,No,0,0,0
TN024,US,No,0,0,0
TN030,Confederate,Partial,0,1,0
MN002,,No,0,0,0
CO001,,No,0,0,0
TN026,Confederate,No,0,0,0
TN032,Confederate,No,0,0,0
GA026,Confederate,No,0,0,0
KY001,Confederate,No,0,0,0
VA006,US,No,0,0,0
VA012,US,Yes,0,5,0
NC008,US,No,0,0,0
ND001,,No,0,0,0
NC020,US,No,0,0,0
NC009,US,No,0,0,0
VA013,Confederate,No,0,0,0
VA007,US,No,0,0,0
GA027,US,No,0,0,0
TN033,Confederate,No,0,0,0
TN027,Confederate,No,0,0,0
MN001,,No,0,0,0
WV009,Confederate,No,0,0,0
MD007,US,No,0,0,0
VA114,US,No,0,0,0
VA100,US,Yes,0,2,0
FL005,US,No,0,0,0
VA048,US,No,0,0,0
VA074,US,No,0,0,0
MO026,Confederate,No,0,0,0
MO027,Confederate,No,0,0,0
VA075,US,No,0,0,0
VA049,US,No,0,0,0
FL004,US,Partial,0,2,0
VA101,Confederate,No,0,0,0
VA115,US,No,0,0,0
MD006,US,No,0,0,0
WV008,US,No,0,0,0
MD004,US,No,0,0,0
VA103,Confederate,No,0,0,0
VA117,US,No,0,0,0
VA088,US,No,0,0,0
FL006,US,No,0,0,0
VA077,Confederate,No,0,0,0
LA019,Confederate,No,0,0,0
VA063,US,No,0,0,0
MO019,Confederate,No,0,0,0
MO025,Confederate,No,0,0,0
MO024,Confederate,No,0,0,0
MO018,Confederate,No,0,0,0
KS004,US,No,0,0,0
LA018,US,No,0,0,0
VA062,US,No,0,0,0
VA076,US,No,0,0,0
VA089,US,No,0,0,0
VA116,Confederate,No,0,0,0
VA102,US,No,0,0,0
MD001,Confederate,No,0,0,0
VA106,Confederate,No,0,0,0
FL003,US,No,0,6,0
VA099,US,No,0,0,0
LA008,US,No,0,0,0
VA072,US,No,0,0,0
VA066,Confederate,No,0,0,0
LA020,Confederate,No,0,0,0
MO020,Confederate,No,0,0,0
MO008,US,No,0,0,0
MO009,US,No,0,0,0
MO021,Confederate,No,0,0,0
KS001,,No,0,0,0
LA021,US,No,0,0,0
VA067,Confederate,No,0,0,0
LA009,US,No,0,0,0
VA073,Confederate,No,0,0,0
VA098,US,No,0,0,0
FL002,US,Yes,0,1,0
VA113,US,No,0,0,0
VA107,Confederate,No,0,0,0
MD002,US,No,0,0,0
AR008,Confederate,No,0,0,0
VA111,US,No,0,0,0
VA105,US,No,0,0,0
VA065,US,No,0,0,0
VA071,US,No,0,0,0
LA023,US,No,0,0,0
VA059,US,No,0,0,0
KS003,US,No,0,0,0
MO023,Confederate,No,0,0,0
MO022,Confederate,No,0,0,0
KS002,Confederate,No,0,0,0
LA022,US,No,0,0,0
VA058,Confederate,No,0,0,0
VA070,US,No,0,0,0
VA064,US,No,0,0,0
FL001,Confederate,No,0,0,1
VA104,Confederate,No,0,0,0
VA110,Confederate,No,0,0,0
AR009,Confederate,No,0,0,0
MD003,US,No,0,0,0
