battle_id,belligerent,strength,casualties,killed,wounded,killed_wounded,missing_captured
franklin,US,30000,2326,189,1033,1222,1104
franklin,Confederate,33000,6262,1750,3800,5550,702
seven-pines,US,40000,5739,,,,
seven-pines,Confederate,40000,7997,,,,
second-kernstown,US,10000,1200,,,,
second-kernstown,Confederate,13000,600,,,,
tupelo,US,14000,648,,,,
tupelo,Confederate,8000,1300,,,,
mobile-bay,US,,322,,,,
mobile-bay,Confederate,,1500,,,,
portgibson,US,23000,861,131,719,850,25
portgibson,Confederate,8000,767,60,340,400,387
fort-fisher,US,9632,1341,,,,
fort-fisher,Confederate,1900,583,,,,
campallegheny,US,2000,137,,,,
campallegheny,Confederate,1200,146,,,,
middleburg,US,6400,,,,,
middleburg,Confederate,3200,,,,,
palmito-ranch,US,,118,,,,
palmito-ranch,Confederate,,6,,,,
high-bridge,US,880,800,,,,
high-bridge,Confederate,1200,100,,,,
rappahannock-station,US,2000,419,,,,
rappahannock-station,Confederate,2000,1674,,,,
beaver-dam-creek,US,15631,400,,,,
beaver-dam-creek,Confederate,16361,1300,,,,
petersburg,US,62000,8150,,,,
petersburg,Confederate,42000,3236,,,,
atlanta,US,34863,3722,,,,
atlanta,Confederate,40438,5500,,,,
monocacy,US,5800,1294,,,,
monocacy,Confederate,14000,900,,,,
sand-creek,US,,,,,,
sand-creek,Confederate,,,,,,
nashville,US,55000,3061,387,2558,2945,112
nashville,Confederate,30000,6000,,,1500,4500
bentonville,US,60000,1527,194,1112,1306,221
bentonville,Confederate,21000,2606,239,1694,1933,673
the-crater,US,8500,3798,504,1881,2385,1413
the-crater,Confederate,6100,1491,361,727,1088,403
glorieta-pass,US,1300,147,51,78,129,18
glorieta-pass,Confederate,1340,222,50,80,130,92
brandy-station,US,11000,866,81,403,484,382
brandy-station,Confederate,9500,433,51,250,301,132
elkins-ferry,US,4000,38,,,,
elkins-ferry,Confederate,1200,54,,,,
fredericksburg,US,100007,13353,,,,
fredericksburg,Confederate,72497,4576,,,,
thoroughfaregap,US,5000,,,,,
thoroughfaregap,Confederate,28000,,,,,
port-hudson,US,35000,5000,,,,
port-hudson,Confederate,7500,7208,,,,
richmond,US,,4900,,,,
richmond,Confederate,,750,,,,
second-manassas,US,70000,13824,1716,8215,9931,3893
second-manassas,Confederate,55000,,1305,7048,8353,
raymond,US,12000,442,,,,
raymond,Confederate,4100,569,,,,
mansfield,US,12000,2900,,,,
mansfield,Confederate,7000,1500,,,,
corinth,US,23000,2359,,,,
corinth,Confederate,22000,4838,,,,
new-market,US,6275,840,,,,
new-market,Confederate,4090,540,,,,
ringgold-gap,US,,432,,,,
ringgold-gap,Confederate,,480,,,,
hatcher-s-run,US,34517,,,,,
hatcher-s-run,Confederate,13835,,,,,
jonesborough,US,,1149,,,,
jonesborough,Confederate,,2000,,,,
averasborough,US,25992,,,,,
averasborough,Confederate,5400,,,,,
fort-donelson,US,24531,2691,507,1976,2483,208
fort-donelson,Confederate,16171,13846,327,1127,1454,12392
trevilian-station,US,9216,950,95,445,540,410
trevilian-station,Confederate,6700,1000,,,,
champion-hill,US,32000,2457,410,1844,2254,187
champion-hill,Confederate,22000,3840,381,1081,1462,2441
peachtree-creek,US,21655,1750,,,,
peachtree-creek,Confederate,20250,4250,,,,
secessionville,US,6600,685,,,,
secessionville,Confederate,2000,204,,,,
rocky-face-ridge,US,99000,837,,,,
rocky-face-ridge,Confederate,60000,600,,,,
petersburg-breakthrough,US,76113,3500,,,,
petersburg-breakthrough,Confederate,58400,4250,,,,
first-deep-bottom,US,24000,488,62,340,402,86
first-deep-bottom,Confederate,4200,679,80,391,471,208
cross-keys,US,11500,684,114,443,557,127
cross-keys,Confederate,5800,288,41,232,273,15
appomattox-courthouse,US,63285,158,14,74,88,64
appomattox-courthouse,Confederate,26000,500,,,,
chickamauga,US,60000,16170,1657,9756,11413,4757
chickamauga,Confederate,65000,18454,2312,14674,16986,1468
resaca,US,98787,2747,,,,
resaca,Confederate,60000,2800,,,,
new-market-heights,US,,4150,,,,
new-market-heights,Confederate,,1750,,,,
chancellorsville,US,97382,17304,1694,9672,11366,5938
chancellorsville,Confederate,57352,13460,1724,9233,10957,2503
cool-spring,US,5000,422,,,,
cool-spring,Confederate,8000,397,,,,
fort-sumter,US,80,0,0,0,0,0
fort-sumter,Confederate,500,0,0,0,0,0
white-oak-road,US,,1870,,,,
white-oak-road,Confederate,,800,,,,
perryville,US,20000,4220,890,2893,3783,437
perryville,Confederate,16000,3401,532,2641,3173,228
dallas,US,80000,2400,,,,
dallas,Confederate,40000,3000,,,,
mine-creek,US,,100,,,,
mine-creek,Confederate,,1200,,,,
stones-river,US,41400,12906,1677,7543,9220,3686
stones-river,Confederate,35000,11739,1294,7945,9239,2500
wyse-fork,US,12000,1101,,,,
wyse-fork,Confederate,8500,1500,,,,
fisher-s-hill,US,29444,528,,,,
fisher-s-hill,Confederate,9500,1235,,,,
gaines-mill,US,34212,6800,894,3107,4001,2836
gaines-mill,Confederate,57018,8700,1483,6402,7885,108
shiloh,US,65085,13047,1754,8408,10162,2885
shiloh,Confederate,44968,10669,1728,8012,9740,959
toms-brook,US,6300,57,,,,
toms-brook,Confederate,3500,350,,,,
kelly-s-ford,US,2100,78,6,50,56,22
kelly-s-ford,Confederate,800,133,11,88,99,34
pea-ridge,US,10500,1349,,,,
pea-ridge,Confederate,16000,4600,,,,
glendale,US,40000,3797,297,1696,1993,1804
glendale,Confederate,45000,3673,638,2814,3452,221
five-forks,US,,830,,,,
five-forks,Confederate,,2950,,,,
ballsbluff,US,1720,1002,223,226,449,553
ballsbluff,Confederate,1709,155,36,117,153,2
olustee,US,,1860,,,,
olustee,Confederate,,946,,,,
prairie-grove,US,9216,1251,,,,
prairie-grove,Confederate,11059,1317,,,,
harpers-ferry,US,14000,12636,44,173,217,12419
harpers-ferry,Confederate,30000,286,39,247,286,0
port-republic,US,3500,1002,,,,
port-republic,Confederate,6000,816,,,,
williamsburg,US,40768,2283,,,,
williamsburg,Confederate,31823,1560,,,,
wilson-s-creek,US,5400,1235,,,,
wilson-s-creek,Confederate,11000,1095,,,,
dranesville,US,4000,71,,,,
dranesville,Confederate,1750,230,,,,
natural-bridge,US,,148,,,,
natural-bridge,Confederate,,26,,,,
bullrun,US,28450,2896,460,1124,1584,1312
bullrun,Confederate,32230,1982,387,1582,1969,13
kennesaw-mountain,US,100000,3000,,,,
kennesaw-mountain,Confederate,50000,1000,,,,
parker-s-cross-roads,US,3000,237,,,,
parker-s-cross-roads,Confederate,1800,500,,,,
fort-pulaski,US,,1,,,,
fort-pulaski,Confederate,,364,,,,
yorktown,US,121500,182,,,,
yorktown,Confederate,35000,300,,,,
