battle,battle_name,state,campaign,url,forces_text,strength,results_text,results,study_area,core_area,potnr_boundary
AR004,Cane Hill,AR,Prairie Grove Campaign,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,"1st Division, Army of the Frontier [US]; Marmaduke’s Cavalry Division [CS]",,Confederate tactical victory,Confederate,9007.96,3254.99,6929.53
AR005,Prairie Grove,AR,Prairie Grove Campaign,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,Army of the Frontier [US]; Army of the Trans-Mississippi [CS],,Union strategic victory,Union,14708.69,2450.54,4410.01
AR006,Arkansas Post,AR,Grant’s Operations Against Vicksburg,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,Army of the Mississippi and a flotilla of the Mississippi River Squadron [US]; Fort Hindman garrison [CS],,Union victory,Union,3097.18,976.5,2118.26
AR007,Chalk Bluff,AR,Marmaduke’s Second Expedition into Missouri,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,"Second Division, Army of the Frontier [US]; Marmaduke’s Cavalry Division [CS]",,Confederate tactical victory,Confederate,770.64,64.6,217.07
AR008,Helena,AR,Grant’s Operations Against Vicksburg,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,"District of Eastern Arkansas, Timberclad gunboat USS Tyler [US]; District of Arkansas [CS]",,Union victory,Union,7600.04,2298.65,3361.83
AR009,Devil’s Backbone,AR,Operations to Control Indian Territory,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers [US]; Cabell's Brigade [CS]",,Union victory,Union,2538.32,1101.02,1776.97
AR010,Bayou Fourche,AR,Advance on Little Rock,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,"Cavalry Division, Army of Arkansas [US]; District of Arkansas [CS]",,Union victory,Union,9666.26,1700.51,1895.61
AR011,Pine Bluff,AR,Advance on Little Rock,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,"5th Kansas Cavalry, 1st Indiana Cavalry, one company of Missouri State Militia, and 300 freedmen volunteers [US]; Marmaduke’s Cavalry Division [CS]",,Union victory,Union,7633.37,108.42,0
AR012,Elkin’s Ferry,AR,Camden Expedition,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,"Third Division, VII Corps, Department of Arkansas [US]; Marmaduke’s Cavalry Division [CS]",,Union victory,Union,9221.77,2120.9,9209.94
AR013,Prairie D’Ane,AR,Camden Expedition,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,"Third Division, VII Corps, Department of Arkansas [US]; District of Arkansas [CS]",,Union victory,Union,17318.69,7671.57,14201.03
AR014,Poison Spring,AR,Camden Expedition,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,"1st Kansas Volunteer Infantry (Colored) and the 18th Iowa Infantry; 6th Kansas, 2nd Kansas, and 14th Kansas Cavalry regiments; and two guns of the 2nd Indiana Battery [US]; Marmaduke's Cavalry Division and Maxey's Cavalry Division [CS]",,Confederate victory,Confederate,11628.13,3337.86,11374.27
AR015,Marks’ Mills,AR,Camden Expedition,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,"43rd Indiana, 36th Iowa, and 77th Ohio Infantry; 1st Indiana, 7th Missouri, and 1st Iowa Cavalry; two sections of the 2nd Missouri Light Artillery [US]; Shelby’s Division and Cabell’s Division [CS]",,Confederate victory,Confederate,16534.56,4620.16,11395.14
AR016,Jenkin’s Ferry,AR,Camden Expedition,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,"Third Division and elements of Thayer’s Frontier Division, Army of Arkansas [US]; Walker's Division, the Arkansas Division, the Missouri Division, and Marmaduke's Cavalry Division, Department of Arkansas [CS]",,Union victory in retreat,Union,7796.37,3078.09,4510.69
AR017,Old River Lake,AR,Expedition to Lake Village,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,"1st and 3rd Brigades, 1st Division, XVI Corps [US]; Greene's Brigade [CS]",,Union victory,Union,7763.14,2570.04,3839.77
AR018,Bayou Meto (Reed’s Bridge),AR,Advance on Little Rock,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,"1st Cavalry Division, Department of the Missouri, Arkansas Expedition [US]; Marmaduke’s Cavalry Division and Dobbins’ Arkansas Regiment [CS]",,Confederate victory,Confederate,3220.59,833.58,715.17
CO001,Sand Creek Massacre,CO,Sand Creek Campaign (1864),http://www.nps.gov/abpp/CWSII/CWSACReportFarWestUpdate.pdf,Chivington’s Brigade (approximately 700 men) [US]; 500 Cheyenne and a few Arapaho (mostly women and children) [I],,Union victory (massacre),Union,34387.61,2271.97,27027.45
DC001,Fort Stevens,DC,Early’s Raid and Operations against the B&O Railroad (1864),http://www.nps.gov/abpp/CWSII/CWSACReportWashingtonDCUpdate.pdf,"The District of Columbia Legion, 400 [US]; Morgan’s Cavalry Division, 1,800 [CS]",,Union victory,Union,9103.32,2765.73,1166.01
FL001,Santa Rosa Island,FL,Operations of the Gulf Blockading Squadron (1861),http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,Fort Pickens Garrison [US]; Santa Rosa Island Expedition [CS],,Union victory,Union,2826.01,330.05,2612.79
FL002,Tampa,FL,Operations against Tampa (1862),http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,One Federal gunboat [US]; Osceola Rangers [CS],,Confederate victory,Confederate,2288.79,1199.82,0
FL003,Saint John’s Bluff,FL,Expedition to Saint John’s Bluff (1862),http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,"Saint John's River Expedition, Saint John's River Flotilla, South Atlantic Blockading Squadron [US]; Saint John's Bluff Garrison [CS]",,Union victory,Union,7163.85,1069.43,4245.34
FL004,Fort Brooke,FL,Expedition to Hillsborough River (1863),http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,"USS Tahoma and the USS Adela; Navy landing party [US]; Company A, 2nd Florida Infantry Battalion, Florida Volunteers [CS]",,Union victory,Union,5478.9,1478.65,0
FL005,Olustee,FL,Florida Expedition (1864),http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,District of Florida [US]; District of East Florida [CS],,Confederate victory,Confederate,5919.08,1108.49,5528.58
FL006,Natural Bridge,FL,"Operations near Saint Marks, Florida (1865)",http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,"2nd and 99th United States Colored Troops, battalion of the 2nd Florida U.S. Cavalry, two U.S. Navy boat howitzers [US]; Kilcrease’s Artillery, Dunham’s Battery, Abell's Battery, 5th Florida Cavalry, 1st Florida Militia, Barwick’s Company Reserves, Hodges’ Company Reserves, Company A Milton Light Artillery, Companies A, B, and F - Florida Reserves [CS]",,Confederate victory,Confederate,2301.8,344.42,2301.8
GA001,Fort Pulaski,GA,Operations against Fort Pulaski (1862),http://www.nps.gov/abpp/CWSII/Ezra Church to Griswoldville.pdf,Port Royal Expeditionary Force [US]; Fort Pulaski garrison [CS],,Union victory,Union,8529.53,3657.49,7862
GA002,Fort McAllister I,GA,Naval Attacks on Fort McAllister (1863),http://www.nps.gov/abpp/CWSII/Ezra Church to Griswoldville.pdf,Flotilla from the South Atlantic Blockading Squadron [US]; Fort McAllister garrison [CS],,Confederate victory,Confederate,2494.48,563.51,2463.59
GA003,Davis’ Cross Roads,GA,Chickamauga Campaign (1863),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland [US]; Hindman's Division, Army of Tennessee [CS]",,Union strategic victory,Union,23267.17,6063.47,21406.65
GA004,Chickamauga,GA,Chickamauga Campaign (1863),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,Army of the Cumberland [US]; Army of Tennessee [CS],,Confederate victory,Confederate,29978.67,9796.38,9881.28
GA005,Ringgold Gap,GA,Chattanooga-Ringgold Campaign (1863),http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,"XX Army Corps, Army of the Cumberland [US]; Cleburne's Division, Hardee's Corps, Army of Tennessee [CS]",,Confederate victory,Confederate,3143.04,580.64,148.69
GA006,Dalton I,GA,Demonstration on Dalton (1864),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,Army of the Cumberland [US]; Army of Tennessee [CS],,Confederate victory,Confederate,7011.4,669.48,1866.79
GA007,Rocky Face Ridge,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,Military Division of the Mississippi [US]; Army of Tennessee [CS],,Union victory,Union,16250.89,2482.24,3598.68
GA008,Resaca,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,Military Division of the Mississippi [US]; Army of Tennessee [CS],,Inconclusive,Inconclusive,7596.32,3574.48,4617.9
GA009,Adairsville,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,"2nd and 3rd Divisions, IV Corps, Army of the Cumberland [US]; Cheatham’s Division, Hardee’s Corps, Army of Tennessee [CS]",,Successful Confederate delaying action,Confederate,6975.76,715.88,2950.39
GA010,New Hope Church,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Jonesborough to New Hope Church.pdf,"XX Corps, Army of the Cumberland [US]; Army of Tennessee [CS]",,Confederate victory,Confederate,2753.88,490.26,0
GA011,Dallas,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,"XV Corps, Military Division of the Mississippi [US]; Hardee's Corps, Army of Tennessee [CS]",,Union victory,Union,2965.42,852.47,0
GA012,Pickett’s Mill,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,"IV Corps, Military Division of the Mississippi [US]; Cleburne's Division and Kelly's Cavalry Division, Army of Tennessee [CS]",,Confederate victory,Confederate,1773.4,295.34,851.2
GA013,Marietta,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Jonesborough to New Hope Church.pdf,Military Division of the Mississippi [US]; Army of Tennessee [CS],,Union victory,Union,60906.6,7935.61,0
GA014,Kolb’s Farm,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Jonesborough to New Hope Church.pdf,"XX and XXIII Army Corps, Military Division of the Mississippi [US]; Hood's Corps, Army of Tennessee [CS]",,Union victory,Union,3745.22,1894.7,836.87
GA015,Kennesaw Mountain,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Jonesborough to New Hope Church.pdf,Military Division of the Mississippi [US]; Army of Tennessee [CS],,Confederate victory,Confederate,15940.66,5498.21,3039.31
GA016,Peachtree Creek,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,"IV and XIV Corps, Army of the Cumberland [US]; Army of Tennessee [CS]",,Union victory,Union,6097.03,2092.04,0
GA017,Atlanta,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,"Army of the Tennessee, Military Division of the Mississippi [US]; Army of Tennessee [CS]",,Union victory,Union,6986.79,3043.83,0
GA018,Ezra Church,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Ezra Church to Griswoldville.pdf,"Army of the Tennessee [US]; Lee and Stewart's Corps, Army of Tennessee [CS]",,Union victory,Union,2719.21,1053.07,0
GA019,Utoy Creek,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,"XXIII and XIV Corps, Military Division of the Mississippi [US]; Bate's Division, Lee's Corps, Army of Tennessee [CS]",,Inconclusive,Inconclusive,2826.68,930.38,0
GA020,Dalton II,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,District of Etowah [US]; Wheeler's Cavalry Corps [CS],,Union victory,Union,6002.08,523.24,0
GA021,Lovejoy’s Station,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Jonesborough to New Hope Church.pdf,"2nd and 3rd Cavalry Divisions, Army of the Cumberland [US]; Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee [CS]",,Confederate victory,Confederate,3880.28,1135.86,1179.98
GA022,Jonesborough,GA,Atlanta Campaign (1864),http://www.nps.gov/abpp/CWSII/Jonesborough to New Hope Church.pdf,"Military Division of the Mississippi [US]; Hardee and Lee's Corps, Army of Tennessee [CS]",,Union victory,Union,4656.82,2343.84,0
GA023,Allatoona,GA,Franklin-Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,"Detachments of the 3rd and 4th Divisions, XV Corps, Army of the Tennessee [US]; French's Division, Stewart's Corps, Army of Tennessee [CS]",,Union victory,Union,1067.73,416.36,294.59
GA025,Griswoldville,GA,Savannah Campaign (1864),http://www.nps.gov/abpp/CWSII/Ezra Church to Griswoldville.pdf,"2nd Brigade, 1st Division, XV Army Corps [US]; Wheeler's Cavalry Corps, Department of South Carolina Georgia and Florida; and the 1st Division Georgia Militia [CS]",,Union victory,Union,7880.25,1627.79,5700.33
GA026,Buck Head Creek,GA,Savannah Campaign (1864),http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,"3rd Cavalry Division, Military Division of Mississippi [US]; Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida [CS]",,Inconclusive,Inconclusive,3137.32,298.86,3137.32
GA027,Waynesborough,GA,Savannah Campaign (1864),http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,"3rd Cavalry Division, Military Division of Mississippi [US]; Wheeler's Cavalry Corps, Army of Tennessee [CS]",,Union victory,Union,10572.55,1293.37,4907.14
GA028,Fort McAllister II,GA,Savannah Campaign (1864),http://www.nps.gov/abpp/CWSII/Ezra Church to Griswoldville.pdf,"2nd Division, XV Army Corps [US]; Fort McAllister garrison [CS]",,Union victory,Union,4198.44,1552.41,2514.54
ID001,Bear River Massacre,ID,"Expedition from Camp Douglas, Utah Territory, to Cache Valley, Idaho Territory (1863)",http://www.nps.gov/abpp/CWSII/CWSACReportFarWestUpdate.pdf,District of Utah [US]; Shoshone Indians [I],,Union Victory (massacre),Union,2000.0,448.48,2000
IN001,Corydon,IN,"Morgan’s Raid in Kentucky, Indiana, and Ohio (July 1863)",http://www.nps.gov/abpp/CWSII/CWSACReportIndianaUpdatewithCover.pdf,"Indiana Legion, 400 [US]; Morgan’s Cavalry Division, 1,800 [CS]",,Confederate victory,Confederate,3806.29,280.31,2456.81
KS001,Lawrence,KS,Quantrill’s Raid into Kansas (1863),http://www.nps.gov/abpp/CWSII/CWSACReportKansasUpdate.pdf,"None, civilian forces only [US]; Quantrill’s Raiders [CS]",,Confederate victory,Confederate,914.77,386.94,0
KS002,Baxter Springs,KS,Occupation of Indian Territory North of the Arkansas River (1863),http://www.nps.gov/abpp/CWSII/CWSACReportKansasUpdate.pdf,"Fort Baxter garrision: one company of the 2nd Kansas United States Colored Troops, portions of C Company and D Company,3rd Wisconsin Cavalry; Blunt's Escort: Company I, 3rd Wisconsin Cavalry, Company A, 14th Kansas Cavalry [US]; Quantrill’s Raiders [CS]",,Confederate Victory,Confederate,736.21,333.22,0
KS003,Mine Creek,KS,Price’s Missouri Expedition (1864),http://www.nps.gov/abpp/CWSII/CWSACReportKansasUpdate.pdf,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln) [US]; Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River) [CS]",,Union victory,Union,12189.44,1233.92,9219.06
KS004,Marais des Cygnes,KS,Price’s Missouri Expedition (1864),http://www.nps.gov/abpp/CWSII/CWSACReportKansasUpdate.pdf,"2nd Provisional Cavalry Division, Army of the Border [US]; Fagan’s and Marmaduke’s Divisions, Army of Missouri [CS]",,Union victory,Union,4930.85,1589.31,4573.82
KY001,Barbourville,KY,Operations in Eastern Kentucky (1861),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,Home Guard (approximately 300 men) [US]; approximately 800 men commanded by Col. Joel A. Battle [CS],,Confederate victory,Confederate,940.11,101.42,0
KY002,Camp Wildcat,KY,Operations in Eastern Kentucky (1861),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,Camp Wildcat Garrison and Schoepf’s Brigade [US]; Zollicoffer’s Brigade [CS],,Union victory,Union,2245.51,710.34,1804.92
KY003,Ivy Mountain,KY,Operations in Eastern Kentucky (1861),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,"Detachments from 12 Ohio and Kentucky units [US]; 9 infantry companies, 2 cavalry companies [CS]",,Union victory,Union,8182.2,258.6,0
KY004,Rowlett’s Station,KY,Operations in Eastern Kentucky (1861),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,"32nd Indiana Volunteer Infantry Regiment [US]; Terry’s Texas Rangers, 7th Texas Cavalry, 1st Arkansas Battalion [CS]",,Inconclusive,Inconclusive,2267.74,656.82,969.43
KY005,Middle Creek,KY,Offensive in Eastern Kentucky (1862),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,"18th Brigade, Army of the Ohio [US]; Army of Southwestern Virginia [CS]",,Union victory,Union,1462.19,248.8,288.09
KY006,Mill Springs,KY,Offensive in Eastern Kentucky (1862),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,"Brig. Gen. Albin Schoepf’s Brigade, 1st Division, Army of the Ohio [US]; 1st and 2nd Brigades, Crittenden’s Division [CS]",,Union victory,Union,4434.58,1193.7,1749.35
KY007,Richmond,KY,Confederate Heartland Offensive (1862),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,"1st and 2nd Brigades, Army of Kentucky [US]; Army of Kentucky [CS]",,Confederate victory,Confederate,9706.73,3178.78,1209.87
KY008,Munfordville,KY,Confederate Heartland Offensive (1862),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,Union garrison [US]; Army of the Mississippi [CS],,Confederate victory,Confederate,8652.18,769.78,1128.72
KY009,Perryville,KY,Confederate Heartland Offensive (1862),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,Army of the Ohio [US]; Army of the Mississippi [CS],,Union strategic victory,Union,16664.86,2218.75,9765.92
KY010,Paducah,KY,Forrest’s Expedition into West Tennessee and Kentucky (1864),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,"Union garrison (8th Colored Heavy Artillery, 16th Kentucky Cavalry, and Companies C, H, and K, 122nd Illinois Infantry) and Gunboats: USS Peosta – Tinclad Side Wheel Steamer, USS Paw Paw (Gunboat #31) – Tinclad Center Wheel Steamer [US]; 3rd, 7th, 8th, and 12th Regiments, Kentucky Cavalry [CS]",,Confederate victory,Confederate,3038.55,162.9,0
KY011,Cynthiana,KY,Morgan’s Raid into Kentucky (1864),http://www.nps.gov/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, Kentucky Harrison County Home Guards [US]; Morgan’s Division [CS]",,Union victory,Union,9394.7,1061.33,830.04
LA001,Forts Jackson and St. Philip,LA,Expedition to and Capture of New Orleans (1862),http://www.nps.gov/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,West Gulf Blockading Squadron [US]; Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet [CS],,Union victory,Union,14619.32,5005.22,13693.59
LA002,New Orleans,LA,Expedition to and capture of New Orleans (1862),http://www.nps.gov/abpp/CWSII/Mansfield to New Orleans.pdf,West Gulf Blockading Squadron and the Department of the Gulf [US]; New Orleans garrison [CS],,Union victory,Union,24610.77,534.16,0
LA003,Baton Rouge,LA,Confederate Offensive Against Baton Rouge (1862),http://www.nps.gov/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,Baton Rouge Garrison; Division of Flotilla in Western Waters [US]; Breckinridge’s Division; ram CSS Arkansas [CS],,Union victory,Union,15564.21,5187.8,0
LA004,Donaldsonville I,LA,Confederate Offensive Against Baton Rouge (1862),http://www.nps.gov/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,West Gulf Blockading Squadron [US]; Partisan rangers [CS],,Union victory,Union,3610.11,456.54,3272.14
LA005,Georgia Landing,LA,Operations in LaFourche District (1862),http://www.nps.gov/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,"Department of the Gulf, Reserve Brigade [US]; 18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment [CS]",,Union victory,Union,3140.48,582.14,469.32
LA006,Fort Bisland,LA,Operations in West Louisiana (1863),http://www.nps.gov/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,"XIX Army Corps, Department of the Gulf and the USS Clifton [US]; Army of Western Louisiana [CS]",,Union victory,Union,9895.8,2648.92,2487.84
LA007,Irish Bend,LA,Operations in West Louisiana (1863),http://www.nps.gov/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,"4th Division, XIX Corps, Department of the Gulf, and Naval Forces in Berwick Bay [US]; Army of Western Louisiana [CS]",,Union victory,Union,7772.88,2787.41,4990.88
LA008,Vermillion Bayou,LA,Operations in West Louisiana (1863),http://www.nps.gov/abpp/CWSII/Plains Store to Yellow Bayou.pdf,"XIX Corps, Department of the Gulf [US]; Army of Western Louisiana [CS]",,Union victory,Union,2480.76,289.34,0
LA009,Plains Store,LA,Seige of Port Hudson (1863),http://www.nps.gov/abpp/CWSII/Plains Store to Yellow Bayou.pdf,"1st Division, XIX Corps, Department of the Gulf [US]; Elements of the Port Hudson Garrison [CS]",,Union victory,Union,3718.62,1158.52,1307.6
LA010,Port Hudson,LA,Seige of Port Hudson (1863),http://www.nps.gov/abpp/CWSII/Plains Store to Yellow Bayou.pdf,"XIX Corps, Department of the Gulf and the Flotilla of the West Gulf Blockading Squadron [US]; Port Hudson garrison [CS]",,Union victory,Union,11949.48,4275.56,6315.21
LA011,Milliken’s Bend,LA,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/abpp/CWSII/Mansfield to New Orleans.pdf,"The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington [US]; Walker's Texas Division [CS]",,Union victory,Union,17395.21,1538.96,2037.71
LA012,LaFourche Crossing,LA,Taylor’s Operations in Louisiana West of Mississippi (1863),http://www.nps.gov/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,"Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery [US]; 2nd Cavalry Brigade, District of Western Louisiana [CS]",,Union victory,Union,3572.68,412.87,864.64
LA013,Donaldsonville II,LA,Taylor’s Operations in Louisiana West of Mississippi (1863),http://www.nps.gov/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,"Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo [US]; Detachments of Green's and Moutons's Texas Brigades [CS]",,Union victory,Union,4980.91,1338.27,0
