battle_id,battle_name,state,county,start_date,end_date,casualties_min,casualties_max,casualties_text,cwsac_id
KS001,Lawrence,KS,Douglas County,1863-08-21,1863-08-21,,,"150 US, unknown CS",KS001
KS002,Baxter Springs,KS,Cherokee County,1863-10-06,1863-10-06,,,"103 US, 3 CS",KS002
KS003,Mine Creek,KS,Linn County,1864-10-25,1864-10-25,,,"110 US, 1,200 CS",KS003
KS004,Marais des Cygnes,KS,Linn County,1864-10-25,1864-10-25,,,unknown,KS004
KY001,Barbourville,KY,Knox County,1861-09-19,1861-09-19,,,"15 US, 5 CS",KY001
KY002,Camp Wildcat,KY,Laurel County,1861-10-21,1861-10-21,,,"43 US, 53 CS",KY002
KY003,Ivy Mountain,KY,Floyd County,1861-11-08,1861-11-09,,,"30 US, 263 CS",KY003
KY004,Rowlett's Station,KY,Hart County,1861-12-17,1861-12-17,,,"40 US, 91 CS",KY004
KY005,Middle Creek,KY,Floyd County,1862-01-10,1862-01-10,,,"27 US, 65 CS",KY005
KY006,Mill Springs,KY,Pulaski and Wayne Counties,1862-01-19,1862-01-19,,,"262 US, 529 CS",KY006
KY007,Richmond,KY,Madison County,1862-08-29,1862-08-30,,,"5,623 US, 600 CS",KY007
KY008,Munfordville (Battle for the Bridge),KY,Hart County,1862-09-14,1862-09-17,,,"4,148 US, 285 CS",KY008
KY009,Perryville,KY,Boyle County,1862-10-08,1862-10-08,,,"4,211 US, 3,396 CS",KY009
KY010,Paducah,KY,McCracken County,1864-03-25,1864-03-25,,,"90 US, 50 CS",KY010
KY011,Cynthiana,KY,Harrison County,1864-06-11,1864-06-12,,,"1,092 US, 1,000 CS",KY011
LA001,Fort Jackson and Fort St. Philip,LA,Plaquemines Parish,1862-04-16,1862-04-28,,,"229 US, 782 CS",LA001
LA002,New Orleans,LA,St. Bernard and Orleans Parishes,1862-04-25,1862-05-01,0,0,none,LA002
LA003,Baton Rouge,LA,East Baton Rouge Parish,1862-08-05,1862-08-05,,,"371 US, 478 CS",LA003
LA004,Donaldsonville I,LA,Ascension Parish,1862-08-09,1862-08-09,,,unknown,LA004
LA005,Georgia Landing,LA,Lafourche Parish,1862-10-27,1862-10-27,,,"86 US, 229 CS",LA005
LA006,Fort Bisland,LA,St. Mary Parish,1863-04-12,1863-04-13,,,"224 US, 450 CS",LA006
LA007,Irish Bend,LA,St. Mary Parish,1863-04-14,1863-04-14,,,"353 US, unknown CS",LA007
LA008,Vermillion Bayou,LA,Lafayette Parish,1863-04-17,1863-04-17,,,unknown,LA008
LA009,Plains Store,LA,East Baton Rouge Parish,1863-05-21,1863-05-21,,,"150 US, 100 CS",LA009
LA010,Siege of Port Hudson,LA,East Baton Rouge and East Feliciana Parishes,1863-05-22,1863-07-09,,,"10,000 US, 7,500 CS",LA010
LA011,Milliken's Bend,LA,Madison Parish,1863-06-07,1863-06-07,,,"652 US, 185 CS",LA011
LA012,Lafourche Crossing,LA,Lafourche Parish,1863-06-20,1863-06-21,,,"49 US, 219 CS",LA012
LA013,Donaldsonville II,LA,Ascension Parish,1863-06-28,1863-06-28,,,"23 US, 301 CS",LA013
LA014,Goodrich's Landing,LA,East Carroll Parish,1863-06-29,1863-06-30,,,"150 US, 6 CS",LA014
LA015,Kock's Plantation,LA,Ascension Parish,1863-07-12,1863-07-13,,,"465 US, 33 CS",LA015
LA016,Stirling's Plantation,LA,Pointe Coupee Parish,1863-09-29,1863-09-29,,,"515 US, 121 CS",LA016
LA017,Fort DeRussy,LA,Avoyelles Parish,1864-03-14,1864-03-14,,,"48 US, 269 CS",LA017
LA018,Mansfield,LA,DeSoto Parish,1864-04-08,1864-04-08,,,"2,235 US, 1,000 CS",LA018
LA019,Pleasant Hill,LA,DeSoto and Sabine Parishes,1864-04-09,1864-04-09,,,"1,369 US, 1,626 CS",LA019
LA020,Blair's Landing,LA,Red River Parish,1864-04-12,1864-04-12,,,"60 US, 57 CS",LA020
LA021,Monett's Ferry,LA,Natchitoches Parish,1864-04-23,1864-04-23,,,"200 US, 400 CS",LA021
LA022,Mansura,LA,Avoyelles Parish,1864-05-16,1864-05-16,,,"unknown US, unknown CS",LA022
LA023,Yellow Bayou,LA,Avoyelles Parish,1864-05-18,1864-05-18,,,"360 US, 500 CS",LA023
MD001,Hancock,MD,"Washington County, Maryland, and Morgan County, West Virginia",1862-01-05,1862-01-06,25,25,25 total,MD001
MD002,South Mountain,MD,Washington and Frederick Counties,1862-09-14,1862-09-14,,,"2,325 US, 2,300 CS",MD002
MD003,Antietam,MD,Washington County,1862-09-17,1862-09-17,,,"12,400 US, 10,300 CS",MD003
MD004,Williamsport,MD,Washington County,1863-07-06,1863-07-06,,,"400 US, 254 CS",MD004
MD006,Boonsboro-Funkstown-Falling Waters,MD,Washington County,1863-07-08,1863-07-14,,,"158 US, 920 CS",MD006
MD007,Monocacy,MD,Frederick County,1864-07-09,1864-07-09,,,"1,294 US, 700-900 CS",MD007
MD008,Folck's Mill,MD,Allegany County,1864-08-01,1864-08-01,,,"30 US, 30 CS",MD008
MN001,Fort Ridgely,MN,Nicollet County,1862-08-20,1862-08-22,,,"26 US, unknown Dakotas",MN001
MN002,Wood Lake,MN,Yellow Medicine County,1862-09-23,1862-09-23,,,"41 US, 25 Dakotas",MN002
MO001,Boonville,MO,Cooper County,1861-06-17,1861-06-17,,,"12 US, 8-12 MSG",MO001
MO002,Carthage,MO,Jasper County,1861-07-05,1861-07-05,,,"44 US, 74 MSG",MO002
MO003,Liberty (Blue Mills Landing),MO,Clay County,1861-09-17,1861-09-17,,,"56 US, 70 MSG",MO003
MO004,Wilson's Creek,MO,Greene and Christian Counties,1861-08-10,1861-08-10,,,"1,317 US, 464 CS, 758 MSG",MO004
MO005,Dry Wood Creek,MO,Vernon County,1861-09-02,1861-09-02,,,"14 US, unknown MSG",MO005
MO006,Lexington I,MO,Lafayette County,1861-09-13,1861-09-20,,,"3,500 US, 100 MSG",MO006
MO007,Fredericktown,MO,Madison County,1861-10-21,1861-10-21,,,"unknown US, 62 MSG",MO007
MO008,Springfield I,MO,Greene County,1861-10-25,1861-10-25,,,"85 US, 133 MSG",MO008
MO009,Belmont,MO,Mississippi County,1861-11-07,1861-11-07,,,"607 US, 641 CS",MO009
MO010,Mount Zion Church,MO,Boone County,1861-12-28,1861-12-28,,,"72 US, 210 MSG",MO010
MO011,Roan's Tan Yard,MO,Randolph County,1862-01-08,1862-01-08,,,"11 US, 80 MSG",MO011
MO012,New Madrid/Island No. 10,MO,"New Madrid, Missouri, and Lake County, Tennessee",1862-02-28,1862-04-08,,,"51 US, 7,000 surrendered CS",MO012
MO013,Kirksville,MO,Adair County,1862-08-06,1862-08-09,,,"88 US, 368 CS",MO013
MO014,Independence I,MO,Jackson County,1862-08-11,1862-08-11,,,"344 US, unknown MSG",MO014
MO015,Lone Jack,MO,Jackson County,1862-08-15,1862-08-16,,,"272 US, unknown CS",MO015
MO016,Newtonia I,MO,Newton County,1862-09-30,1862-09-30,,,"245 US, 78 CS",MO016
MO017,Clark's Mill,MO,Douglas County,1862-11-07,1862-11-07,,,"119, including 113 prisoners, US, 34 CS",MO017
MO018,Springfield II,MO,Greene County,1863-01-08,1863-01-08,,,"163 US, 240 CS",MO018
MO019,Hartville,MO,Wright County,1863-01-09,1863-01-11,,,"78 US, 329 CS",MO019
MO020,Cape Girardeau,MO,Cape Girardeau,1863-04-26,1863-04-26,,,"12 US, 325 CS",MO020
MO021,Pilot Knob,MO,Iron County,1864-09-26,1864-09-28,,,"213 US, 800-1,000 CS",MO021
MO022,Glasgow,MO,Howard County,1864-10-15,1864-10-15,,,"400 US, 50 CS",MO022
MO023,Lexington II,MO,Lafayette County,1864-10-19,1864-10-19,,,unknown,MO023
MO024,Little Blue River,MO,Jackson County,1864-10-21,1864-10-21,,,unknown,MO024
MO025,Independence II,MO,Jackson County,1864-10-22,1864-10-22,,,"unknown US, 140 CS",MO025
MO026,Big Blue River (Byram's Ford),MO,Jackson County,1864-10-22,1864-10-23,,,unknown,MO026
MO027,Westport,MO,Jackson County,1864-10-23,1864-10-23,,,"1,500 US, 1,500 CS",MO027
MO028,Marmaton River,MO,Vernon County,1864-10-25,1864-10-25,,,unknown,MO028
MO029,Newtonia II,MO,Newton County,1864-10-28,1864-10-28,,,"26 US, 24 CS",MO029
MS001,Iuka,MS,Tishomingo County,1862-09-19,1862-09-19,,,"790 US, 594 CS",MS001
MS002,Corinth,MS,Alcorn County and Corinth,1862-10-03,1862-10-04,,,"2,350 US, 4,800 CS",MS002
MS003,Chickasaw Bayou,MS,Warren County,1862-12-26,1862-12-29,,,"1,176 US, 187 CS",MS003
MS004,Grand Gulf,MS,Claiborne County,1863-04-29,1863-04-29,,,"80 US, unknown CS",MS004
MS005,Snyder's Bluff,MS,Warren County,1863-04-29,1863-05-01,,,unknown,MS005
MS006,Port Gibson,MS,Claiborne County,1863-05-01,1863-05-01,,,"875 US, 787 CS",MS006
MS007,Raymond,MS,Hinds County,1863-05-12,1863-05-12,,,"442 US, 514 CS",MS007
MS008,Jackson,MS,Hinds County and Jackson,1863-05-14,1863-05-14,,,"286 US, 850 CS",MS008
MS009,Champion Hill,MS,Hinds County,1863-05-16,1863-05-16,,,"2,441 US, 3,840 CS",MS009
MS010,Big Black River Bridge,MS,Hinds and Warren Counties,1863-05-17,1863-05-17,,,"276 US, 1,751 CS",MS010
MS011,Battle and Siege of Vicksburg,MS,Warren County and Vicksburg,1863-05-18,1863-07-04,,,"4,835 US, 32,697 (29,495 surrendered) CS",MS011
MS012,Meridian,MS,Lauderdale County,1864-02-14,1864-02-20,,,"170 US, unknown CS",MS012
MS013,Okolona,MS,Chickasaw County,1864-02-22,1864-02-22,,,"388 US, 144 CS",MS013
MS014,Brices Cross Roads,MS,"Union, Prentiss, and Lee Counties",1864-06-10,1864-06-10,,,"2,612 US, 493 CS",MS014
MS015,Tupelo,MS,Lee County and Tupelo,1864-07-14,1864-07-15,,,"674 US, 1,326 CS",MS015
MS016,Siege of Corinth,MS,Alcorn County and Corinth,1862-04-29,1862-05-30,,,"1,000 US, 1,000 CS",MS016
NC001,Hatteras Inlet Forts,NC,Dare County,1861-08-28,1861-08-29,,,"3 US, 670 CS",NC001
NC002,Roanoke Island,NC,Dare County,1862-02-07,1862-02-08,,,"264 US, 2,643 CS",NC002
NC003,New Bern,NC,Craven County,1862-03-14,1862-03-14,,,"476 US, 609 CS",NC003
NC004,Fort Macon,NC,Carteret County,1862-03-23,1862-04-26,,,"3 US, 439 CS",NC004
NC005,South Mills,NC,Camden County,1862-04-19,1862-04-19,,,"114 US, 25 CS",NC005
NC006,Tranter's Creek,NC,Pitt County,1862-06-05,1862-06-05,40,40,40 total,NC006
NC007,Kinston,NC,Lenoir County,1862-12-14,1862-12-14,,,"160 US, 525 CS",NC007
NC008,White Hall,NC,Wayne County,1862-12-16,1862-12-16,150,150,150 total,NC008
NC009,Goldsboro Bridge,NC,Wayne County,1862-12-17,1862-12-17,220,220,220 total,NC009
NC010,Fort Anderson,NC,Craven County,1863-03-13,1863-03-15,7,7,7 total,NC010
NC011,Washington,NC,Beaufort County,1863-03-30,1863-04-20,100,100,100 total,NC011
NC012,Plymouth,NC,Washington County,1864-04-17,1864-04-20,,,"2,900 (including 2,834 prisoners) US, 300 CS",NC012
NC013,Albemarle Sound,NC,Chowan and Washington Counties,1864-05-05,1864-05-05,88,88,88 total,NC013
NC014,Fort Fisher I,NC,New Hanover County,1864-12-07,1864-12-27,320,320,320 total,NC014
NC015,Fort Fisher II,NC,New Hanover County,1865-01-13,1865-01-15,,,"1,059 US, 400-500 (plus 2,083 prisoners) CS",NC015
NC016,Wilmington,NC,New Hanover County,1865-02-12,1865-02-22,1150,1150,"1,150 total",NC016
NC017,Wyse Fork,NC,Lenoir County,1865-03-07,1865-03-10,,,"1,300 US, 1,500 CS",NC017
NC018,Monroe's Cross Roads,NC,Hoke County,1865-03-10,1865-03-10,,,"183 US, 86 CS",NC018
NC019,Averasboro,NC,Harnett and Cumberland Counties,1865-03-16,1865-03-16,,,"682 US, 865 CS",NC019
NC020,Bentonville,NC,Johnston County,1865-03-19,1865-03-21,,,"1,527 US, 2,606 CS",NC020
ND001,Big Mound,ND,Kidder County,1863-07-24,1863-07-24,,,"7 US, 80 Dakotas",ND001
ND002,Dead Buffalo Lake,ND,Kidder County,1863-07-26,1863-07-26,,,"1 US, 9 Dakotas and Lakotas",ND002
ND003,Stony Lake,ND,Burleigh County,1863-07-28,1863-07-28,,,"0 US, unknown Dakotas and Lakotas",ND003
ND004,Whitestone Hill,ND,Dickey County,1863-09-03,1863-09-04,,,"70 US, 550 Dakotas",ND004
ND005,Killdeer Mountain,ND,Dunn County,1864-07-28,1864-07-29,,,"15 US, 31 Dakotas and Lakotas",ND005
NM001,Valverde,NM,Socorro County,1862-02-20,1862-02-21,,,"263 US, 187 CS",NM001
NM002,Glorieta Pass,NM,Santa Fe and San Miguel Counties,1862-03-26,1862-03-28,,,"132 US, 227 CS",NM002
OH001,Buffington Island,OH,Meigs County,1863-07-19,1863-07-19,,,"25 US, 900 CS",OH001
OH002,Salineville,OH,Columbiana County,1863-07-26,1863-07-26,,,"0 US, 364 CS",OH002
OK001,Round Mountain,OK,county unknown,1861-11-19,1861-11-19,,,"unknown Unionist Indians, 10 CS",OK001
OK002,Chusto-Talasah,OK,Tulsa County,1861-12-09,1861-12-09,,,"412 Unionist Indians, 52 CS",OK002
OK003,Chustenahlah,OK,Osage County,1861-12-26,1861-12-26,,,"211 Unionist Indians, 40 CS",OK003
OK005,Middle Boggy,OK,Atoka County,1864-02-13,1864-02-13,,,"0 US, 47 CS",OK005
OK006,Cabin Creek,OK,Mayes County,1863-07-01,1863-07-02,,,"21 US, 59 CS",OK006
OK007,Honey Springs,OK,Muskogee and McIntosh Counties,1863-07-17,1863-07-17,,,"77 US, 134 CS",OK007
PA001,Hanover,PA,York County,1863-06-30,1863-06-30,,,"154 US, 74 CS",PA001
PA002,Gettysburg,PA,Adams County,1863-07-01,1863-07-03,,,"23,000 US, 28,000 CS",PA002
SC001,Fort Sumter I,SC,Charleston County,1861-04-12,1861-04-14,,,"11 US, 4 CS",SC001
SC002,Secessionville,SC,Charleston County,1862-06-16,1862-06-16,,,"683 US, 204 CS",SC002
SC003,Simmons' Bluff,SC,Charleston County,1862-06-21,1862-06-21,,,none,SC003
SC004,Charleston Harbor I,SC,Charleston County,1863-04-07,1863-04-07,,,"22 US, 14 CS",SC004
SC005,"Fort Wagner I, Morris Island",SC,Charleston County,1863-07-10,1863-07-11,,,"339 US, 12 CS",SC005
SC006,Grimball's Landing,SC,"Charleston County, James Island",1863-07-16,1863-07-16,,,"46 US, 18 CS",SC006
SC007,"Fort Wagner II, Morris Island",SC,Charleston County,1863-07-18,1863-07-18,,,"1,515 US, 222 CS",SC007
SC008,Fort Sumter II,SC,Charleston County,1863-08-17,1863-09-09,,,unknown,SC008
SC009,Charleston Harbor II,SC,Charleston County,1863-09-05,1863-09-07,,,"117 US, 100 CS",SC009
SC010,Honey Hill,SC,Jasper County,1864-11-30,1864-11-30,,,"746 US, 50 CS",SC010
SC011,Rivers Bridge,SC,Bamberg County,1865-02-02,1865-02-03,,,"92 US, 170 CS",SC011
TN001,Fort Henry,TN,Stewart County,1862-02-06,1862-02-06,,,"47 US, 99 CS",TN001
TN002,Fort Donelson,TN,Stewart County,1862-02-12,1862-02-16,,,"2,832 US, 17,000 CS",TN002
TN003,Shiloh,TN,Hardin County,1862-04-06,1862-04-07,,,"13,047 US, 10,699 CS",TN003
TN004,Memphis I,TN,Memphis,1862-06-06,1862-06-06,,,"1 US, 180 CS",TN004
TN005,Chattanooga I,TN,Hamilton County and Chattanooga,1862-06-07,1862-06-08,,,"unknown US, 3 CS",TN005
TN006,Murfreesboro I,TN,Rutherford County,1862-07-13,1862-07-13,,,"1,200 US, 150 CS",TN006
TN007,Davis Bridge (Hatchie Bridge),TN,Hardeman and McNairy Counties,1862-10-06,1862-10-06,,,"500 US, 400 CS",TN007
TN008,Hartsville,TN,Trousdale County,1862-12-07,1862-12-07,,,"2,096 US, 139 CS",TN008
TN009,Jackson,TN,Madison County,1862-12-19,1862-12-19,,,"6 US, unknown CS",TN009
TN010,Stones River,TN,Rutherford County,1862-12-31,1863-01-02,,,"13,000 US, 10,000 CS",TN010
TN011,Parker's Cross Roads,TN,Henderson County,1862-12-31,1862-12-31,,,"237 US, 500 CS",TN011
TN012,Dover,TN,Stewart County,1863-02-03,1863-02-03,,,"110 US, 855 CS",TN012
TN013,Thompson's Station,TN,Williamson County,1863-03-04,1863-03-05,,,"1,600 US, 357 CS",TN013
TN014,Vaught's Hill,TN,Rutherford County,1863-03-20,1863-03-20,,,"38 US, 150 CS",TN014
TN015,Brentwood,TN,Williamson County,1863-03-25,1863-03-25,,,"529 US, 3 CS",TN015
TN016,Franklin I,TN,Williamson County and Franklin,1863-04-10,1863-04-10,,,"100 US, 137 CS",TN016
TN017,Hoover's Gap,TN,Bedford and Rutherford Counties,1863-06-24,1863-06-26,,,"583 US, unknown CS",TN017
TN018,Chattanooga II,TN,Hamilton County and Chattanooga,1863-08-21,1863-08-21,,,unknown,TN018
TN019,Blountville,TN,Sullivan County,1863-09-22,1863-09-22,,,"27 US, 165 CS",TN019
TN020,Blue Springs,TN,Greene County,1863-10-10,1863-10-10,,,"100 US, 216 CS",TN020
TN021,Wauhatchie,TN,"Hamilton, Marion, and Dade Counties",1863-10-28,1863-10-29,,,"216 US, 356 CS",TN021
TN022,Collierville,TN,Shelby County,1863-11-03,1863-11-03,,,"60 US, 95 CS",TN022
TN023,Campbell's Station,TN,Knox County,1863-11-16,1863-11-16,,,"400 US, 570 CS",TN023
TN024,Chattanooga III,TN,Hamilton County and Chattanooga,1863-11-23,1863-11-25,,,"5,815 US, 6,667 CS",TN024
TN025,Fort Sanders,TN,Knox County,1863-11-29,1863-11-29,,,"15 US, 800 CS",TN025
TN026,Bean's Station,TN,Grainger County,1863-12-14,1863-12-14,,,"115 US, 222 CS",TN026
TN027,Mossy Creek,TN,Jefferson County,1863-12-29,1863-12-29,,,"151 US, unknown CS",TN027
TN028,Dandridge,TN,Jefferson County,1864-01-17,1864-01-17,,,"150 US, unknown CS",TN028
TN029,Fair Garden,TN,Sevier County,1864-01-27,1864-01-28,,,"100 US, 165 CS",TN029
TN030,Fort Pillow,TN,Lauderdale County,1864-04-12,1864-04-12,,,"549 US, 100 CS",TN030
TN031,Memphis II,TN,Memphis,1864-08-21,1864-08-21,,,"80 (plus 400 prisoners) US, 62 CS",TN031
TN032,Johnsonville,TN,Benton County,1864-11-03,1864-11-04,,,unknown,TN032
TN033,Bull's Gap,TN,Hamblen and Greene Counties,1864-11-11,1864-11-14,,,"24 (plus 300 prisoners) US, 100 CS",TN033
TN034,Columbia,TN,Maury County,1864-11-24,1864-11-29,,,unknown,TN034
TN035,Spring Hill,TN,Maury County and Spring Hill,1864-11-29,1864-11-29,,,"350 US, 500 CS",TN035
TN036,Franklin II,TN,Williamson County and Franklin,1864-11-30,1864-11-30,,,"2,633 US, 7,300 CS",TN036
TN037,Murfreesboro II,TN,Rutherford County,1864-12-05,1864-12-07,,,"208 US, 214 CS",TN037
TN038,Nashville,TN,Davidson County,1864-12-15,1864-12-16,,,"3,061 US, 6,500 CS",TN038
TX001,Sabine Pass I,TX,Jefferson County,1862-09-24,1862-09-25,,,unknown,TX001
TX002,Galveston I,TX,Galveston County,1862-10-04,1862-10-04,,,unknown,TX002
TX003,Galveston II,TX,Galveston County,1863-01-01,1863-01-01,,,"600 US, 50 CS",TX003
TX005,Palmito Ranch ,TX,Cameron County,1865-05-12,1865-05-13,,,"30 US, 118 CS",TX005
TX006,Sabine Pass II,TX,Jefferson County,1863-09-08,1863-09-08,,,"350 US, 0 CS",TX006
VA001,Sewell's Point,VA,Norfolk,1861-05-18,1861-05-19,10,10,10 total,VA001
VA002,Aquia Creek,VA,Stafford County,1861-05-29,1861-06-01,0,0,0 total,VA002
VA003,Big Bethel,VA,York County and Hampton,1861-06-10,1861-06-10,,,"76 US, 8 CS",VA003
VA004,Blackburn's Ford,VA,Prince William and Fairfax Counties,1861-07-18,1861-07-18,,,"83 US, 68 CS",VA004
VA005,First Manassas,VA,Prince William County,1861-07-21,1861-07-21,,,"2,896 US, 1,982 CS",VA005
VA006,Ball's Bluff,VA,Loudoun County,1861-10-21,1861-10-21,,,"921 US, 149 CS",VA006
VA007,Dranesville,VA,Fairfax County,1861-12-20,1861-12-20,,,"71 US, 230 CS",VA007
VA008,Hampton Roads,VA,Hampton Roads,1862-03-08,1862-03-09,,,"409 US, 24 CS",VA008
VA009,Siege of Yorktown,VA,York County and Newport News,1862-04-15,1862-05-04,,,"182 US, 300 CS",VA009
VA010,Williamsburg,VA,York County and Williamsburg,1862-05-05,1862-05-05,,,"2,283 US, 1,560 CS",VA010
