cwsac_id,battle_name,start_date,end_date,theater_code,campaign_code,result,cwss_url,partof_cwss,operation,forces_text,casualties_text,results_text,preservation,significance,cwsac_url,other_names,partof_cwsac,cws2_url,study_area,core_area,potnr_boundary,partof_cws2,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,significance_jim,significance_ed,significance_bill,aad_url,battle_type,partof_aad,lat,long,state,strength_mean,strength_var,casualties_kwm_mean,casualties_kwm_var,comment
AR004,Cane Hill,1862-11-28,1862-11-28,TM,TM62-08,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR004,TRUE,0,Department of Missouri [US]; two cavalry brigades [CS],475 total (US 40; CS 435),Confederate tactical victory,III.3,C,http://www.nps.gov/abpp/battles/ar004.htm,Canehill; Boston Mountains,TRUE,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,9007.96,3254.99,6929.53,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=7&dt=295,Engagement,TRUE,35.9066,-94.3998,AR,,,85,8.416666666666668,
AR005,Prairie Grove,1862-12-07,1862-12-07,TM,TM62-08,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR005,TRUE,0,"Army of the Frontier [US]; I Corps, Trans-Mississippi Army [CS]","2,568 total (US 1,251; CS 1,317)",Union strategic victory,I.3,B,http://www.nps.gov/abpp/battles/ar005.htm,Fayetteville,TRUE,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,14708.69,2450.54,4410.01,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,C,http://aad.archives.gov/aad/record-detail.jsp?rid=11&dt=295,Battle,TRUE,35.993056,-94.307778,AR,,,2568,0.16666666666666666,
AR006,Arkansas Post,1863-01-09,1863-01-11,MW,MW62-08,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR006,TRUE,0,Army of the Mississippi [US]; Fort Hindman Garrison [CS],"6,547 total (US 1,047; CS 5,500)",Union victory,IV.1,C,http://www.nps.gov/abpp/battles/ar006.htm,Fort Hindman,TRUE,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,3097.18,976.5,2118.26,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=306&dt=295,Engagement,TRUE,34.021,-91.349,AR,,,6096,0.16666666666666666,
AR007,Chalk Bluff,1863-05-01,1863-05-02,TM,TM63-03,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR007,TRUE,0,"2nd Division, Army of the Frontier and force under command of Brig. Gen. John McNeil [US]; Marmaduke's Cavalry Division [CS]",Unknown,"Confederate tactical victory (The results, however, forced Marmaduke to end his expedition, making this a Union strategic victory.)",II.4,D,http://www.nps.gov/abpp/battles/ar007.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,770.64,64.6,217.07,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=322&dt=295,Skirmish,TRUE,36.4773,-90.1588,AR,,,,,
AR008,Helena,1863-07-04,1863-07-04,MW,MW63-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR008,TRUE,0,District of Eastern Arkansas [US]; District of Arkansas [CS],"1,842 total (US 206; CS 1,636)",Union victory,IV.1,B,http://www.nps.gov/abpp/battles/ar008.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,7600.04,2298.65,3361.83,TRUE,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=8&dt=295,Attack,TRUE,34.3903,-90.8697,AR,,,1875,0.16666666666666666,
AR009,Devil's Backbone,1863-09-01,1863-09-01,TM,TM63-04,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR009,TRUE,0,"2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections of Rabb's 2nd Indiana Battery [US]; Cabell's Brigade [CS]",81 total (US 16; CS 65),Union victory,II.3,C,http://www.nps.gov/abpp/battles/ar009.htm,Backbone Mountain,TRUE,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,2538.32,1101.02,1776.97,TRUE,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,C,C,C,http://aad.archives.gov/aad/record-detail.jsp?rid=4&dt=295,Action,TRUE,35.1785,-94.3106,AR,,,31,0.16666666666666666,
AR010,Bayou Fourche,1863-09-10,1863-09-10,TM,TM63-08,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR010,TRUE,0,"Cavalry Division, Army of Arkansas, Arkansas Expedition [US]; District of Arkansas [CS]",Total unknown (US 72; CS unknown),Union victory,IV.2,B,http://www.nps.gov/abpp/battles/ar010a.htm,Little Rock,TRUE,http://www.nps.gov/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,9666.26,1700.51,1895.61,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,C,http://aad.archives.gov/aad/record-detail.jsp?rid=5&dt=295,Engagement,TRUE,34.7154,-92.129,AR,,,136,0.16666666666666666,
AR011,Pine Bluff,1863-10-25,1863-10-25,TM,TM63-08,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR011,TRUE,0,Pine Bluff Garrison (two under-strength cavalry regiments and a company of state militia) [US]; division [CS],Total unknown (US 56; CS unknown),Union victory,IV.2,D,http://www.nps.gov/abpp/battles/ar011.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,7633.37,108.42,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=12&dt=295,Action,TRUE,34.229957,-92.003455,AR,,,96,8.416666666666668,
AR012,Elkin's Ferry,1864-04-03,1864-04-04,TM,TM64-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR012,TRUE,0,"3rd Division, VII Corps and 2 cavalry brigades [US]; 3 cavalry brigades [CS]",92 total (US 38; CS 54),Union victory,II.3,C,http://www.nps.gov/abpp/battles/ar012.htm,Okolona,TRUE,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,9221.77,2120.9,9209.94,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=13&dt=295,Engagement,TRUE,33.9306,-93.3572,AR,,,55,0.16666666666666666,
AR013,Prairie D'Ane,1864-04-10,1864-04-13,TM,TM64-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR013,TRUE,0,Department of Arkansas [US]; District of Arkansas [CS],Unknown,Union victory,II.2,B,http://www.nps.gov/abpp/battles/ar013.htm,Gum Grove; Moscow,TRUE,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,17318.69,7671.57,14201.03,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,http://aad.archives.gov/aad/record-detail.jsp?rid=324&dt=295,Skirmish,TRUE,33.6611,-93.3008,AR,,,150,841.6666666666667,
AR014,Poison Spring,1864-04-18,1864-04-18,TM,TM64-02,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR014,TRUE,0,"Brigade (1,100 men) [US]; Marmaduke's and Maxey's Divisions [CS]",415 total (US 301; CS 114),Confederate victory,III.3,C,http://www.nps.gov/abpp/battles/ar014.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,11628.13,3337.86,11374.27,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=14&dt=295,Engagement,TRUE,33.650781,-93.030681,AR,,,415,0.16666666666666666,
AR015,Marks' Mills,1864-04-25,1864-04-25,TM,TM64-02,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR015,TRUE,0,Infantry brigade [US]; two divisions [CS],"1,793 total (US 1,500; CS 293)",Confederate victory,II.4,D,http://www.nps.gov/abpp/battles/ar015.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,16534.56,4620.16,11395.14,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=15&dt=295,Action,TRUE,33.7911,-92.2575,AR,,,1793,833.4166666666667,
AR016,Jenkin's Ferry,1864-04-30,1864-04-30,TM,TM64-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR016,TRUE,0,Department of Arkansas [US]; Army of Arkansas [CS],964 total (US 521; CS 443),Union victory in retreat,III.3,C,http://www.nps.gov/abpp/battles/ar016.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,7796.37,3078.09,4510.69,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=16&dt=295,Engagement,TRUE,34.2131,-92.5472,AR,,,1700,84166.66666666666,
AR017,Old River Lake,1864-06-06,1864-06-06,TM,TM64-03,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR017,TRUE,0,Two brigades of XVI Army Corps [US]; Marmaduke's Division [CS],280 total (US 180; CS 100),Union victory,III.4,D,http://www.nps.gov/abpp/battles/ar017.htm,Ditch Bayou; Lake Chicot; Lake Village; Furlough; Fish Bayou; Grand Lake,TRUE,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,7763.14,2570.04,3839.77,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=17&dt=295,Engagement,TRUE,33.268547,-91.192703,AR,,,170,0.16666666666666666,
CO001,Sand Creek,1864-11-29,1864-11-29,TM,TM64-06,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=CO001,TRUE,0,Third Colorado Regiment (approx. 700 men) [US]; 500 Cheyennes and a few Arapahos [I],Total unknown (US unknown; I 200),Union victory (massacre),II.2,B,http://www.nps.gov/abpp/battles/co001.htm,Chivington Massacre,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportFarWestUpdate.pdf,34387.61,2271.97,27027.45,TRUE,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,B,C,http://aad.archives.gov/aad/record-detail.jsp?rid=18&dt=295,Engagement,TRUE,38.547708,-102.50635,CO,1200,1666.6666666666667,198,8.416666666666668,"In CWSAC2, incorrectly listed as Oct 29 instead of Nov 29.
"
DC001,Fort Stevens,1864-07-11,1864-07-12,ME,ME64-08,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=DC001,TRUE,0,Divisions,874 total,Union victory,IV.2,B,http://www.nps.gov/abpp/battles/dc001.htm,Washington,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportWashingtonDCUpdate.pdf,9103.32,2765.73,1166.01,TRUE,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=19&dt=295,Action,TRUE,38.9641,-77.0288,DC,,,873,833.4166666666667,
FL001,Santa Rosa Island,1861-10-09,1861-10-09,LS,LS61-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=FL001,TRUE,0,"Santa Rosa Island Garrison (approx. 600 men) [US]; infantry and artillery detachments (approx. 1,200 men) [CS]",154 total (US 67; CS 87),Union victory,III.3,C,http://www.nps.gov/abpp/battles/fl001.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,2826.01,330.05,2612.79,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,,,http://aad.archives.gov/aad/record-detail.jsp?rid=325&dt=295,Action,TRUE,30.3242,-87.2817,FL,1800,1666.6666666666667,154,0.16666666666666666,
FL002,Tampa,1862-06-30,1862-07-01,LS,LS62-04,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=FL002,TRUE,0,"One gunboat [US]; Osceola Rangers, company [CS]",None,"Confederate victory (Inconclusive, but Union gunboat withdrew.)",IV.2,D,http://www.nps.gov/abpp/battles/fl002.htm,Yankee Outrage at Tampa,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,2288.79,1199.82,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=23&dt=295,Bombardment,TRUE,27.9415,-82.4559,FL,,,0,0.16666666666666666,
FL003,Saint John's Bluff,1862-10-01,1862-10-03,LS,LS62-06,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=FL003,TRUE,0,"Expeditionary Force: 2 infantry regiments, a light artillery battery and detachment of the 1st Massachusetts Cavalry (total force 1,573) [US]; a small artillery and cavalry force [CS]",Unknown,Union victory,IV.2,D,http://www.nps.gov/abpp/battles/fl003.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,7163.85,1069.43,4245.34,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=21&dt=295,Engagement,TRUE,30.3852,-81.4998,FL,,,,,
FL004,Fort Brooke,1863-10-16,1863-10-18,LS,LS63-06,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=FL004,TRUE,0,"Tahoma, Adela, and landing force [US]; Company A, 2nd Battalion, Florida Volunteers [CS]",Unknown,Union victory,IV.2,D,http://www.nps.gov/abpp/battles/fl004.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,5478.9,1478.65,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=22&dt=295,Engagement,TRUE,28.0155,-82.4644,FL,,,,,
FL005,Olustee,1864-02-20,1864-02-20,LS,LS64-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=FL005,TRUE,0,Division [US]; District of East Florida [CS],"2,806 total (US 1,860; CS 946)",Confederate victory,III.2,B,http://www.nps.gov/abpp/battles/fl005.htm,Ocean Pond,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,5919.08,1108.49,5528.58,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,C,http://aad.archives.gov/aad/record-detail.jsp?rid=20&dt=295,Engagement,TRUE,30.2142,-82.3886,FL,,,2806,8.416666666666668,
FL006,Natural Bridge,1865-03-06,1865-03-06,LS,LS65-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=FL006,TRUE,0,"2nd U.S. Colored Infantry and 99th U.S. Colored Infantry [US]; Kilcrease Artillery; Dunham's Battery; Abell's Battery; 5th Florida Cavalry; 1st Florida Militia; Barwick's Company Reserves; Hodges Company Reserves; Company A, Milton Light Artillery; Companies A, B, and F, Reserves and reinforcements from Georgia amounting to approx. 1,000 men [CS]",174 (US 148; CS 26),Confederate victory,III.3,C,http://www.nps.gov/abpp/battles/fl006.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportFloridaUpdate.pdf,2301.8,344.42,2301.8,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,D,C,http://aad.archives.gov/aad/record-detail.jsp?rid=326&dt=295,Action,TRUE,30.2839,-84.1519,FL,,,173,0.16666666666666666,
GA001,Fort Pulaski,1862-04-10,1862-04-11,LS,LS62-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=GA001,TRUE,0,The Port Royal Expeditionary Force's Fort Pulaski investment troops [US]; Fort Pulaski Garrison [CS],365 total (US 1; CS 364),Union victory,III.2,B,http://www.nps.gov/abpp/battles/ga001.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Ezra Church to Griswoldville.pdf,8529.53,3657.49,7862,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,A,,http://aad.archives.gov/aad/record-detail.jsp?rid=41&dt=295,Operation,TRUE,32.0273,-80.891,GA,,,365,0.16666666666666666,
GA002,Fort Mcallister I,1863-02-27,1863-03-03,LS,LS63-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=GA002,TRUE,0,Union Navy Flotilla [US]; Fort McAllister Garrison [CS],Unknown,Confederate victory,III.3,C,http://www.nps.gov/abpp/battles/ga002.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Ezra Church to Griswoldville.pdf,2494.48,563.51,2463.59,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,http://aad.archives.gov/aad/record-detail.jsp?rid=44&dt=295,Naval,TRUE,32.02,-81.44,GA,,,1,0.08333333333333333,
GA003,Davis' Cross Roads,1863-09-10,1863-09-11,MW,MW63-06,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=GA003,TRUE,0,Two divisions [US]; unknown [CS],Unknown,Union strategic victory,II.3,C,http://www.nps.gov/abpp/battles/ga003.htm,Dug Gap,TRUE,http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,23267.17,6063.47,21406.65,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,,C,http://aad.archives.gov/aad/record-detail.jsp?rid=327&dt=295,Skirmish,TRUE,34.7557,-85.368,GA,,,,,
GA004,Chickamauga,1863-09-18,1863-09-20,MW,MW63-06,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=GA004,TRUE,0,The Army of the Cumberland [US]; Army of Tennessee [CS],"34,624 total (US 16,170; CS 18,454)",Confederate victory,I.2,A,http://www.nps.gov/abpp/battles/ga004.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,29978.67,9796.38,9881.28,TRUE,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=24&dt=295,Battle,TRUE,34.9176,-85.2606,GA,,,34624,8.416666666666668,
GA005,Ringgold Gap,1863-11-27,1863-11-27,MW,MW63-10,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=GA005,TRUE,0,Three divisions [US]; one division [CS],912 total (US 432; CS 480),Confederate victory,I.3,B,http://www.nps.gov/abpp/battles/ga005.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,3143.04,580.64,148.69,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,B,,http://aad.archives.gov/aad/record-detail.jsp?rid=25&dt=295,Engagement,TRUE,34.9112,-85.1015,GA,,,728,0.16666666666666666,
