battle_id,start_date,end_date,monthonly,location,state,battle_name
43,1861-8-2,1861-8-2,False,"Dug Springs, Mo.",MO,"1st Iowa and 3d Missouri Volunteers, and five batteries Missouri Light Artillery."
44,1861-8-3,1861-8-3,False,"Mesilla, New Mexico.",NM,7th U. S. Infantry and U. S. Mounted Rifles.
45,1861-8-5,1861-8-5,False,"Athens, Mo.",MO,Home Guards and 21st Missouri Volunteers.
46,1861-8-5,1861-8-5,False,"Point of Rocks, Md.",MD,28th New York Volunteers.
47,1861-8-7,1861-8-7,False,"Hampton, Va.",VA,20th New York Volunteers.
48,1861-8-8,1861-8-8,False,"Lovettsville, Va.",VA,19th New York Volunteers.
49,1861-8-10,1861-8-10,False,"Wilson's Creek, Mo. (also known as Springfield and Oak Hills).",MO,"Cavalry : 6th and 10th Missouri, 2d Kansas Mounted Volunteers, and one Company 1st U. S. Infantry, 1st Iowa, 1st Kansas, 1st, 2d, 3d, and 5th Missouri, detachments of the 1st and 2d Regulars, Missouri Home Guards; Artillery: 1st Missouri Light and Battery F, 2d U.S., commanded by Brig.-General Nathaniel Lyons."
50,1861-8-10,1861-8-10,False,"Potosi, Mo.",MO,Missouri Home Guards.
51,1861-8-13,1861-8-13,False,"Grafton, West Va.",WV,One Company 4th West Virginia Volunteers.
52,1861-8-17,1861-8-17,False,"Brunswick, Mo.",MO,5th Missouri Reserves.
53,1861-8-19,1861-8-19,False,"Charlestown (or Bird's Point), Mo.",MO,22d Illinois Volunteers.
54,1861-8-20,1861-8-20,False,"Hawk's Nest, West Va.",WV,11th Ohio Volunteers.
55,1861-8-20,1861-8-20,False,"Lookout Station, Mo.",MO,"Organization not reported ; Union loss, 1 killed and 6 wounded."
56,1861-8-1,1861-8-31,True,"Jonesboro, Mo.",MO,Missouri Homo Guards.
57,1861-8-26,1861-8-26,False,Cross Lanes (or Summerville). West Va.,WV,7th Ohio Volunteers.
58,1861-8-27,1861-8-27,False,"Ball's Cross Roads, Va.",VA,Two companies of the 23d New York Volunteers.
59,1861-8-27,1861-8-27,False,"Wayne Court House, West Va.",WV,5th West Virginia Volunteers.
60,1861-8-28,1861-8-29,False,"Fort Hatteras (Cape Hatteras Inlet), N.C.",NC,"9th, 20th, and 99th New York Volunteers, and a naval force commanded by Commodore Stringham."
61,1861-8-29,1861-8-29,False,"Lexington, Mo.",MO,Missouri Home Guards.
62,1861-8-1,1861-8-31,True,"Munson's Hill, Va.",VA,Two companies 23d New York Volunteers.
63,1861-9-1,1861-9-30,True,"Bennett's Mills, Mo.",MO,Missouri Home Guards.
64,1861-9-1,1861-9-30,True,"Boone Court House, West Va.",WV,1st Kentucky Volunteers.
65,1861-9-2,1861-9-2,False,"Dallas, Mo.",MO,11th Missouri Volunteers.
66,1861-9-2,1861-9-2,False,"Worthington, Marion Co, West Va.",WV,"Organization not reported, see Rebellion Record, Volume III., page 13."
67,1861-9-2,1861-9-2,False,"Dry Wood (also known as Fort Scott), Mo.",MO,"5th and 6th Kansas Volunteers, one company 9th Cavalry, and 1st Kansas Battery."
68,1861-9-2,1861-9-2,False,"Beher's Mills, Va.,",VA,13th Massachusetts Volunteers.
69,1861-9-4,1861-9-4,False,"Shelbina, Mo.",MO,3d Iowa Volunteers.
70,1861-9-7,1861-9-7,False,"Petersburg, West Va.",WV,Three companies of the 4th Ohio Volunteers.
71,1861-9-10,1861-9-10,False,"Carnifex Ferry, West Va.",WV,"9th, 10th, 12th, 13th, 28th, and 47th Ohio Volunteers."
72,1861-9-11,1861-9-11,False,"Lewinsville, Va.",VA,"19th Indiana, 3d Vermont, and 65th New York Volunteers, and 79th New York Militia."
73,1861-9-11,1861-9-11,False,"Elk Water, West Va.",WV,"3d Ohio, 15th and 17th Indiana Volunteers."
74,1861-9-12,1861-9-12,False,"Black River, near Ironton, Mo.",MO,Three companies of 1st Indiana Cavalry.
75,1861-9-12,1861-9-13,False,"Cheat Mountain, West Va.",WV,"13th, 14th, 15th, and 17th Indiana, 3d, 0th, 24th, and 25th Ohio, and 2d West Virginia Volunteers. "
76,1861-9-12,1861-9-20,False,"Lexington, Mo. ",MO,"8th, 25th, and 27th Missouri Volunteers, 13th and 14th Missouri Home Guards, Berry's and Van Horn's Missouri Cavalry, 1st Cavalry and 23d Infantry Illinois Volunteers, Colonel James A. Mulligan, 23d Illinois Volunteers, Commanding."
77,1861-9-13,1861-9-13,False,"Booneville, Mo.",MO,Missouri Home Guards.
78,1861-9-14,1861-9-14,False,"Near Pensacola, Fla.",FL,Rebel privateer Judah destroyed by the crew of U. S. Flagship Colorado.
79,1861-9-15,1861-9-15,False,"Fritchard's Mills (also known as Damestown), Va.",VA,28th Pennsylvania and 13th Massachusetts Volunteers.
80,1861-9-17,1861-9-17,False,"Morristown, Mo.",MO,"5th, 6th, and 9th Kansas Cavalry, and 1st Kansas Battery."
81,1861-9-17,1861-9-17,False,"Blue Mills, Mo.",MO,3d Iowa Volunteers.
82,1861-9-18,1861-9-18,False,"Barboursville, West Va.",WV,Kentucky Home Guards.
83,1861-9-1,1861-9-30,True,"Papinsville (also Osceola), Mo.",MO,"5th, 6th, and 9th Kansas Cavalry."
84,1861-9-22,1861-9-22,False,"Elliott's Mills (called also Camp Crittenden), Mo.",MO,7th Iowa Volunteers.
85,1861-9-23,1861-9-23,False,"Romney (called also Hanging Rock), West Va.",WV,4th and 8th Ohio Volunteers.
86,1861-9-25,1861-9-25,False,"Chapmansville, West Va.",WV,"1st Kentucky, and 34th Ohio Volunteers,"
87,1861-9-26,1861-9-26,False,"Lucas Bend, Ky.",KY,Captain Stewart's Cavalry.
88,1861-9-27,1861-9-27,False,"Shanghai, Mo.",MO,"Organizations not known; see Tribune Almanac of 1862, page 45."
89,1861-9-29,1861-9-29,False,"Munson's Bull Camp Advance), Va.",VA,69th Pennsylvania fire into 71st Pennsylvania Volunteers through mistake.
90,1861-10-3,1861-10-3,False,"Greenbrier, West Va.",WV,"Battery G, 4th United States Artillery, Battery "" A,"" 1st Michigan Artillery, 24th, 25th, and 32d Ohio, and 7th, 9th, 13th, 14th, 15th, and 17th Indiana Volunteers."
91,1861-10-4,1861-10-4,False,"Alimosa (near Fort Craig), N. M.",MD,"Mink's New Mexico Cavalry, and lJ. S. Regulars."
92,1861-10-4,1861-10-4,False,Buffalo Hilt Ky.,KY,"Organization not recorded; Union loss, twenty killed ; Confederate loss, fifty killed."
93,1861-10-5,1861-10-5,False,"Chicamicomlco, N.C.",NC,20th Indiana Volunteers.
94,1861-10-8,1861-10-8,False,"Hillsboro, Ky.",KY,Flemingsburg Home Guards.
95,1861-10-9,1861-10-9,False,"Santa Rosa, Fla.",FL,"6th New York Volunteers, detachments of Companies "" A,"" 1st, and ""H,"" 2d U. S. Artillery, and Companies C and E, 3d U. S. Infantry."
96,1861-10-12,1861-10-12,False,"Cameron, Ray Co., Mo.",MO,Major James' Cavalry.
97,1861-10-12,1861-10-12,False,"Upton Hill, Ky.",KY,39th Indiana Volunteers.
98,1861-10-12,1861-10-12,False,"Bayles' Cross Roads, La.",LA,79th Now York Volunteers.
99,1861-10-13,1861-10-13,False,"Beckwith's Farm (twelve miles from Bird's Point), Mo.",MO,"Lieutenant Tuffs detachment of Cavalry. West Glaze (also known as Shanghai, Henrytown, and Monday's Hollow),"
100,1861-10-13,1861-10-13,False,Mo.,MO,"10th and 0th Missouri Cavalry, and Fremont Battalion Cavalry."
101,1861-10-15,1861-10-15,False,"Big River Bridge, near Potosi, Mo.",MO,Forty men of the 38th Illinois Volunteers.
102,1861-10-15,1861-10-15,False,"Linn Creek, Mo.",MO,6th Missouri Cavalry and 13th Illinois Volunteers.
103,1861-10-16,1861-10-16,False,"Bolivar Heights, Va,",VA,"Detachments from 28th Pennsylvania, 3d Wisconsin, and 13th Massachusetts Volunteers."
104,1861-10-16,1861-10-16,False,"Warsaw, Mo.",MO,"Organizations not recorded; see Rebellion Record, Vol. III., page 51."
105,1861-10-17,1861-10-17,False,"Fredericktown, Mo. (including skirmish at Ironton).",MO,"Company A, lat Missouri Light Artillery, 11th Missouri, and 17th, 20th, 21st, 33d, and 38th Illinois, 1st Indiana, and 8th Wisconsin Volunteers."
106,1861-10-19,1861-10-19,False,"Big Hurricane Creek, Mo.",MO,18th Missouri Volunteers.
107,1861-10-1,1861-10-31,True,"Ball's Bluff (also Edward's Ferry, Harrison's Island, and Leesburg), Va.",VA,"15th and 20th Massachusetts, 40th New York, and 71st Pennsylvania Volunteers, and Battery B Rhode Island Artillery."
108,1861-10-1,1861-10-31,True,"Wild Cat, Ky.",KY,"33d Indiana, 14th and 17th Ohio Volunteers, 1st Kentucky Cavalry, and 1st Ohio Battery,"
109,1861-10-22,1861-10-22,False,"Buffalo Mills, Mo.",MO,Organizations not recorded ; see Tribune Almanac of 1862.
110,1861-10-23,1861-10-23,False,"West Liberty, Ky.",KY,"2d Ohio Volunteers, 1st and Loughlin's Ohio Cavalry, and 1st Ohio Artillery."
111,1861-10-23,1861-10-23,False,"Hodgeville, Ky.",KY, Detachment of 6th Indiana Volunteers.
112,1861-10-25,1861-10-25,False,"Springfield, Mo. (also known as Zagony's Charge).",MO,"Fremont's Body Guard, White's Prairie Scouts."
113,1861-10-26,1861-10-26,False,"Romney, West Va. (also Mill Creek Mills).",WV,"4th and 8th Ohio and 7th West Virginia Volunteers, 2d Regiment Potomac Home Brigade, Maryland Volunteers, and Ringgold  (Pa.) Cavalry Battalion. "
114,1861-10-26,1861-10-26,False,"Saratoga, Ky.",KY,9th Illinois Volunteers.
115,1861-10-27,1861-10-27,False,"Flattsburg, Clinton Co., Mo.",MO,"Organization not recorded; Confederate loss, 8 killed, 12 captured."
116,1861-10-27,1861-10-27,False,"Spring Hill, Mo.",MO,One Company of 7th Missouri Cavalry.
117,1861-10-29,1861-10-29,False,"Woodbury and Morgantown, Ky.",KY,17th Kentucky Infantry and 3d Kentucky Cavalry Volunteers.
118,1861-11-1,1861-11-30,True,"Renick, Randolph Co., Mo.",MO,"Organization not recorded ; see Rebellion Record, Vol. III., page 268."
119,1861-11-6,1861-11-6,False,"Little Santa Fe, Mo.",MO,"4th Missouri and 5th Kansas Cavalry, and Kowald's Missouri Battery."
120,1861-11-7,1861-11-7,False,"Belmont, Mo.",MO,"22d, 27th, 30th, and 31st Illinois, and 7th Iowa Volunteers, Battery B, 1st Illinois Artillery, and two companies of the 15th Illinois  Cavalry, Brig.-General U. S. Grant commanding. "
121,1861-11-7,1861-11-7,False,"Galveston Harbor, Texas.",TX,Burning of the Royal Yacht by the crew of the U. S. Frigate San tee.
122,1861-11-7,1861-11-7,False,"Port Royal, S.C.",SC,"U. S. Navy, Commodore S. F. Dupont, U. S. N. , commanding."
123,1861-11-9,1861-11-9,False,"Piketown, Fike Co. (also called Try Mountain), Ky.",KY,"2d, 21st, 33d, and 59th Ohio and 16th Kentucky Volunteers, commanded by Col. J. W. Sill, 33d Ohio."
124,1861-11-10,1861-11-10,False,"Taylor's Ford, Wautauga River, Tenn.",TN,Loyal citizens ; from Confederate newspapers.
125,1861-11-1,1861-11-30,True,"Gnyandotte, West Va.",WV,Recruits of the 9th West Virginia Volunteers.
126,1861-11-10,1861-11-10,False,"Gauley Bridge, West Va.",WV,11th Ohio Volunteers and 2d Kentucky Cavalry.
127,1861-11-11,1861-11-11,False,"Little Blue, Mo.",MO,One hundred and ten men of the 7th Kansas Cavalry.
128,1861-11-1,1861-11-30,True,"Occoquan Creek, Va.",VA,Reconnoitering party of the 1st New York Cavalry.
129,1861-11-17,1861-11-17,False,"Cypress Bridge, Ky.",KY,"Organization not recorded; Union loss, 10 killed and 15 wounded."
130,1861-11-18,1861-11-18,False,"Palmyra, Mo.",MO,Detachment of 3d Missouri Cavalry.
131,1861-11-19,1861-11-19,False,"Wirt Court House, West Va.",WV,Detachment of 1st West Virginia Cavalry.
132,1861-11-23,1861-11-23,False,"Pensacola, Fort Pickens, Fla.",FL,"Batteries A, F, L, 1st U. S. Artillery, C, H, and K, 2d U.S. Artillery ; Companies C and E, 3d U. S. Infantry, and Companies G and I, 6th New York Volunteers."
133,1861-11-24,1861-11-24,False,"Lancaster, Mo.",MO,21st Missouri Volunteers.
134,1861-11-24,1861-11-24,False,"Johnstown, Mo.",MO,Missouri Home Guard.
135,1861-11-26,1861-11-26,False,"Independence, Little Blue, Mo.",MO,7th Kansas Cavalry.
136,1861-11-26,1861-11-26,False,"Drainesville, Va.",VA,1st Pennsylvania Cavalry.
137,1861-11-26,1861-11-26,False,"Hunter's Mills, Va.",VA,3d Pennsylvania Cavalry.
138,1861-11-29,1861-11-29,False,"Black Walnut Creek, near Sedalia, Mo.",MO,1st Missouri Cavalry.
139,1861-12-1,1861-12-31,True,"Morristown, Tenn.",TN,Organization not recorded.
140,1861-12-1,1861-12-31,True,"Salem, Dent Co., Mo.",MO,Detachment of 10th Missouri Cavalry.
141,1861-12-3,1861-12-3,False,"Vienna, Va.",VA,Detachment of 3d Pennsylvania Cavalry.
142,1861-12-4,1861-12-4,False,"Anandale, Va.",VA,Thirty men of 3d New Jersey Volunteers.
143,1861-12-4,1861-12-4,False,"Dunksburg, near Sedalia, Mo.",MO,"Citizens; see New York Herald, December 7, 1661."
144,1861-12-9,1861-12-9,False,"Bushy Creek, Ark.",AR,Union Indians under Opothleyholo.
145,1861-12-11,1861-12-11,False,"Dam No. 4, Potomac, Va.",VA,12th Indiana Volunteers.
146,1861-12-11,1861-12-11,False,"Bertrand, Mo.",MO,2d Illinois Cavalry.
147,1861-12-12,1861-12-12,False,"Bagdad, Shelby Co., Ky.",KY,6th Kentucky Volunteers.
148,1861-12-13,1861-12-13,False,"Camp Alleghany (also Buffalo Mountain), W. Va.",WV," 9th and 13th Indiana, 25th and 32d Ohio, and 2d W. Virginia Volunteers, commanded by Brig.-General R. H. Milroy."
149,1861-12-17,1861-12-17,False,"Rowlett's Station (also known as Mumfordsville and Woodsonville), Ky.",KY,32d Indiana Volunteers.
150,1861-12-18,1861-12-18,False,"Milford (also Shawnee or Blackwater Mound), Mo.",MO,"27th Ohio, and 8th, 18th, 22d, and 24th Indiana Volunteers, 31st Kansas and 1st Iowa Cavalry, a detachment of U. S. Cavalry, and two batteries of 1st Missouri Light Artillery."
151,1861-12-20,1861-12-20,False,"Drainesville, Va.",VA,"1st, 6th, 9th, 10th, and 12th Regiments Pennsylvania Reserve Corps, 1st Pennsylvania Artillery, and 1st Pennsylvania Cavalry."
152,1861-12-1,1861-12-31,True,"Hudson, Mo.",MO,Detachment of 7th Missouri Cavalry.
153,1861-12-22,1861-12-22,False,"New Market Bridge, near Newport News, Va.",VA,20th New York Volunteers.
154,1861-12-24,1861-12-24,False,"Wadesburg, Mo.",MO,Missouri Home Guards.
155,1861-12-28,1861-12-28,False,"Sacramento, Ky.",KY,3d Kentucky Cavalry.
156,1861-12-28,1861-12-28,False,"Mount Zion, Mo.",MO,Birge's Sharpshooters and 3d Missouri Cavalry.
157,1862-1-1,1862-1-31,True,"Port Royal, Coosa River. S. C",SC,"3d Michigan, 47th, 48th, and 79th New York, and 50th Pennsylvania Volunteers."
158,1862-1-3,1862-1-3,False,"Hunnewell, Mo.",MO,Four companies of the 10th Missouri Cavalry.
159,1862-1-4,1862-1-4,False,"Huntersville, Va.",VA,"Detachment of the 25th Ohio Volunteers, and 2d West Virginia and 1st Indiana Cavalry."
160,1862-1-4,1862-1-4,False,"Bath, Va.",VA,"39th Illinois Volunteers. This includes skirmishes at Great Cacapon Bridge, Alpine Station, and Hancock."
161,1862-1-4,1862-1-4,False,"Calhoun, Green Co., Mo.",MO,Organization not recorded.
162,1862-1-7,1862-1-7,False,"Blue Gap, near Romney, Va.",VA,"4th, 5th, 7th, and 8th Ohio, and 14th Indiana Volunteers, and1st West Virginia Cavalry."
163,1862-1-7,1862-1-7,False,"Jennie's Creek (also known as Paintsville), Ky.",KY,Four companies of the 1st West Virginia Cavalry.
164,1862-1-8,1862-1-8,False,"Charlestown, Mo.",MO,10th Iowa Volunteers.
165,1862-1-8,1862-1-8,False,"Dry Forks, Cheat River, W. Va.",WV,One company of the 2d West Virginia Cavalry.
166,1862-1-8,1862-1-8,False,"Silver Creek, Randolph Co., Mo.",MO,"Detachments of 1st and 2d Mo., 4th Ohio and 1st Iowa Cavalry. (Also known as Roan's Tan-yard and Sugar Creek.)"
167,1862-1-9,1862-1-9,False,"Columbus, Mo.",MO,7th Kansas Cavalry.
168,1862-1-10,1862-1-10,False,"Middle Creek and Prestonburg, Ky.",KY,"40th and 42d Ohio, 14th and 22d Kentucky Volunteers, Col .J. A. Garfield commanding."
169,1862-1-19,1862-1-20,False,"Mill Springs, Ky.",KY,"9th Ohio, 2d Minnesota, 4th Kentucky, and 10th Indiana Volunteers, and 1st Kentucky Cavalry, commanded by Br.g.General Geo. H. Thomas. (Also known p.s Logan's Crossroads, Fishing Creek, Somerset, and Beech Grove.) "
170,1862-1-22,1862-1-22,False,"Knob Noster, Mo.",MO,2d Missouri Cavalry.
171,1862-1-29,1862-1-29,False,"Occoquan Bridge, Va.",VA,Detachments of the 37th New York Volunteers and 1st New Jersey Cavalry.
172,1862-2-1,1862-2-28,True,"Bowling Green, Ky.",KY,One company of the 2d Indiana Cavalry.
173,1862-2-2,1862-2-2,False,"Morgan County, Tenn.",TN,Organization not mentioned; obtained from Confederate sources.
174,1862-2-6,1862-2-6,False,"Fort Henry, Tenn.",TN,"17. S. Gunboats Essex, Carondelet, St. Louis, Cincinnati, Conestoga, Tyler, and Lexington."
175,1862-2-8,1862-2-8,False,"Linn Creek, Logan County, Va.",VA,Detachment of 5th West Virginia Volunteers.
176,1862-2-8,1862-2-8,False,"Roanoke Island, N.C.",NC,"U. S. Gunboats Southfield, Delaware, Stars and Stripes, Louisiana, Hetzel, Commodore Perry, Underwriter, Valley City, Commodore Barney, Hunchback, Ceres, Putnam, Morse, Lockwood, J. A. Seymour, Granite, Brinker, Whitehead, Shawseen, Picket, Pioneer, Hussar, Vidette, Chasseur, 21st, 23d, 24th, 25th, and 27th Massachusetts, 10th Connecticut, 9th, 51st, and 53d New York, 9th New Jersey, 51rt Pennsylvania, and 4th and 5th Rhode Island Volunteers, Brig.-General A. E. Burnside, commanding Army and Commodore L. M. Goldsborough the Navy."
177,1862-2-10,1862-2-10,False,"Elizabeth City (known also as Cobb's Point), N.C.",NC,"U. S. Gunboats Delaware, Underwriter, Louisiana, Seymour, Hetzel, Shawseen, Valley City, Putnam, Commodore Perry, Ceres, Morse, Whitehead, and Brinker."
178,1862-2-13,1862-2-13,False,"Blooming Gap, Va.",VA,"1st West Virginia Cavalry, and 8th Ohio and 7th West Virginia Volunteers."
179,1862-2-14,1862-2-14,False,"Flat Lick Fords, Cumberland River, Ks.",KS,"49th Indiana Volunteers, and 6th Kentucky Cavalry."
180,1862-2-14,1862-2-14,False,"Marshfield, Mo",MO,6th Missouri and 3d Illinois Cavalry.
181,1862-2-14,1862-2-14,False,"Fort Donelson (sometimes called Dover), Tenn.",TN,"17th and 25th Kentucky, 11th, 25th, 31st, and 44th Indiana, 2d, 7th, 12th, and 14th Iowa, 1st Nebraska, 58th and 76th Ohio, 8th and 13th Missouri, 8th Wisconsin, 8th, 9th, 11th, 12th, 17th, 18th, 20th, 28th, 29th. 30th, 31st, 41st, 45th, 46th, 48th, 49th, 57th, and 58th Illinois Volunteers, Batteries B and D, 1st, and D and E, 2d Illinois Artillery, four companies Illinois Cavalry, Birge's Sharpshooters, and six gunboats, commanded by Brig. General U. S. Grant and Commodore A. H. Foote."
182,1862-2-15,1862-2-15,False,"Bowling Green, Ky.",KY,Occupied by troops of Brig.-General D. C Buell's army.
183,1862-2-17,1862-2-17,False,"Sugar Creek (also called Pea Ridge), Mo.",MO,1st and 6th Missouri and 3d Illinois Cavalry.
184,1862-2-18,1862-2-18,False,"Independence, Mo.",MO,2d Ohio Cavalry.
185,1862-2-1,1862-2-28,True,"Valverde (or Fort Craig), New Mexico.",NM,"Detachments of the 1st, 2d, and 5th New Mexico Volunteers, 1st New Mexico and 2d Colorado Cavalry, detachments of 5th, 7th, and 10th U. S. Infantry, and Hall's and McRae's Batteries, commanded by Colonel E. R. S. Canby, U. S. A."
186,1862-2-24,1862-2-24,False,"Mason's Neck, Occoquan, Va.",VA,37th New York Volunteers.
187,1862-2-26,1862-2-26,False,"Keytesville, Barry County, Mo.",MO,6th Missouri Cavalry.
188,1862-3-1,1862-3-31,True,"Sykestown, Mo.",MO,"7th Cavalry and 10th Infantry, Illinois Volunteers."
189,1862-3-2,1862-3-2,False,"Pittsburg Landing, Tenn.",TN,U. S. Gunboats Lexington and Tyler and 32d Illinois Volunteers.
190,1862-3-3,1862-3-3,False,"New Madrid, Mo.",MO,"5th Iowa, 59th Indiana, 39th and 63d Ohio Infantry; and 2d Michigan and 7th Illinois Cavalry Volunteers."
191,1862-3-5,1862-3-5,False,"Occoquan, Va.",VA,Reconnoitering party of the 03d Pennsylvania Volunteers.
192,1862-3-5,1862-3-5,False,"Pea Ridge, Ark.",AR,"This includes engagements at Bentonville on the 6th, Leetown on the 7th, and Elkhorn Tavern on the 8th; troops engaged were 25th, 35th, 36th, 37th, 44th, and 59th Illinois, 2d, 3d, 12th, 15th, 17th, 24th, and Phelps' Missouri, 8th, 18th, and 22d Indiana, and 4th and  9th Iowa Volunteers, 3d Iowa, 3d and 15th Illinois, and 1st, 4th, 5th, and  6th Missouri Cavalry, Batteries B and P 2d Missouri Light Artillery, 2d  Ohio Battery, 1st Indiana Battery, and Battery A 2d Illinois Artillery,  Brig.-General Samuel E. Curtis, commanding. "
193,1862-3-7,1862-3-7,False,"Fox Creek, Mo.",MO,4th Missouri Cavalry.
194,1862-3-8,1862-3-8,False,"Near Nashville, Tenn.",TN,1st Wisconsin Volunteers and 4th Ohio Cavalry.
195,1862-3-8,1862-3-8,False,"Mississippi City, Miss.",MS,26th Massachusetts Volunteers.
196,1862-3-9,1862-3-9,False,"Mountain Grove, Mo.",MO,10th Missouri Cavalry.
