battle_id,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry_corps,divisions,cavalry_divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships_and_transports,warships,wooden_warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,missing_captured,wounded_missing,guns_lost,guns_captured,small_arms_lost,small_arms_captured,warships_sunk,warships_damaged,gunboats_sunk,gunboats_captured,ironclads_sunk,ironclads_captured,forts_captured,note,str_mean,str_var
Chattanooga (Tunnel Hill),Confederate,,,,,,,1,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,8145.194,7686588.80917316
Chattanooga (Tunnel Hill),US,,,,,,,4,,,,,,,,,,,,,,261,,,,1240,,,,,,,,,,,,,,,,25241.956,70110003.79385796
Chickamagua,Confederate,66326,,,,,,,,,,,,,,,,,,200,,,2312,14674,1468,,,,,,,,,,,,,,,,,66326,0.08333333333333333
Chickamagua,US,58222,,,,,,,,,,,,,,,,,,170,,,1657,9756,,,,4757,,,,,,,,,,,,,,58222,0.08333333333333333
Chickasaw Bluffs,Confederate,13792,,,,,,,,,,,,,,,,,,,,,63,134,10,,,,,,,,,,,,,,,,,13792,0.08333333333333333
Chickasaw Bluffs,US,30720,,,,,,,,,,,,,,,,,,,,,208,1005,,,,563,,,,,,,,,,,,,,30720,8.333333333333334
Cloyd's Mountain,Confederate,2400,,,,,,,,,,,,,,,,,,,543,,,,,,,,,,,,,,,,,,,,,2400,833.3333333333334
Cloyd's Mountain,US,6155,,,,,,,,,,,,,,,,,,,688,,,,,,,,,,,,,,,,,,,,,6155,0.08333333333333333
Cold Harbor,Confederate,59000,,,,,,,,,,,,,,,,,,,,,1057,3105,1132,,,,,,,,,,,,,,,,,59e3,83333.33333333333
Cold Harbor,US,108000,,,,,,,,,,,,,,,,,,,,,1769,6752,1537,,,,,,,,,,,,,,,,,108e3,83333.33333333333
Cold Harbor (assault),Confederate,59000,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,59e3,83333.33333333333
Cold Harbor (assault),US,60000,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,6e4,8333333.333333333
Corinth,Confederate,22000,,,,,,,,,,,,,,,,,,,,,473,1997,1763,,,,,,,,,,,,,,,,,22e3,83333.33333333333
Corinth,US,21147,,,,,,,,,,,,,,,,,,,,,355,1841,324,,,,,,,,,,,,,,,,,21147,0.08333333333333333
Cross Keys,Confederate,6500,,,,,,,,,,,,,,,,,,,,,41,232,15,,,,,,,,,,,,,,,,,6500,833.3333333333334
Cross Keys,US,12000,,,,,,,,,,,,,,,,,,,,,114,443,127,,,,,,,,,,,,,,,,,12e3,83333.33333333333
Deep Bottom Run,Confederate,20008,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,20008,0.08333333333333333
Deep Bottom Run,US,27974,,,,,,,,,,,,,,,,,,,2899,,,,,,,,,,,,,,,,,,,,,27974,0.08333333333333333
Donaldsville (first),Confederate,800,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,800,833.3333333333334
Donaldsville (first),US,225,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,225,0.08333333333333333
Donaldsville (second),Confederate,,,,,,,,,2,,,,,,,,,,,,,9,24,,,,,,,,,,,,,,,,,,4462.772,2135721.365381378
Donaldsville (second),US,,,,,,,,,2,,,,,,,,,,,,,50,223,,,,186,,,,,,,,,,,,,,4620.144,2009745.5728368368
Drewry's Bluff,Confederate,18025,,,,,,,,,,,,,,,,,,,,,355,2151,,,,,,,,,,,,,,,,,,18025,0.08333333333333333
Drewry's Bluff,US,15800,,,,,,,,,,,,,,,,,,,,,390,2380,1390,,,,,,,,,,,,,,,,,15800,833.3333333333334
Ezra Church,Confederate,12000,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,12e3,83333.33333333333
Ezra Church,US,25000,,,,,,,,,,,,,,,,,,,632,,,,,,,,,,,,,,,,,,,,,25e3,83333.33333333333
Fair Oaks,Confederate,10000,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,,,,,,,,,1e4,8333333.333333333
Fair Oaks,US,40000,,,,,,,,,,,,,,,,,,,1103,,,,,,,,,,,,,,,,,,,,,4e4,8333333.333333333
Fair Oaks (Seven Pines),Confederate,41816,,,,,,,,,,,,,,,,,,,,,980,4749,405,,,,,,,,,,,,,,,,,41816,0.08333333333333333
Fair Oaks (Seven Pines),US,41797,,,,,,,,,,,,,,,,,,,,347,790,3594,647,,,,,,,,,,,,,,,,,41797,0.08333333333333333
First Bull Run (Manassas),Confederate,32232,,,,,,,,,,,,,,,,,,,,,387,1582,13,,,,,,,,,,,,,,,,,32232,0.08333333333333333
First Bull Run (Manassas),US,28452,,,,,,,,,,,,,,,,,,,,,460,1124,,,,1312,,,,,,,,,,,,,,28452,0.08333333333333333
Fisher's Hill,Confederate,8000,,,,,,,,,,,,,,,,,,,,1100,,,,300,,,,25,,,,,,,,,,,,8e3,83333.33333333333
Fisher's Hill,US,30000,,,,,,,,,,,,,,,,,,,,,52,457,19,,,,,,,,,,,,,,,,,3e4,8333333.333333333
Five Forks,Confederate,19000,,,,,,,,,,,,,,,,,,,,5200,,,,,,,,,,,,,,,,,,,,19e3,83333.33333333333
Five Forks,US,,16000,12000,,,,,,,,,,,,,,,,,1111,,,,,,,,,,,,,,,,,,,,,28e3,166666.66666666666
Fort Davidson (Pilot Knob),Confederate,12000,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,12e3,83333.33333333333
Fort Davidson (Pilot Knob),US,1000,,,,,,,,,,,,,,,,,,,,,28,59,100,,,,,,,,,,,,,,,,,1e3,83333.33333333333
Fort Donelson,Confederate,17500,,,,,,,,,,,,,,,,,,,14623,,,,,2000,,,,,,,,,,,,,,,,17500,833.3333333333334
Fort Donelson,US,27500,,,,,,,,,,,,,,,,,,,,,500,2108,224,,,,,,,,,,,,,,,,,27500,833.3333333333334
Fort Fisher,Confederate,3000,,,,,,,,,,,,,,,,,,,,2083,,,,500,,,,,,,,,,,,,,,,3e3,83333.33333333333
Fort Fisher,US,10000,,,,,,,,,,,,,,,,,,,,,266,1009,57,,,,,,,,,,,,,,,,,1e4,8333333.333333333
Fort Gregg,Confederate,214,,,,,,,,,,,,,,,,,,,,,55,129,,,,,,,,,,,,,,,,,,214,0.08333333333333333
Fort Gregg,US,8000,,,,,,,,,,,,,,,,,,,,,122,592,,,,,,,,,,,,,,,,,,8e3,83333.33333333333
Fort Harrison (Chaffin's Bluff),Confederate,10836,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,10836,0.08333333333333333
Fort Harrison (Chaffin's Bluff),US,19639,,,,,,,,,,,,,,,,,,,,,383,2299,645,,,,,,,,,,,,,,,,,19639,0.08333333333333333
Fort Hindman (Arkansas Post),Confederate,5000,,,,,,,,,,,,,,,,,,,,4791,,,,109,,,,,,,,,,,,,,,,5e3,83333.33333333333
Fort Hindman (Arkansas Post),US,29000,,,,,,,,,,,,,,,,13,,,,,140,923,,,,,,,,,,,,,,,,,,29e3,83333.33333333333
Fort Pillow,Confederate,1500,,,,,,,,,,,,,,,,,,,,,14,86,,,,,,,,,,,,,,,,,,1500,833.3333333333334
Fort Pillow,US,557,,,,,,,,,,,,,,,,,,,,226,221,,,,,,,,,,,,,,,,,,,557,0.08333333333333333
Fort Stedman,Confederate,12000,,,,,,,,,,,,,,,,,,,,1900,,,,2900,,,,,,,,,,,,,,,,12e3,83333.33333333333
Fort Stedman,US,,,,,1,,,,,,,,,,,,,,,2080,,,,,,,,,,,,,,,,,,,,,18461.604,41113551.768952906
Franklin,Confederate,26897,,,,,,,,,,,,,,,,,,,,,1481,3800,702,,,,,,,,,,,,,,,,,26897,0.08333333333333333
Franklin,US,27939,,,,,,,,,,,,,,,,,,,,,189,1033,1104,,,,,,,,,,,,,,,,,27939,0.08333333333333333
Fredericksburg,Confederate,72497,,,,,,,,,,,,,,,,,,,,,595,4074,653,,,,,,,,,,,,,,,,,72497,0.08333333333333333
Fredericksburg,US,106007,,,,,,,,,,,,,,,,,,,,,1284,9600,1769,,,,,,,,,,,,,,,,,106007,0.08333333333333333
Front Royal,Confederate,16000,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,16e3,83333.33333333333
Front Royal,US,1063,,,,,,,,,,,,,,,,,,,904,,,,,,,,,,,,,,,,,,,,,1063,0.08333333333333333
Gaines's Mill (Seven Days),Confederate,57018,,,,,,,,,,,,,,,,,,,8751,,,,,,,,,,,,,,,,,,,,,57018,0.08333333333333333
Gaines's Mill (Seven Days),US,34214,,,,,,,,,,,,,,,,,,,,,894,3107,,,,2836,,22,,,,,,,,,,,,34214,0.08333333333333333
Galveston,Confederate,800,,,,,,,,,,,,,,2,,,,3,,,27,116,,,,,,,,,,,,,,,,,,800,833.3333333333334
Galveston,US,,,,,,,,,,3,,5,,,,,,,28,,600,,,,,,,,,,,,,,1,1,,,,,136.4285714285715,809.6938775510205
Gettsyburg,Confederate,70226,,,,,,,,,,,,,,,,,,,,,3903,18735,,,,5425,,,,,,,,,,,,,,70226,0.08333333333333333
Gettsyburg,US,88289,,,,,,,,,,,,,,,,,,,,,3155,14529,,,,5365,,,,,,,,,,,,,,88289,0.08333333333333333
Globe Tavern,Confederate,14787,,,,,,,,,,,,,,,,,,,,,,,419,1200,,,,,,,,,,,,,,,,14787,0.08333333333333333
Globe Tavern,US,20289,,,,,,,,,,,,,,,,,,,,,251,1148,,,,2879,,,,,,,,,,,,,,20289,0.08333333333333333
Griswoldville,Confederate,3000,,,,,,,,,,,,,,,,,,,,,51,472,,,,,,,,,,,,,,,,,,3e3,83333.33333333333
Griswoldville,US,1500,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,1500,833.3333333333334
Groveton,Confederate,6000,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,6e3,83333.33333333333
Groveton,US,2800,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,2800,833.3333333333334
Hampton Roads (first day),Confederate,,,,350,,,,,,,,,1,,,,,,2,,,,19,,,,,,,,,,,,,,,,,,350,8.333333333333334
Hampton Roads (first day),US,,,,,,,,,,,,,,,,,,5,219,,,257,146,,,,,,,,,,2,1,,,,,,,,
Hampton Roads (second day),Confederate,,,,340,,,,,,,,,1,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,340,8.333333333333334
Hampton Roads (second day),US,,,,58,,,,,,,,,1,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,58,0.08333333333333333
Hanover Court House,Confederate,3000,,,,,,,,,,,,,,,,,,,,730,,,,270,,,,,,,,,,,,,,,,3e3,83333.33333333333
Hanover Court House,US,6000,,,,,,,,,,,,,,,,,,,,,62,223,70,,,,,,,,,,,,,,,,,6e3,83333.33333333333
Hartsville,Confederate,2000,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,2e3,83333.33333333333
Hartsville,US,2100,,,,,,,,,,,,,,,,,,,,1762,,,,300,,,,,,,,,,,,,,,,2100,833.3333333333334
Hatcher's Run (first),Confederate,20324,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,20324,0.08333333333333333
Hatcher's Run (first),US,42823,,,,,,,,,,,,,,,,,,,,,166,1028,564,,,,,,,,,,,,,,,,,42823,0.08333333333333333
Hatcher's Run (second),Confederate,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14e3,83333.33333333333
Hatcher's Run (second),US,35000,,,,,,,,,,,,,,,,,,,,,170,1160,,,,,,,,,,,,,,,,,,35e3,83333.33333333333
Helena,Confederate,7646,,,,,,,,,,,,,,,,,,,1636,,,,,,,,,,,,,,,,,,,,,7646,0.08333333333333333
Helena,US,4129,,,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,4129,0.08333333333333333
Honey Springs,Confederate,5000,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,5e3,83333.33333333333
Honey Springs,US,4000,,,,,,,,,,,,,,,,,,,,,13,62,,,,,,,,,,,,,,,,,,4e3,83333.33333333333
Iuka,Confederate,3179,,,,,,,,,,,,,,,,,,,,,262,692,561,,,,,,,,,,,,,,,,,3179,0.08333333333333333
Iuka,US,4500,,,,,,,,,,,,,,,,,,,,,144,598,40,,,,,,,,,,,,,,,,,4500,833.3333333333334
Jackson,Confederate,6000,,,,,,,,,,,,,,,,,,,,,17,66,118,,,,,,,,,,,,,,,,,6e3,83333.33333333333
Jackson,US,25000,,,,,,,,,,,,,,,,,,,,,48,273,11,,,,,,,,,,,,,,,,,25e3,83333.33333333333
Jackson (siege),Confederate,31000,,,,,,,,,,,,,,,,,,,,,71,584,,,,764,,,,,,,,,,,,,,31e3,83333.33333333333
Jackson (siege),US,50000,,,,,,,,,,,,,,,,,,,,,129,762,231,,,,,,,,,,,,,,,,,5e4,8333333.333333333
Jenkins Ferry,Confederate,4000,,,,,,,,,,,,,,,,,,,,,86,356,1,,,,,,,,,,,,,,,,,4e3,83333.33333333333
Jenkins Ferry,US,6000,,,,,,,,,,,,,,,,,,,,,64,378,86,,,,,,,,,,,,,,,,,6e3,83333.33333333333
Jonesboro,Confederate,12500,,,,,,,,,,,,,,,,,,,2725,,,,,,,,,,,,,,,,,,,,,12500,833.3333333333334
Jonesboro,US,60000,,,,,,,,,,,,,,,,,,,1454,,,,,,,,,,,,,,,,,,,,,6e4,8333333.333333333
Kennesaw Mountain,Confederate,17700,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,,,,,,,,,,,,17700,833.3333333333334
Kennesaw Mountain,US,16000,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,16e3,83333.33333333333
Kernstown (first),Confederate,4200,,,,,,,,,,,,,,,,,,,,,80,375,263,,,,,,,,,,,,,,,,,4200,833.3333333333334
Kernstown (first),US,9000,,,,,,,,,,,,,,,,,,,,,118,450,22,,,,,,,,,,,,,,,,,9e3,83333.33333333333
Kernstown (second),Confederate,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14e3,83333.33333333333
Kernstown (second),US,8000,,,,,,,,,,,,,,,,,,,,479,,,,706,,,,,,,,,,,,,,,,8e3,83333.33333333333
Kinston,Confederate,8500,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,8500,833.3333333333334
Kinston,US,15000,,,,,,,,,,,,,,,,,,,,1000,,,,257,,,,,,,,,,,,,,,,15e3,83333.33333333333
Knoxville (attack on Fort Sanders),Confederate,3000,,,,,,,,,,,,,,,,,,,,226,129,458,,,,,,,,,,,,,,,,,,3e3,83333.33333333333
Knoxville (attack on Fort Sanders),US,440,,,,,,,,,,,,,,,,,,12,,,8,5,,,,,,,,,,,,,,,,,,440,8.333333333333334
Knoxville (siege),Confederate,15000,,,,,,,,,,,,,,,,,,,1142,,,,,,,,,,,,,,,,,,,,,15e3,83333.33333333333
Knoxville (siege),US,25000,,,,,,,,,,,,,,,,,,,,,92,394,,,,207,,,,,,,,,,,,,,25e3,83333.33333333333
Malvern Hill (Seven Days),Confederate,86784,,,,,,,,,,,,,,,,,,,5355,,,,,,,,,,,,,,,,,,,,,86784,0.08333333333333333
Malvern Hill (Seven Days),US,83345,,,,,,,,,,,,,,,,,,,3214,,,,,,,,,,,,,,,,,,,,,83345,0.08333333333333333
McDowell,Confederate,5000,,,,,,,,,,,,,,,,,,,,,75,423,,,,,,,,,,,,,,,,,,5e3,83333.33333333333
McDowell,US,2500,,,,,,,,,,,,,,,,,,,,,26,227,3,,,,,,,,,,,,,,,,,2500,833.3333333333334
Mechanicsville (Seven Days),Confederate,16356,,,,,,,,,,,,,,,,,,,1484,,,,,,,,,,,,,,,,,,,,,16356,0.08333333333333333
Mechanicsville (Seven Days),US,15631,,,,,,,,,,,,,,,,,,,,,49,207,105,,,,,,,,,,,,,,,,,15631,0.08333333333333333
Mill Springs (Logan's Crossroads),Confederate,4500,,,,,,,,,,,,,,,,,,,,,125,309,99,,,,,12,,,,,,,,,,,,4500,833.3333333333334
Mill Springs (Logan's Crossroads),US,4000,,,,,,,,,,,,,,,,,,,,,40,207,,,,,,,,,,,,,,,,,,4e3,83333.33333333333
Mine Creek,Confederate,6500,,,,,,,,,,,,,,,,,,,,560,300,250,,,,,,,,,,,,,,,,,,6500,833.3333333333334
Mine Creek,US,2600,,,,,,,,,,,,,,,,,,,,,15,94,,,,,,,,,,,,,,,,,,2600,833.3333333333334
Mine Run,Confederate,48586,,,,,,,,,,,,,,,,,,,629,,,,,,,,,,,,,,,,,,,,,48586,0.08333333333333333
Mine Run,US,84274,,,,,,,,,,,,,,,,,,,1653,,,,,,,,,,,,,,,,,,,,,84274,0.08333333333333333
Mobile Bay,Confederate,,,,470,,,,,,,,3,1,,,,,,91,,243,,,,69,,,,,,,,,,,2,,1,1,,470,8.333333333333334
Mobile Bay,US,,,,3000,,,,,,,,,4,,,,,14,199,,,172,170,,,,,,,,,,,,,,1,,,,3e3,83333.33333333333
Monocacy River,Confederate,14000,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,14e3,83333.33333333333
Monocacy River,US,6050,,,,,,,,,,,,,,,,,,,,,90,579,,,,1290,,,,,,,,,,,,,,6050,8.333333333333334
Nashville,Confederate,23207,,,,,,,,,,,,,,,,,,,,4462,,,,1500,,,,53,,,,,,,,,,,,23207,0.08333333333333333
Nashville,US,43260,,,,,,,,,,,,,,,,,,,,,387,2562,112,,,,,,,,,,,,,,,,,43260,8.333333333333334
New Bern,Confederate,5000,,,,,,,,,,,,,,,,,,,,,68,116,425,,,,,,,,,,,,,,,,,5e3,83333.33333333333
New Bern,US,11000,,,,,,,,,,,,,,,,,,,,,90,385,1,,,,,,,,,,,,,,,,,11e3,83333.33333333333
New Hope Church,Confederate,,,,,1,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,25289.031,80787806.7648039
New Hope Church,US,,,,,1,,,,,,,,,,,,,,,1665,,,,,,,,,,,,,,,,,,,,,18461.604,41113551.768952906
New Market,Confederate,3500,,,,,,,,,,,,,,,,,,,,,42,484,13,,,,,,,,,,,,,,,,,3500,833.3333333333334
New Market,US,5200,,,,,,,,,,,,,,,,,,,,,93,482,256,,,,,,,,,,,,,,,,,5200,833.3333333333334
New Orleans,Confederate,1100,,,,,,,,,,,10,,,,,,,126,,,185,39,,,,,,,,,,,,9,,,,,,1100,833.3333333333334
New Orleans,US,,,,,,,,,,,2,9,,7,,,,,243,,,37,149,,,,,,,,,,,,1,,,,,,,
North Anna River,Confederate,50000,,,,,,,,,,,,,,,,,,,,,198,618,734,,,,,,,,,,,,,,,,,5e4,8333333.333333333
North Anna River,US,100000,,,,,,,,,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,1e5,833333333.3333334
Olustee,Confederate,5200,,,,,,,,,,,,,,,,,,,,,,841,,,93,,,,,,,,,,,,,,,5200,833.3333333333334
Olustee,US,5115,,,,,,,,,,,,,,,,,,,,,231,1124,506,,,,,,,,,,,,,,,,,5115,0.08333333333333333
Opequon (Third Winchester),Confederate,17103,,,,,,,,,,,,,,,,,,,,,276,1827,,,,1818,,,,,,,,,,,,,,17103,0.08333333333333333
Opequon (Third Winchester),US,37711,,,,,,,,,,,,,,,,,,,,,697,3983,338,,,,,,,,,,,,,,,,,37711,0.08333333333333333
Pea Ridge,Confederate,17000,,,,,,,,,,,,,,,,,,,,200,,,,800,,,,,,,,,,,,,,,,17e3,83333.33333333333
Pea Ridge,US,11250,,,,,,,,,,,,,,,,,,,,,203,980,,,,210,,,,,,,,,,,,,,11250,8.333333333333334
Peachtree Creek,Confederate,18832,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,18832,0.08333333333333333
Peachtree Creek,US,20139,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,20139,0.08333333333333333
Peebles Farm,Confederate,,,,,,,3,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,24435.582000000002,69179299.28255844
Peebles Farm,US,,,,,,,4,,,,,,,,,,,,,,,187,900,1802,,,,,,,,,,,,,,,,,25241.956,70110003.79385796
Perryville,Confederate,16000,,,,,,,,,,,,,,,,,,,,,510,2635,,,,251,,,,,,,,,,,,,,16e3,83333.33333333333
