unit_code,side,state,ordinal,type,special,duplicate,ethnic,unit_name,notes,func
CAL0004R0M,Confederate,AL,4,R,M,0,,"4th Regiment, Alabama Volunteer Militia",No unit history.,
CAL0004R0R,Confederate,AL,4,R,R,0,,"4th Regiment, Alabama Reserves",No unit history.,
CAL0004RC01,Confederate,AL,4,R,,1,,"4th Regiment, Alabama Cavalry (Roddy's)",6/8/99,C
CAL0004RC02,Confederate,AL,4,R,,2,,"4th Regiment, Alabama Cavalry (Russell's)",6/8/99,C
CAL0004RC03,Confederate,AL,4,R,,3,,"4th Regiment, Alabama Cavalry",,C
CAL0004RI,Confederate,AL,4,R,,0,,"4th Regiment, Alabama Infantry","01/10/08
Revised 02/05/2008",I
CAL0004Y,Confederate,AL,4,Y,,0,,"4th Battery, Alabama",,
CAL0005BIV1,Confederate,AL,5,B,V,1,,"5th Battalion, Alabama Infantry Volunteers",6/8/99,I
CAL0005BIV2,Confederate,AL,5,B,V,2,,"5th Battalion, Alabama Infantry Volunteers (Blount's)",6/10/99,I
CAL0005RC,Confederate,AL,5,R,,0,,"5th Regiment, Alabama Cavalry",6/8/99,C
CAL0005RI,Confederate,AL,5,R,,0,,"5th Regiment, Alabama Infantry",6/8/99,I
CAL000600M,Confederate,AL,6,,M,0,,"6th Brigade, 3rd Division, Alabama Militia",,
CAL0006BI,Confederate,AL,6,B,,0,,"6th Battalion, Alabama Infantry (McClellan's)",No unit history.,I
CAL0006RC,Confederate,AL,6,R,,0,,"6th Regiment, Alabama Cavalry",6/8/99,C
CAL0006RI,Confederate,AL,6,R,,0,,"6th Regiment, Alabama Infantry",6/8/99,I
CAL0007B0R,Confederate,AL,7,B,R,0,,"7th Battalion, Alabama Reserves",,
CAL0007RC,Confederate,AL,7,R,,0,,"7th Regiment, Alabama Cavalry",6/8/99,C
CAL0007RI,Confederate,AL,7,R,,0,,"7th Regiment, Alabama Infantry",No unit history.,I
CAL000800M,Confederate,AL,8,,M,0,,"8th Division, Alabama Militia",,
CAL0008RC01,Confederate,AL,8,R,,1,,"8th Regiment, Alabama Cavalry (Hatch's)",6/8/99,C
CAL0008RC02,Confederate,AL,8,R,,2,,"8th Regiment, Alabama Cavalry (Livingston's)",6/8/99,C
CAL0008RC03,Confederate,AL,8,R,,3,,"8th Regiment, Alabama Cavalry",,C
CAL0008RI,Confederate,AL,8,R,,0,,"8th Regiment, Alabama Infantry",No unit history.,I
CAL000900M,Confederate,AL,9,,M,0,,"9th Brigade, Alabama Volunteer Militia",,
CAL0009B,Confederate,AL,9,B,,0,,"9th Battalion, Alabama",,
CAL0009R0M,Confederate,AL,9,R,M,0,,"9th Regiment, Alabama Volunteer Militia",,
CAL0009RC01,Confederate,AL,9,R,,1,,"9th Regiment, Alabama Cavalry (Malone's)",6/8/99,C
CAL0009RC02,Confederate,AL,9,R,,2,,"9th Regiment, Alabama Cavalry",,C
CAL0009RI,Confederate,AL,9,R,,0,,"9th Regiment, Alabama Infantry",6/8/99,I
CAL0010RC,Confederate,AL,10,R,,0,,"10th Regiment, Alabama Cavalry",6/8/99,C
CAL0010RI,Confederate,AL,10,R,,0,,"10th Regiment, Alabama Infantry",6/8/99,I
CAL0011BC,Confederate,AL,11,B,,0,,"11th Battalion, Alabama Cavalry",No unit history,C
CAL0011CA,Confederate,AL,11,C,,0,,"11th Company, Alabama Artillery",,A
CAL0011RAH,Confederate,AL,11,R,H,0,,"11th Regiment, Alabama Heavy Artillery",,A
CAL0011RC,Confederate,AL,11,R,,0,,"11th Regiment, Alabama Cavalry",6/8/99,C
CAL0011RI,Confederate,AL,11,R,,0,,"11th Regiment, Alabama Infantry",6/8/99,I
CAL0012RC,Confederate,AL,12,R,,0,,"12th Regiment, Alabama Cavalry",6/8/99,C
CAL0012RI,Confederate,AL,12,R,,0,,"12th Regiment, Alabama Infantry","6/8/99
",I
CAL0013BC,Confederate,AL,13,B,,0,,"13th Battalion, Alabama Partisan Rangers (13th Battalion, Alabama Cavalry)",6/10/99,C
CAL0013RI,Confederate,AL,13,R,,0,,"13th Regiment, Alabama Infantry",6/8/99,I
CAL0014RC,Confederate,AL,14,R,,0,,"14th Regiment, Alabama Cavalry",,C
CAL0014RI,Confederate,AL,14,R,,0,,"14th Regiment, Alabama Infantry",6/8/99,I
CAL0015B,Confederate,AL,15,B,,0,,"15th Battalion, Alabama Partisan Rangers (1st Battalion)",6/10/99,
CAL0015RC,Confederate,AL,15,R,,0,,"15th Regiment, Alabama Cavalry",,C
CAL0015RI,Confederate,AL,15,R,,0,,"15th Regiment, Alabama Infantry",6/8/99,I
CAL0016RC,Confederate,AL,16,R,,0,,"16th Regiment, Alabama Cavalry",,C
CAL0016RI,Confederate,AL,16,R,,0,,"16th Regiment, Alabama Infantry",6/8/99,I
CAL0017BS,Confederate,AL,17,B,,0,,"17th Battalion, Alabama Sharpshooters",6/8/99,S
CAL0017RC,Confederate,AL,17,R,,0,,"17th Regiment, Alabama Cavalry",,C
CAL0017RI,Confederate,AL,17,R,,0,,"17th Regiment, Alabama Infantry",6/8/99,I
CAL0018BIV,Confederate,AL,18,B,V,0,,"18th Battalion, Alabama Infantry (Volunteers)",No unit history.,I
CAL0018RI,Confederate,AL,18,R,,0,,"18th Regiment, Alabama Infantry",6/8/99,I
CAL0019RC,Confederate,AL,19,R,,0,,"19th Regiment, Alabama Cavalry",No unit history,C
CAL0019RI,Confederate,AL,19,R,,0,,"19th Regiment, Alabama Infantry",6/8/99,I
CAL0020BAL,Confederate,AL,20,B,L,0,,"20th Battalion, Alabama Light Artillery",6/8/99,A
CAL0020RC,Confederate,AL,20,R,,0,,"20th Regiment, Alabama Cavalry",,C
CAL0020RI,Confederate,AL,20,R,,0,,"20th Regiment, Alabama Infantry",6/8/99,I
CAL0021B,Confederate,AL,21,B,,0,,"21st Battalion, Alabama",,
CAL0021RI,Confederate,AL,21,R,,0,,"21st Regiment, Alabama Infantry",6/8/99,I
CAL0022RC,Confederate,AL,22,R,,0,,"22nd Regiment, Alabama Cavalry",,C
CAL0022RI,Confederate,AL,22,R,,0,,"22nd Regiment, Alabama Infantry",6/8/99,I
CAL0023BS,Confederate,AL,23,B,,0,,"23rd Battalion, Alabama Sharpshooters",6/8/99,S
CAL0023R0M,Confederate,AL,23,R,M,0,,"23rd Regiment, Alabama Militia",,
CAL0023RC,Confederate,AL,23,R,,0,,"23rd Regiment, Alabama Cavalry",,C
CAL0023RI,Confederate,AL,23,R,,0,,"23rd Regiment, Alabama Infantry",6/8/99,I
CAL0024BC,Confederate,AL,24,B,,0,,"24th Battalion, Alabama Cavalry",6/8/99,C
CAL0024RI,Confederate,AL,24,R,,0,,"24th Regiment, Alabama Infantry",6/8/99,I
CAL0025BC,Confederate,AL,25,B,,0,,"25th Battalion, Alabama Cavalry","Unit Code Updated
No unit history.",C
CAL0025R0M,Confederate,AL,25,R,M,0,,"25th Regiment, Alabama Militia",,
CAL0025RI,Confederate,AL,25,R,,0,,"25th Regiment, Alabama Infantry",6/8/99,I
CAL0026RC,Confederate,AL,26,R,,0,,"26th Regiment, Alabama Cavalry",,C
CAL0026RI,Confederate,AL,26,R,,0,,"26th Regiment, Alabama Infantry (O'Neal's)",6/8/99,I
CAL0027RI,Confederate,AL,27,R,,0,,"27th Regiment, Alabama Infantry",6/8/99,I
CAL0027YA,Confederate,AL,27,Y,,0,,"27th Battery, Alabama Artillery",,A
CAL0028RI,Confederate,AL,28,R,,0,,"28th Regiment, Alabama Infantry",6/8/99,I
CAL0029RC,Confederate,AL,29,R,,0,,"29th Regiment, Alabama Cavalry",,C
CAL0029RI,Confederate,AL,29,R,,0,,"29th Regiment, Alabama Infantry",6/8/99,I
CAL0030B0R,Confederate,AL,30,B,R,0,,"30th Battalion, Alabama Reserves",,
CAL0030RC,Confederate,AL,30,R,,0,,"30th Regiment, Alabama Cavalry",,C
CAL0030RI,Confederate,AL,30,R,,0,,"30th Regiment, Alabama Infantry",6/8/99,I
CAL0031R0M,Confederate,AL,31,R,M,0,,"31st Regiment, Alabama Militia",,
CAL0031R0R,Confederate,AL,31,R,R,0,,"31st Regiment, Alabama Reserves",,
CAL0031RC,Confederate,AL,31,R,,0,,"31st Regiment, Alabama Cavalry",,C
CAL0031RI,Confederate,AL,31,R,,0,,"31st Regiment, Alabama Infantry",6/8/99,I
CAL0032RI01,Confederate,AL,32,R,,1,,"32nd Regiment, Alabama Infantry",6/8/99,I
CAL0032RI02,Confederate,AL,32,R,,2,,"32nd and 58th Consolidated Regiment, Alabama Infantry ",No unit history.,I
CAL0033RC,Confederate,AL,33,R,,0,,"33rd Regiment, Alabama Cavalry",,C
CAL0033RI,Confederate,AL,33,R,,0,,"33rd Regiment, Alabama Infantry",6/8/99,I
CAL0034RI,Confederate,AL,34,R,,0,,"34th Regiment, Alabama Infantry",6/8/99,I
CAL0035RC,Confederate,AL,35,R,,0,,"35th Regiment, Alabama Cavalry",,C
CAL0035RI,Confederate,AL,35,R,,0,,"35th Regiment, Alabama Infantry",6/8/99,I
CAL0036RI,Confederate,AL,36,R,,0,,"36th Regiment, Alabama Infantry",6/8/99,I
CAL0037RI,Confederate,AL,37,R,,0,,"37th Regiment, Alabama Infantry",6/8/99,I
CAL0038RC,Confederate,AL,38,R,,0,,"38th Regiment, Alabama Cavalry",,C
CAL0038RI,Confederate,AL,38,R,,0,,"38th Regiment, Alabama Infantry",6/8/99,I
CAL0039RI,Confederate,AL,39,R,,0,,"39th Regiment, Alabama Infantry",6/8/99,I
CAL0040RI,Confederate,AL,40,R,,0,,"40th Regiment, Alabama Infantry",6/8/99,I
CAL0041RI,Confederate,AL,41,R,,0,,"41st Regiment, Alabama Infantry",6/8/99,I
CAL0042RC,Confederate,AL,42,R,,0,,"42nd Regiment, Alabama Cavalry",,C
CAL0042RI,Confederate,AL,42,R,,0,,"42nd Regiment, Alabama Infantry",6/8/99,I
CAL0043RC,Confederate,AL,43,R,,0,,"43rd Regiment, Alabama Cavalry",,C
CAL0043RI,Confederate,AL,43,R,,0,,"43rd Regiment, Alabama Infantry",6/8/99,I
CAL0044RI,Confederate,AL,44,R,,0,,"44th Regiment, Alabama Infantry",6/8/99,I
CAL0045R0M,Confederate,AL,45,R,M,0,,"45th Regiment, Alabama Militia",,
CAL0045RI,Confederate,AL,45,R,,0,,"45th Regiment, Alabama Infantry",6/8/99,I
CAL0046R0M,Confederate,AL,46,R,M,0,,"46th Regiment, Alabama Militia",,
CAL0046RI,Confederate,AL,46,R,,0,,"46th Regiment, Alabama Infantry",6/8/99,I
CAL0047RC,Confederate,AL,47,R,,0,,"47th Regiment, Alabama Cavalry",,C
CAL0047RI,Confederate,AL,47,R,,0,,"47th Regiment, Alabama Infantry",6/8/99,I
CAL0048R0M1,Confederate,AL,48,R,M,1,,"48th Regiment, Alabama Militia",No unit history.,
CAL0048R0M2,Confederate,AL,48,R,M,2,,"48th Regiment, Alabama Volunteer Militia",,
CAL0048RI,Confederate,AL,48,R,,0,,"48th Regiment, Alabama Infantry",6/8/99,I
CAL0049RI,Confederate,AL,49,R,,0,,"49th Regiment, Alabama Infantry",6/8/99,I
CAL0050RI,Confederate,AL,50,R,,0,,"50th Regiment, Alabama Infantry",6/8/99,I
CAL0051R,Confederate,AL,51,R,,0,,"51st Regiment, Alabama Partisan Rangers",6/10/99,
CAL0051RI,Confederate,AL,51,R,,0,,"51st Regiment, Alabama Infantry",,I
CAL0052RI,Confederate,AL,52,R,,0,,"52nd Regiment, Alabama Infantry",,I
CAL0053R,Confederate,AL,53,R,,0,,"53rd Regiment, Alabama Partisan Rangers",6/10/99,
CAL0053RI,Confederate,AL,53,R,,0,,"53rd Regiment, Alabama Infantry",,I
CAL0054RC,Confederate,AL,54,R,,0,,"54th Regiment, Alabama Cavalry",,C
CAL0054RI,Confederate,AL,54,R,,0,,"54th Regiment, Alabama Infantry",6/10/99,I
CAL0055RIV,Confederate,AL,55,R,V,0,,"55th Regiment, Alabama Infantry Volunteers",6/10/99,I
CAL0056R,Confederate,AL,56,R,,0,,"56th Regiment, Alabama Partisan Rangers (1st Alabama Partisan Rangers)",No unit history.,
CAL0056RI,Confederate,AL,56,R,,0,,"56th Regiment, Alabama Infantry",,I
CAL0057RI,Confederate,AL,57,R,,0,,"57th Regiment, Alabama Infantry",No unit history.,I
CAL0058RI,Confederate,AL,58,R,,0,,"58th Regiment, Alabama Infantry",,I
CAL0059RI,Confederate,AL,59,R,,0,,"59th Regiment, Alabama Infantry",No unit history.,I
CAL0060RC,Confederate,AL,60,R,,0,,"60th Regiment, Alabama Cavalry",,C
CAL0060RI,Confederate,AL,60,R,,0,,"60th Regiment, Alabama Infantry","01/10/2008
Revised 02/05/2008",I
CAL0061RC,Confederate,AL,61,R,,0,,"61st Regiment, Alabama Cavalry",,C
CAL0061RI,Confederate,AL,61,R,,0,,"61st Regiment, Alabama Infantry",No unit history.,I
CAL0064RI,Confederate,AL,64,R,,0,,"64th Regiment, Alabama Infantry",,I
CAL0065RI,Confederate,AL,65,R,,0,,"65th Regiment, Alabama Infantry",,I
CAL0066RI,Confederate,AL,66,R,,0,,"66th Regiment, Alabama Infantry",,I
CAL0067RI,Confederate,AL,67,R,,0,,"67th Regiment, Alabama Infantry",,I
CAL0068RI,Confederate,AL,68,R,,0,,"68th Regiment, Alabama Infantry",,I
CAL0069R,Confederate,AL,69,R,,0,,"69th Regiment, Alabama",,
CAL0069R0M,Confederate,AL,69,R,M,0,,"69th Regiment, Alabama Militia",,
CAL0076RI,Confederate,AL,76,R,,0,,"76th Regiment, Alabama Infantry",,I
CAL0079RI,Confederate,AL,79,R,,0,,"79th Regiment, Alabama Infantry",,I
CAL0087R,Confederate,AL,87,R,,0,,"87th Regiment, Alabama",,
CAL0089R0M,Confederate,AL,89,R,M,0,,"89th Regiment, Alabama Volunteer Militia",No unit history.,
CAL0092RI,Confederate,AL,92,R,,0,,"92nd Regiment, Alabama Infantry",,I
CAL0094R0M,Confederate,AL,94,R,M,0,,"94th Regiment, Alabama Volunteer Militia",No unit history.,
CAL0095R0M,Confederate,AL,95,R,M,0,,"95th Regiment, Alabama Volunteer Militia",No unit history.,
CAL0105R,Confederate,AL,105,R,,0,,"105th Regiment, Alabama",,
CALADAM0C,Confederate,AL,ADAM,,,0,,"Adams Escort, Alabama Cavalry",,C
CALARMSRC,Confederate,AL,ARMS,R,,0,,"Armstead's Regiment, Alabama Cavalry",,C
CALARRICC,Confederate,AL,ARRI,C,,0,,"Arrington's Company A, Mobile (Alabama) City Troop (Company F, 15th Confederate Cavalry)",No unit history.,C
CALBACO0A,Confederate,AL,BACO,,,0,,"Bacomb's Artillery, Alabama",,A
CALBARBBC,Confederate,AL,BARB,B,,0,,"Barbiere's Battalion, Alabama Cavalry",No unit history.,C
CALBARLCC,Confederate,AL,BARL,C,,0,,"Barlow's Company, Alabama Cavalry (Company C, 15th Confederate Cavalry)",No unit history.,C
CALBAY0YA,Confederate,AL,BAY0,Y,,0,,"Bay Batteries, Alabama Artillery",No unit history.,A
CALBELSC0R,Confederate,AL,BELS,C,R,0,,"Belser's Company, Alabama Reserves",No unit history.,
CALBLIGC0M,Confederate,AL,BLIG,C,M,0,,"Bligh's Company, Alabama Militia",No unit history.,
CALBOWICC,Confederate,AL,BOWI,C,,0,,"Bowie's Company, Alabama Cavalry",No unit history.,C
CALBRAD0I,Confederate,AL,BRAD,,,0,,Brady's Alabama Infantry,,I
CALBREW0C,Confederate,AL,BREW,,,0,,Brewer's Alabama Cavalry,,C
CALBRIE0CR,Confederate,AL,BRIE,,R,0,,"Brier's Cavalry, Alabama Reserves",,C
CALBROLCC,Confederate,AL,BROL,C,,0,,"Brola Company, Alabama Cavalry",,C
CALBROO00G,Confederate,AL,BROO,,G,0,,Brooks' Alabama Home Guards,,
CALBROOCCR,Confederate,AL,BROO,C,R,0,,"Brooks' Company, Alabama Cavalry Reserves",No unit history.,C
CALBROW0C,Confederate,AL,BROW,,,0,,Brown's Alabama Cavalry,No unit history.,C
CALBURGCC,Confederate,AL,BURG,C,,0,,"Burge's Company, Alabama Cavalry",,C
CALCACHCC,Confederate,AL,CACH,C,,0,,"Cachet's Company, Alabama Cavalry",,C
CALCALH00R,Confederate,AL,CALH,,R,0,,Calhoun County (Alabama) Reserves,,
CALCALLCC,Confederate,AL,CALL,C,,0,,"Callaway's Company, Alabama Cavalry",No unit history.,C
CALCAMPC0M,Confederate,AL,CAMP,C,M,0,,"Campbell's Company, Alabama Militia",No unit history.,
CALCARNYA,Confederate,AL,CARN,Y,,0,,"Carnes' Battery, Alabama Artillery",,A
CALCHISCC,Confederate,AL,CHIS,C,,0,,"Chisholm's Company, Alabama Cavalry",No unit history.,C
CALCLANYAL,Confederate,AL,CLAN,Y,L,0,,"Clanton's Battery, Alabama Light Artillery",No unit history.,A
CALCONS00D,Confederate,AL,CONS,,D,0,,Alabama Conscripts,,
CALCONSB,Confederate,AL,CONS,B,,0,,"Battalion of Conscripts and Reserves, Alabama",No unit history.,
CALCOOPBI,Confederate,AL,COOP,B,,0,,"Cooper's Battalion, Alabama Infantry",,I
CALCOOS00R,Confederate,AL,COOS,,R,0,,Coosa County (Alabama) Reserves,,
CALCPIC,Confederate,AL,CPIC,,,0,,"Camp Pickens, Alabama",,
CALCRAWC,Confederate,AL,CRAW,C,,0,,"Crawford's Company, Alabama",No unit history.,
CALDARBC,Confederate,AL,DARB,C,,0,,"Darby's Company, Alabama Volunteers (Auburn Home Guards)",No unit history.,
CALDAWSRC,Confederate,AL,DAWS,R,,0,,"Dawson's Regiment, Alabama Cavalry",,C
CALDILL0C,Confederate,AL,DILL,,,0,,Dill's Alabama Cavalry,,C
CALDOBB0C,Confederate,AL,DOBB,,,0,,Dobbins' Alabama Cavalry,,C
CALECHOC0D,Confederate,AL,ECHO,C,D,0,,"Echols' Company, Alabama Conscripts",No unit history.,
CALECKLBI,Confederate,AL,ECKL,B,,0,,"Eckles' Battalion, Alabama Infantry",,I
CALELLIC0R,Confederate,AL,ELLI,C,R,0,,"Elliby's Company, Alabama State Reserves",No unit history.,
CALEUFA0AL,Confederate,AL,EUFA,,L,0,,Eufaula Light Artillery (Alabama),No unit history.,A
CALFAGGC0V,Confederate,AL,FAGG,C,V,0,,"Fagg's Company, Alabama Volunteers (Lownde's Rangers)",No unit history.,
CALFALCBC,Confederate,AL,FALC,B,,0,,"Falconnet's Battalion, Alabama Cavalry",,C
CALFALKCC,Confederate,AL,FALK,C,,0,,"Falkner's Company, Alabama Cavalry (Chambers')",No unit history.,C
CALFAYE00R,Confederate,AL,FAYE,,R,0,,"Fayette County, Alabama Reserves",,
CALFIRE,Confederate,AL,FIRE,,,0,,"Firemen's Guard, Alabama",,
CALFIREB,Confederate,AL,FIRE,B,,0,,Fire Battalion of Mobile (Alabama),No unit history.,
CALFLOYCC,Confederate,AL,FLOY,C,,0,,"Floyd's Company, Alabama Cavalry",,C
CALFORRRC,Confederate,AL,FORR,R,,0,,"Forrest's Regiment, Alabama Cavalry",No unit history.,C
CALFOSTRC,Confederate,AL,FOST,R,,0,,"Foster's Regiment, Alabama Cavalry",,C
CALFREEC,Confederate,AL,FREE,C,,0,,"Freeman's Company, Alabama Prison Guards",No unit history.,
CALFULM00R,Confederate,AL,FULM,,R,0,,Fulmo Alabama Reserves,,
CALGACHCC,Confederate,AL,GACH,C,,0,,"Gachet's Company, Alabama Cavalry",,C
CALGARR,Confederate,AL,GARR,,,0,,Alabama Garrison Guard,,
CALGIDN0AL,Confederate,AL,GIDN,,L,0,,Gid Nelson Alabama Light Artillery,No unit history.,A
CALGOLDC0V,Confederate,AL,GOLD,C,V,0,,"Goldsmith's Independent Company, Alabama Volunteers",No unit history.,
CALGOLDYAL,Confederate,AL,GOLD,Y,L,0,,"Goldthwaite's Battery, Alabama Light Artillery",No unit history.,A
CALGORFC,Confederate,AL,GORF,C,,0,,"Gorff's Company, Alabama (Mobile Pulaski Rifles)",No unit history.,
CALGRACY,Confederate,AL,GRAC,Y,,0,,"Gracie's Battery, Alabama",,
CALGRAVCC,Confederate,AL,GRAV,C,,0,,"Graves' Company, Alabama Cavalry",,C
CALGRAYB0R,Confederate,AL,GRAY,B,R,0,,"Gray's Battalion, Alabama Reserves",,
CALGREE,Confederate,AL,GREE,,,0,,"Greensboro Guard, Alabama",,
CALGUAR00S,Confederate,AL,GUAR,,S,0,,Alabama State Guards,No unit history.,
CALGUERC0M,Confederate,AL,GUER,C,M,0,,"Gueringer's Company, Alabama Militia",No unit history.,
CALHAMM0I,Confederate,AL,HAMM,,,0,,Hammond's Alabama Infantry,,I
CALHANCC0R,Confederate,AL,HANC,C,R,0,,"Hancock's Company, Alabama Reserves",,
CALHARD0A,Confederate,AL,HARD,,,0,,Hardee's Alabama Artillery,,A
CALHARDBCR,Confederate,AL,HARD,B,R,0,,"Hardie's Battalion, Alabama Cavalry Reserves",No unit history.,C
CALHARDC,Confederate,AL,HARD,C,,0,,"Hardy's Company, Alabama (Eufaula Minutemen)",No unit history.,
CALHAYSR,Confederate,AL,HAYS,R,,0,,"Hays' Regiment, Alabama",,
CALHERR,Confederate,AL,HERR,,,0,,"Herron's Mobile City Guards, Alabama",,
CALHERTC0M,Confederate,AL,HERT,C,M,0,,"Hert's Company, Alabama Militia",No unit history.,
CALHILLL0V,Confederate,AL,HILL,L,V,0,,"Hilliard's Legion, Alabama Volunteers","No Regiment History Available
06/14/99",
CALHOLLCC,Confederate,AL,HOLL,C,,0,,"Holloway's Company, Alabama Cavalry",No unit history.,C
CALHOME00S,Confederate,AL,HOME,,S,0,,"Home Guard, Alabama State Troops",,
CALHUBBBC,Confederate,AL,HUBB,B,,0,,"Hubbard's Battalion, Alabama Cavalry",,C
CALHUBBC0R,Confederate,AL,HUBB,C,R,0,,"Hubbard's Company, Alabama State Reserve",,
CALHUNTC0M,Confederate,AL,HUNT,C,M,0,,"Hunt's Company, Alabama Militia",,
CALHURTYAL,Confederate,AL,HURT,Y,L,0,,"Hurt's Battery, Alabama Light Artillery",No unit history.,A
CALINGL0C,Confederate,AL,INGL,,,0,,Ingliss' Alabama Cavalry,,C
CALINST,Confederate,AL,INST,,,0,,"Camp of Instruction, Talladega, Alabama",,
CALINVA,Confederate,AL,INVA,,,0,,Alabama Invalid Corps,,
CALJAME00M,Confederate,AL,JAME,,M,0,,James County (Alabama) Militia,,
CALJAYSCI,Confederate,AL,JAYS,C,,0,,"Jay's Company, Alabama Infantry",,I
CALJEAR0C,Confederate,AL,JEAR,,,0,,Jearsyville Alabama Cavalry,,C
CALJEFF0A,Confederate,AL,JEFF,,,0,,"Jeff Davis Artillery, Alabama","No Regiment History Available
6/14/99",A
CALJENKYA,Confederate,AL,JENK,Y,,0,,"Jenks' Battery, Alabama Artillery",,A
CALKOLBYAL,Confederate,AL,KOLB,Y,L,0,,"Kolb's Battery, Alabama Light Artillery",No unit history.,A
CALLEE0C0V,Confederate,AL,LEE0,C,V,0,,"Lee's Company, Alabama Volunteers",No unit history.,
CALLEE0YAL,Confederate,AL,LEE0,Y,L,0,,"Lee's Battery, Alabama Light Artillery",No unit history.,A
