battle_id,belligerent,name,url
iuka,Confederate,Sterling Price,http://www.civilwar.org/education/history/biographies/sterling-price.html
gettysburg,US,George G. Meade,http://www.civilwar.org/education/history/biographies/george-meade.html
gettysburg,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
cedar-creek,US,Philip Sheridan,http://www.civilwar.org/education/history/biographies/phillip-sheridan.html
cedar-creek,Confederate,Jubal Early,http://www.civilwar.org/education/history/biographies/jubal-early.html
sailor-s-creek,US,Philip Sheridan,http://www.civilwar.org/education/history/biographies/phillip-sheridan.html
sailor-s-creek,Confederate,Richard S. Ewell,http://www.civilwar.org/education/history/biographies/richard-ewell.html
mcdowell,US,Robert C. Schenck,http://www.civilwar.org/education/history/biographies/robert-cumming-schenck.html
mcdowell,US,Robert H. Milroy,http://www.civilwar.org/education/history/biographies/robert-huston-milroy.html
mcdowell,Confederate,"T. J. ""Stonewall"" Jackson",http://www.civilwar.org/education/history/biographies/thomas-jackson.html
sabinepass,US,Frederick Crocker,http://www.civilwar.org/education/history/biographies/frederick-crocker.html
sabinepass,US,William Buel Franklin,http://www.civilwar.org/education/history/biographies/william-buel-franklin.html
sabinepass,Confederate,Richard William Dowling,http://www.civilwar.org/education/history/biographies/richard-william-dowling.html
cedar-mountain,US,Nathaniel Banks,http://www.civilwar.org/education/history/biographies/nathaniel-banks.html
cedar-mountain,Confederate,"T. J. ""Stonewall"" Jackson ",http://www.civilwar.org/education/history/biographies/thomas-jackson.html
brice-s-cross-roads,US,Samuel D. Sturgis,http://www.civilwar.org/education/history/biographies/sameul-sturgis.html
brice-s-cross-roads,Confederate,Nathan Bedford Forrest,http://www.civilwar.org/education/history/biographies/nathan-bedford-forrest.html
davis-bridge,US,Edward O. C. Ord,http://www.civilwar.org/education/history/biographies/edward-o-c-ord.html
davis-bridge,Confederate,Earl Van Dorn,http://www.civilwar.org/education/history/biographies/earl-van-dorn.html
south-mountain,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
south-mountain,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
appomattoxstation,US,George Armstrong Custer,http://www.civilwar.org/education/history/biographies/george-armstrong-custer-1.html
appomattoxstation,Confederate,Reuben Lindsay Walker,http://www.civilwar.org/education/history/biographies/reuben-linsday-walker.html
vicksburg,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
vicksburg,Confederate,John C. Pemberton ,http://www.civilwar.org/education/history/biographies/john-pemberton.html
shepherdstown,US,Fitz John Porter,http://www.civilwar.org/education/history/biographies/fitz-john-porter.html
shepherdstown,Confederate,A. P. Hill,http://www.civilwar.org/education/history/biographies/a-p-hill.html
north-anna,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
north-anna,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
fort-blakely,US,E. R. S. Canby,http://www.civilwar.org/education/history/biographies/edward-richard-sprigg-canby.html
fort-blakely,Confederate,St. John R. Liddell,http://www.civilwar.org/education/history/biographies/st-john-richardson-liddell.html
spotsylvania-court-house,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
spotsylvania-court-house,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
chantilly,US,Isaac I. Stevens,http://www.civilwar.org/education/history/biographies/isaac-ingalls-stevens.html
chantilly,US,Philip Kearny,http://www.civilwar.org/education/history/biographies/philip-kearny.html
chantilly,Confederate,"T. J. ""Stonewall"" Jackson",http://www.civilwar.org/education/history/biographies/thomas-jackson.html
spring-hill,US,John M. Schofield,http://www.civilwar.org/education/history/biographies/john-schofield.html
spring-hill,Confederate,John Bell Hood,http://www.civilwar.org/education/history/biographies/john-bell-hood.html
antietam,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
antietam,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
hampton-roads,US,John L. Worden,http://www.civilwar.org/education/history/biographies/john-lorimer-worden.html
hampton-roads,Confederate,Franklin Buchanan,http://www.civilwar.org/education/history/biographies/franklin-buchanan.html
chattanooga,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
chattanooga,Confederate,Braxton Bragg,http://www.civilwar.org/education/history/biographies/braxton-bragg.html
fortstedman,US,John Grubb Parke,http://www.civilwar.org/education/history/biographies/john-grubb-parke.html
fortstedman,Confederate,John B. Gordon,http://www.civilwar.org/education/history/biographies/john-brown-gordon.html
kernstown,US,Nathan Kimball,http://www.civilwar.org/education/history/biographies/nathan-kimball.html
kernstown,Confederate,"T. J. ""Stonewall"" Jackson",http://www.civilwar.org/education/history/biographies/thomas-jackson.html
battery-wagner,US,Quincy A. Gillmore,http://www.civilwar.org/education/history/biographies/quincy-gillmore.html
battery-wagner,Confederate,P. G. T. Beauregard,http://www.civilwar.org/education/history/biographies/p-g-t-beauregard.html
franklin,US,John M. Schofield,http://www.civilwar.org/education/history/biographies/john-schofield.html
franklin,Confederate,John Bell Hood,http://www.civilwar.org/education/history/biographies/john-bell-hood.html
seven-pines,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
seven-pines,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
second-kernstown,US,George Crook,http://www.civilwar.org/education/history/biographies/george-crook.html
second-kernstown,Confederate,Jubal Early,http://www.civilwar.org/education/history/biographies/jubal-early.html
tupelo,US,Andrew J. Smith,http://www.civilwar.org/education/history/biographies/andrew-j-smith.html
tupelo,Confederate,Nathan Bedford Forrest,http://www.civilwar.org/education/history/biographies/nathan-bedford-forrest.html
mobile-bay,US,David G. Farragut,http://www.civilwar.org/education/history/biographies/david-farragut.html
mobile-bay,Confederate,Franklin Buchanan,http://www.civilwar.org/education/history/biographies/franklin-buchanan.html
portgibson,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
portgibson,Confederate,John C. Pemberton ,http://www.civilwar.org/education/history/biographies/john-pemberton.html
fort-fisher,US,Alfred H. Terry,http://www.civilwar.org/education/history/biographies/alfred-terry.html
fort-fisher,US,David Dixon Porter,http://www.civilwar.org/education/history/biographies/david-porter.html
fort-fisher,Confederate,Braxton Bragg,http://www.civilwar.org/education/history/biographies/braxton-bragg.html
fort-fisher,Confederate,Robert F. Hoke,http://www.civilwar.org/education/history/biographies/robert-hoke.html
campallegheny,US,Robert H. Milroy,http://www.civilwar.org/education/history/biographies/robert-huston-milroy.html
campallegheny,Confederate,"Edward ""Allegheny"" Johnson",http://www.civilwar.org/education/history/biographies/edward-allegheny-johnson.html
middleburg,Confederate,J. E. B. Stuart,http://www.civilwar.org/education/history/biographies/jeb-stuart.html
palmito-ranch,US,Theodore Harvey Barrett,http://www.civilwar.org/education/history/biographies/theodore-harvey-barrett.html
palmito-ranch,Confederate,"John Salmon ""Rip"" Ford",http://www.civilwar.org/education/history/biographies/john-salmon-rip-ford.html
high-bridge,US,A. A. Humphreys,http://www.civilwar.org/education/history/biographies/andrew-atkinson-humphreys.html
high-bridge,Confederate,James Longstreet,http://www.civilwar.org/education/history/biographies/james-longstreet.html
high-bridge,Confederate,Thomas Lafayette Rosser,http://www.civilwar.org/education/history/biographies/thomas-lafayette-rosser.html
rappahannock-station,US,George G. Meade,http://www.civilwar.org/education/history/biographies/george-meade.html
rappahannock-station,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
beaver-dam-creek,US,Fitz John Porter,http://www.civilwar.org/education/history/biographies/fitz-john-porter.html
beaver-dam-creek,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
petersburg,US,George G. Meade,http://www.civilwar.org/education/history/biographies/george-meade.html
petersburg,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
petersburg,Confederate,P. G. T. Beauregard,http://www.civilwar.org/education/history/biographies/p-g-t-beauregard.html
petersburg,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
atlanta,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
atlanta,Confederate,John Bell Hood,http://www.civilwar.org/education/history/biographies/john-bell-hood.html
monocacy,US,Lewis “Lew” Wallace,http://www.civilwar.org/education/history/biographies/lew-wallace.html
monocacy,Confederate,Jubal Early,http://www.civilwar.org/education/history/biographies/jubal-early.html
sand-creek,US,John Chivington,http://www.civilwar.org/education/history/biographies/john-chivington.html
nashville,US,George Thomas,http://www.civilwar.org/education/history/biographies/george-thomas.html
nashville,Confederate,John Bell Hood,http://www.civilwar.org/education/history/biographies/john-bell-hood.html
bentonville,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
bentonville,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
bentonville,Confederate,Wade Hampton,http://www.civilwar.org/education/history/biographies/wade-hampton.html
the-crater,US,Ambrose E. Burnside,http://www.civilwar.org/education/history/biographies/ambrose-burnside.html
the-crater,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
glorieta-pass,US,John Chivington,http://www.civilwar.org/education/history/biographies/john-chivington.html
glorieta-pass,US,John P. Slough,http://www.civilwar.org/education/history/biographies/john-potts-slough.html
glorieta-pass,Confederate,William R. Scurry,http://www.civilwar.org/education/history/biographies/william-scurry.html
brandy-station,US,Alfred Pleasonton,http://www.civilwar.org/education/history/biographies/alfred-pleasonton.html
brandy-station,Confederate,J. E. B. Stuart,http://www.civilwar.org/education/history/biographies/jeb-stuart.html
fredericksburg,US,Ambrose E. Burnside,http://www.civilwar.org/education/history/biographies/ambrose-burnside.html
fredericksburg,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
thoroughfaregap,US,James B. Ricketts,http://www.civilwar.org/education/history/biographies/james-b-ricketts.html
thoroughfaregap,Confederate,James Longstreet,http://www.civilwar.org/education/history/biographies/james-longstreet.html
port-hudson,US,Nathaniel Banks,http://www.civilwar.org/education/history/biographies/nathaniel-banks.html
port-hudson,Confederate,Franklin Gardner,http://www.civilwar.org/education/history/biographies/franklin-gardner.html
richmond,US,William Nelson,http://www.civilwar.org/education/history/biographies/william-nelson.html
richmond,Confederate,E. Kirby Smith,http://www.civilwar.org/education/history/biographies/edmund-kirby-smith.html
second-manassas,US,John Pope,http://www.civilwar.org/education/history/biographies/john-pope-1.html
second-manassas,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
raymond,US,James B. McPherson,http://www.civilwar.org/education/history/biographies/james-mcpherson.html
raymond,Confederate,John Gregg,http://www.civilwar.org/education/history/biographies/john-gregg.html
mansfield,US,Nathaniel Banks,http://www.civilwar.org/education/history/biographies/nathaniel-banks.html
mansfield,Confederate,Richard Taylor,http://www.civilwar.org/education/history/biographies/richard-taylor.html
corinth,US,William S. Rosecrans,http://www.civilwar.org/education/history/biographies/william-s-rosecrans.html
corinth,Confederate,Earl Van Dorn,http://www.civilwar.org/education/history/biographies/earl-van-dorn.html
new-market,US,Franz Sigel,http://www.civilwar.org/education/history/biographies/franz-sigel.html
new-market,Confederate,John C. Breckinridge,http://www.civilwar.org/education/history/biographies/john-breckinridge.html
ringgold-gap,US,Joseph Hooker,http://www.civilwar.org/education/history/biographies/joseph-hooker.html
ringgold-gap,Confederate,Patrick R. Cleburne,http://www.civilwar.org/education/history/biographies/patrick-cleburne.html
hatcher-s-run,US,Gouverneur K. Warren,http://www.civilwar.org/education/history/biographies/gouvernor-warren.html
hatcher-s-run,Confederate,John B. Gordon,http://www.civilwar.org/education/history/biographies/john-brown-gordon.html
jonesborough,US,George Thomas,http://www.civilwar.org/education/history/biographies/george-thomas.html
jonesborough,US,Oliver O. Howard,http://www.civilwar.org/education/history/biographies/oliver-howard.html
jonesborough,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
jonesborough,Confederate,John Bell Hood,http://www.civilwar.org/education/history/biographies/john-bell-hood.html
jonesborough,Confederate,William J. Hardee,http://www.civilwar.org/education/history/biographies/william-joseph-hardee.html
averasborough,US,Henry W. Slocum,http://www.civilwar.org/education/history/biographies/henry-slocum.html
averasborough,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
fort-donelson,US,Andrew Hull Foote,http://www.civilwar.org/education/history/biographies/andrew-hull-foote.html
fort-donelson,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
fort-donelson,Confederate,Gideon J. Pillow,http://www.civilwar.org/education/history/biographies/gideon-pillow.html
fort-donelson,Confederate,John Buchanan Floyd,http://www.civilwar.org/education/history/biographies/john-buchanan-floyd.html
fort-donelson,Confederate,Simon B. Buckner,http://www.civilwar.org/education/history/biographies/simon-buckner.html
trevilian-station,US,Philip Sheridan,http://www.civilwar.org/education/history/biographies/phillip-sheridan.html
trevilian-station,Confederate,Wade Hampton,http://www.civilwar.org/education/history/biographies/wade-hampton.html
champion-hill,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
champion-hill,Confederate,John C. Pemberton ,http://www.civilwar.org/education/history/biographies/john-pemberton.html
peachtree-creek,US,George Thomas,http://www.civilwar.org/education/history/biographies/george-thomas.html
peachtree-creek,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
peachtree-creek,Confederate,John Bell Hood,http://www.civilwar.org/education/history/biographies/john-bell-hood.html
secessionville,US,Henry W. Benham,http://www.civilwar.org/education/history/biographies/henry-washington-benham.html
secessionville,Confederate,Nathan G. Evans,http://www.civilwar.org/education/history/biographies/nathan-george-evans.html
rocky-face-ridge,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
rocky-face-ridge,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
petersburg-breakthrough,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
petersburg-breakthrough,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
first-deep-bottom,US,Philip Sheridan,http://www.civilwar.org/education/history/biographies/phillip-sheridan.html
first-deep-bottom,US,Winfield Scott Hancock,http://www.civilwar.org/education/history/biographies/winfield-scott-hancock.html
first-deep-bottom,Confederate,Joseph B. Kershaw,http://www.civilwar.org/education/history/biographies/joseph-b-kershaw.html
first-deep-bottom,Confederate,Richard H. Anderson,http://www.civilwar.org/education/history/biographies/richard-h-anderson.html
cross-keys,US,John C. Frémont,http://www.civilwar.org/education/history/biographies/john-c-fremont.html
cross-keys,Confederate,Richard S. Ewell,http://www.civilwar.org/education/history/biographies/richard-ewell.html
appomattox-courthouse,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
appomattox-courthouse,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
chickamauga,US,William S. Rosecrans,http://www.civilwar.org/education/history/biographies/william-s-rosecrans.html
chickamauga,Confederate,Braxton Bragg,http://www.civilwar.org/education/history/biographies/braxton-bragg.html
chickamauga,Confederate,James Longstreet,http://www.civilwar.org/education/history/biographies/james-longstreet.html
resaca,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
resaca,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
new-market-heights,US,Benjamin Butler,http://www.civilwar.org/education/history/biographies/benjamin-butler.html
new-market-heights,Confederate,Richard S. Ewell,http://www.civilwar.org/education/history/biographies/richard-ewell.html
new-market-heights,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
chancellorsville,US,Joseph Hooker,http://www.civilwar.org/education/history/biographies/joseph-hooker.html
chancellorsville,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
cool-spring,US,Horatio G. Wright,http://www.civilwar.org/education/history/biographies/horatio-gouverneur-wright.html
cool-spring,Confederate,Jubal Early,http://www.civilwar.org/education/history/biographies/jubal-early.html
fort-sumter,US,Robert Anderson,http://www.civilwar.org/education/history/biographies/robert-anderson.html
fort-sumter,Confederate,P. G. T. Beauregard,http://www.civilwar.org/education/history/biographies/p-g-t-beauregard.html
white-oak-road,US,Gouverneur K. Warren,http://www.civilwar.org/education/history/biographies/gouvernor-warren.html
white-oak-road,Confederate,P. G. T. Beauregard,http://www.civilwar.org/education/history/biographies/p-g-t-beauregard.html
white-oak-road,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
perryville,US,Don Carlos Buell,http://www.civilwar.org/education/history/biographies/don-carlos-buell.html
perryville,Confederate,Braxton Bragg,http://www.civilwar.org/education/history/biographies/braxton-bragg.html
dallas,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
dallas,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
mine-creek,US,Alfred Pleasonton,http://www.civilwar.org/education/history/biographies/alfred-pleasonton.html
mine-creek,Confederate,James Fleming Fagan,http://www.civilwar.org/education/history/biographies/james-fleming-fagan.html
mine-creek,Confederate,John Sappington Marmaduke,http://www.civilwar.org/education/history/biographies/john-sappington-marmaduke.html
stones-river,US,William S. Rosecrans,http://www.civilwar.org/education/history/biographies/william-s-rosecrans.html
stones-river,Confederate,Braxton Bragg,http://www.civilwar.org/education/history/biographies/braxton-bragg.html
wyse-fork,US,John M. Schofield,http://www.civilwar.org/education/history/biographies/john-schofield.html
wyse-fork,Confederate,Braxton Bragg,http://www.civilwar.org/education/history/biographies/braxton-bragg.html
fisher-s-hill,US,Philip Sheridan,http://www.civilwar.org/education/history/biographies/phillip-sheridan.html
fisher-s-hill,Confederate,Jubal Early,http://www.civilwar.org/education/history/biographies/jubal-early.html
gaines-mill,US,Fitz John Porter,http://www.civilwar.org/education/history/biographies/fitz-john-porter.html
gaines-mill,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
gaines-mill,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
shiloh,US,Don Carlos Buell,http://www.civilwar.org/education/history/biographies/don-carlos-buell.html
shiloh,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
shiloh,Confederate,Albert Sidney Johnston,http://www.civilwar.org/education/history/biographies/albert-johnston.html
shiloh,Confederate,P. G. T. Beauregard,http://www.civilwar.org/education/history/biographies/p-g-t-beauregard.html
toms-brook,US,Alfred T. A. Torbert,http://www.civilwar.org/education/history/biographies/alfred-torbert.html
toms-brook,US,Wesley Merritt,http://www.civilwar.org/education/history/biographies/wesley-merritt.html
toms-brook,Confederate,Lunsford Lindsay Lomax,http://www.civilwar.org/education/history/biographies/lunsford-lindsay-lomax.html
toms-brook,Confederate,Thomas Lafayette Rosser,http://www.civilwar.org/education/history/biographies/thomas-lafayette-rosser.html
kelly-s-ford,US,William W. Averell,http://www.civilwar.org/education/history/biographies/william-averell.html
kelly-s-ford,Confederate,Fitzhugh Lee,http://www.civilwar.org/education/history/biographies/fitzhugh-lee.html
pea-ridge,US,Samuel R. Curtis,http://www.civilwar.org/education/history/biographies/samuel-ryan-curtis.html
pea-ridge,Confederate,Earl Van Dorn,http://www.civilwar.org/education/history/biographies/earl-van-dorn.html
glendale,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
glendale,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
five-forks,US,Philip Sheridan,http://www.civilwar.org/education/history/biographies/phillip-sheridan.html
five-forks,Confederate,George E. Pickett,http://www.civilwar.org/education/history/biographies/george-pickett.html
ballsbluff,US,Charles P. Stone,http://www.civilwar.org/education/history/biographies/charles-p-stone.html
ballsbluff,Confederate,Nathan G. Evans,http://www.civilwar.org/education/history/biographies/nathan-george-evans.html
olustee,US,Truman Seymour,http://www.civilwar.org/education/history/biographies/truman-seymour.html
olustee,Confederate,Joseph Finegan,http://www.civilwar.org/education/history/biographies/joseph-finegan.html
prairie-grove,US,James Gilpatrick Blunt,http://www.civilwar.org/education/history/biographies/james-gilpatrick-blunt.html
prairie-grove,Confederate,Thomas Carmichael Hindman,http://www.civilwar.org/education/history/biographies/thomas-carmichael-hindman.html
harpers-ferry,US,Dixon S. Miles,http://www.civilwar.org/education/history/biographies/dixon-miles.html
harpers-ferry,Confederate,A. P. Hill,http://www.civilwar.org/education/history/biographies/a-p-hill.html
harpers-ferry,Confederate,"T. J. ""Stonewall"" Jackson ",http://www.civilwar.org/education/history/biographies/thomas-jackson.html
port-republic,US,Erastus B. Tyler,http://www.civilwar.org/education/history/biographies/erastus-tyler.html
port-republic,Confederate,"T. J. ""Stonewall"" Jackson ",http://www.civilwar.org/education/history/biographies/thomas-jackson.html
williamsburg,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
williamsburg,Confederate,James Longstreet,http://www.civilwar.org/education/history/biographies/james-longstreet.html
wilson-s-creek,US,Franz Sigel,http://www.civilwar.org/education/history/biographies/franz-sigel.html
wilson-s-creek,US,Nathaniel Lyon,http://www.civilwar.org/education/history/biographies/nathanial-lyon.html
wilson-s-creek,Confederate,Benjamin McCulloch,http://www.civilwar.org/education/history/biographies/benjamin-mcculloch.html
wilson-s-creek,Confederate,Sterling Price,http://www.civilwar.org/education/history/biographies/sterling-price.html
dranesville,US,Edward O. C. Ord,http://www.civilwar.org/education/history/biographies/edward-o-c-ord.html
dranesville,Confederate,J. E. B. Stuart,http://www.civilwar.org/education/history/biographies/jeb-stuart.html
bullrun,US,Irvin McDowell,http://www.civilwar.org/education/history/biographies/irvin-mcdowell.html
bullrun,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
bullrun,Confederate,P. G. T. Beauregard,http://www.civilwar.org/education/history/biographies/p-g-t-beauregard.html
kennesaw-mountain,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
kennesaw-mountain,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
parker-s-cross-roads,US,Jeremiah C. Sullivan,http://www.civilwar.org/education/history/biographies/jeremiah-c-sullivan.html
parker-s-cross-roads,Confederate,Nathan Bedford Forrest,http://www.civilwar.org/education/history/biographies/nathan-bedford-forrest.html
yorktown,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
yorktown,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
