battle_id,belligerent,strength,strength_engaged,infantry,cavalry,artillery,guns,killed,killed_percent,killed_generals,killed_officers,killed_wounded,killed_wounded_percent,killed_wounded_generals,killed_wounded_officers,wounded,wounded_percent,wounded_generals,wounded_officers,captured,captured_generals,captured_officers,missing,missing_percent,missing_generals,missing_officers,casualties,casualties_percent,casualties_officers,casualties_generals,losses_guns,losses_caissons,losses_cannon,losses_canons,losses_flags,losses_munition_wagons,losses_wagons,note
23,US,130000,,,,,404,1600,1.3,3,163,11400,9.5,11,819,9800,8.2,3,656,,,,6000,5.0,1,171,17400,14.5,990,12,,,120,,17,,,
24,Confederate,18000,,,,,,,,,,3000,16.6,,,,,,,,,,3000,16.7,,,6000,33.3,,,,,11,,,28,,
24,US,30000,,,,,,450,,,27,2300,7.7,,135,1850,,,108,,,,200,0.7,,4,2500,8.4,139,,,,,,,,,
25,Confederate,18000,,,,,,,,,,300,,,,,,,,,,,0,,,,300,1.6,,,,,,,,,,
25,US,9000,,,,,,,,,,500,5.5,,19,,,,,,,,4000,44.5,,144,4500,50.0,163,,,,28,,11,,300,
26,Confederate,68000,,60000,8000,,250,2600,3.8,5,,15300,22.6,18,,12700,18.8,13,,,,,6700,10.0,2,,22000,32.6,,20,,,3,,41,,,
26,US,90000,,77000,13000,,300,3160,3.4,5,243,17700,19.4,17,1378,14540,16.0,12,1135,,,,5300,5.6,1,183,23000,25.0,1561,18,,,6,,32,,,
27,Confederate,28000,,,,,,,,,,7000,,,,,,,,21000,15,6000,,,,,28000,,,,,,172,,,,,
27,US,75000,,,,,,,,,,9000,,,,,,,,,,,,,,,9000,,,,,,,,,,,
28,Confederate,70000,,62000,8000,,,2400,3.5,3,,15800,22.5,10,,13400,19.0,7,,,,,2000,2.9,0,,17800,25.4,,10,,,15,,,,,
28,US,57000,,47000,10000,,246,1700,3.0,1,143,11500,20.2,4,752,9800,17.2,3,752,,,,5000,8.8,0,248,16500,29.0,1000,4,,,51,,,,,
29,Confederate,45000,,,,,,400,,0,,2600,5.8,2,,2200,,2,,,,,4400,9.8,0,,7000,16.0,,2,,,40,,,,,
29,US,65000,,,,,,800,,0,71,5600,8.6,4,471,4800,,4,400,,,,400,0.6,0,30,6000,9.2,501,4,,,,,,,,
30,Confederate,62000,,49000,8000,5000,224,1000,1.7,2,,7000,11.5,5,,6000,9.8,3,,,,,300,0.5,0,,7300,12.0,,5,,,,,,,,
30,US,118000,,94000,14000,10000,318,2250,1.9,2,141,14300,12.1,6,704,12050,10.2,4,563,,,,3400,2.9,2,136,17700,15.0,840,8,,,2,,,,,
31,Confederate,50000,,39000,7000,4000,,1000,2.0,4,,5000,10.0,8,,4000,8.0,4,,,,,4000,8.0,2,,9000,18.0,,10,,,18,,,,,
31,US,100000,,79000,12000,9000,,2730,2.7,3,171,16200,16.2,7,839,13470,13.5,4,668,,,,2300,2.3,1,61,18500,18.5,900,8,,,,,,,,
32,Confederate,52000,,,,,,,,,,1500,,,,,,,,,,,3000,,,,4500,8.6,,,,,,,,,,
32,US,93000,,,,,,,,,,4000,,,,,,,,,,,500,,,,4500,4.8,,,,,,,,,,
33,Confederate,25000,,,,,,,,,,3000,,,,,,,,0,,,,,,,3000,12,,,,,,,,,,
33,US,30000,,,,,,,,,,3000,,,,,,,,1500,,,,,,,4500,15,,,,,5,,5,,,
34,Confederate,38000,,,,,,,,,,,,,,,,,,,,,,,,,3000,8,,,,,,,,,,
34,US,52000,,,,,,,,,,,,,,,,,,,,,,,,,4000,7.9,217,,,,,,,,,
35,Confederate,40000,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,
35,US,80000,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,
36,Confederate,60000,,,,,,400,0.5,,,1700,2.7,,,1300,2.2,,,,,,0,0.0,,,1700,2.7,,,,,,,,,,
36,US,100000,,,,,,1900,1.9,,143,11000,11.0,1,575,9100,9.1,1,432,,,,1800,1.8,,35,12800,12.8,610,1,,,,,,,,
37,Confederate,6000,,,,,,,,,,,,,,,,,,,,,,,,,800,13.5,,,,,,,,,,
37,US,18000,,,,,,,,,,,,,,,,,,,,,,,,,3000,17,,,,,,,,,,
38,Confederate,48000,,,,,,,,,,,,,,,,,,,,,,,,,4800,10,,,,,,,,,,
38,US,72000,,,,,,,,,,,,,,,,,,,,,,,,,1700,2.4,,,,,,,,,,
39,Confederate,40000,,,,,,,,,,,,,,,,,,,,,,,,,8500,21.5,,,,,,,,,,
39,US,70000,,,,,,,,,,,,,,,,,,,,,,,,,4000,5.7,,,,,,,,,,
40,Confederate,30000,,,,,,,,,,,,,,,,,,,,,,,,,4600,15.3,,,,,,,,,,
40,US,60000,,,,,,,,,,,,,,,,,,,,,,,,,700,1.2,,,,,,,,,,
41,Confederate,13000,,11000,2000,,,,,,,2000,15.4,,,,,,,,,,2000,15.4,,,4000,30.8,,,,,5,,15,,,
41,US,43000,,33000,10000,,,,,,,4400,10.3,,,,,,,,,,600,1.4,,,5000,11.7,,,,,,,,,,
42,Confederate,18000,,,,,,,,,,1900,10.5,,,,,,,,,,1200,6.3,,,3100,16.8,,,,,23,,,,,
42,US,40000,,,,,,,,,,4100,10.2,,,,,,,,,,1600,4.0,,,5700,14.2,,,,,,,,,,
43,Confederate,37000,,30000,7000,,,1750,4.7,5,,5600,15.2,11,,3850,10.5,6,,,,,700,2.0,1,,6300,17.2,,12,,,,,,,,
43,US,27000,,22000,5000,,,200,0.8,,,1300,4.8,,,1100,4.0,,,,,,1400,5.2,,,2700,10.0,,,,,,,,,,
44,Confederate,38000,,36000,2000,,,,,,,,,,,,,,,,,,,,,,15000,39.6,,,,,51,,,,,
44,US,55000,,43000,12000,,,,,,,,,,,,,,,,,,,,,,3100,5.6,,,,,,,,,,
45,Confederate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Confederate,30000,,,,,,,,,,1700,5.7,,,,,,,,,,1600,5.3,,,3300,11.0,,,,,,,,,,
46,US,60000,,,,,,,,,,1500,2.6,1,78,,,,,,,,200,0.3,,7,1700,2.9,85,1,,,,,,,,
47,Confederate,67000,,55000,6500,5500,,,,,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,
47,US,120000,,91000,19000,10000,,6000,,,,39000,,,,33000,,,,,,,21000,,,,60000,,,,,,,,,,,
48,Confederate,4000,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,50,,,,,
48,US,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Confederate,28000,,,,,63,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,
49,US,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Confederate,35200,,,,,,,,,,,,,,,,,,35200,,,35200,,,,35200,,,,,,,,,,,
50,US,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
