BattlefieldCode,Comment,Source,UnitCode,companies,batteries,detachment,section
AL006,,CRUTE,CAL0002BAL,,,,
AL006,,CRUTE,CAL0002RIR,,,,
AL006,,CRUTE,CAL0018RI,,,,
AL006,,CRUTE,CAL0021RI,,,,
AL006,,CRUTE,CAL0032RI01,,,,
AL006,,CRUTE,CAL0036RI,,,,
AL006,,CRUTE,CAL0038RI,,,,
AL006,,CRUTE,CLA0022RI02,,,,
AL006,,DYER,UCT0002YAL,,,,
AL006,,DYER,UIA0002YAL,,,,
AL006,,DYER,UIA0008RI,,,,
AL006,,DYER,UIA0012RI,,,,
AL006,,DYER,UIA0019RI,,,,
AL006,,DYER,UIA0020RI,,,,
AL006,,DYER,UIA0021RI,,,,
AL006,,DYER,UIA0023RI,,,,
AL006,,DYER,UIA0027RI,,,,
AL006,,DYER,UIA0029RI,,,,
AL006,,DYER,UIA0032RI,,,,
AL006,,DYER,UIA0033RI,,,,
AL006,,DYER,UIA0034RI,,,,
AL006,,DYER,UIA0035RI,,,,
AL006,,DYER,UIL0002RAL,,,,
AL006,,DYER,UIL0002RC,,,,
AL006,,DYER,UIL0008RI01,,,,
AL006,,DYER,UIL0011RI01,,,,
AL006,,DYER,UIL0028RI,,,,
AL006,,DYER,UIL0029RI,,,,
AL006,,DYER,UIL0033RI,,,,
AL006,,DYER,UIL0037RI,,,,
AL006,,DYER,UIL0046RI,,,,
AL006,,DYER,UIL0047RI,,,,
AL006,,DYER,UIL0058RI,,,,
AL006,,DYER,UIL0072RI,,,,
AL006,,DYER,UIL0076RI,,,,
AL006,,DYER,UIL0077RI,,,,
AL006,,DYER,UIL0081RI,,,,
AL006,,DYER,UIL0091RI,,,,
AL006,,DYER,UIL0094RI,,,,
AL006,,DYER,UIL0095RI,,,,
AL006,,DYER,UIL0097RI,,,,
AL006,,DYER,UIL0099RI,,,,
AL006,,DYER,UIL0108RI,,,,
AL006,,DYER,UIL0114RI,,,,
AL006,,DYER,UIL0117RI,,,,
AL006,,DYER,UIL0119RI,,,,
AL006,,DYER,UIL0122RI,,,,
AL006,,DYER,UIL0124RI,,,,
AL006,,DYER,UILCOGSYAL,,,,
AL006,,DYER,UIN0001RAH,,,,
AL006,,DYER,UIN0001YAL,,,,
AL006,,DYER,UIN0003YAL,,,,
AL006,,DYER,UIN0010RI01,,,,
AL006,,DYER,UIN0012RI01,,,,
AL006,,DYER,UIN0013RI,,,,
AL006,,DYER,UIN0014YAL,,,,
AL006,,DYER,UIN0024RI,,,,
AL006,,DYER,UIN0026RI,,,,
AL006,,DYER,UIN0047RI,,,,
AL006,,DYER,UIN0050RI,,,,
AL006,,DYER,UIN0052RI,,,,
AL006,,DYER,UIN0069RI,,,,
AL006,,DYER,UIN0089RI,,,,
AL006,,DYER,UIN0093RI,,,,
AL006,,DYER,UKS0010RI,,,,
AL006,,DYER,ULA0001RC,,,,
AL006,,DYER,UMA0002YAL,,,,
AL006,,DYER,UMA0004YAL,,,,
AL006,,DYER,UMA0007YAL,,,,
AL006,,DYER,UMA0015YAL,,,,
AL006,,DYER,UMA0031RI,,,,
AL006,,DYER,UMD0003RC,,,,
AL006,,DYER,UME0002RC,,,,
AL006,,DYER,UMI0001RAL,,,,
AL006,,DYER,UMI0006RAH,,,,
AL006,,DYER,UMN0005RI,,,,
AL006,,DYER,UMN0006RI,,,,
AL006,,DYER,UMN0007RI,,,,
AL006,,DYER,UMN0010RI,,,,
AL006,,DYER,UMO0011RI,,,,
AL006,,DYER,UMO0021RI,,,,
AL006,,DYER,UMO0030RI,,,,
AL006,,DYER,UMO0033RI,,,,
AL006,,DYER,UMO0040RI,,,,
AL006,,DYER,UMO0044RI,,,,
AL006,,DYER,UMO0049RI,,,,
AL006,,DYER,UNJ0002RC,,,,
AL006,,DYER,UNJ0034RI,,,,
AL006,,DYER,UNY0002RCU,,,,
AL007,,CRUTE,CAL0004RC01,,,,
AL007,,CRUTE,CAL0005RC,,,,
AL007,,CRUTE,CMO0002RC01,,,,
AL007,,CRUTE,CMS0005RC,,,,
AL007,,CRUTE,CMS0009RC,,,,
AL007,,CRUTE,CMS0012RC,,,,
AL007,,CRUTE,CMSHAMSRC,,,,
AL007,,DYER,UIA0003RC,,,,
AL007,,DYER,UIA0004RC,,,,
AL007,,DYER,UIA0005RC,,,,
AL007,,DYER,UIL0098RI,,,,
AL007,,DYER,UIL0123RI,,,,
AL007,,DYER,UILCHICYAL1,,,,
AL007,,DYER,UIN0002RC,,,,
AL007,,DYER,UIN0004RC,,,,
AL007,,DYER,UIN0017RI,,,,
AL007,,DYER,UIN0018YAL,,,,
AL007,,DYER,UIN0072RI,,,,
AL007,,DYER,UKY0004RC,,,,
AL007,,DYER,UKY0007RC,,,,
AL007,,DYER,UMI0004RC,,,,
AL007,,DYER,UMO0002RC,,,,
AL007,,DYER,UMO0010RC,,,,
AL007,,DYER,UOH0001RC,,,,
AL007,,DYER,UOH0003RC,,,,
AL007,,DYER,UOH0004RC,,,,
AL007,,DYER,UOH0007RC,,,,
AL007,,DYER,UPA0007RC,,,,
AL007,,DYER,UUR0004RA,,,,
AL007,,DYER,UWI0001RC,,,,
AR001,,DYER,UIA0001YAL,,,,
AR001,,DYER,UIA0003RC,,,,
AR001,,DYER,UIA0003YAL,,,,
AR001,,DYER,UIA0004RI,,,,
AR001,,DYER,UIA0009RI,,,,
AR001,,DYER,UIL0002RAL,,,,
AR001,,DYER,UIL0003RC,,,,
AR001,,DYER,UIL0015RC,,,,
AR001,,DYER,UIL0025RI,,,,
AR001,,DYER,UIL0035RI,,,,
AR001,,DYER,UIL0036RI,,,,
AR001,,DYER,UIL0037RI,,,,
AR001,,DYER,UIL0044RI,,,,
AR001,,DYER,UIL0059RI,,,,
AR001,,DYER,UIN0001YAL,,,,
AR001,,DYER,UIN0008RI01,,,,
AR001,,DYER,UIN0018RI,,,,
AR001,,DYER,UIN0022RI,,,,
AR001,,DYER,UMO0001RAL,,,,
AR001,,DYER,UMO0002RI01,,,,
AR001,,DYER,UMO0003RI01,,,,
AR001,,DYER,UMO0004RC,,,,
AR001,,DYER,UMO0005RC,,,,
AR001,,DYER,UMO0006RC,,,,
AR001,,DYER,UMO0009RC,,,,
AR001,,DYER,UMO0012RI,,,,
AR001,,DYER,UMO0015RI,,,,
AR001,,DYER,UMO0017RI,,,,
AR001,,DYER,UMO0024RI,,,,
AR001,,DYER,UMOBENT0I,,,,
AR001,,DYER,UMOFREM0C,,,,
AR001,,DYER,UMOLANDYA,,,,
AR001,,DYER,UMOPHELRI,,,,
AR003,,DYER,UIA0003RC,,,,
AR003,,DYER,UIL0005RC,,,,
AR003,,DYER,UIL0015RC,,,,
AR003,,DYER,UIL0033RI,,,,
AR003,,DYER,UIN0001RC,,,,
AR003,,DYER,UIN0008RI01,,,,
AR003,,DYER,UMO0009RC,,,,
AR003,,DYER,UWI0011RI,,,,
AR004,,CRUTE,CAR0001RC04,,,,
AR004,,CRUTE,CMO0003YAL2,,,,
AR004,,CRUTE,CMO0008RI,,,,
AR004,,CRUTE,CMOHBLECAL,,,,
AR004,,DYER,UAR0001RC,,,,
AR004,,DYER,UIN0002YAL,,,,
AR004,,DYER,UKS0001RIG0I,,,,
AR004,,DYER,UKS0001YAL,,,,
AR004,,DYER,UKS0002RIG0I,,,,
AR004,,DYER,UKS0003RIG0I,,,,
AR004,,DYER,UKS0003YAL,,,,
AR004,,DYER,UKS0006RC,,,,
AR004,,DYER,UKS0009RC,,,,
AR004,,DYER,UKS0010RI,,,,
AR004,,DYER,UKS0011RC,,,,
AR004,,DYER,UKS0013RI,,,,
AR004,,DYER,UOH0025YAL,,,,
AR004,,DYER,UWI0009RI,,,,
AR005,,CRUTE,CAR0001RC04,,,,
AR005,,CRUTE,CAR0003RC,,,,
AR005,,CRUTE,CAR0008YA,,,,
AR005,,CRUTE,CAR0027RI,,,,
AR005,,CRUTE,CAR0028RI,,,,
AR005,,CRUTE,CAR0030RI,,,,
AR005,,CRUTE,CAR0032RI,,,,
AR005,,CRUTE,CAR0038RI,,,,
AR005,,CRUTE,CARMARSYAL,,,,
AR005,,CRUTE,CMO0008RI,,,,
AR005,,CRUTE,CMO0009RI,,,,
AR005,,CRUTE,CMOJBLECA,,,,
AR005,,CRUTE,CTX0034RC,,,,
AR005,,CRUTE,CVA0051RI,,,,
AR005,,DYER,UIA0001RC,,,,
AR005,,DYER,UIA0019RI,,,,
AR005,,DYER,UIA0020RI,,,,
AR005,,DYER,UIL0002RAL,,,,
AR005,,DYER,UIL0010RC,,,,
AR005,,DYER,UIL0037RI,,,,
AR005,,DYER,UIL0094RI,,,,
AR005,,DYER,UIN0026RI,,,,
AR005,,DYER,UIN0046RI,,,,
AR005,,DYER,UKS0001RIG0I,,,,
AR005,,DYER,UKS0001YAL,,,,
AR005,,DYER,UKS0002RC,,,,
AR005,,DYER,UKS0002RIG0I,,,,
AR005,,DYER,UKS0002YAL1,,,,
AR005,,DYER,UKS0003RIG0I,,,,
AR005,,DYER,UKS0006RC,,,,
AR005,,DYER,UKS0009RC,,,,
AR005,,DYER,UKS0010RI,,,,
AR005,,DYER,UKS0011RC,,,,
AR005,,DYER,UKS0013RI,,,,
AR005,,DYER,UMO0001BCR,,,,
AR005,,DYER,UMO0001RAL,,,,
AR005,,DYER,UMO0006RC,,,,
AR005,,DYER,UMO0007RC,,,,
AR005,,DYER,UMO0008RC,,,,
AR005,,DYER,UMO0014RCY,,,,
AR005,,DYER,UOH0025YAL,,,,
AR005,,DYER,UWI0002RC,,,,
AR005,,DYER,UWI0003RC,,,,
AR005,,DYER,UWI0009RI,,,,
AR005,,DYER,UWI0020RI,,,,
AR006,,CRUTE,CAR0008YA,,,,
AR006,,CRUTE,CAR0026RI,,,,
AR006,,CRUTE,CARHARTYA,,,,
AR006,,CRUTE,CTX0006BI,,,,
AR006,,CRUTE,CTX0006R0V,,,,
AR006,,DYER,UIA0001YAL,,,,
AR006,,DYER,UIA0004RI,,,,
AR006,,DYER,UIA0009RI,,,,
AR006,,DYER,UIA0025RI,,,,
AR006,,DYER,UIA0026RI,,,,
AR006,,DYER,UIA0030RI,,,,
AR006,,DYER,UIA0031RI,,,,
AR006,,DYER,UIA0034RI,,,,
AR006,,DYER,UIL0001RAL,,,,
AR006,,DYER,UIL0003RC,,,,
AR006,,DYER,UIL0055RI,,,,
AR006,,DYER,UIL0108RI,,,,
AR006,,DYER,UIL0113RI,,,,
AR006,,DYER,UIL0116RI,,,,
AR006,,DYER,UIL0118RI,,,,
AR006,,DYER,UIL0127RI,,,,
AR006,,DYER,UIL0131RI,,,,
AR006,,DYER,UILCHICYAL2,,,,
AR006,,DYER,UIN0004RC,,,,
AR006,,DYER,UIN0016RI01,,,,
AR006,,DYER,UIN0049RI,,,,
AR006,,DYER,UIN0054RI01,,,,
AR006,,DYER,UIN0060RI,,,,
AR006,,DYER,UIN0067RI,,,,
AR006,,DYER,UIN0083RI,,,,
AR006,,DYER,UIN0089RI,,,,
AR006,,DYER,UKY0007RI,,,,
AR006,,DYER,UKY0019RI,,,,
AR006,,DYER,UMI0001RAL,,,,
AR006,,DYER,UMO0006RI,,,,
AR006,,DYER,UMO0008RI,,,,
AR006,,DYER,UMO0010RC,,,,
AR006,,DYER,UMO0012RI,,,,
AR006,,DYER,UMO0017RI,,,,
AR006,,DYER,UMO0029RI,,,,
AR006,,DYER,UMO0030RI,,,,
AR006,,DYER,UMO0031RI,,,,
AR006,,DYER,UMO0032RI01,,,,
AR006,,DYER,UMO0034RI,,,,
AR006,,DYER,UMOLANDYA,,,,
AR006,,DYER,UOH0004RI01,,,,
AR006,,DYER,UOH0008RI01,,,,
AR006,,DYER,UOH0012RI01,,,,
AR006,,DYER,UOH0016RI01,,,,
AR006,,DYER,UOH0017YAL,,,,
AR006,,DYER,UOH0042RI,,,,
AR006,,DYER,UOH0048RI,,,,
AR006,,DYER,UOH0054RI,,,,
AR006,,DYER,UOH0057RI,,,,
AR006,,DYER,UOH0076RI,,,,
AR006,,DYER,UOH0083RI,,,,
AR006,,DYER,UOH0096RI,,,,
AR006,,DYER,UOH0114RI,,,,
AR006,,DYER,UOH0120RI,,,,
AR006,,DYER,UUR0013RI,,,,
AR006,,DYER,UWI0001YAL,,,,
AR006,,DYER,UWI0023RI,,,,
AR008,,CRUTE,CAR0008RI,,,,
AR008,,CRUTE,CAR0035R0M,,,,
AR008,,CRUTE,CAR0037RI,,,,
AR008,,CRUTE,CARETTEYAL,,,,
AR008,,CRUTE,CARMARSYAL,,,,
AR008,,DYER,UIA0029RI,,,,
AR008,,DYER,UIA0036RI,,,,
AR008,,DYER,UIN0001RC,,,,
AR008,,DYER,UIN0043RI,,,,
AR008,,DYER,UMO0001RAL,,,,
AR008,,DYER,UMO0033RI,,,,
AR008,,DYER,UMO0035RI,,,,
AR009,,DYER,UIA0001RC,,,,
AR009,,DYER,UIN0002YAL,,,,
AR009,,DYER,UKS0002RC,,,,
AR009,,DYER,UMO0006RC,,,,
AR011,,CRUTE,CAR0007RC,,,,
AR011,,DYER,UIN0001RC,,,,
AR011,,DYER,UKS0005RC,,,,
AR012,,CRUTE,CMO0003RC01,,,,
AR012,,DYER,UIA0001RC,,,,
AR012,,DYER,UIA0029RI,,,,
AR012,,DYER,UIA0036RI,,,,
AR012,,DYER,UIL0010RC,,,,
AR012,,DYER,UIN0043RI,,,,
AR012,,DYER,UWI0009RI,,,,
AR013,,CRUTE,CAR0002RI02,,,,
AR013,,DYER,UAR0001RI,,,,
AR013,,DYER,UAR0002RI,,,,
AR013,,DYER,UIA0001RC,,,,
AR013,,DYER,UIA0018RI,,,,
AR013,,DYER,UIA0029RI,,,,
AR013,,DYER,UIA0032RI,,,,
AR013,,DYER,UIA0036RI,,,,
AR013,,DYER,UIA0040RI,,,,
AR013,,DYER,UIL0010RC,,,,
AR013,,DYER,UIL0013RC,,,,
AR013,,DYER,UIL0043RI,,,,
AR013,,DYER,UILVAUGYAL,,,,
AR013,,DYER,UIN0002YAL,,,,
AR013,,DYER,UIN0043RI,,,,
AR013,,DYER,UIN0050RI,,,,
AR013,,DYER,UKS0002RC,,,,
AR013,,DYER,UKS0006RC,,,,
AR013,,DYER,UKS0012RI,,,,
AR013,,DYER,UKS0014RC,,,,
AR013,,DYER,UMO0002RAL,,,,
AR013,,DYER,UMO0003RC,,,,
AR013,,DYER,UOH0077RI,,,,
AR013,,DYER,UUS0079RI02C,,,,
AR013,,DYER,UUS0083RI02C,,,,
AR013,,DYER,UWI0009RI,,,,
AR013,,DYER,UWI0027RI,,,,
AR014,,CRUTE,CAR0001RC02,,,,
AR014,,CRUTE,CAR0002RC,,,,
AR014,,CRUTE,CAR0007RC,,,,
AR014,,CRUTE,CAR0008YA,,,,
AR014,,CRUTE,CARPOE0BC,,,,
AR014,,CRUTE,CARWRIGRC,,,,
AR014,,CRUTE,CMO0003RC01,,,,
AR014,,CRUTE,CMO0004RC,,,,
AR014,,CRUTE,CTX0030RC,,,,
AR014,,CRUTE,CTX0031RC,,,,
AR014,,DYER,UIA0018RI,,,,
AR014,,DYER,UIN0002YAL,,,,
AR014,,DYER,UKS0002RC,,,,
AR014,,DYER,UKS0006RC,,,,
AR014,,DYER,UKS0014RC,,,,
AR015,,CRUTE,CAR0001RC02,,,,
AR015,,CRUTE,CAR0001RC04,,,,
AR015,,CRUTE,CAR0007RC,,,,
AR015,,CRUTE,CAR0008YA,,,,
AR015,,CRUTE,CAR0012BS,,,,
AR015,,CRUTE,CAR0018RI01,,,,
AR015,,CRUTE,CAR0019RI03,,,,
AR015,,CRUTE,CAR0020RI,,,,
AR015,,CRUTE,CARGORDRC,,,,
AR015,,CRUTE,CARPOE0BC,,,,
AR015,,CRUTE,CARWRIGRC,,,,
AR015,,CRUTE,CMO0002YAL,,,,
AR015,,CRUTE,CMO0005RC,,,,
AR015,,CRUTE,CMO0012RC,,,,
AR015,,CRUTE,CMOHUNTRC,,,,
AR015,,DYER,UIA0036RI,,,,
AR015,,DYER,UIN0043RI,,,,
AR015,,DYER,UKS0005RC,,,,
AR015,,DYER,UMO0007RC,,,,
AR015,,DYER,UOH0077RI,,,,
AR016,,CRUTE,CAR0018RI01,,,,
AR016,,CRUTE,CAR0019RI03,,,,
AR016,,CRUTE,CAR0020RI,,,,
AR016,,CRUTE,CAR0026RI,,,,
AR016,,CRUTE,CAR0027RI,,,,
AR016,,CRUTE,CAR0032RI,,,,
AR016,,CRUTE,CAR0033RI,,,,
AR016,,CRUTE,CAR0034RI,,,,
AR016,,CRUTE,CAR0035RI,,,,
AR016,,CRUTE,CAR0036RI,,,,
AR016,,CRUTE,CAR0038RI,,,,
AR016,,CRUTE,CARHARDRI,,,,
AR016,,CRUTE,CMO0003RC01,,,,
AR016,,CRUTE,CMO0003YAL1,,,,
AR016,,CRUTE,CMO0004RC,,,,
AR016,,CRUTE,CMO0010RC,,,,
AR016,,CRUTE,CMO0011RI,,,,
AR016,,CRUTE,CMO0012RI,,,,
AR016,,CRUTE,CTX0013RCT,,,,
AR016,,CRUTE,CTX0022RI,,,,
AR016,,CRUTE,CTX0028RC,,,,
AR016,,DYER,UIA0001RC,,,,
AR016,,DYER,UIA0018RI,,,,
AR016,,DYER,UIA0029RI,,,,
AR016,,DYER,UIA0033RI,,,,
AR016,,DYER,UIA0036RI,,,,
AR016,,DYER,UIA0040RI,,,,
AR016,,DYER,UIL0013RC,,,,
AR016,,DYER,UIL0043RI,,,,
AR016,,DYER,UILVAUGYAL,,,,
AR016,,DYER,UIN0002YAL,,,,
AR016,,DYER,UIN0043RI,,,,
AR016,,DYER,UIN0050RI,,,,
AR016,,DYER,UKS0002RC,,,,
AR016,,DYER,UKS0006RC,,,,
AR016,,DYER,UKS0014RC,,,,
AR016,,DYER,UMO0001BCR,,,,
AR016,,DYER,UMO0002RC,,,,
AR016,,DYER,UOH0077RI,,,,
AR016,,DYER,UUS0079RI02C,,,,
AR016,,DYER,UUS0083RI02C,,,,
AR016,,DYER,UWI0009RI,,,,
AR016,,DYER,UWI0027RI,,,,
AR017,,DYER,UIA0014RI,,,,
AR017,,DYER,UIA0027RI,,,,
AR017,,DYER,UIA0032RI,,,,
AR017,,DYER,UIA0035RI,,,,
AR017,,DYER,UIL0047RI,,,,
AR017,,DYER,UIL0049RI,,,,
AR017,,DYER,UIL0058RI,,,,
AR017,,DYER,UIL0117RI,,,,
AR017,,DYER,UIN0003YAL,,,,
AR017,,DYER,UIN0089RI,,,,
AR017,,DYER,UMN0005RI,,,,
AR017,,DYER,UMO0024RI,,,,
AR017,,DYER,UMO0033RI,,,,
AR017,,DYER,UNY0178RI,,,,
AR017,,DYER,UWI0002RC,,,,
AR017,,DYER,UWI0008RI,,,,
CO001,,DYER,UCO0001RC,,,,
CO001,,DYER,UCO0003RC,,,,
FL001,,DYER,UNY0006RI,,,,
FL001,,DYER,UUR0001RAL,,,,
FL001,,DYER,UUR0003RI,,,,
FL006,,DYER,UFL0002RC,,,,
FL006,,DYER,UUS0002RI00C,,,,
FL006,,DYER,UUS0099RI00C,,,,
GA001,,DYER,UCT0006RI,,,,
GA001,,DYER,UCT0007RI,,,,
GA001,,DYER,UME0008RI,,,,
GA001,,DYER,UMI0008RI,,,,
GA001,,DYER,UNY0046RI,,,,
GA001,,DYER,UNY0047RI,,,,
GA001,,DYER,UNY0048RI,,,,
GA001,,DYER,URI0003RAH,,,,
GA003,,DYER,UIL0019RI,,,,
GA003,,DYER,UIL0024RI,,,,
GA003,,DYER,UIL0104RI,,,,
GA003,,DYER,UILBRIDYAL,,,,
GA003,,DYER,UIN0004YAL,,,,
GA003,,DYER,UIN0037RI,,,,
GA003,,DYER,UIN0038RI,,,,
GA003,,DYER,UIN0042RI,,,,
GA003,,DYER,UIN0088RI,,,,
GA003,,DYER,UKY0015RI,,,,
GA003,,DYER,UMI0001RAL,,,,
GA003,,DYER,UOH0002RI01,,,,
GA003,,DYER,UOH0018RI01,,,,
GA003,,DYER,UOH0021RI01,,,,
GA003,,DYER,UOH0033RI,,,,
GA003,,DYER,UOH0074RI,,,,
GA003,,DYER,UOH0094RI,,,,
GA003,,DYER,UPA0078RI,,,,
GA003,,DYER,UPA0079RI,,,,
GA003,,DYER,UWI0001RI01,,,,
GA003,,DYER,UWI0010RI,,,,
GA003,,DYER,UWI0021RI,,,,
GA004,,CRUTE,CAL0001BA,,,,
GA004,,CRUTE,CAL0003RC,,,,
GA004,,CRUTE,CAL0004RC02,,,,
GA004,,CRUTE,CAL0009RC01,,,,
GA004,,CRUTE,CAL0012RC,,,,
GA004,,CRUTE,CAL0015RI,,,,
GA004,,CRUTE,CAL0016RI,,,,
GA004,,CRUTE,CAL0017BS,,,,
GA004,,CRUTE,CAL0018RI,,,,
GA004,,CRUTE,CAL0019RI,,,,
GA004,,CRUTE,CAL0022RI,,,,
GA004,,CRUTE,CAL0024RI,,,,
GA004,,CRUTE,CAL0025RI,,,,
GA004,,CRUTE,CAL0032RI01,,,,
GA004,,CRUTE,CAL0033RI,,,,
GA004,,CRUTE,CAL0036RI,,,,
GA004,,CRUTE,CAL0038RI,,,,
GA004,,CRUTE,CAL0039RI,,,,
GA004,,CRUTE,CAL0040RI,,,,
GA004,,CRUTE,CAL0041RI,,,,
GA004,,CRUTE,CAL0043RI,,,,
GA004,,CRUTE,CAL0044RI,,,,
GA004,,CRUTE,CAL0045RI,,,,
GA004,,CRUTE,CAL0047RI,,,,
GA004,,CRUTE,CAL0048RI,,,,
GA004,,CRUTE,CAL0050RI,,,,
GA004,,CRUTE,CAL0051R,,,,
GA004,,CRUTE,CALEUFA0AL,,,,
GA004,,CRUTE,CALHILLL0V,,,,
GA004,,CRUTE,CAR0001RI03,,,,
GA004,,CRUTE,CAR0002R0T,,,,
GA004,,CRUTE,CAR0003RC,,,,
GA004,,CRUTE,CAR0003RI01,,,,
GA004,,CRUTE,CAR0004RI,,,,
GA004,,CRUTE,CAR0005RI,,,,
GA004,,CRUTE,CAR0008RI,,,,
GA004,,CRUTE,CAR0013RI,,,,
GA004,,CRUTE,CAR0019RI02,,,,
GA004,,CRUTE,CAR0024RI,,,,
GA004,,CRUTE,CAR0025RI,,,,
GA004,,CRUTE,CARRIVEYAL,,,,
GA004,,CRUTE,CARWIGGYAL,,,,
GA004,,CRUTE,CFL0001RI,,,,
GA004,,CRUTE,CFL0003RI,,,,
GA004,,CRUTE,CFL0004RI,,,,
GA004,,CRUTE,CFL0006RI,,,,
GA004,,CRUTE,CFL0007RI,,,,
GA004,,CRUTE,CGA0001BS,,,,
GA004,,CRUTE,CGA0001RC,,,,
GA004,,CRUTE,CGA0002BS,,,,
GA004,,CRUTE,CGA0002RC01,,,,
GA004,,CRUTE,CGA0002RI,,,,
GA004,,CRUTE,CGA0003RC01,,,,
GA004,,CRUTE,CGA0004BS,,,,
GA004,,CRUTE,CGA0005RI01,,,,
GA004,,CRUTE,CGA0006RC,,,,
GA004,,CRUTE,CGA0008BI,,,,
GA004,,CRUTE,CGA0009RI01,,,,
GA004,,CRUTE,CGA0012RC01,,,,
GA004,,CRUTE,CGA0015RI,,,,
GA004,,CRUTE,CGA0017RI,,,,
GA004,,CRUTE,CGA0020RI,,,,
GA004,,CRUTE,CGA0025RI,,,,
GA004,,CRUTE,CGA0029RI,,,,
GA004,,CRUTE,CGA0030RI,,,,
GA004,,CRUTE,CGA0037RI,,,,
