battle,belligerent,description,strength_min,strength_max,casualties,killed,wounded,missing,captured
AR008,US,District of Eastern Arkansas,,,206,,,,
AR009,Confederate,Cabell's Brigade,,,65,,,,
AR009,US,"2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections of Rabb's 2nd Indiana Battery",,,16,,,,
AR010,Confederate,District of Arkansas,,,,,,,
AR010,US,"Cavalry Division, Army of Arkansas, Arkansas Expedition",,,72,,,,
AR011,Confederate,division,,,,,,,
AR011,US,Pine Bluff Garrison (two under-strength cavalry regiments and a company of state militia),,,56,,,,
AR012,Confederate,3 cavalry brigades,,,54,,,,
AR012,US,"3rd Division, VII Corps and 2 cavalry brigades",,,38,,,,
AR013,Confederate,District of Arkansas,,,,,,,
AR013,US,Department of Arkansas,,,,,,,
AR014,Confederate,Marmaduke's and Maxey's Divisions,,,114,,,,
AR014,US,"Brigade (1,100 men)",1100,1100,301,,,,
AR015,Confederate,two divisions,,,293,,,,
AR015,US,Infantry brigade,,,1500,,,,
AR016,Confederate,Army of Arkansas,,,443,,,,
AR016,US,Department of Arkansas,,,521,,,,
AR017,Confederate,Marmaduke's Division,,,100,,,,
AR017,US,Two brigades of XVI Army Corps,,,180,,,,
CO001,Native American,500 Cheyennes and a few Arapahos,500,500,200,,,,
CO001,US,Third Colorado Regiment (approx. 700 men),700,700,,,,,
DC001,Confederate,,,,,,,,
DC001,US,,,,,,,,
FL001,Confederate,"infantry and artillery detachments (approx. 1,200 men)",1200,1200,87,,,,
FL001,US,Santa Rosa Island Garrison (approx. 600 men),600,600,67,,,,
FL002,Confederate,"Osceola Rangers, company",,,0,,,,
FL002,US,One gunboat,,,0,,,,
FL003,Confederate,a small artillery and cavalry force,,,,,,,
FL003,US,"Expeditionary Force: 2 infantry regiments, a light artillery battery and detachment of the 1st Massachusetts Cavalry (total force 1,573)",1573,1573,,,,,
FL004,Confederate,"Company A, 2nd Battalion, Florida Volunteers",,,,,,,
FL004,US,"Tahoma, Adela, and landing force",,,,,,,
FL005,Confederate,District of East Florida,,,946,,,,
FL005,US,Division,,,1860,,,,
FL006,Confederate,"Kilcrease Artillery; Dunham's Battery; Abell's Battery; 5th Florida Cavalry; 1st Florida Militia; Barwick's Company Reserves; Hodges Company Reserves; Company A, Milton Light Artillery; Companies A, B, and F, Reserves and reinforcements from Georgia amounting to approx. 1,000 men",1000,1000,26,,,,
FL006,US,2nd U.S. Colored Infantry and 99th U.S. Colored Infantry,,,148,,,,
GA001,Confederate,Fort Pulaski Garrison,,,364,,,,
GA001,US,The Port Royal Expeditionary Force's Fort Pulaski investment troops,,,1,,,,
GA002,Confederate,Fort McAllister Garrison,,,,,,,
GA002,US,Union Navy Flotilla,,,,,,,
GA003,Confederate,unknown,,,,,,,
GA003,US,Two divisions,,,,,,,
GA004,Confederate,Army of Tennessee,,,18454,,,,
GA004,US,The Army of the Cumberland,,,16170,,,,
GA005,Confederate,one division,,,480,,,,
GA005,US,Three divisions,,,432,,,,
GA006,Confederate,Army of Tennessee,,,,,,,
GA006,US,Army of the Cumberland,,,,,,,
GA007,Confederate,Army of Tennessee,,,,,,,
GA007,US,Military Division of the Mississippi,,,,,,,
GA008,Confederate,Army of Tennessee,,,2800,,,,
GA008,US,Military Division of the Mississippi,,,2747,,,,
GA009,Confederate,Army of Tennessee,,,,,,,
GA009,US,Military Division of the Mississippi,,,200,,,,
GA010,Confederate,Army of Tennessee,,,,,,,
GA010,US,Military Division of the Mississippi,,,1600,,,,
GA011,Confederate,Army of Tennessee,,,3000,,,,
GA011,US,Military Division of Mississippi,,,2400,,,,
GA012,Confederate,Cleburne's Division and Brig. Gen. John H. Kelly's Brigade,,,500,,,,
GA012,US,IV Corps,,,1600,,,,
GA013,Confederate,Army of Tennessee,,,,,,,
GA013,US,Military Division of the Mississippi,,,,,,,
GA014,Confederate,Hood s Corps,,,1000,,,,
GA014,US,Two corps,,,350,,,,
GA015,Confederate,Army of Tennessee,,,1000,,,,
GA015,US,Military Division of the Mississippi,,,3000,,,,
GA016,Confederate,Army of Tennessee,,,4796,,,,
GA016,US,Army of the Cumberland,,,1710,,,,
GA017,Confederate,Army of Tennessee,,,8499,,,,
GA017,US,Military Division of the Mississippi,,,3641,,,,
GA018,Confederate,two corps of Army of Tennessee,,,3000,,,,
GA018,US,Army of the Tennessee,,,562,,,,
GA019,Confederate,Army of Tennessee,,,,,,,
GA019,US,Army of the Ohio,,,,,,,
GA020,Confederate,Wheeler's cavalry force,,,,,,,
GA020,US,District of Etowah,,,,,,,
GA021,Confederate,Jackson's Cavalry Division,,,,,,,
GA021,US,Kilpatrick's Cavalry Division,,,,,,,
GA022,Confederate,two corps,,,2000,,,,
GA022,US,Six corps,,,1149,,,,
GA023,Confederate,"one division (approx. 2,000 men)",2000,2000,799,,,,
GA023,US,"One brigade (1,944 men)",1944,1944,706,,,,
GA025,Confederate,"1st Division Georgia Militia and Cavalry Corps, Department of South Carolina, Georgia, and Florida",,,650,,,,
GA025,US,"2nd Brigade, 1st Division, XV Corps, Army of the Tennessee and two regiments of cavalry",,,62,,,,
GA026,Confederate,"cavalry corps, Department of South Carolina, Georgia, and Florida",,,600,,,,
GA026,US,"3rd Cavalry Division, Military Division of the Mississippi",,,46,,,,
GA027,Confederate,"Cavalry Command, Army of Tennessee",,,250,,,,
GA027,US,"3rd Cavalry Division, Military Division of the Mississippi",,,190,,,,
GA028,Confederate,Fort McAllister Garrison (120 men),120,120,71,,,,
GA028,US,"2nd Division, XV Corps, Army of the Tennessee",,,134,,,,
ID001,Native American,Shoshoni Indians,,,384,,,,
ID001,US,District of Utah,,,67,,,,
IN001,Confederate,"1,800",1800,1800,41,,,,
IN001,US,400,400,400,360,,,,
KS001,Confederate,Quantrill's Raiders and other guerrillas,,,40,,,,
KS001,US,No Union troops,,,164,,,,
KS002,Confederate,Quantrill's Raiders (approx. 400),400,400,3,,,,
KS002,US,Detachments from three regiments and an escort,,,103,,,,
KS003,Confederate,cavalry division,,,1200,,,,
KS003,US,Provisional cavalry division,,,100,,,,
KS004,Confederate,cavalry division,,,,,,,
KS004,US,Provisional cavalry division,,,,,,,
KY001,Confederate,detachment of approx. 800 men under command of Col. Joel A. Battle,800,800,5,,,,
KY001,US,Home Guard (approx. 300 men),300,300,15,,,,
KY002,Confederate,Zollicoffer's Brigade,,,53,,,,
KY002,US,"Camp Wildcat Garrison and Schoepf's Brigade (approx. 7,000 men)",7000,7000,25,,,,
KY003,Confederate,"nine companies of infantry and two of mounted men (1,010 men)",1010,1010,263,,,,
KY003,US,Combination of detachments from twelve Union Ohio and Kentucky units,,,30,,,,
KY004,Confederate,"Terry's Texas Rangers, 7th Texas Cavalry and 1st Arkansas Battalion (approx. 1,350 men)",1350,1350,91,,,,
KY004,US,32nd Indiana Volunteer Infantry Regiment,,,40,,,,
KY005,Confederate,brigade,,,65,,,,
KY005,US,18th Brigade,,,27,,,,
KY006,Confederate,division of two brigades,,,439,,,,
KY006,US,"1st Division, Army of the Ohio, and Brig. Gen. A. Schoepf's Brigade (total of four brigades)",,,232,,,,
KY007,Confederate,Army of Kentucky,,,750,,,,
KY007,US,"1st and 2nd Brigades, Army of Kentucky",,,4900,,,,
KY008,Confederate,Army of the Mississippi,,,714,,,,
KY008,US,Union garrison,,,4148,,,,
KY009,Confederate,Army of the Mississippi,,,3196,,,,
KY009,US,Army of the Ohio,,,4211,,,,
KY010,Confederate,Forrest's Cavalry Department,,,50,,,,
KY010,US,Union Garrison (approx. 650 men),650,650,90,,,,
KY011,Confederate,Morgan's Division,,,1000,,,,
KY011,US,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, and the Kentucky Harrison County Home Guards",,,1092,,,,
LA001,Confederate,Garrisons of Forts Jackson and St. Philip and the crews of various ships,,,782,,,,
LA001,US,West Gulf Blockading Squadron,,,229,,,,
LA002,Confederate,Department No. 1,,,0,,,,
LA002,US,Department of the Gulf,,,0,,,,
LA003,Confederate,Breckinridge's Corps,,,478,,,,
LA003,US,"2nd Brigade, Department of the Gulf",,,371,,,,
LA004,Confederate,a few partisans,,,0,,,,
LA004,US,Three Navy ships,,,0,,,,
LA005,Confederate,"18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, Detachment of Cavalry, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery and 2nd Louisiana Cavalry Regiment (approx. 1,392 men)",1392,1392,229,,,,
LA005,US,"Reserve brigade, Department of the Gulf",,,86,,,,
LA006,Confederate,District of Western Louisiana,,,450,,,,
LA006,US,"Banks's Department of the Gulf, XIX Army Corps",,,234,,,,
LA007,Confederate,"28th Louisiana Infantry, 2nd Louisiana Cavalry, 12th Louisiana Infantry Battalion, 4th Texas Cavalry, and Cornay's Louisiana Battery",,,,,,,
LA007,US,"4th Division, XIX Army Corps",,,353,,,,
LA008,Confederate,District of Western Louisiana,,,,,,,
LA008,US,"4th Division, XIX Army Corps, Army of the Gulf",,,,,,,
LA009,Confederate,"small combined infantry, artillery, and cavalry force",,,100,,,,
LA009,US,"1st Division, XIX Army Corps and Cavalry Brigade",,,150,,,,
LA010,Confederate,"Confederate forces, 3rd District, Department of Mississippi and East Louisiana, Port Hudson",,,7208,,,,
LA010,US,"XIX Army Corps, Army of the Gulf",,,5000,,,,
LA011,Confederate,McCulloch's Brigade,,,185,,,,
LA011,US,African Brigade and the 23rd Iowa Volunteer Infantry,,,652,,,,
LA012,Confederate,2nd Cavalry Brigade,,,219,,,,
LA012,US,838 men from eight regiments,838,838,48,,,,
LA013,Confederate,Tom Green's Texas Brigade and Colonel James Patrick Major's Texas Brigade,,,301,,,,
LA013,US,Fort Butler Garrison: two companies of the 28th Maine Volunteer Infantry and some convalescents from various regiments,,,23,,,,
LA014,Confederate,"12th and 19th Texas cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron's Louisiana Battery, and Ralston's Mississippi Battery",,,,,,,
LA014,US,"Mississippi Marine Brigade, Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana (African Descent)",,,120,,,,
LA015,Confederate,two understrength Confederate brigades,,,33,,,,
LA015,US,"Godfrey Weitzel's and Cuvier Grover's Divisions, XIX Army Corps",,,430,,,,
LA016,Confederate,forces on the Atchafalaya River,,,121,,,,
LA016,US,"2nd Division, XIII Army Corps",,,454,,,,
LA017,Confederate,Fort DeRussy Garrison (approx. 350 men),350,350,269,,,,
LA017,US,"3rd Division, XVI Army Corps",,,48,,,,
LA018,Confederate,District of West Louisiana (two divisions),,,1500,,,,
LA018,US,Banks's Red River Expeditionary Force,,,2900,,,,
LA019,Confederate,District of West Louisiana,,,2000,,,,
LA019,US,Red River Expeditionary Force (Banks's Department of the Gulf),,,1100,,,,
LA020,Confederate,Green's Cavalry Division,,,200,,,,
LA020,US,"Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron",,,7,,,,
LA021,Confederate,Bee's Cavalry Division,,,400,,,,
LA021,US,Red River Expeditionary Force (Banks's Department of the Gulf),,,200,,,,
LA022,Confederate,District of West Louisiana,,,,,,,
LA022,US,Banks's Red River Expeditionary Force,,,,,,,
LA023,Confederate,District of Western Louisiana,,,500,,,,
LA023,US,"1st and 3rd Divisions, XVI Army Corps",,,360,,,,
MD001,Confederate,,,,,,,,
MD001,US,,,,,,,,
MD002,Confederate,,,,,,,,
MD002,US,,,,,,,,
MD003,Confederate,,,,,,,,
MD003,US,,,,,,,,
MD004,Confederate,,,,,,,,
MD004,US,,,,,,,,
MD006,Confederate,,,,,,,,
MD006,US,,,,,,,,
MD007,Confederate,,,,,,,,
MD007,US,,,,,,,,
MD008,Confederate,,,,,,,,
MD008,US,,,,,,,,
MN001,Native American,Santee Sioux,,,,,,,
MN001,US,Fort Ridgely Garrison and refugee civilians,,,16,,,,
MN002,Native American,Santee Sioux,,,,,,,
MN002,US,"Volunteer troops (about 1,500)",1500,1500,37,,,,
MO001,Confederate,State Guard Troops,,,50,,,,
MO001,US,"Combined force of Missouri troops and Regular U.S. Army (approx. 1,700)",1700,1700,31,,,,
MO002,Confederate,Missouri State Guard divisions,,,200,,,,
MO002,US,Brigade,,,44,,,,
MO003,Confederate,"4th Division, Missouri State Guard",,,70,,,,
MO003,US,"Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men)",600,600,56,,,,
MO004,Confederate,Missouri State Guard and McCulloch's Brigade,,,1095,,,,
MO004,US,Army of the West,,,1235,,,,
MO005,Confederate,column of Missouri State Guard,,,,,,,
MO005,US,Kansas Cavalry Brigade (approx. 600),600,600,14,,,,
MO006,Confederate,"Missouri State Guard (12,000)",12000,12000,100,,,,
MO006,US,"Garrison (approx. 3,500)",3500,3500,1774,,,,
MO007,Confederate,Missouri State Guard,,,62,,,,
MO007,US,"Brigade size force (approx. 2,500-3,500)",2500,2500,,,,,
MO008,Confederate,Missouri State Guard troops,,,133,,,,
MO008,US,Prairie Scouts and Frémont's Body Guard,,,85,,,,
MO009,Confederate,division,,,966,,,,
MO009,US,Division,,,498,,,,
MO010,Confederate,unknown,,,210,,,,
MO010,US,Detachments of the 3rd Missouri Cavalry Regiment (approx. 240) and Birge's Sharpshooters (approx. 200),440,440,72,,,,
MO011,Confederate,unknown,,,80,,,,
MO011,US,"Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450)",450,450,11,,,,
MO012,Confederate,Garrisons of New Madrid and Island No. 10,,,,,,,
MO012,US,Army of the Mississippi,,,,,,,
MO013,Confederate,Missouri Brigade,,,368,,,,
MO013,US,Combined force (cavalry and artillery),,,88,,,,
MO014,Confederate,700-800,700,700,,,,,
MO014,US,Garrison (approx. 300,344,344,344,,,,
MO015,Confederate,unknown,,,110,,,,
MO015,US,Detachments from fourteen companies of cavalry and a section of artillery (800 men),800,800,160,,,,
MO016,Confederate,Cooper's Division,,,100,,,,
MO016,US,"Two brigades, Army of Kansas (1,500)",1500,1500,245,,,,
MO017,Confederate,"cavalry brigade (approx. 1,000 men)",1000,1000,,,,,
MO017,US,Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men),113,113,113,,,,
MO018,Confederate,"4th Division, I Corps, Trans-Mississippi Department",,,240,,,,
MO018,US,"Southwestern District of Missouri Troops (2,000)",2000,2000,163,,,,
MO019,Confederate,"4th Division, I Corps, Trans-Mississippi Department",,,329,,,,
MO019,US,"Detachment of infantry, cavalry, and artillery (approx. 700)",700,700,78,,,,
MO020,Confederate,cavalry division,,,325,,,,
MO020,US,Garrison plus some reinforcements,,,12,,,,
MO021,Confederate,Army of Missouri,,,1500,,,,
MO021,US,Garrison,,,184,,,,
MO022,Confederate,unknown,,,50,,,,
MO022,US,Garrison (800),800,800,400,,,,
MO023,Confederate,Army of Missouri,,,,,,,
MO023,US,"1st Division, Army of the Border",,,,,,,
MO024,Confederate,Army of Missouri,,,,,,,
MO024,US,"1st Division, Army of the Border",,,,,,,
MO025,Confederate,"Fagan and Marmaduke's Divisions, Army of Missouri",,,140,,,,
MO025,US,Provisional cavalry division,,,,,,,
MO026,Confederate,Shelby and Marmaduke's Divisions,,,,,,,
MO026,US,"1st Division, Army of the Border and provisional cavalry division",,,,,,,
MO027,Confederate,Army of Missouri,,,1500,,,,
MO027,US,Army of the Border,,,1500,,,,
MO028,Confederate,Army of Missouri,,,,,,,
MO028,US,"Two brigades, provisional cavalry division",,,,,,,
MO029,Confederate,remnants of Price's Army of Missouri,,,250,,,,
MO029,US,Five brigades,,,400,,,,
MS001,Confederate,"1st Division, Army of the West (approx. 3,200)",3200,3200,700,,,,
MS001,US,"2nd Division and cavalry division, Army of the Mississippi (approx. 4,000-4,500)",4000,4000,782,,,,
MS002,Confederate,Army of the West Tennessee,,,4838,,,,
MS002,US,Army of the Mississippi,,,2359,,,,
MS003,Confederate,Department of Mississippi and East Louisiana,,,207,,,,
MS003,US,"Right Wing, XIII Army Corps",,,1776,,,,
MS004,Confederate,Bowen's Division and attached troops,,,,,,,
MS004,US,"Mississippi Squadron and Companies A,B,D,F,G,H,K, 58th Ohio Volunteer Infantry Regiment",,,80,,,,
MS005,Confederate,Hébert's Brigade,,,,,,,
MS005,US,"XV Army Corps, Department of the Tennessee",,,,,,,
MS006,Confederate,Confederate forces in area (one reinforced division: four brigades),,,787,,,,
MS006,US,Army of the Tennessee (comprising two corps),,,861,,,,
MS007,Confederate,Gregg's Task Force (equivalent to a brigade),,,569,,,,
MS007,US,"XVII Army Corps, Army of the Tennessee",,,442,,,,
MS008,Confederate,Jackson Garrison,,,850,,,,
MS008,US,Army of the Tennessee,,,286,,,,
MS009,Confederate,Department of Mississippi and East Louisiana,,,4300,,,,
MS009,US,Army of the Tennessee (three corps),,,2457,,,,
MS010,Confederate,Bridgehead Defense Force (three brigades),,,2000,,,,
MS010,US,"XIII Army Corps, Army of the Tennessee",,,273,,,,
MS011,Confederate,Army of Vicksburg,,,9091,,,,
MS011,US,Army of the Tennessee,,,10142,,,,
MS012,Confederate,"Department of Alabama, Mississippi and East Louisiana",,,,,,,
MS012,US,Department of the Tennessee,,,,,,,
MS013,Confederate,Forrest's Cavalry Corps,,,50,,,,
MS013,US,"Cavalry force (7,000)",7000,7000,100,,,,
MS014,Confederate,cavalry corps,,,495,,,,
MS014,US,"Three-brigade division of infantry and a division of cavalry (about 8,500 )",8500,8500,2610,,,,
MS015,Confederate,"Department of Alabama, Mississippi, and East Louisiana",,,1300,,,,
MS015,US,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops (14,000)",14000,14000,648,,,,
MS016,Confederate,Department No. 2,,,,,,,
MS016,US,Department of the Mississippi,,,,,,,
NC001,Confederate,Hatteras Island Garrison (900),900,900,770,,,,
NC001,US,"9th and 20th New York regiments (est. 2,000)",2000,2000,3,,,,
NC002,Confederate,"3,000",3000,3000,2643,23,58,62,2500
NC002,US,"7,500",7500,7500,264,37,214,13,0
NC003,Confederate,"5 regiments, militia",,,,,,,
NC003,US,"Expeditionary Force and Foster's, Reno's, and Parke's Brigades",,,,,,,
NC004,Confederate,Fort Macon Garrison,,,480,,,,
NC004,US,"Parke's Division of Department of North Carolina, 3rd Division",,,10,,,,
NC005,Confederate,3rd Georgia,,,,,,,
NC005,US,21st Massachusetts and 51st Pennsylvania,,,,,,,
NC006,Confederate,,,,,,,,
NC006,US,,,,,,,,
NC007,Confederate,Evans's Brigade,,,,,,,
NC007,US,"Department of North Carolina, 1st Division",,,,,,,
NC008,Confederate,Robertson's Brigade,,,,,,,
NC008,US,Amory's and Stevenson's Brigades,,,,,,,
NC009,Confederate,Clingman's Brigade,,,,,,,
NC009,US,"Department of North Carolina, 1st Division",,,,,,,
NC010,Confederate,Hill's Division,,,,,,,
NC010,US,"1st Division, XVIII Corps",,,,,,,
NC011,Confederate,Hill's Division,,,,,,,
NC011,US,6 regiments and artillery units,,,,,,,
NC012,Confederate,Hoke's Division,,,,,,,
NC012,US,Plymouth Garrison (4 infantry and artillery units),,,,,,,
NC013,Confederate,Confederate ram,,,,,,,
NC013,US,9 gunboats,,,,,,,
NC014,Confederate,Hoke's Division and Fort Fisher Garrison,,,,,,,
NC014,US,"Expeditionary Corps, Army of the James",,,,,,,
NC015,Confederate,Hoke's Division and Fort Fisher Garrison,,,,,,,
NC015,US,"Expeditionary Corps, Army of the James",,,,,,,
NC016,Confederate,"Hoke's Division, Hagood's Brigade (6,600)",6600,6600,,,,,
NC016,US,"Cox's, Ames's, and Paine's Divisions (12,000)",12000,12000,,,,,
NC017,Confederate,"8,500",8500,8500,1500,,,,
NC017,US,"12,000",12000,12000,1101,,,,
NC018,Confederate,"Wheeler's and Hampton's Cavalry Division (3,000)",3000,3000,86,,,,
NC018,US,"Kilpatrick's Cavalry Division (1,850)",1850,1850,183,,,,
NC019,Confederate,"Hardee's Corps (5,400)",5400,5400,,,,,
NC019,US,"XX Corps and XIV Corps (25,992)",25992,25992,,,,,
NC020,Confederate,Johnston's Army,,,3092,,,,
NC020,US,Sherman's Right Wing (XX and XIV Corps),,,1646,,,,
ND001,Native American,Santee and Teton Sioux,,,13,,,,
ND001,US,District of Minnesota,,,,,,,
ND002,Native American,Santee and Teton Sioux,,,,,,,
ND002,US,District of Minnesota,,,,,,,
ND003,Native American,Santee and Teton Sioux,,,,,,,
ND003,US,District of Minnesota,,,,,,,
ND004,Native American,"Santee, Yankton, Cut-heads, Hunkapapa and Teton Sioux and Blackfeet (1,200-1,500)",1200,1200,750,,,,
ND004,US,Northwestern Expedition (600-700),600,600,72,,,,
ND005,Native American,Santee and Teton Sioux,,,,,,,
ND005,US,"Detachments from eight units (2,200)",2200,2200,,,,,
NM001,Confederate,Army of New Mexico,,,187,,,,
NM001,US,Department of New Mexico (combination of regular and volunteer units),,,202,,,,
NM002,Confederate,"4th, 5th, and 7th Texas Cavalry Regiment, artillery, and a company of independent volunteers",,,189,,,,
NM002,US,"Northern Division, Army of New Mexico",,,142,,,,
OH001,Confederate,"1,700",1700,1700,900,,,,
OH001,US,"3,000",3000,3000,25,,,,
OH002,Confederate,400,400,400,364,,,,
OH002,US,"2,600",2600,2600,0,,,,
OK001,Confederate,Indian Department,,,,,,,
OK001,Native American,Creek and Seminole,,,,,,,
OK002,Confederate,Indian Department,,,,,,,
OK002,Native American,Creek and Seminole,,,,,,,
OK003,Confederate,McIntosh's and Douglas Cooper's brigades,,,,,,,
OK003,Native American,Creek and Seminole,,,,,,,
OK004,Confederate,1st Brigade,,,150,,,,
OK004,US,"1st Division, Army of the Frontier",,,14,,,,
OK005,Confederate,"Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment",,,,,,,
OK005,US,Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,,,,,,,
OK006,Confederate,"two regiments and detachments from two other units (approx. 1,600-1,800)",1600,1600,65,,,,
OK006,US,Detachments from nine units,,,23,,,,
OK007,Confederate,"1st Brigade, Native American troops",,,637,,,,
OK007,US,District of the Frontier,,,79,,,,
PA001,Confederate,,,,,,,,
PA001,US,,,,,,,,
PA002,Confederate,"75,054",75054,75054,28000,,,,
PA002,US,"83,289",83289,83289,23000,,,,
SC001,Confederate,500,500,500,0,,,,
SC001,US,80,80,80,0,,,,
SC002,Confederate,"2,000",2000,2000,204,,,,
SC002,US,"6,600",6600,6600,685,,,,
SC003,Confederate,,,,0,,,,
SC003,US,,,,0,,,,
SC004,Confederate,,,,14,,,,
SC004,US,,,,22,,,,
SC005,Confederate,,,,12,,,,
SC005,US,,,,339,,,,
SC006,Confederate,"3,000",3000,3000,18,,,,
SC006,US,"3,800",3800,3800,,,,,
SC007,Confederate,"1,800",1800,1800,174,,,,
SC007,US,"5,000",5000,5000,1515,,,,
SC008,Confederate,Fort Sumter Garrison,,,,,,,
SC008,US,Morris Island Batteries,,,,,,,
SC009,Confederate,unknown,,,,,,,
SC009,US,413,413,413,117,,,,
SC010,Confederate,"1,400",1400,1400,50,,,,
SC010,US,"5,000",5000,5000,746,,,,
SC011,Confederate,"1,200",1200,1200,170,,,,
SC011,US,"5,000",5000,5000,92,,,,
TN001,Confederate,Fort Henry Garrison,,,79,,,,
TN001,US,District of Cairo,,,40,,,,
TN002,Confederate,Fort Donelson Garrison,,,15067,,,,
TN002,US,Army in the Field,,,2331,,,,
TN003,Confederate,"Army of the Mississippi (44,968)",44968,44968,10699,,,,
TN003,US,"Army of the Tennessee and Army of the Ohio (65,085)",65085,65085,13047,,,,
TN004,Confederate,"C.S. Navy Rams General Beauregard, General Bragg, General Price, General Van Dorn, General Thompson, Colonel Lovell, Sumter, and Little Rebel",,,180,,,,
TN004,US,"U.S. Ironclads Benton, Louisville, Carondelet, Cairo, and St. Louis and U.S. Army Rams Queen of the West and Monarch",,,1,,,,
TN005,Confederate,Department,,,65,,,,
TN005,US,Division,,,23,,,,
TN006,Confederate,"equivalent of a brigade (about five cavalry units; approx. 1,400)",1400,1400,150,,,,
TN006,US,Detachments from four Union units (approx. 900),900,900,890,,,,
TN007,Confederate,Army of the West,,,400,,,,
TN007,US,Detachment,,,500,,,,
TN008,Confederate,expeditionary force (two brigades),,,149,,,,
TN008,US,"39th Brigade, XIV Army Corps (Army of the Cumberland)",,,1855,,,,
TN009,Confederate,Detachment of Forrest's Cavalry (approx. 400),400,400,,,,,
TN009,US,Two regiments from the Jackson Garrison,,,6,,,,
TN010,Confederate,Army of Tennessee,,,10266,,,,
TN010,US,Army of the Cumberland,,,13249,,,,
TN011,Confederate,expeditionary brigade,,,500,,,,
TN011,US,"Two brigades (approx. 3,000 men)",3000,3000,237,,,,
TN012,Confederate,"cavalry division (approx. 2,500)",2500,2500,670,,,,
TN012,US,Detachments of two regiments: 83rd Illinois Infantry and 5th Iowa Cavalry Regiments and some artillery (approx. 800),800,800,126,,,,
TN013,Confederate,I Cavalry Corps,,,300,,,,
TN013,US,Infantry brigade,,,1906,,,,
TN014,Confederate,"Morgan's Cavalry Division (approx. 3,500)",3500,3500,373,,,,
TN014,US,"2nd Brigade, 5th Division, XIV Army Corps (a combined force of infantry, artillery, and cavalry comprising detachments from six units; approx. 1,300)",1300,1300,62,,,,
TN015,Confederate,Forrest's Division,,,6,,,,
TN015,US,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400)",400,400,305,,,,
TN016,Confederate,"1st Cavalry Corps, Army of Tennessee",,,137,,,,
TN016,US,Army of Kentucky,,,100,,,,
TN017,Confederate,"Bate's and Johnson's Brigades, Stewart's Division, Hardee's Corps, Army of Tennessee, and J.R. Butler's 1st [3rd] Kentucky Cavalry Regiment",,,,,,,
TN017,US,XIV Army Corps,,,,,,,
