battle_id,belligerent,battle_name,start_date,end_date,state,killed,wounded,missing,casualties,aggregates_battles,comment,from_footnote
U74,US,"Deserted House, Va.",1863-1-30,1863-1-30,VA,23,108,12,143,False,,0
U75,US,"Fort Donelson, Tenn.",1863-2-3,1863-2-3,TN,14,54,10,78,False,,0
U76,US,"Thompson's Station, Tenn.",1863-3-4,1863-3-5,TN,48,247,1151,1446,False,,0
U77,US,"Kelly's Ford, Va.",1863-3-17,1863-3-17,VA,6,50,22,78,False,,0
U78,US,"Fort Bisland, La.",1863-4-13,1863-4-13,LA,40,184,,224,False,,0
U79,US,"Irish Bend, La.",1863-4-14,1863-4-14,LA,49,274,30,353,False,,0
U80,US,"Siege of Suffolk, Va.",1863-4-11,1863-4-30,VA,41,223,2,266,False,,0
U81,US,"Magnolia Hills, Miss.",1863-5-1,1863-5-1,MS,131,719,25,875,False,"Port Gibson, Miss.",0
U82,US,"Chancellorsville, Va.",1863-5-1,1863-5-4,VA,1606,9762,5919,17287,False,"Includes loss at Marye's Heights and Salem Church, viz.; 493 killed, 2,710 wounded, 1,497 missing. Also, loss at Fitzhugh's Crossing.",0
U82A,US,"Marye's Heights and Salem Church, Va.",1863-5-3,1863-5-4,VA,493,2710,1497,4700,False,,1
U83,US,"Raymond, Miss.",1863-5-12,1863-5-12,MS,66,339,37,442,False,,0
U84,US,"Jackson, Miss.",1863-5-14,1863-5-14,MS,42,251,7,300,False,,0
U85,US,"Champion's Hill, Miss.",1863-5-16,1863-5-16,MS,410,1844,187,2441,False,,0
U86,US,"Black River Bridge, Miss.",1863-5-17,1863-5-17,MS,39,237,3,279,False,,0
U87,US,"Assault on Vicksburg, Miss.",1863-5-19,1863-5-19,MS,157,777,8,942,False,,0
U88,US,"Assault on Vicksburg, Miss.",1863-5-22,1863-5-22,MS,502,2550,147,3199,False,,0
U89,US,"Vicksburg Trenches, Miss.",1863-5-23,1863-7-4,MS,147,613,9,769,False,,0
U90,US,"Plain's Store, La.",1863-5-21,1863-5-21,LA,15,71,14,100,False,,0
U91,US,"Assault on Port Hudson, La.",1863-5-27,1863-5-27,LA,293,1545,157,1995,False,,0
U92,US,"Assault on Port Hudson, La.",1863-6-14,1863-6-14,LA,203,1401,162,1766,False,,0
U93,US,"Port Hudson Trenches, La.",1863-5-26,1863-7-9,LA,211,390,,601,False,,0
U94,US,"Franklin's Crossing, Va.",1863-6-5,1863-6-5,VA,9,48,,57,False,,0
U95,US,"Milliken's Bend, La.",1863-6-6,1863-6-8,LA,118,310,,428,False,,0
U96,US,"Beverly Ford, Va.",1863-6-9,1863-6-9,VA,81,403,382,866,False,Cavalry engagement.,0
U97,US,"Winchester, Va.",1863-6-13,1863-6-15,VA,95,348,4000,4443,False,,0
U98,US,"Aldie, Va.",1863-6-17,1863-6-17,VA,50,131,124,305,False,Cavalry engagement.,0
U99,US,"Middleburg, Va.",1863-6-19,1863-6-19,VA,16,46,37,99,False,Cavalry engagement.,0
U100,US,"Upperville, Va.",1863-6-21,1863-6-21,VA,12,130,67,209,False,Cavalry engagement.,0
U101,US,"La Fourche Crossing, La.",1863-6-21,1863-6-21,LA,8,40,,48,False,,0
U102,US,"Hill's Plantation, Miss.",1863-6-22,1863-6-22,MS,10,9,28,47,False,,0
U103,US,"Hoover's Gap, Tenn.",1863-6-24,1863-6-24,TN,27,177,2,206,False,,0
U104,US,"Liberty Gap, Tenn.",1863-6-25,1863-6-25,TN,42,232,1,275,False,,0
U105,US,"Shelbyville, Tenn.",1863-6-27,1863-6-27,TN,15,64,10,89,False,Includes losses at Guy's Gap and Middleton.,0
U106,US,"Morgan's Raid, Ky.",1863-7-2,1863-7-26,KY,19,47,8,74,False,,0
U107,US,"Helena, Ark.",1863-7-4,1863-7-4,AR,57,146,36,239,False,,0
U108,US,"Jackson, Miss.",1863-7-9,1863-7-16,MS,129,762,231,1122,False,,0
U109,US,"Hanover, Pa",1863-6-30,1863-6-30,PA,19,73,123,215,False,Cavalry engagement.,0
U110,US,"Gettysburg, Pa",1863-7-1,1863-7-3,PA,3070,14497,5434,23001,False,,0
U111,US,"Hagerstown, Md",1863-7-6,1863-7-6,MD,19,50,194,263,False,Cavalry engagement.,0
U112,US,"Williamsport, Md",1863-7-6,1863-7-6,MD,14,37,69,120,False,Cavalry engagement.,0
U113,US,"Boonsborough, Md",1863-7-7,1863-7-9,MD,8,54,18,80,False,Cavalry engagement.,0
U114,US,"Hagerstown, Md",1863-7-11,1863-7-11,MD,5,31,13,49,False,Cavalry engagement.,0
U115,US,"Funkstown, Md",1863-7-12,1863-7-12,MD,14,77,6,97,False,,0
U116,US,"Falling Waters, Md",1863-7-14,1863-7-14,MD,31,58,32,121,False,Cavalry engagement.,0
U117,US,"Shepherdstown, Va.",1863-7-16,1863-7-16,VA,8,72,24,104,False,Cavalry engagement.,0
U118,US,"Assault on Fort Wagner, S. C.",1863-7-11,1863-7-11,SC,49,123,167,339,False,,0
U119,US,"Assault on Fort Wagner, S. C.",1863-7-18,1863-7-18,SC,246,880,389,1515,False,,0
U120,US,"Siege of Fort Wagner, S. C.",1863-7-1,1863-7-31,SC,71,278,9,358,False,,0
U121,US,"Donaldsonville, La.",1863-7-13,1863-7-13,LA,56,223,186,465,False,,0
U122,US,"Manassas Gap, Va.",1863-7-21,1863-7-21,VA,9,12,8,29,False,Cavalry engagement.,0
U123,US,"Wapping Heights, Va.",1863-7-23,1863-7-23,VA,20,83,,103,False,,0
U124,US,"Brandy Station, Va.",1863-8-1,1863-8-1,VA,21,104,20,145,False,Cavalry engagement.,0
U125,US,"White Sulphur Springs, Va.",1863-8-26,1863-8-27,VA,26,125,67,218,False,Cavalry engagement.,0
U126,US,"Chickamauga, Ga.",1863-9-19,1863-9-20,GA,1656,9749,4774,16179,False,,0
U127,US,"Morganzia, La.",1863-9-29,1863-9-29,LA,16,45,453,514,False,,0
U128,US,"Bristoe Station, Va.",1863-10-14,1863-10-14,VA,50,335,161,546,False,,0
U129,US,"Philadelphia, Tenn.",1863-10-20,1863-10-20,TN,7,25,447,479,False,,0
U130,US,"Wauhatchie, Tenn.",1863-10-27,1863-10-27,TN,75,300,8,383,False,,0
U131,US,"Grand Coteau, La.",1863-11-3,1863-11-3,LA,25,129,562,716,False,,0
U132,US,"Droop Mountain, W. Va.",1863-11-6,1863-11-6,WV,30,88,1,119,False,,0
U133,US,"Rappahannock Station, Va.",1863-11-7,1863-11-7,VA,83,328,6,417,False,,0
U134,US,"Kelly's Ford, Va.",1863-11-7,1863-11-7,VA,6,39,,45,False,,0
U135,US,"Campbell's Station, Tenn.",1863-11-16,1863-11-16,TN,31,211,74,316,False,,0
U136,US,"Siege of Knoxville, Tenn.",1863-11-1,1863-11-30,TN,92,393,202,687,False,,0
U137,US,"Chattanooga, Tenn.",1863-11-23,1863-11-25,TN,687,4346,349,5382,False,"Or, Missionary Ridge; Includes Orchard Knob, Nov. 23 (loss about 200); and Lookout Mountain, Nov. 24 (500).",0
U137A,US,"Missionary Ridge (Chattanooga, Tenn)",1863-11-25,1863-11-25,TN,,,,4682,False,,1
U137B,US,"Orchard Knob (Chattanooga, Tenn)",1863-11-23,1863-11-23,TN,,,,200,False,,1
U137C,US,"Lookout Mountain (Chattanooga, Tenn)",1863-11-24,1863-11-24,TN,,,,500,False,,1
U137D,US,"Ringgold; Graysville, Ga.",1863-11-27,1863-11-27,GA,,,,432,False,,1
U139,US,"Mine Run Campaign, Va.",1863-11-26,1863-11-30,VA,173,1099,381,1653,False,,0
U140,US,"Walker's Ford, W. Va.",1863-12-2,1863-12-2,WV,9,43,12,64,False,,0
U141,US,"Bean's Station, Tenn.",1863-12-14,1863-12-14,TN,16,51,48,115,False,,0
U142,US,"Mossy Creek, Tenn.",1863-12-29,1863-12-29,TN,18,86,5,109,False,,0
U143,US,"Bachelor's Creek, N. C.",1864-2-1,1864-2-3,NC,9,15,302,326,False,,0
U144,US,"Morton's Ford, Va.",1864-2-6,1864-2-6,VA,10,208,42,260,False,,0
U145,US,"Olustee, Fla.",1864-2-20,1864-2-20,FL,203,1152,506,1861,False,,0
U146,US,"Buzzard's Roost, Ga.",1864-2-27,1864-2-27,GA,17,272,,289,False,,0
U147,US,"Yazoo City, Miss.",1864-3-5,1864-3-5,MS,21,89,21,131,False,,0
U148,US,"Okolona, Ark.",1864-4-3,1864-4-3,AR,16,74,,90,False,,0
U149,US,"Sabine Cross Roads, La and Pleasant Hill, La.",1864-4-8,1864-4-9,LA,258,1487,1772,3517,False,,0
U150,US,"Plymouth, N. C.",1864-4-17,1864-4-20,NC,20,80,1500,1600,False,,0
U151,US,"Cane River, La.",1864-4-23,1864-4-23,LA,40,160,,200,False,,0
U152,US,"Marks's Mills, Ark.",1864-4-25,1864-4-25,AR,100,250,100,450,False,,0
U153,US,"Jenkins's Ferry, Ark.",1864-4-30,1864-4-30,AR,64,378,86,528,False,,0
U154,US,"Alexandria, La.",1864-5-1,1864-5-1,LA,23,67,21,111,False,,0
U155,US,"Atlanta Campaign, Ga.",1864-5-5,1864-5-31,GA,1458,7436,405,9299,False,"Includes Rocky Face Ridge, May 5-9 (loss about 900); Resaca, May 13-15 (3,000); New Hope Church, May 25 (1,000); Pickett's Mills, May 27 (1,900); Dallas, May 28-31 (1,800); Adairsville, Cassville, Rome Cross Roads, etc.",0
U155A,US,"Atlanta Campaign, Ga. (May 1-31): Rocky Face Ridge, May 5-9",1864-5-5,1864-5-9,GA,,,,900,False,,1
U155B,US,"Atlanta Campaign, Ga. (May 1-31): Resaca, May 13-15",1864-5-13,1864-5-15,GA,,,,3000,False,,1
U155C,US,"Atlanta Campaign, Ga. (May 1-31): New Hope Church, May 25",1864-5-25,1864-5-25,GA,,,,1000,False,,1
U155D,US,"Atlanta Campaign, Ga. (May 1-31): Pickett's Mills, May 27",1864-5-27,1864-5-27,GA,,,,1900,False,,1
U155E,US,"Atlanta Campaign, Ga. (May 1-31): Dallas, May 28-31",1864-5-28,1864-5-31,GA,,,,1800,False,,1
U155F,US,"Atlanta Campaign, Ga. (May 1-31): Adairsville, Cassville, Rome Cross Roads, etc",1864-5-1,1864-5-31,GA,,,,699,False,,1
U156,US,"Atlanta Campaign, Ga.",1864-6-1,1864-6-30,GA,1125,5740,665,7530,False,"Includes Dallas, June 1-4 (900); Pine Mountain, June 14-19 (1,100); Culp's House, June 22 (700); Kenesaw Mountain, June 20-30 (1,200); Assault on Kenesaw, June 27 (3,000); Lattimore's Mill; Powder Springs, etc.",0
U156A,US,"Atlanta Campaign, Ga. (June 1-30): Dallas, June 1-4",1864-6-1,1864-6-4,GA,,,,900,False,,1
U156B,US,"Atlanta Campaign, Ga. (June 1-30):  Pine Mountain, June 14-19",1864-6-14,1864-6-19,GA,,,,1100,False,,1
U156C,US,"Atlanta Campaign, Ga. (June 1-30):  Culp's House, June 22",1864-6-22,1864-6-22,GA,,,,700,False,,1
U156D,US,"Atlanta Campaign, Ga. (June 1-30):  Kenesaw Mountain, June 20-30",1864-6-20,1864-6-30,GA,,,,1200,False,,1
U156E,US,"Atlanta Campaign, Ga. (June 1-30): Assault on Kenesaw, June 27",1864-6-27,1864-6-27,GA,,,,3000,False,,1
U156F,US,"Atlanta Campaign, Ga. (June 1-30): Lattimore's Mill; Powder Springs, etc",1864-6-1,1864-6-30,GA,,,,631,False,,1
U157,US,"Atlanta Campaign, Ga.",1864-7-1,1864-7-31,GA,1110,5915,2694,9719,False,"Includes Nickajack Creek, July 2-5 (450); Chattahoochie, July 6-10 (850); Peach Tree Creek, July 20 (2,200); Atlanta, July 21, 22 (4,200); Ezra Chapel, July 28 (850); and others.",0
U157A,US,"Atlanta Campaign, Ga. (July 1-31): Nickajack Creek, July 2-5",1864-7-2,1864-7-5,GA,,,,450,False,,1
U157B,US,"Atlanta Campaign, Ga. (July 1-31): Chattahoochie, July 6-10",1864-7-6,1864-7-10,GA,,,,850,False,,1
U157C,US,"Atlanta Campaign, Ga. (July 1-31): Peach Tree Creek, July 20",1864-7-20,1864-7-20,GA,,,,2200,False,,1
U157D,US,"Atlanta Campaign, Ga. (July 1-31): Atlanta, July 21, 22",1864-7-21,1864-7-22,GA,,,,4200,False,,1
U157E,US,"Atlanta Campaign, Ga. (July 1-31): Ezra Chapel, July 28",1864-7-28,1864-7-28,GA,,,,850,False,,1
U157F,US,"Atlanta Campaign, Ga. (July 1-31): others",1864-7-1,1864-7-31,GA,,,,1169,False,,1
U158,US,"Atlanta Campaign, Ga.",1864-8-1,1864-8-31,GA,453,2318,466,3237,False,"Includes Utoy Creek, Aug. 5, 6 (800); and Siege of Atlanta.",0
U158A,US,"Atlanta Campaign, Ga. (Aug 1-31): Utoy Creek",1864-8-5,1864-8-6,GA,,,,800,False,,1
U158B,US,"Atlanta Campaign, Ga. (Aug 1-31): Siege of Atlanta",1864-8-1,1864-8-31,GA,,,,2437,False,,1
U159,US,"Atlanta Campaign, Ga.",1864-9-1,1864-9-1,GA,277,1413,212,1902,False,Jonesboro and Lovejoy's Station.,0
U160,US,"Atlanta Campaign, Ga.",1864-5-5,1864-9-1,GA,4423,22822,4442,31687,True,,0
U161,US,"Wilderness, Va.",1864-5-5,1864-5-7,VA,2246,12037,3383,17666,False,,0
U162,US,"Spotsylvania, Va.",1864-5-8,1864-5-21,VA,2725,13416,2258,18399,False,"Includes Alsop's Farm, May 8 (loss about 1,800); Po River, Laurel Hill, and Upton's Charge, May 10 (5,000); Hancock's Assault, the ""Angle"" and general attack of May 12 (8,500); Spotsylvania, May 18 (800); Fredericksburg Pike, May 19 (1,400); Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc.",0
U162A,US,"Spotsylvania, Va.:  Alsop's Farm, May 8",1864-5-8,1864-5-8,VA,,,,1800,False,,1
U162B,US,"Spotsylvania, Va.:  Po River, Laurel Hill, and Upton's Charge, May 10",1864-5-10,1864-5-10,VA,,,,5000,False,,1
U162C,US,"Spotsylvania, Va.:  Hancock's Assault, the ""Angle"", and general attack of May 12",1864-5-12,1864-5-12,VA,,,,8500,False,,1
U162D,US,"Spotsylvania, Va.:  Spotsylvania, May 18",1864-5-18,1864-5-18,VA,,,,800,False,,1
U162E,US,"Spotsylvania, Va.:  Fredericksburg Pike, May 19",1864-5-19,1864-5-19,VA,,,,1400,False,,1
U162F,US,"Spotsylvania, Va.:  Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc.",1864-5-8,1864-5-21,VA,,,,899,False,,1
U163,US,"Walthall; Chester Station, Va.",1864-5-6,1864-5-7,VA,48,256,70,374,False,,0
U164,US,"Arrowfield Church, Va.",1864-5-9,1864-5-10,VA,36,188,19,243,False,,0
U165,US,"Drewry's Bluff, Va.",1864-5-12,1864-5-16,VA,390,2380,1390,4160,False,,0
U166,US,"Ware Bottom Church, Va.",1864-5-18,1864-5-20,VA,103,796,49,948,False,,0
U167,US,"Bermuda Hundred, Va.",1864-5-21,1864-5-31,VA,18,89,21,128,False,,0
U168,US,"Kautz's Cavalry Raid, Va.",1864-5-7,1864-5-16,VA,14,60,31,105,False,Cavalry engagements.,0
U169,US,"Cloyd's Mountain, W. Va.",1864-5-9,1864-5-10,WV,108,508,72,688,False,,0
U170,US,"Yellow Tavern, Va.",1864-5-11,1864-5-11,VA,35,142,82,259,False,Cavalry engagements.,0
U171,US,"Meadow Bridges, Va.",1864-5-12,1864-5-12,VA,15,128,27,170,False,Cavalry engagements.,0
U172,US,"Newmarket, Va.",1864-5-15,1864-5-15,VA,93,482,256,831,False,,0
U173,US,"Bayou Glaize, La.",1864-5-18,1864-5-18,LA,54,261,6,321,False,,0
U174,US,"North Anna, Va.",1864-5-23,1864-5-27,VA,186,942,165,1293,False,,0
U175,US,"Totopotomoy, Va.",1864-5-28,1864-5-31,VA,101,518,52,671,False,,0
U176,US,"Sheridan's Cavalry, Va.",1864-5-25,1864-5-30,VA,110,450,96,656,False,Cavalry engagements.,0
U177,US,"Bethesda Church, Va.",1864-6-1,1864-6-1,VA,194,824,348,1366,False,,0
U178,US,"Cold Harbor, Va.",1864-6-2,1864-6-4,VA,1844,9077,1816,12737,False,"Includes assault of Sixth and Eighteenth Corps, June 1; also, losses of the Fifth and Ninth Corps at Bethesda Church on June 2d and subsequently; also, Cavalry Corps at Cold Harbor, May 31 and June 1; also, loss in the trenches at Cold Harbor, June 4-14.",0
U179,US,"Bermuda Hundred, Va.",1864-6-1,1864-6-14,VA,25,134,98,257,False,,0
U180,US,"Piedmont, Va.",1864-6-5,1864-6-5,VA,130,650,,780,False,,0
U181,US,"Brice's Cross Roads, Miss.",1864-6-10,1864-6-10,MS,223,394,1623,2240,False,,0
U182,US,"Lynchburg, Va.",1864-6-17,1864-6-18,VA,103,564,271,938,False,,0
U183,US,"Trevilian Station, Va.",1864-6-11,1864-6-12,VA,102,470,435,1007,False,Cavalry engagements.,0
U184,US,"White House, Va.",1864-6-21,1864-6-21,VA,10,51,22,83,False,Cavalry engagements.,0
U185,US,"St. Mary's Church, Va.",1864-6-24,1864-6-24,VA,29,188,122,339,False,Cavalry engagements.,0
U186,US,"Petersburg Assault, Va.",1864-6-15,1864-6-19,VA,1688,8513,1185,11386,False,,0
U187,US,"Jerusalem Road, Va.",1864-6-22,1864-6-22,VA,142,654,2166,2962,False,"Known, also, as Weldon Railroad, and Williams's Farm.",0
U188,US,"Wilson's Raid, Va.",1864-6-22,1864-6-29,VA,71,262,1119,1452,False,Cavalry engagements.,0
U189,US,"Petersburg Trenches, Va.",1864-6-20,1864-6-30,VA,112,506,151,769,False,,0
U190,US,"Fort Johnson, S. C.",1864-7-2,1864-7-2,SC,19,97,135,251,False,,0
U191,US,"John's Island, S. C.",1864-7-5,1864-7-7,SC,16,82,12,110,False,,0
U192,US,"Monocacy, Md",1864-7-9,1864-7-9,MD,123,603,568,1294,False,,0
U193,US,"Fort Stevens, D. C",1864-7-12,1864-7-12,DC,54,319,,373,False,,0
U194,US,"Tupelo, Miss.",1864-7-13,1864-7-13,MS,59,453,16,528,False,,0
U195,US,"Island Ford, Va.",1864-7-18,1864-7-18,VA,65,301,56,422,False,,0
U196,US,"Carter's Farm, Va.",1864-7-20,1864-7-20,VA,37,175,30,242,False,,0
U197,US,"Winchester, Va.",1864-7-24,1864-7-24,VA,134,678,391,1203,False,,0
U198,US,"Strawberry Plains, Va.",1864-7-26,1864-7-29,VA,62,340,86,488,False,,0
U199,US,"Petersburg Mine, Va.",1864-7-30,1864-7-30,VA,504,1881,1413,3798,False,,0
U200,US,"Petersburg Trenches, Va.",1864-7-1,1864-7-31,VA,349,1587,145,2081,False,,0
U201,US,"White Post, Va.",1864-8-11,1864-8-11,VA,30,70,200,300,False,Cavalry engagements.,0
U202,US,"Deep Bottom, Va.",1864-8-14,1864-8-16,VA,327,1851,721,2899,False,,0
U203,US,"Weldon Railroad, Va.",1864-8-18,1864-8-20,VA,251,1148,2879,4278,False,,0
U204,US,"Halltown, Va.",1864-8-24,1864-8-24,VA,9,37,16,62,False,,0
U205,US,"Ream's Station, Va.",1864-8-25,1864-8-25,VA,140,529,2073,2742,False,,0
U206,US,"Smithfield, Va.",1864-8-25,1864-8-25,VA,20,61,100,181,False,Cavalry engagements.,0
U207,US,"Halltown, Va.",1864-8-26,1864-8-26,VA,30,141,,171,False,,0
U208,US,"Smithfield, Va.",1864-8-29,1864-8-29,VA,10,90,,100,False,,0
U209,US,Siege of Petersburg,1864-8-1,1864-8-31,VA,158,623,296,1077,False,Includes operations on the north side of the James.,0
U210,US,"Berryville, Va.",1864-9-3,1864-9-3,VA,30,182,100,312,False,,0
U211,US,"Opequon, Va.",1864-9-19,1864-9-19,VA,697,3983,338,5018,False,,0
U212,US,"Fisher's Hill, Va.",1864-9-22,1864-9-22,VA,52,457,19,528,False,,0
U213,US,"Fort Davidson, Mo.",1864-9-26,1864-9-26,MO,28,56,100,184,False,Cavalry engagements.,0
U214,US,"Chaffin's Farm, Va.",1864-9-28,1864-9-28,VA,383,2299,645,3327,False,,0
U215,US,"Poplar Spring Church, Va.",1864-9-30,1864-9-30,VA,187,900,1802,2889,False,"Known, also, as Peebles's Farm, and Pegram's Farm.",0
