battle_id,belligerent,strength_min,strength_max,casualties_min,casualties_max,killed_min,killed_max,wounded_min,wounded_max,missing_min,missing_max,captured_min,captured_max,killed_wounded_min,killed_wounded_max,wounded_missing_min,wounded_missing_max,captured_missing_min,captured_missing_max
Battle_of_Blair's_Landing,Confederate,,,200,200,,,,,,,,,,,,,,
Battle_of_Blair's_Landing,US,,,7,7,,,,,,,,,,,,,,
Battle_of_Blountville,Confederate,1200,1200,165,165,,,,,,,,,,,,,,
Battle_of_Blountville,US,,,27,27,,,,,,,,,,,,,,
Battle_of_Blue_Springs,Confederate,,,216,216,,,,,,,,,,,,,,
Battle_of_Blue_Springs,US,,,100,100,,,,,,,,,,,,,,
Battle_of_Boonsboro,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Boonsboro,US,,,,,,,,,,,,,,,,,,
Battle_of_Boonville,Confederate,1500,1500,,,5,5,10,10,,,60,80,,,,,,
Battle_of_Boonville,US,1700,1700,,,5,5,7,7,,,,,,,,,,
Battle_of_Boydton_Plank_Road,Confederate,11691,11691,1300,1300,,,,,,,,,,,,,,
Battle_of_Boydton_Plank_Road,US,30000,30000,1758,1758,,,,,,,,,,,,,,
Battle_of_Brandy_Station,Confederate,9500,9500,523,523,,,,,,,,,,,,,,
Battle_of_Brandy_Station,US,11000,11000,,,69,69,352,352,,,,,,,,,486,486
Battle_of_Brentwood,Confederate,,,6,6,,,,,,,,,,,,,,
Battle_of_Brentwood,US,400,400,305,305,,,,,,,,,,,,,,
Battle_of_Brice's_Crossroads,Confederate,3200,3200,492,492,,,,,,,,,,,,,,
Battle_of_Brice's_Crossroads,US,8500,8500,2610,2610,,,,,,,,,,,,,,
Battle_of_Bristoe_Station,Confederate,17218,17218,1380,1380,,,,,,,,,,,,,,
Battle_of_Bristoe_Station,US,8383,8383,540,540,,,,,,,,,,,,,,
Battle_of_Buck_Head_Creek,Confederate,,,600,600,,,,,,,,,,,,,,
Battle_of_Buck_Head_Creek,US,,,46,46,,,,,,,,,,,,,,
Battle_of_Buckland_Mills,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Buckland_Mills,US,,,,,,,,,,,,,,,,,,
Battle_of_Buffington_Island,Confederate,1700,1700,,,52,52,100,100,,,750,750,,,,,,
Battle_of_Buffington_Island,US,3000,3000,25,25,,,,,,,,,,,,,,
Battle_of_Bull's_Gap,Confederate,2400,2400,,,,,,,,,,,,,,,,
Battle_of_Bull's_Gap,US,,,241,241,,,,,,,,,,,,,,
Battle_of_Byram's_Ford,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Byram's_Ford,US,,,,,,,,,,,,,,,,,,
Battle_of_Cabin_Creek,Confederate,1600,1800,,,65,65,,,,,,,,,,,,
Battle_of_Cabin_Creek,US,,,,,3,23,30,30,,,,,,,,,,
Battle_of_Camp_Allegheny,Confederate,,,146,146,,,,,,,,,,,,,,
Battle_of_Camp_Allegheny,US,,,137,137,,,,,,,,,,,,,,
Battle_of_Camp_Wildcat,Confederate,5400,5400,,,,,,,,,,,42,42,,,,
Battle_of_Camp_Wildcat,US,7000,7000,,,4,4,18,18,,,,,,,,,,
Battle_of_Campbell's_Station,Confederate,,,570,570,,,,,,,,,,,,,,
Battle_of_Campbell's_Station,US,,,400,400,,,,,,,,,,,,,,
Battle_of_Cane_Hill,Confederate,2000,2000,45,45,,,,,,,,,,,,,,
Battle_of_Cane_Hill,US,5000,5000,40,40,,,,,,,,,,,,,,
Battle_of_Cape_Girardeau,Confederate,5000,5000,325,325,,,,,,,,,,,,,,
Battle_of_Cape_Girardeau,US,4000,4000,12,12,,,,,,,,,,,,,,
Battle_of_Carnifex_Ferry,Confederate,2000,2000,,,,,30,30,,,,,,,,,,
Battle_of_Carnifex_Ferry,US,5000,5000,,,17,17,141,141,,,,,,,,,,
Battle_of_Carthage_(1861),Confederate,4000,4000,200,200,,,,,,,,,,,,,,
Battle_of_Carthage_(1861),US,1100,1100,44,44,,,,,,,,,,,,,,
Battle_of_Cedar_Creek,Confederate,21102,21102,,,320,320,1540,1540,1050,1050,,,,,,,,
Battle_of_Cedar_Creek,US,31610,31610,,,569,569,3425,3425,1770,1770,,,,,,,,
Battle_of_Cedar_Mountain,Confederate,16868,16868,,,231,231,1107,1107,,,,,,,,,,
Battle_of_Cedar_Mountain,US,8030,8030,,,314,314,1445,1445,594,594,,,,,,,,
Battle_of_Chaffin's_Farm,Confederate,14500,14500,,,250,250,1250,1250,,,,,,,,,500,500
Battle_of_Chaffin's_Farm,US,26600,26600,,,391,391,2317,2317,,,,,,,,,649,649
Battle_of_Chalk_Bluff,Confederate,,,,,30,30,60,60,120,120,,,,,,,,
Battle_of_Chalk_Bluff,US,,,,,23,23,44,44,,,53,53,,,,,,
Battle_of_Champion_Hill,Confederate,22000,22000,,,381,381,1018,1018,,,,,,,,,2441,2441
Battle_of_Champion_Hill,US,32000,32000,,,410,410,1844,1844,187,187,,,,,,,,
Battle_of_Chancellorsville,Confederate,60892,60892,,,1665,1665,9081,9081,,,,,,,,,2018,2018
Battle_of_Chancellorsville,US,133868,133868,,,1606,1606,9672,9672,,,,,,,,,5919,5919
Battle_of_Chantilly,Confederate,20000,20000,800,800,,,,,,,,,,,,,,
Battle_of_Chantilly,US,6000,6000,1300,1300,,,,,,,,,,,,,,
Battle_of_Cheat_Mountain,Confederate,5000,5000,90,90,,,,,,,,,,,,,,
Battle_of_Cheat_Mountain,US,3000,3000,88,88,,,,,,,,,,,,,,
Battle_of_Chester_Station,Confederate,2000,2000,249,249,,,,,,,,,,,,,,
Battle_of_Chester_Station,US,3400,3400,280,280,,,,,,,,,,,,,,
Battle_of_Chickamauga,Confederate,65000,65000,,,2312,2312,14674,14674,,,,,,,,,1468,1468
Battle_of_Chickamauga,US,60000,60000,,,1657,1657,9756,9756,,,,,,,,,4757,4757
Battle_of_Chickasaw_Bayou,Confederate,13792,13792,,,63,63,134,134,10,10,,,,,,,,
Battle_of_Chickasaw_Bayou,US,30720,30720,,,208,208,1005,1005,,,,,,,,,563,563
Battle_of_Chustenahlah,Confederate,1380,1380,,,9,9,40,40,,,,,,,,,,
Battle_of_Chustenahlah,US,1700,1700,250,250,,,,,,,,,,,,,,
Battle_of_Chusto-Talasah,Confederate,1300,1300,,,15,30,37,37,400,400,,,,,,,,
Battle_of_Chusto-Talasah,US,2000,2500,500,500,9,9,,,,,,,,,,,,
Battle_of_Clark's_Mill,Confederate,1000,1000,,,,,,,,,,,,,,,,
Battle_of_Clark's_Mill,US,113,113,113,113,,,,,,,,,,,,,,
Battle_of_Cloyd's_Mountain,Confederate,2400,2400,538,538,,,,,,,,,,,,,,
Battle_of_Cloyd's_Mountain,US,6100,6100,688,688,,,,,,,,,,,,,,
Battle_of_Cockpit_Point,Confederate,50,50,,,,,,,,,,,,,,,,
Battle_of_Cockpit_Point,US,,,,,,,,,,,,,,,,,,
Battle_of_Cold_Harbor,Confederate,59000,59000,,,788,788,3376,3376,,,,,,,,,1123,1123
Battle_of_Cold_Harbor,US,108000,108000,,,1844,1844,9077,9077,,,,,,,,,1816,1816
Battle_of_Collierville,Confederate,2500,2500,95,95,,,,,,,,,,,,,,
Battle_of_Collierville,US,850,850,60,60,,,,,,,,,,,,,,
Battle_of_Columbia,Confederate,35000,35000,,,,,,,,,,,,,,,,
Battle_of_Columbia,US,28000,28000,,,,,,,,,,,,,,,,
Battle_of_Cool_Spring,Confederate,8000,8000,397,397,,,,,,,,,,,,,,
Battle_of_Cool_Spring,US,5000,5000,422,422,,,,,,,,,,,,,,
Battle_of_Corydon,Confederate,1800,1800,,,4,4,10,12,,,,,,,,,,
Battle_of_Corydon,US,400,400,,,11,11,40,40,,,,,,,,,,
Battle_of_Cotton_Plant,Confederate,,,245,245,,,,,,,,,,,,,,
Battle_of_Cotton_Plant,US,,,63,63,,,,,,,,,,,,,,
Battle_of_Cove_Mountain,Confederate,4000,4000,,,,,,,,,,,,,,,,
Battle_of_Cove_Mountain,US,2500,2500,,,,,,,,,,,,,,,,
Battle_of_Cross_Keys,Confederate,5800,5800,287,287,,,,,,,,,,,,,,
Battle_of_Cross_Keys,US,11500,11500,664,664,,,,,,,,,,,,,,
Battle_of_Cumberland_Church,Confederate,4000,4000,255,255,,,,,,,,,,,,,,
Battle_of_Cumberland_Church,US,8600,8600,655,655,,,,,,,,,,,,,,
Battle_of_Cynthiana,Confederate,1200,1200,1000,1000,,,,,,,,,,,,,,
Battle_of_Cynthiana,US,3450,3450,1092,1092,,,,,,,,,,,,,,
Battle_of_Dallas,Confederate,40000,40000,3000,3000,,,,,,,,,,,,,,
Battle_of_Dallas,US,80000,80000,2400,2400,,,,,,,,,,,,,,
Battle_of_Dandridge,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Dandridge,US,,,150,150,,,,,,,,,,,,,,
Battle_of_Darbytown_Road,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Darbytown_Road,US,,,,,36,36,358,358,,,43,43,,,,,,
Battle_of_Darbytown_and_New_Market,Confederate,,,700,700,,,,,,,,,,,,,,
Battle_of_Darbytown_and_New_Market,US,,,458,458,,,,,,,,,,,,,,
Battle_of_Davis's_Cross_Roads,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Davis's_Cross_Roads,US,,,,,,,,,,,,,,,,,,
Battle_of_Day's_Gap,Confederate,,,65,65,,,,,,,,,,,,,,
Battle_of_Day's_Gap,US,1500,1500,23,23,,,,,,,,,,,,,,
Battle_of_Dead_Buffalo_Lake,Native American,1600,1600,15,15,,,,,,,,,,,,,,
Battle_of_Dead_Buffalo_Lake,US,3000,3000,1,1,,,,,,,,,,,,,,
Battle_of_Decatur,Confederate,39000,39000,200,200,,,,,,,,,,,,,,
Battle_of_Decatur,US,3000,5000,155,155,,,,,,,,,,,,,,
Battle_of_Devil's_Backbone,Confederate,1250,1250,47,47,5,5,12,12,,,30,30,,,,,,
Battle_of_Devil's_Backbone,US,700,700,,,2,2,12,12,2,2,,,,,,,,
Battle_of_Dinwiddie_Court_House,Confederate,20030,20030,760,760,,,,,,,,,,,,,,
Battle_of_Dinwiddie_Court_House,US,45247,45247,354,354,,,,,,,,,,,,,,
Battle_of_Dover_(1863),Confederate,2500,2500,670,670,,,,,,,,,,,,,,
Battle_of_Dover_(1863),US,800,800,126,126,,,,,,,,,,,,,,
Battle_of_Dranesville,Confederate,2500,2500,230,230,,,,,,,,,,,,,,
Battle_of_Dranesville,US,5000,5000,71,71,,,,,,,,,,,,,,
Battle_of_Drewry's_Bluff,Confederate,,,15,15,,,,,,,,,,,,,,
Battle_of_Drewry's_Bluff,US,,,,,,,,,,,,,24,24,,,,
Battle_of_Droop_Mountain,Confederate,1200,1200,275,275,,,,,,,,,,,,,,
Battle_of_Droop_Mountain,US,5000,5000,119,119,,,,,,,,,,,,,,
Battle_of_Dry_Wood_Creek,Confederate,,,,,4,4,16,16,,,,,,,,,,
Battle_of_Dry_Wood_Creek,US,600,600,14,14,,,,,,,,,,,,,,
Battle_of_Elkin's_Ferry,Confederate,7500,7500,54,54,,,,,,,,,,,,,,
Battle_of_Elkin's_Ferry,US,8500,8500,38,38,,,,,,,,,,,,,,
Battle_of_Eltham's_Landing,Confederate,11000,11000,48,48,,,,,,,,,,,,,,
Battle_of_Eltham's_Landing,US,11300,11300,194,194,,,,,,,,,,,,,,
Battle_of_Ezra_Church,Confederate,18450,18450,3000,3000,,,,,,,,,,,,,,
Battle_of_Ezra_Church,US,13266,13266,642,642,,,,,,,,,,,,,,
Battle_of_Fair_Garden,Confederate,,,165,165,,,,,,,,,,,,,,
Battle_of_Fair_Garden,US,,,100,100,,,,,,,,,,,,,,
Battle_of_Fair_Oaks_&_Darbytown_Road,Confederate,,,100,100,,,,,,,,,,,,,,
Battle_of_Fair_Oaks_&_Darbytown_Road,US,,,1603,1603,,,,,,,,,,,,,,
Battle_of_Fisher's_Hill,Confederate,9500,9500,1234,1234,,,,,,,,,,,,,,
Battle_of_Fisher's_Hill,US,29444,29444,528,528,,,,,,,,,,,,,,
Battle_of_Five_Forks,Confederate,10600,10600,2950,2950,,,,,,,,,,,,,,
Battle_of_Five_Forks,US,22000,22000,830,830,,,,,,,,,,,,,,
Battle_of_Folck's_Mill,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Folck's_Mill,US,,,,,,,,,,,,,,,,,,
Battle_of_Fort_Anderson,Confederate,12000,12000,,,,,,,,,,,,,,,,
Battle_of_Fort_Anderson,US,45000,45000,,,,,,,,,,,,,,,,
Battle_of_Fort_Bisland,Confederate,,,450,450,,,,,,,,,,,,,,
Battle_of_Fort_Bisland,US,,,234,234,,,,,,,,,,,,,,
Battle_of_Fort_Blair,Confederate,400,400,3,3,,,,,,,,,,,,,,
Battle_of_Fort_Blair,US,265,265,103,103,,,,,,,,,,,,,,
Battle_of_Fort_Blakely,Confederate,4000,4000,2900,2900,,,,,,,,,,,,,,
Battle_of_Fort_Blakely,US,45000,45000,629,629,,,,,,,,,,,,,,
Battle_of_Fort_Brooke,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Fort_Brooke,US,,,16,16,,,,,,,,,,,,,,
Battle_of_Fort_Davidson,Confederate,12000,12000,1500,1500,,,,,,,,,,,,,,
Battle_of_Fort_Davidson,US,1500,1500,184,184,,,,,,,,,,,,,,
Battle_of_Fort_De_Russy,Confederate,350,350,,,2,2,5,5,,,317,317,,,,,,
Battle_of_Fort_De_Russy,US,10000,10000,,,,,,,2,2,,,48,48,,,,
Battle_of_Fort_Donelson,Confederate,16171,16171,,,327,327,1127,1127,,,,,,,,,12392,12392
Battle_of_Fort_Donelson,US,24531,24531,,,507,507,1976,1976,,,,,,,,,208,208
Battle_of_Fort_Henry,Confederate,3000,3400,79,79,,,,,,,,,,,,,,
Battle_of_Fort_Henry,US,15000,15000,40,40,,,,,,,,,,,,,,
Battle_of_Fort_Macon,Confederate,450,450,,,8,8,16,16,,,400,400,,,,,,
Battle_of_Fort_Macon,US,3259,3259,,,2,2,5,5,,,8,8,,,,,,
Battle_of_Fort_McAllister_(1863),Confederate,,,6,6,,,,,,,,,,,,,,
Battle_of_Fort_McAllister_(1863),US,,,3,3,,,,,,,,,,,,,,
Battle_of_Fort_McAllister_(1864),Confederate,120,250,71,71,,,,,,,,,,,,,,
Battle_of_Fort_McAllister_(1864),US,4000,4000,134,134,,,,,,,,,,,,,,
Battle_of_Fort_Pillow,Confederate,1200,2500,100,100,14,14,86,86,,,,,,,,,,
Battle_of_Fort_Pillow,US,600,600,574,574,277,297,,,,,,,,,,,,
Battle_of_Fort_Pulaski,Confederate,385,385,,,,,,,,,363,363,22,22,,,,
Battle_of_Fort_Pulaski,US,10000,10000,1,1,,,,,,,,,,,,,,
Battle_of_Fort_Ridgely,Native American,800,1000,,,2,2,5,5,,,,,,,,,,
Battle_of_Fort_Ridgely,US,210,210,,,4,4,14,14,,,,,,,,,,
Battle_of_Fort_Sanders,Confederate,3000,3000,,,129,129,458,458,,,226,226,,,,,,
Battle_of_Fort_Sanders,US,440,440,,,8,8,5,5,,,,,,,,,,
Battle_of_Fort_Stedman,Confederate,10000,10000,,,600,600,2400,2400,,,,,,,,,1000,1000
Battle_of_Fort_Stedman,US,14898,14898,,,72,72,450,450,,,,,,,,,522,522
Battle_of_Fort_Stevens,Confederate,10000,10000,400,500,,,,,,,,,,,,,,
Battle_of_Fort_Stevens,US,9600,9600,373,373,,,,,,,,,,,,,,
Battle_of_Fort_Sumter,Confederate,500,500,,,,,,,,,,,,,,,,
Battle_of_Fort_Sumter,US,85,85,,,,,,,,,85,85,,,,,,
Battle_of_Forts_Jackson_and_St._Philip,Confederate,,,782,782,,,,,,,,,,,,,,
Battle_of_Forts_Jackson_and_St._Philip,US,,,229,229,,,,,,,,,,,,,,
Battle_of_Franklin_(1863),Confederate,,,137,137,,,,,,,,,,,,,,
Battle_of_Franklin_(1863),US,,,100,100,,,,,,,,,,,,,,
Battle_of_Franklin_(1864),Confederate,27000,27000,,,1750,1750,3800,3800,,,,,,,,,702,702
Battle_of_Franklin_(1864),US,27000,27000,,,189,189,1033,1033,,,,,,,,,1104,1104
Battle_of_Fredericksburg,Confederate,72500,72500,,,408,408,3743,3743,,,,,,,,,,
Battle_of_Fredericksburg,US,114000,114000,,,1284,1284,9600,9600,,,,,,,,,1769,1769
Battle_of_Fredericktown,Confederate,,,,,25,25,40,40,,,80,80,,,,,,
Battle_of_Fredericktown,US,2500,3500,,,,,,,,,,,,,,,,
Battle_of_Front_Royal,Confederate,3000,3000,,,,,,,,,,,36,36,,,,
Battle_of_Front_Royal,US,1063,1063,,,,,,,,,691,691,83,83,,,,
Battle_of_Gaines's_Mill,Confederate,57018,57018,,,1483,1483,6402,6402,,,,,,,,,108,108
Battle_of_Gaines's_Mill,US,34214,34214,,,894,894,3107,3107,,,,,,,,,2836,2836
Battle_of_Galveston,Confederate,,,,,26,26,117,117,,,,,,,,,,
Battle_of_Galveston,US,,,,,,,,,,,400,400,,,,,,
Battle_of_Galveston_Harbor_(1862),Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Galveston_Harbor_(1862),US,,,,,,,,,,,,,,,,,,
Battle_of_Garnett's_&_Golding's_Farm,Confederate,,,438,438,,,,,,,,,,,,,,
Battle_of_Garnett's_&_Golding's_Farm,US,,,189,189,,,,,,,,,,,,,,
Battle_of_Georgia_Landing,Confederate,1392,1392,229,229,,,,,,,,,,,,,,
Battle_of_Georgia_Landing,US,4000,4000,86,86,,,,,,,,,,,,,,
Battle_of_Gettysburg,Confederate,71699,71699,,,4708,4708,12693,12693,,,,,,,,,5830,5830
Battle_of_Gettysburg,US,93921,93921,,,3155,3155,14531,14531,,,,,,,,,5369,5369
Battle_of_Glasgow,Confederate,1500,1800,50,50,,,,,,,,,,,,,,
Battle_of_Glasgow,US,800,800,400,400,,,,,,,,,,,,,,
Battle_of_Glendale,Confederate,45000,45000,,,638,638,2814,2814,221,221,,,,,,,,
Battle_of_Glendale,US,40000,40000,,,297,297,1696,1696,,,,,,,,,1804,1804
Battle_of_Globe_Tavern,Confederate,14000,15000,,,211,211,990,990,,,,,,,,,419,419
Battle_of_Globe_Tavern,US,20000,20000,,,251,251,1148,1148,,,,,,,,,2897,2897
Battle_of_Glorieta_Pass,Confederate,1100,1100,,,50,50,80,80,,,92,92,,,,,,
Battle_of_Glorieta_Pass,US,1300,1300,,,51,51,78,78,3,3,15,15,,,,,,
Battle_of_Goldsboro_Bridge,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Goldsboro_Bridge,US,,,,,,,,,,,,,,,,,,
Battle_of_Goodrich's_Landing,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Goodrich's_Landing,US,,,120,120,,,,,,,,,,,,,,
Battle_of_Grand_Gulf,Confederate,,,,,3,3,19,19,,,,,,,,,,
Battle_of_Grand_Gulf,US,350,750,,,18,18,57,57,,,,,,,,,,
Battle_of_Greenbrier_River,Confederate,1800,1800,,,6,6,33,33,,,,,,,,,,
Battle_of_Greenbrier_River,US,5000,5000,,,8,8,35,35,,,,,,,,,,
Battle_of_Grimball's_Landing,Confederate,3000,3000,,,3,3,12,12,3,3,,,,,,,,
Battle_of_Grimball's_Landing,US,3800,3800,,,30,30,,,,,14,14,,,,,,
Battle_of_Griswoldville,Confederate,4500,4500,,,51,51,472,472,,,600,600,,,,,,
Battle_of_Griswoldville,US,1500,1500,,,13,13,79,79,,,2,2,,,,,,
Battle_of_Guard_Hill,Confederate,,,480,480,,,,,,,,,,,,,,
Battle_of_Guard_Hill,US,,,71,71,,,,,,,,,,,,,,
Battle_of_Hampton_Roads,Confederate,,,,,76,76,17,17,,,,,,,,,,
Battle_of_Hampton_Roads,US,,,,,261,261,108,108,,,,,,,,,,
Battle_of_Hancock,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Hancock,US,,,,,,,,,,,,,,,,,,
Battle_of_Hanover,Confederate,6000,6000,117,117,,,,,,,,,,,,,,
Battle_of_Hanover,US,5000,5000,215,215,,,,,,,,,,,,,,
Battle_of_Hanover_Court_House,Confederate,4000,4000,930,930,,,,,,,,,,,,,,
Battle_of_Hanover_Court_House,US,12000,12000,355,397,,,,,,,,,,,,,,
Battle_of_Harpers_Ferry,Confederate,21000,26000,,,39,39,247,247,,,,,,,,,,
Battle_of_Harpers_Ferry,US,14000,14000,,,44,44,173,173,,,12419,12419,,,,,,
Battle_of_Hartsville,Confederate,1300,1300,139,139,,,,,,,,,,,,,,
Battle_of_Hartsville,US,2400,2400,2096,2096,,,,,,,,,,,,,,
Battle_of_Hartville,Confederate,,,,,12,12,96,96,,,,,,,,,3,3
Battle_of_Hartville,US,750,750,,,7,7,64,64,,,,,,,,,7,7
Battle_of_Hatcher's_Run,Confederate,13835,13835,1161,1161,,,,,,,,,,,,,,
Battle_of_Hatcher's_Run,US,34517,34517,,,171,171,1181,1181,,,187,187,,,,,,
Battle_of_Hatchie's_Bridge,Confederate,,,400,400,,,,,,,,,,,,,,
Battle_of_Hatchie's_Bridge,US,,,500,500,,,,,,,,,,,,,,
Battle_of_Hatteras_Inlet_Batteries,Confederate,900,900,,,4,4,20,20,,,691,691,,,,,,
Battle_of_Hatteras_Inlet_Batteries,US,935,935,,,1,1,2,2,,,,,,,,,,
Battle_of_Haw's_Shop,Confederate,4500,4500,378,378,,,,,,,,,,,,,,
Battle_of_Haw's_Shop,US,4000,4000,365,365,,,,,,,,,,,,,,
Battle_of_Helena,Confederate,7646,7646,,,169,169,659,659,786,786,,,,,,,,
Battle_of_Helena,US,4129,4129,,,57,57,146,146,36,36,,,,,,,,
Battle_of_High_Bridge,Confederate,1200,1200,100,100,,,,,,,,,,,,,,
Battle_of_High_Bridge,US,880,880,,,,,,,,,800,800,47,47,,,,
Battle_of_Hoke's_Run,Confederate,4000,4000,91,91,,,,,,,,,,,,,,
Battle_of_Hoke's_Run,US,8000,8000,23,23,,,,,,,,,,,,,,
Battle_of_Honey_Hill,Confederate,1400,1400,,,8,8,39,39,,,,,,,,,,
Battle_of_Honey_Hill,US,5000,5000,,,89,89,629,629,,,28,28,,,,,,
Battle_of_Honey_Springs,Confederate,3000,3000,637,637,,,,,,,,,,,,,,
Battle_of_Honey_Springs,US,3000,3000,79,79,,,,,,,,,,,,,,
Battle_of_Hoover's_Gap,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Hoover's_Gap,US,,,583,583,,,,,,,,,,,,,,
Battle_of_Irish_Bend,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Irish_Bend,US,,,353,353,,,,,,,,,,,,,,
Battle_of_Island_Number_Ten,Confederate,7030,7030,,,,,,,,,7000,7000,30,30,,,,
Battle_of_Island_Number_Ten,US,23000,23000,,,23,23,50,50,5,5,,,,,,,,
Battle_of_Iuka,Confederate,3179,3179,,,263,263,692,692,,,,,,,,,561,561
Battle_of_Iuka,US,4500,4500,,,144,144,598,598,,,,,,,,,40,40
"Battle_of_Jackson,_Mississippi",Confederate,6000,6000,850,850,,,,,,,,,,,,,,
"Battle_of_Jackson,_Mississippi",US,,,286,286,,,,,,,,,,,,,,
"Battle_of_Jackson,_Tennessee",Confederate,400,400,,,,,,,,,,,,,,,,
