"belligerent","battle_name","state","killed","wounded","missing","casualties","aggrow","comment","start_date","end_date"
"US","McDowell, Va","VA","26","227","3","256",,"","1862-5-8","1862-5-8"
"US","Princeton, W. Va","WV","23","69","21","113",,"","1862-5-16","1862-5-17"
"US","Russell House, Miss","MS","10","31","0","41",,"","1862-5-17","1862-5-17"
"US","Lewisburg, W. Va","WV","13","53","7","73",,"","1862-5-23","1862-5-23"
"US","Front Royal and Winchester, Va","VA","62","243","1,714","2,019",,"","1862-5-23","1862-5-25"
"US","Hanover Court House, Va","VA","62","223","70","355",,"","1862-5-27","1862-5-27"
"US","Fair Oaks, Va. (Seven Pines）","VA","790","3,594","647","5,031",,"","1862-5-31","1862-5-31"
"US","Cross Keys, Va","VA","114","443","127","684",,"","1862-6-8","1862-6-8"
"US","Port Republic, Va","VA","67","393","558","1,018",,"","1862-6-9","1862-6-9"
"US","Secessionville, S. C","SC","107","487","89","683",,"","1862-6-16","1862-6-16"
"US","Oak Grove, Va.","VA","67","504","55","626",,"","1862-6-25","1862-6-25"
"US","Mechanicsville, Va","VA","49","207","105","361",,"","1862-6-26","1862-6-26"
"US","Gaines's Mill, Va","VA","894","3,107","2,836","6,837",,"","1862-6-27","1862-6-27"
"US","Golding's Farm, Va","VA","37","227","104","368",,"Includes loss at Garnett's Farm on the previons day,","1862-6-28","1862-6-28"
"US","Savage Station, va","VA","80","412","1,098","1,590",,"Includes loss at Peach Orchard (or Allen's Farm) on same day.","1862-6-29","1862-6-29"
"US","Glendale, Va","VA","210","1,513","1,130","2,853",,"Includes loss at White Oak Swamp, and Charles City Cross Roads.","1862-6-30","1862-6-30"
"US","Malvern Hill, Va","VA","397","2,092","725","3,214",,"","1862-7-1","1862-7-1"
"US","Bayou Cache, Ark","AR","6","57","0","63",,"","1862-7-7","1862-7-7"
"US","Murfreesboro, Tenn","TN","19","120","46","185",,"Not including men surrendered in the capitulation.","1862-7-13","1862-7-13"
"US","Baton Rouge, La","LA","84","266","33","383",,"","1862-8-5","1862-8-5"
"US","Cedar Mountain, Va","VA","314","1,445","622","2,381",,"","1862-8-9","1862-8-9"
"US","Manassas, Va","VA","1,747","8,452","4,263","14,462",,"Includes Bristoe Station, Groveton, Gainesville, Chantilly and the Rappahannock.","1862-8-16","1862-8-31"
"US","Richmond, Ky","KY","206","844","4,303","5,353",,"","1862-8-30","1862-8-30"
"US","Fayetteville, W. Va","WV","25","95","190","310",,"","1862-9-10","1862-9-11"
"US","Harper's Ferry, Va","VA","44","173","12,520","12,737",,"","1862-9-12","1862-9-15"
"US","Crampton's Gap, Md","MD","113","418","2","533",,"","1862-9-14","1862-9-14"
"US","South Mountain, Md","MD","325","1,403","85","1,813",,"","1862-9-14","1862-9-14"
"US","Munfordville, Ky","KY","15","57","4,076","4,148",,"","1862-9-14","1862-9-16"
"US","Antietam, Md","MD","2,108","9,549","753","12,410",,"","1862-9-17","1862-9-17"
"US","Iuka, Miss","MS","141","613","36","790",,"","1862-9-19","1862-9-19"
"US","Shepherdstown Ford, Va","VA","71","161","131","363",,"","1862-9-19","1862-9-20"
"US","Corinth, Miss","MS","355","1,841","324","2,520",,"","1862-10-3","1862-10-4"
"US","Hatchie Bridge, Miss","MS","46","493","31","570",,"","1862-10-5","1862-10-5"
"US","Chaplin Hills, Ky","KY","845","2,851","515","4,211",,"","1862-10-8","1862-10-8"
"US","Lawrenceburg, Ky. (Dog Walk）","KY","8","20","13","41",,"","1862-10-8","1862-10-9"
"US","Pocotaligo, S. C","SC","43","294","3","340",,"","1862-10-22","1862-10-22"
"US","Georgia Landing, La","LA","18","74","5","97",,"","1862-10-27","1862-10-27"
"US","Coffeeville, Miss","MS","10","63","41","114",,"","1862-12-5","1862-12-5"
"US","Hartsville, Tenn","TN","58","204","1,834","2,096",,"","1862-12-7","1862-12-7"
"US","Prairie Grove, Ark","AR","175","813","263","1,251",,"","1862-12-7","1862-12-7"
"US","Kinston; Goldsborough, N. C","NC","92","487","12","591",,"","1862-12-12","1862-12-17"
"US","Fredericksburg, Va","VA","1,284","9,600","1,769","12,653",,"","1862-12-13","1862-12-13"
"US","Chickasaw Bluffs, Miss","MS","208","1,005","563","1,776",,"","1862-12-28","1862-12-29"
"US","Parker's Cross Roads, Tenn","TN","27","140","70","237",,"","1862-12-30","1862-12-30"
"US","Stone's River, Tenn","TN","1,730","7,802","3,717","13,249",,"Includes loss at Knob Gap, Dec. 26th; and at Jefferson Dec. 30th; also, losses Jan. 1, 2, 1863.","1862-12-31","1862-12-31"
"US","Springfield, Mo","MO","14","146","5","165",,"","1863-1-7","1863-1-8"
"US","Hartsville, Mo","MO","7","64","2","73",,"","1863-1-11","1863-1-11"
"US","Arkansas Post, Ark","AR","134","898","29","1,061",,"","1863-1-11","1863-1-11"
"US","Deserted House, Va","VA","23","108","12","143",,"","1863-1-30","1863-1-30"
"US","Fort Donelson, Tenn","TN","14","54","10","78",,"","1863-2-3","1863-2-3"
"US","Thompson's Station, Tenn","TN","48","247","1,151","1,446",,"","1863-3-4","1863-3-5"
"US","Kelly's Ford, Va","VA","6","50","22","78",,"","1863-3-17","1863-3-17"
"US","Fort Bisland, La","LA","40","184","","224",,"","1863-4-13","1863-4-13"
"US","Irish Bend, La","LA","49","274","30","353",,"","1863-4-14","1863-4-14"
"US","Siege of Suffolk, Va","VA","41","223","2","266",,"","1863-4-11","1863-4-30"
"US","Magnolia Hills, Miss","MS","131","719","25","875",,"Port Gibson, Miss.","1863-5-1","1863-5-1"
"US","Chancellorsville, Va","VA","1,606","9,762","5,919","17,287",,"Includes loss at Marye's Heights and Salem Church, viz.; 493 killed, 2,710 wounded, 1,497 missing. Also, loss at Fitzhugh's Crossing.","1863-5-1","1863-5-4"
"US","Raymond, Miss","MS","66","339","37","442",,"","1863-5-12","1863-5-12"
"US","Jackson, Miss","MS","42","251","7","300",,"","1863-5-14","1863-5-14"
"US","Champion's Hill, Miss","MS","410","1,844","187","2,441",,"","1863-5-16","1863-5-16"
"US","Black River Bridge, Miss","MS","39","237","3","279",,"","1863-5-17","1863-5-17"
"US","Assault on Vicksburg, Miss","MS","157","777","8","942",,"","1863-5-19","1863-5-19"
"US","Assault on Vicksburg, Miss","MS","502","2,550","147","3,199",,"","1863-5-22","1863-5-22"
"US","Vicksburg Trenches, Miss","MS","147","613","9","769",,"","1863-5-23","1863-7-4"
"US","Plain's Store, La","LA","15","71","14","100",,"","1863-5-21","1863-5-21"
"US","Assault on Port Hudson, La","LA","293","1,545","157","1,995",,"","1863-5-27","1863-5-27"
"US","Assault on Port Hudson, La","LA","203","1,401","162","1,766",,"","1863-6-14","1863-6-14"
"US","Port Hudson Trenches, La","LA","211","390","0","601",,"","1863-5-26","1863-7-9"
"US","Franklin's Crossing, Va","VA","9","48","0","57",,"","1863-6-5","1863-6-5"
"US","Milliken's Bend, La","LA","118","310","0","428",,"","1863-6-6","1863-6-8"
"US","Beverly Ford, Va","VA","81","403","382","866",,"Cavalry engagement.","1863-6-9","1863-6-9"
"US","Winchester, Va","VA","95","348","4,000","4,443",,"","1863-6-13","1863-6-15"
"US","Aldie, Va","VA","50","131","124","305",,"Cavalry engagement.","1863-6-17","1863-6-17"
"US","Middleburg, Va","VA","16","46","37","99",,"Cavalry engagement.","1863-6-19","1863-6-19"
"US","Upperville, Va","VA","12","130","67","209",,"Cavalry engagement.","1863-6-21","1863-6-21"
"US","La Fourche Crossing, La","LA","8","40","0","48",,"","1863-6-21","1863-6-21"
"US","Hill's Plantation, Miss","MS","10","9","28","47",,"","1863-6-22","1863-6-22"
"US","Hoover's Gap, Tenn","TN","27","177","2","206",,"","1863-6-24","1863-6-24"
"US","Liberty Gap, Tenn","TN","42","232","1","275",,"","1863-6-25","1863-6-25"
"US","Shelbyville, Tenn","TN","15","64","10","89",,"Includes losses at Guy's Gap and Middleton.","1863-6-27","1863-6-27"
"US","Morgan's Raid, Ky","KY","19","47","8","74",,"","1863-7-2","1863-7-26"
"US","Helena, Ark","AR","57","146","36","239",,"","1863-7-4","1863-7-4"
"US","Jackson, Miss","MS","129","762","231","1,122",,"","1863-7-9","1863-7-16"
"US","Hanover, Pa","PA","19","73","123","215",,"Cavalry engagement.","1863-6-30","1863-6-30"
"US","Gettysburg, Pa","PA","3,070","14,497","5,434","23,001",,"","1863-7-1","1863-7-3"
"US","Hagerstown, Md","MD","19","50","194","263",,"Cavalry engagement.","1863-7-6","1863-7-6"
"US","Williamsport, Md","MD","14","37","69","120",,"Cavalry engagement.","1863-7-6","1863-7-6"
"US","Boonsborough, Md","MD","8","54","18","80",,"Cavalry engagement.","1863-7-7","1863-7-9"
"US","Hagerstown, Md","MD","5","31","13","49",,"Cavalry engagement.","1863-7-11","1863-7-11"
"US","Funkstown, Md","MD","14","77","6","97",,"","1863-7-12","1863-7-12"
"US","Falling Waters, Md","MD","31","58","32","121",,"Cavalry engagement.","1863-7-14","1863-7-14"
"US","Shepherdstown, Va","VA","8","72","24","104",,"Cavalry engagement.","1863-7-16","1863-7-16"
"US","Assault on Fort Wagner, S. C","SC","49","123","167","339",,"","1863-7-11","1863-7-11"
"US","Assault on Fort Wagner, S. C","SC","246","880","389","1,515",,"","1863-7-18","1863-7-18"
"US","Siege of Fort Wagner, S. C","SC","71","278","9","358",,"","1863-7-1","1863-7-31"
"US","Donaldsonville, La","LA","56","223","186","465",,"","1863-7-13","1863-7-13"
"US","Manassas Gap, Va","VA","9","12","8","29",,"Cavalry engagement.","1863-7-21","1863-7-21"
"US","Wapping Heights, Va","VA","20","83","0","103",,"","1863-7-23","1863-7-23"
"US","Brandy Station, Va","VA","21","104","20","145",,"Cavalry engagement.","1863-8-1","1863-8-1"
"US","White Sulphur Springs, Va","VA","26","125","67","218",,"Cavalry engagement.","1863-8-26","1863-8-27"
"US","Chickamauga, Ga","GA","1,656","9,749","4,774","16,179",,"","1863-9-19","1863-9-20"
"US","Morganzia, La","LA","16","45","453","514",,"","1863-9-29","1863-9-29"
"US","Bristoe Station, Va","VA","50","335","161","546",,"","1863-10-14","1863-10-14"
"US","Philadelphia, Tenn","TN","7","25","447","479",,"","1863-10-20","1863-10-20"
"US","Wauhatchie, Tenn","TN","75","300","8","383",,"","1863-10-27","1863-10-27"
"US","Grand Coteau, La","LA","25","129","562","716",,"","1863-11-3","1863-11-3"
"US","Droop Mountain, W. Va","WV","30","88","1","119",,"","1863-11-6","1863-11-6"
"US","Rappahannock Station, Va","VA","83","328","6","417",,"","1863-11-7","1863-11-7"
"US","Kelly's Ford, Va","VA","6","39","0","45",,"","1863-11-7","1863-11-7"
"US","Campbell's Station, Tenn","TN","31","211","74","316",,"","1863-11-16","1863-11-16"
"US","Siege of Knoxville, Tenn","TN","92","393","202","687",,"","1863-11-1","1863-11-30"
"US","Chattanooga, Tenn","TN","687","4,346","349","5,382",,"Or, Missionary Ridge; Includes Orchard Knob, Nov. 23 (loss about 200); and Lookout Mountain, Nov. 24 (500).","1863-11-23","1863-11-25"
"US","Ringgold; Graysville, Ga","GA","65","367","0","432",,"","1863-11-27","1863-11-27"
"US","Mine Run Campaign, Va","VA","173","1,099","381","1,653",,"","1863-11-26","1863-11-30"
"US","Walker's Ford, W. Va","WV","9","43","12","64",,"","1863-12-2","1863-12-2"
"US","Bean's Station, Tenn","TN","16","51","48","115",,"","1863-12-14","1863-12-14"
"US","Mossy Creek, Tenn","TN","18","86","5","109",,"","1863-12-29","1863-12-29"
"US","Bachelor's Creek, N. C","NC","9","15","302","326",,"","1864-2-1","1864-2-3"
"US","Morton's Ford, Va","VA","10","208","42","260",,"","1864-2-6","1864-2-6"
"US","Olustee, Fla","FL","203","1,152","506","1,861",,"","1864-2-20","1864-2-20"
"US","Buzzard's Roost, Ga","GA","17","272","0","289",,"","1864-2-27","1864-2-27"
"US","Yazoo City, Miss","MS","21","89","21","131",,"","1864-3-5","1864-3-5"
"US","Okolona, Ark","AR","16","74","0","90",,"","1864-4-3","1864-4-3"
"US","Sabine Cross Roads, La and Pleasant Hill, La","LA","258","1,487","1,772","3,517",,"","1864-4-8","1864-4-9"
"US","Plymouth, N. C","NC","20","80","1,500","1,600",,"","1864-4-17","1864-4-20"
"US","Cane River, La","LA","40","160","0","200",,"","1864-4-23","1864-4-23"
"US","Marks's Mills, Ark","AR","100","250","100","450",,"","1864-4-25","1864-4-25"
"US","Jenkins's Ferry, Ark","AR","64","378","86","528",,"","1864-4-30","1864-4-30"
"US","Alexandria, La","LA","23","67","21","111",,"","1864-5-1","1864-5-1"
"US","Atlanta Campaign, Ga","GA","1,458","7,436","405","9,299",,"Includes Rocky Face Ridge, May 5-9 (loss about 900); Resaca, May 13-15 (3,000); New Hope Church, May 25 (1,000); Pickett's Mills, May 27 (1,900); Dallas, May 28-31 (1,800); Adairsville, Cassville, Rome Cross Roads, etc.","1864-5-5","1864-5-31"
"US","Atlanta Campaign, Ga","GA","1,125","5,740","665","7,530",,"Includes Dallas, June 1-4 (900); Pine Mountain, June 14-19 (1,100); Culp's House, June 22 (700); Kenesaw Mountain, June 20-30 (1,200); Assault on Kenesaw, June 27 (3,000); Lattimore's Mill; Powder Springs, etc.","1864-6-1","1864-6-30"
"US","Atlanta Campaign, Ga","GA","1,110","5,915","2,694","9,719",,"Includes Nickajack Creek, July 2-5 (450); Chattahoochie, July 6-10 (850); Peach Tree Creek, July 20 (2,200); Atlanta, July 21, 22 (4,200); Ezra Chapel, July 28 (850); and others.","1864-7-1","1864-7-31"
"US","Atlanta Campaign, Ga","GA","453","2,318","466","3,237",,"Includes Utoy Creek, Aug. 5, 6 (800); and Siege of Atlanta.","1864-8-1","1864-8-31"
"US","Atlanta Campaign, Ga","GA","277","1,413","212","1,902",,"Jonesboro and Lovejoy's Station.","1864-9-1","1864-9-1"
"US","Wilderness, Va","VA","2,246","12,037","3,383","17,666",,"","1864-5-5","1864-5-7"
"US","Spotsylvania, Va","VA","2,725","13,416","2,258","18,399",,"Includes Alsop's Farm, May 8 (loss about 1,800); Po River, Laurel Hill, and Upton's Charge, May 10 (5,000); Hancock's Assault, the “Angle,” and general attack of May 12 (8,500); Spotsylvania, May 18 (800); Fredericksburg Pike, May 19 (1,400); Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc.","1864-5-8","1864-5-21"
"US","Walthall; Chester Station, Va","VA","48","256","70","374",,"","1864-5-6","1864-5-7"
"US","Arrowfield Church, Va","VA","36","188","19","243",,"","1864-5-9","1864-5-10"
"US","Drewry's Bluff, Va","VA","390","2,380","1,390","4,160",,"","1864-5-12","1864-5-16"
"US","Ware Bottom Church, Va","VA","103","796","49","948",,"","1864-5-18","1864-5-20"
"US","Bermuda Hundred, Va","VA","18","89","21","128",,"","1864-5-21","1864-5-31"
"US","Kautz's Cavalry Raid, Va","VA","14","60","31","105",,"Cavalry engagements.","1864-5-7","1864-5-16"
"US","Cloyd's Mountain, W. Va","WV","108","508","72","688",,"","1864-5-9","1864-5-10"
"US","Yellow Tavern, Va","VA","35","142","82","259",,"Cavalry engagements.","1864-5-11","1864-5-11"
"US","Meadow Bridges, Va","VA","15","128","27","170",,"Cavalry engagements.","1864-5-12","1864-5-12"
"US","Newmarket, Va","VA","93","482","256","831",,"","1864-5-15","1864-5-15"
"US","Bayou Glaize, La","LA","54","261","6","321",,"","1864-5-18","1864-5-18"
"US","North Anna, Va","VA","186","942","165","1,293",,"","1864-5-23","1864-5-27"
"US","Totopotomoy, Va","VA","101","518","52","671",,"","1864-5-28","1864-5-31"
"US","Sheridan's Cavalry, Va","VA","110","450","96","656",,"Cavalry engagements.","1864-5-25","1864-5-30"
"US","Bethesda Church, Va","VA","194","824","348","1,366",,"","1864-6-1","1864-6-1"
"US","Cold Harbor, Va","VA","1,844","9,077","1,816","12,737",,"Includes assault of Sixth and Eighteenth Corps, June 1; also, losses of the Fifth and Ninth Corps at Bethesda Church on June 2d and subsequently; also, Cavalry Corps at Cold Harbor, May 31 and June 1; also, loss in the trenches at Cold Harbor, June 4-14.","1864-6-2","1864-6-4"
"US","Bermuda Hundred, Va","VA","25","134","98","257",,"","1864-6-1","1864-6-14"
"US","Piedmont, Va","VA","130","650","0","780",,"","1864-6-5","1864-6-5"
"US","Brice's Cross Roads, Miss","MS","223","394","1,623","2,240",,"","1864-6-10","1864-6-10"
"US","Lynchburg, Va","VA","103","564","271","938",,"","1864-6-17","1864-6-18"
"US","Trevilian Station, Va","VA","102","470","435","1,007",,"Cavalry engagements.","1864-6-11","1864-6-12"
"US","White House, Va","VA","10","51","22","83",,"Cavalry engagements.","1864-6-21","1864-6-21"
"US","St. Mary's Church, Va","VA","29","188","122","339",,"Cavalry engagements.","1864-6-24","1864-6-24"
"US","Petersburg Assault, Va","VA","1,688","8,513","1,185","11,386",,"","1864-6-15","1864-6-19"
"US","Jerusalem Road, Va","VA","142","654","2,166","2,962",,"Known, also, as Weldon Railroad, and Williams's Farm.","1864-6-22","1864-6-22"
"US","Wilson's Raid, Va","VA","71","262","1,119","1,452",,"Cavalry engagements.","1864-6-22","1864-6-29"
"US","Petersburg Trenches, Va","VA","112","506","151","769",,"","1864-6-20","1864-6-30"
"US","Fort Johnson, S. C","SC","19","97","135","251",,"","1864-7-2","1864-7-2"
"US","John's Island, S. C","SC","16","82","12","110",,"","1864-7-5","1864-7-7"
"US","Monocacy, Md","MD","123","603","568","1,294",,"","1864-7-9","1864-7-9"
"US","Fort Stevens, D. C","DC","54","319","0","373",,"","1864-7-12","1864-7-12"
"US","Tupelo, Miss","MS","59","453","16","528",,"","1864-7-13","1864-7-13"
"US","Island Ford, Va","VA","65","301","56","422",,"","1864-7-18","1864-7-18"
"US","Carter's Farm, Va","VA","37","175","30","242",,"","1864-7-20","1864-7-20"
"US","Winchester, Va","VA","134","678","391","1,203",,"","1864-7-24","1864-7-24"
"US","Strawberry Plains, Va","VA","62","340","86","488",,"","1864-7-26","1864-7-29"
"US","Petersburg Mine, Va","VA","504","1,881","1,413","3,798",,"","1864-7-30","1864-7-30"
"US","Petersburg Trenches, Va","VA","349","1,587","145","2,081",,"","1864-7-1","1864-7-31"
"US","White Post, Va","VA","30","70","200","300",,"Cavalry engagements.","1864-8-11","1864-8-11"
"US","Deep Bottom, Va","VA","327","1,851","721","2,899",,"","1864-8-14","1864-8-16"
"US","Weldon Railroad, Va","VA","251","1,148","2,879","4,278",,"","1864-8-18","1864-8-20"
"US","Halltown, Va","VA","9","37","16","62",,"","1864-8-24","1864-8-24"
"US","Ream's Station, Va","VA","140","529","2,073","2,742",,"","1864-8-25","1864-8-25"
"US","Smithfield, Va","VA","20","61","100","181",,"Cavalry engagements.","1864-8-25","1864-8-25"
"US","Halltown, Va","VA","30","141","0","171",,"","1864-8-26","1864-8-26"
"US","Smithfield, Va","VA","10","90","0","100",,"","1864-8-29","1864-8-29"
"US","Siege of Petersburg","VA","158","623","296","1,077",,"Includes operations on the north side of the James.","1864-8-1","1864-8-31"
"US","Berryville, Va","VA","30","182","100","312",,"","1864-9-3","1864-9-3"
"US","Opequon, Va","VA","697","3,983","338","5,018",,"","1864-9-19","1864-9-19"
"US","Fisher's Hill, Va","VA","52","457","19","528",,"","1864-9-22","1864-9-22"
"US","Fort Davidson, Mo","MO","28","56","100","184",,"Cavalry engagements.","1864-9-26","1864-9-26"
"US","Chaffin's Farm, Va","VA","383","2,299","645","3,327",,"","1864-9-28","1864-9-28"
"US","Poplar Spring Church, Va","VA","187","900","1,802","2,889",,"Known, also, as Peebles's Farm, and Pegram's Farm.","1864-9-30","1864-9-30"
"US","Petersburg Trenches, Va","VA","74","304","424","802",,"Includes operations on the north side of the James.","1864-9-1","1864-9-30"
"US","Saltville, Va","VA","54","190","104","348",,"Cavalry engagements.","1864-10-2","1864-10-2"
"US","Allatoona Pass, Ga","GA","142","352","212","706",,"","1864-10-5","1864-10-5"
"US","Darbytown Road, Va","VA","49","253","156","458",,"","1864-10-7","1864-10-7"
"US","Tom's Brook; Woodstock, Va","VA","9","67","0","76",,"Cavalry engagements.","1864-10-9","1864-10-9"
"US","Strasburg, Va","VA","30","144","40","214",,"Cavalry engagements.","1864-10-13","1864-10-13"
"US","Darbytown Road, Va","VA","36","358","43","437",,"","1864-10-13","1864-10-13"
"US","Cedar Creek, Va","VA","644","3,430","1,591","5,665",,"","1864-10-19","1864-10-19"
"US","Little Blue, Mo","MO","18","83","14","115",,"Cavalry engagements.","1864-10-21","1864-10-21"
"US","Independence, Mo","MO","14","58","11","83",,"Cavalry engagements.","1864-10-22","1864-10-22"
"US","Decatur, Ala","VA","10","45","100","155",,"Cavalry engagements.","1864-10-26","1864-10-26"
"US","Boydton Road, Va","VA","166","1,028","564","1,758",,"Cavalry engagements.","1864-10-27","1864-10-27"
"US","Darbytown Road; Fair Oaks, Va","VA","118","787","698","1,603",,"","1864-10-27","1864-10-27"
"US","Petersburg Trenches, Va","VA","159","520","633","1,312",,"Includes operations on the north side of the James.","1864-10-1","1864-10-31"
"US","Rood's Hill, Va","VA","18","52","10","80",,"Cavalry engagements.","1864-11-22","1864-11-22"
"US","Griswoldville, Ga","GA","10","52","0","62",,"","1864-11-22","1864-11-22"
"US","Honey Hill, S. C","SC","91","631","26","748",,"","1864-11-30","1864-11-30"
"US","Franklin, Tenn","TN","189","1,033","1,104","2,326",,"","1864-11-30","1864-11-30"
"US","Siege of Petersburg","VA","57","258","108","423",,"Includes operations on the north side of the James.","1864-11-1","1864-11-30"
"US","Murfreesboro, Tenn","TN","30","175","0","205",,"","1864-12-5","1864-12-5"
"US","Deveaux's Neck, S. C","SC","39","390","200","629",,"","1864-12-6","1864-12-9"
"US","Fort McAllister, Ga","GA","24","110","0","134",,"","1864-12-13","1864-12-13"
"US","Nashville, Tenn","TN","387","2,558","112","3,057",,"","1864-12-15","1864-12-16"
"US","Marion, Va","VA","18","58","0","76",,"","1864-12-18","1864-12-18"
"US","Egypt Station, Miss","MS","23","88","7","118",,"Cavalry engagements.","1864-12-28","1864-12-28"
"US","Siege of Petersburg, Va","VA","66","278","269","613",,"Includes operations on the north side of the James.","1864-12-1","1864-12-31"
"US","Fort Fisher, N. C","NC","184","749","22","955",,"","1865-1-15","1865-1-15"
"US","Siege of Petersburg, Va","VA","51","269","81","401",,"Includes operations on the north side of the James.","1865-1-1","1865-1-31"
"US","Rivers's Bridge, S. C","SC","18","70","4","92",,"","1865-2-3","1865-2-9"
"US","Dabney's Mills, Va","VA","171","1,181","187","1,539",,"Known, also, as Hatcher's Run.","1865-2-5","1865-2-7"
"US","James's Island, S. C","SC","20","76","0","96",,"","1865-2-10","1865-2-10"
"US","Sugar Loaf Battery, N. C","NC","14","114","0","128",,"","1865-2-11","1865-2-11"
"US","Town Creek, N. C","NC","30","154","0","184",,"","1865-2-20","1865-2-20"
"US","Siege of Petersburg, Va","VA","43","257","72","372",,"Includes operations on the north side of the James.","1865-2-1","1865-2-28"
"US","National Bridge, Fla","FL","22","46","13","81",,"","1865-3-6","1865-3-6"
"US","Wilcox's Bridge, N. C","NC","64","319","953","1,336",,"","1865-3-8","1865-3-10"
"US","Monroe's Cross Roads, N. C","NC","19","61","103","183",,"","1865-3-10","1865-3-10"
"US","Averasboro, N. C","NC","93","531","54","678",,"","1865-3-16","1865-3-16"
"US","Bentonville, N. C","NC","191","1,168","287","1,646",,"","1865-3-19","1865-3-19"
"US","Fort Stedman, Va","VA","72","450","522","1,044",,"","1865-3-25","1865-3-25"
"US","Petersburg, Va","VA","103","864","209","1,176",,"","1865-3-25","1865-3-25"
"US","Gravelly Run, Va","VA","55","306","22","383",,"","1865-3-29","1865-3-29"
"US","White Oak Road, Va","VA","177","1,134","556","1,867",,"","1865-3-31","1865-3-31"
"US","Siege of Petersburg, Va","VA","58","272","98","428",,"","1865-3-1","1865-3-31"
"US","Dinwiddie C. H., Va","VA","67","354","0","421",,"Cavalry engagements.","1865-3-31","1865-3-31"
"US","Five Forks, Va","VA","124","706","54","884",,"","1865-4-1","1865-4-1"
"US","Selma, Ala","VA","42","270","7","319",,"Cavalry engagements.","1865-4-2","1865-4-2"
"US","Fall of Petersburg, Va","VA","296","2,565","500","3,361",,"","1865-4-2","1865-4-2"
"US","Namozin Church, Va","VA","10","85","0","95",,"Cavalry engagements.","1865-4-3","1865-4-3"
"US","Amelia Springs, Va","VA","20","96","0","116",,"Cavalry engagements.","1865-4-5","1865-4-5"
"US","Sailor's Creek, Va","VA","166","1,014","0","1,180",,"","1865-4-6","1865-4-6"
"US","Farmville, Va","VA","58","504","9","571",,"","1865-4-7","1865-4-7"
"US","Spanish Fort, Ala","VA","100","695","0","795",,"","1865-4-8","1865-4-8"
"US","Fort Blakely, Ala","VA","113","516","0","629",,"","1865-4-9","1865-4-9"
"US","Columbus; West Point, Ga","GA","13","53","0","66",,"Cavalry engagements.","1865-4-16","1865-4-16"
"CS","First Bull Run, Va","VA","387","1,582","13","1,982",,"Killed from Gen. Pillow's Report: Official Records, Vol. VII, p. 291.; Missing May include some of the wounded.","1861-7-21","1861-7-21"
"CS","Wilson's Creek, Mo","MO","265","800","30","1,095",,"","1861-8-10","1861-8-10"
"CS","Greenbrier River, W. Va","WV","6","33","13","52",,"","1861-10-3","1861-10-3"
"CS","Ball's Bluff, Va","VA","36","117","2","155",,"","1861-10-21","1861-10-21"
"CS","Belmont, Mo","MO","105","419","117","641",,"","1861-11-7","1861-11-7"
"CS","Camp Alleghany, W. Va","WV","20","96","28","144",,"","1861-12-13","1861-12-13"
"CS","Dranesville, Va","VA","43","143","8","194",,"","1861-12-20","1861-12-20"
"CS","Mill Springs, Ky","KY","125","309","95","529",,"","1862-1-19","1862-1-19"
