cwsac_id,battle_name,cwsac2_url,lat,long
AR009,Devil's Backbone,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,35.1785,-94.3106
AR010,Bayou Fourche,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,34.7154,-92.129
AR011,Pine Bluff,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,34.229957,-92.003455
AR012,Elkin's Ferry,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,33.9306,-93.3572
AR013,Prairie D'Ane,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,33.6611,-93.3008
AR014,Poison Spring,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,33.650781,-93.030681
AR015,Marks' Mills,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,33.7911,-92.2575
AR016,Jenkin's Ferry,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,34.2131,-92.5472
AR017,Old River Lake,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,33.268547,-91.192703
CO001,Sand Creek,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFarWestUpdate.pdf,38.547708,-102.50635
DC001,Fort Stevens,http://www.nps.gov/hps/abpp/CWSII/CWSACReportWashingtonDCUpdate.pdf,38.9641,-77.0288
FL001,Santa Rosa Island,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,30.3242,-87.2817
FL002,Tampa,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,27.9415,-82.4559
FL003,Saint John's Bluff,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,30.3852,-81.4998
FL004,Fort Brooke,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,28.0155,-82.4644
FL005,Olustee,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,30.2142,-82.3886
FL006,Natural Bridge,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,30.2839,-84.1519
GA001,Fort Pulaski,http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,32.0273,-80.891
GA002,Fort Mcallister I,http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,32.02,-81.44
GA003,Davis' Cross Roads,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,34.7557,-85.368
GA004,Chickamauga,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,34.9176,-85.2606
GA005,Ringgold Gap,http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,34.9112,-85.1015
GA006,Dalton I,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,34.8031,-85.0124
GA007,Rocky Face Ridge,http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,34.7411,-85.0157
GA008,Resaca,http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,34.5815,-84.9385
GA009,Adairsville,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,34.4083,-84.9389
GA010,New Hope Church,http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,33.961,-84.7875
GA011,Dallas,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,33.9127,-84.828
GA012,Pickett's Mill,http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,33.975,-84.759
GA013,Marietta Operations,http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,33.9531,-84.5499
GA014,Kolb's Farm,http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,33.94,-84.58
GA015,Kennesaw Mountain,http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,33.9363,-84.5979
GA016,Peachtree Creek,http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,33.8109,-84.4038
GA017,Atlanta,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,33.7459,-84.3488
GA018,Ezra Church,http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,33.7528,-84.4392
GA019,Utoy Creek,http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,33.7209,-84.4704
GA020,Dalton II,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,34.7889,-84.9807
GA021,Lovejoy's Station,http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,33.4441,-84.3084
GA022,Jonesborough,http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,33.5307,-84.3621
GA023,Allatoona,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,34.116,-84.716
GA025,Griswoldville,http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,32.8668,-83.4695
GA026,Buck Head Creek,http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,32.8991,-82.0255
GA027,Waynesborough,http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,33.08972,-82.01583
GA028,Fort Mcallister II,http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,31.8888,-81.1941
ID001,Bear River,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFarWestUpdate.pdf,42.146192,-111.914034
IN001,Corydon,http://www.nps.gov/hps/abpp/CWSII/CWSACReportIndianaUpdatewithCover.pdf,38.199,-86.129
KS001,Lawrence,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,38.96427,-95.2359
KS002,Baxter Springs,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,37.0308,-94.735
KS003,Mine Creek,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,38.141,-94.7246
KS004,Marais Des Cygnes,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,38.2552,-94.6783
KY001,Barbourville,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,36.8611,-83.8794
KY002,Camp Wildcat,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.2634,-84.1996
KY003,Ivy Mountain,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.5956,-82.6733
KY004,Rowlett's Station,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.2498,-85.8935
KY005,Middle Creek,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.6507,-82.8147
KY006,Mill Springs,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.0562,-84.7383
KY007,Richmond,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.6848,-84.2594
KY008,Munfordville,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.2622,-85.8901
KY009,Perryville,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.6752,-84.9711
KY010,Paducah,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,37.0931,-88.6058
KY011,Cynthiana,http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,38.407,-84.3056
LA001,Forts Jackson and Saint Philip,http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,29.3573,-89.4594
LA002,New Orleans,http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,29.9575,-90.0631
LA003,Baton Rouge,http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,30.451,-91.1676
LA004,Donaldsonville I,http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,30.1,-90.99
LA005,Georgia Landing,http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,29.8604,-90.9811
LA006,Fort Bisland,http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,29.7101,-91.351
LA007,Irish Bend,http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,29.8116,-91.4615
LA008,Vermillion Bayou,http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,30.1955,-92.0143
LA009,Plains Store,http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,30.69,-91.206
LA010,Port Hudson,http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,30.6939,-91.2764
LA011,Milliken's Bend,http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,32.44,-91.1
LA012,LaFourche Crossing,http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,29.7668,-90.7646
LA013,Donaldsonville II,http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,30.1083,-90.9914
LA014,Goddrich's Landing,http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,32.7432,-91.1791
LA015,Kock's Plantation,http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,30.0865,-91.0295
LA016,Stirling's Plantation,http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,30.6834,-91.6596
LA017,Fort DeRussy,http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,31.1838,-92.0544
LA018,Mansfield,http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,32.0121,-93.6652
LA019,Pleasant Hill,http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,31.851,-93.51
LA020,Blair's Landing,http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,31.941,-93.289
LA021,Monett's Ferry,http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,31.498,-92.857
LA022,Mansura,http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,31.055,-92.0478
LA023,Yellow Bayou,http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,30.9985,-91.8668
MD001,Hancock,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,39.6957,-78.177
MD002,South Mountain,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,39.485,-77.6216
MD003,Antietam,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,39.4732,-77.7447
MD004,Williamsport,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,39.6333,-77.7167
MD006,Boonsboro,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,39.5254,-77.6632
MD007,Monocacy,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,39.3711,-77.392
MD008,Folck's Mill,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,39.6639,-78.753
MN001,Fort Ridgley,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf,44.4511,-94.7308
MN002,Wood Lake,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf,44.701111,-95.435833
MO001,Boonville,http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,38.9765,-92.743
MO002,Carthage,http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,37.2,-94.34
MO003,Liberty,http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,39.1931,-94.3842
MO004,Wilson's Creek,http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,37.101,-93.4078
MO005,Dry Wood Creek,http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,37.8197,-94.4862
MO006,Lexington I,http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,39.1915,-93.8786
MO007,Fredericktown,http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,37.5434,-90.2969
MO008,Springfield I,http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,37.2035,-93.3205
MO009,Belmont,http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,36.7657,-89.124
MO011,Roan's Tan Yard,http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,39.3246,-92.5584
MO013,Kirksville,http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,40.19,-92.6
MO014,Independence I,http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,39.0938,-94.4168
MO015,Lone Jack,http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,38.8706,-94.1881
MO016,Newtonia I,http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,36.8836,-94.1845
MO017,Clark's Mill,http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,36.9207,-92.4888
MO018,Springfield II,http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,37.195,-93.3021
MO019,Hartville,http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,37.2511,-92.5111
MO020,Cape Girardeau,http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,37.3132,-89.5514
MO021,Fort Davidson,http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,37.6194,-90.6415
MO023,Lexington II,http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,39.1831,-93.875
MO024,Little Blue River,http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,39.1369,-94.3139
MO025,Independence II,http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,39.0856,-94.4412
MO026,Byram's Ford,http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,39.0228,-94.5307
MO027,Westport,http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,39.03,-94.5944
MO028,Marmiton River,http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,37.8717,-94.6153
MO029,Newtonia II,http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,36.8739,-94.1903
MS001,Iuka,http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,34.7936,-88.2101
MS002,Corinth II,http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,34.9406,-88.5306
MS003,Chickasaw Bayou,http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,32.399,-90.854
MS004,Grand Gulf,http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,32.0292,-91.0561
MS005,Snyder's Bluff,http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,32.4964,-90.8
MS006,Port Gibson,http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,31.9557,-91.0228
MS007,Raymond,http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,32.2453,-90.4333
MS008,Jackson,http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,32.324,-90.236
MS009,Champion Hill,http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,32.3296,-90.5303
MS010,Big Black River Bridge,http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,32.3471,-90.7043
MS011,Vicksburg,http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,32.3436,-90.8511
MS012,Meridian,http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,32.3654,-88.7043
MS013,Okolona,http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,34.0021,-88.7556
MS014,Brices Cross Roads,http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,34.5061,-88.7289
MS015,Tupelo,http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,34.2557,-88.7377
MS016,Corinth I,http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,34.934,-88.522
NC001,Hatteras Inlet Batteries,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,35.1864,-75.7645
NC002,Roanoke Island,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.8783,-75.6678
NC003,New Berne,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.0428,-77.0148
NC004,Fort Macon,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,34.696111,-76.678889
NC005,South Mills,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,36.4304,-76.3033
NC006,Tranter's Creek,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.6186,-77.1431
NC007,Kinston,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,35.2441,-77.5847
NC008,White Hall,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.2272,-77.8464
NC009,Goldsborough Bridge,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,35.3396,-78.0288
NC010,Fort Anderson,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,35.1383,-77.0358
NC011,Washington,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.5443,-77.0601
NC012,Plymouth,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.8665,-76.7519
NC013,Albemarle Sound,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,35.978561,-76.536942
NC014,Fort Fisher I,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,33.9715,-77.918
NC015,Fort Fisher II,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,33.9715,-77.918
NC016,Wilmington,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,34.1795,-77.954
NC017,Wyse Fork,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.224,-77.5297
NC018,Monroe's Cross Roads,http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,35.1259,-79.2032
NC019,Averasborough,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,35.2661,-78.6721
NC020,Bentonville,http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,35.2532,-78.6708
ND001,Big Mound,http://www.nps.gov/hps/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,47.024036,-99.629087
ND002,Dead Buffalo Lake,http://www.nps.gov/hps/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,46.8961,-99.7846
ND003,Stony Lake,http://www.nps.gov/hps/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,46.8514,-100.1843
ND004,Whitestone Hill,http://www.nps.gov/hps/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,46.1697,-98.8557
ND005,Killdeer Mountain,http://www.nps.gov/hps/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,47.4252,-102.9184
NM001,Valverde,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFarWestUpdate.pdf,33.692614,-106.914822
NM002,Glorieta Pass,http://www.nps.gov/hps/abpp/CWSII/CWSACReportFarWestUpdate.pdf,35.5722,-105.754
OH001,Buffington Island,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOhioUpdate.pdf,38.991111,-81.771389
OH002,Salineville,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOhioUpdate.pdf,40.6206,-80.9017
OK001,Round Mountain,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,36.114722,-96.698333
OK002,Chusto-Talasah,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,36.2823,-95.9502
OK003,Chustenahlah,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,36.3878,-96.0752
OK004,Old Fort Wayne,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,36.368,-94.6478
OK005,Middle Boggy Depot,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,34.878056,-96.411944
OK006,Cabin Creek,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,36.262,-95.1718
OK007,Honey Springs,http://www.nps.gov/hps/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,35.5313,-95.4858
PA001,Hanover,http://www.nps.gov/hps/abpp/CWSII/CWSACReportPennsylvaniaUpdate.pdf,39.801,-76.9825
PA002,Gettysburg,http://www.nps.gov/hps/abpp/CWSII/CWSACReportPennsylvaniaUpdate.pdf,39.8112,-77.2249
SC001,Fort Sumter I,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.7524,-79.875
SC002,Secessionville,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.7039,-79.9481
SC003,Simmon's Bluff,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.6953,-80.2281
SC004,Charleston Harbor I,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.7526,-79.8745
SC005,Fort Wagner I,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.73,-79.871
SC006,Grimball's Island,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.698,-79.983
SC007,Fort Wagner II/Morris Island,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.73,-79.8711
SC008,Fort Sumter II,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.7524,-79.8749
SC009,Charleston Harbor II,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.7524,-79.8749
SC010,Honey Hill,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,32.486,-80.9343
SC011,Rivers' Bridge,http://www.nps.gov/hps/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,33.0528,-81.0997
TN001,Fort Henry,http://www.nps.gov/hps/abpp/CWSII/Dandridge to Fort Henry.pdf,36.5186,-88.0391
TN002,Fort Donelson,http://www.nps.gov/hps/abpp/CWSII/Dandridge to Fort Henry.pdf,36.4938,-87.856
TN003,Shiloh,http://www.nps.gov/hps/abpp/CWSII/Nashville to Spring Hill.pdf,35.1507,-88.3218
TN004,Memphis I,http://www.nps.gov/hps/abpp/CWSII/Memphis I to Murfreesboro II.pdf,35.1291,-90.1558
TN005,Chattanooga I,http://www.nps.gov/hps/abpp/CWSII/Campbells Station to Columbia.pdf,35.0651,-85.3088
TN006,Murfreesboro I,http://www.nps.gov/hps/abpp/CWSII/Memphis I to Murfreesboro II.pdf,35.847,-86.393
TN007,Hatchie's Bridge,http://www.nps.gov/hps/abpp/CWSII/Hartsville to Johnsonville.pdf,35.035,-88.7994
TN008,Hartsville,http://www.nps.gov/hps/abpp/CWSII/Hartsville to Johnsonville.pdf,36.3777,-86.1743
TN009,Jackson,http://www.nps.gov/hps/abpp/CWSII/Hartsville to Johnsonville.pdf,35.632,-88.7635
TN010,Stones River,http://www.nps.gov/hps/abpp/CWSII/Stones River to Wauhatchie.pdf,35.88,-86.435
TN011,Parker's Cross Roads,http://www.nps.gov/hps/abpp/CWSII/Nashville to Spring Hill.pdf,35.793,-88.393
TN012,Dover,http://www.nps.gov/hps/abpp/CWSII/Dandridge to Fort Henry.pdf,36.4849,-87.8575
TN013,Thompson's Station,http://www.nps.gov/hps/abpp/CWSII/Stones River to Wauhatchie.pdf,35.798,-86.9063
TN014,Vaught's Hill,http://www.nps.gov/hps/abpp/CWSII/Stones River to Wauhatchie.pdf,35.9252,-86.2047
TN015,Brentwood,http://www.nps.gov/hps/abpp/CWSII/Beans Station to Bulls Gap.pdf,36.0363,-86.7855
TN016,Franklin I,http://www.nps.gov/hps/abpp/CWSII/Fort Pillow to FranklinII.pdf,35.914,-86.864
TN017,Hoover's Gap,http://www.nps.gov/hps/abpp/CWSII/Hartsville to Johnsonville.pdf,35.6305,-86.2454
TN018,Chattanooga II,http://www.nps.gov/hps/abpp/CWSII/Campbells Station to Columbia.pdf,35.0739,-85.3186
TN019,Blountsville,http://www.nps.gov/hps/abpp/CWSII/Beans Station to Bulls Gap.pdf,36.5333,-82.3264
