"cwsac_id","battle_name","battle_type_cwss","begin_date","end_date","state","theater_code","campaign_code","result","cas_kwm_mean","cas_kwm_var","partof_cwss","operation","forces_text","casualties_text","results_text","preservation","significance","cwsac1_url","partof_cwsac1","cwsac2_url","study_area","core_area","potnr_boundary","partof_cwsac2","interpretive_political","interpretive_commander_loss","interpretive_casualties","interpretive_tactics_strategy","interpretive_public_mind","interpretive_combat_arm","interpretive_military_firsts","interpretive_minority_troops","interpretive_economic","interpretive_archaelolgical","interpretive_logistics","interpretive_individual_bravery","interpretive_group_behavior","interpretive_joint_ops","interpretive_coop_armies","interpretive_naval","significance_jim","significance_ed","significance_bill","aad_url","battle_type_aad","partof_aad","shenandoah_url","partof_shenandoah","lat","long"
"AR004","Cane Hill","Engagement","1862-11-28","1862-11-28","AR","TM","TM62-08","Confederate Victory (tactical)",85,0.0833333,TRUE,0,"Department of Missouri [US]; two cavalry brigades [CS]","475 total (US 40; CS 435)","Confederate tactical victory","III.3","C","http://www.nps.gov/hps/abpp/battles/ar004.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf",9007.96,3254.99,6929.53,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//AR004","Engagement",TRUE,NA,FALSE,35.9066,-94.3998
"AR005","Prairie Grove","Battle","1862-12-07","1862-12-07","AR","TM","TM62-08","Union Victory (strategic)",2532,0.0833333,TRUE,0,"Army of the Frontier [US]; I Corps, Trans-Mississippi Army [CS]","2,568 total (US 1,251; CS 1,317)","Union strategic victory","I.3","B","http://www.nps.gov/hps/abpp/battles/ar005.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf",14708.7,2450.54,4410.01,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","A","C","http://aad.archives.gov/aad//AR005","Battle",TRUE,NA,FALSE,35.9931,-94.3078
"AR006","Arkansas Post","Engagement","1863-01-09","1863-01-11","AR","MW","MW62-08","Union Victory",6096,0.0833333,TRUE,0,"Army of the Mississippi [US]; Fort Hindman Garrison [CS]","6,547 total (US 1,047; CS 5,500)","Union victory","IV.1","C","http://www.nps.gov/hps/abpp/battles/ar006.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf",3097.18,976.5,2118.26,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//AR006","Engagement",TRUE,NA,FALSE,34.021,-91.349
"AR007","Chalk Bluff","No Data","1863-05-01","1863-05-02","AR","TM","TM63-03","Confederate Victory (tactical)",NA,NA,TRUE,0,"2nd Division, Army of the Frontier and force under command of Brig. Gen. John McNeil [US]; Marmaduke's Cavalry Division [CS]","Unknown","Confederate tactical victory (The results, however, forced Marmaduke to end his expedition, making this a Union strategic victory.)","II.4","D","http://www.nps.gov/hps/abpp/battles/ar007.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf",770.64,64.6,217.07,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//AR007","Skirmish",TRUE,NA,FALSE,36.4773,-90.1588
"AR008","Helena","Attack","1863-07-04","1863-07-04","AR","MW","MW63-01","Union Victory",1875,0.0833333,TRUE,0,"District of Eastern Arkansas [US]; District of Arkansas [CS]","1,842 total (US 206; CS 1,636)","Union victory","IV.1","B","http://www.nps.gov/hps/abpp/battles/ar008.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf",7600.04,2298.65,3361.83,TRUE,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//AR008","Attack",TRUE,NA,FALSE,34.3903,-90.8697
"AR009","Devil's Backbone","Action","1863-09-01","1863-09-01","AR","TM","TM63-04","Union Victory",31,0.0833333,TRUE,0,"2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections of Rabb's 2nd Indiana Battery [US]; Cabell's Brigade [CS]","81 total (US 16; CS 65)","Union victory","II.3","C","http://www.nps.gov/hps/abpp/battles/ar009.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf",2538.32,1101.02,1776.97,TRUE,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"C","C","C","http://aad.archives.gov/aad//AR009","Action",TRUE,NA,FALSE,35.1785,-94.3106
"AR010","Bayou Fourche","Engagement","1863-09-10","1863-09-10","AR","TM","TM63-08","Union Victory",136,0.0833333,TRUE,0,"Cavalry Division, Army of Arkansas, Arkansas Expedition [US]; District of Arkansas [CS]","Total unknown (US 72; CS unknown)","Union victory","IV.2","B","http://www.nps.gov/hps/abpp/battles/ar010a.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf",9666.26,1700.51,1895.61,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","C","http://aad.archives.gov/aad//AR010A","Engagement",TRUE,NA,FALSE,34.7154,-92.129
"AR011","Pine Bluff","Action","1863-10-25","1863-10-25","AR","TM","TM63-08","Union Victory",96,0.0833333,TRUE,0,"Pine Bluff Garrison (two under-strength cavalry regiments and a company of state militia) [US]; division [CS]","Total unknown (US 56; CS unknown)","Union victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/ar011.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf",7633.37,108.42,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//AR011","Action",TRUE,NA,FALSE,34.23,-92.0035
"AR012","Elkin's Ferry","Engagement","1864-04-03","1864-04-04","AR","TM","TM64-02","Union Victory",55,0.0833333,TRUE,0,"3rd Division, VII Corps and 2 cavalry brigades [US]; 3 cavalry brigades [CS]","92 total (US 38; CS 54)","Union victory","II.3","C","http://www.nps.gov/hps/abpp/battles/ar012.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf",9221.77,2120.9,9209.94,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D","C","","http://aad.archives.gov/aad//AR012","Engagement",TRUE,NA,FALSE,33.9306,-93.3572
"AR013","Prairie D'Ane","No Data","1864-04-10","1864-04-13","AR","TM","TM64-02","Union Victory",150,8.33333,TRUE,0,"Department of Arkansas [US]; District of Arkansas [CS]","Unknown","Union victory","II.2","B","http://www.nps.gov/hps/abpp/battles/ar013.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf",17318.7,7671.57,14201,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","B","","http://aad.archives.gov/aad//AR013","Skirmish",TRUE,NA,FALSE,33.6611,-93.3008
"AR014","Poison Spring","Engagement","1864-04-18","1864-04-18","AR","TM","TM64-02","Confederate Victory",415,0.0833333,TRUE,0,"Brigade (1,100 men) [US]; Marmaduke's and Maxey's Divisions [CS]","415 total (US 301; CS 114)","Confederate victory","III.3","C","http://www.nps.gov/hps/abpp/battles/ar014.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf",11628.1,3337.86,11374.3,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//AR014","Engagement",TRUE,NA,FALSE,33.6508,-93.0307
"AR015","Marks' Mills","Action","1864-04-25","1864-04-25","AR","TM","TM64-02","Confederate Victory",1793,0.0833333,TRUE,0,"Infantry brigade [US]; two divisions [CS]","1,793 total (US 1,500; CS 293)","Confederate victory","II.4","D","http://www.nps.gov/hps/abpp/battles/ar015.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf",16534.6,4620.16,11395.1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//AR015","Action",TRUE,NA,FALSE,33.7911,-92.2575
"AR016","Jenkin's Ferry","Engagement","1864-04-30","1864-04-30","AR","TM","TM64-02","Union Victory",1700,833.333,TRUE,0,"Department of Arkansas [US]; Army of Arkansas [CS]","964 total (US 521; CS 443)","Union victory in retreat","III.3","C","http://www.nps.gov/hps/abpp/battles/ar016.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf",7796.37,3078.09,4510.69,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//AR016","Engagement",TRUE,NA,FALSE,34.2131,-92.5472
"AR017","Old River Lake","Engagement","1864-06-06","1864-06-06","AR","TM","TM64-03","Union Victory",170,8.33333,TRUE,0,"Two brigades of XVI Army Corps [US]; Marmaduke's Division [CS]","280 total (US 180; CS 100)","Union victory","III.4","D","http://www.nps.gov/hps/abpp/battles/ar017.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf",7763.14,2570.04,3839.77,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//AR017","Engagement",TRUE,NA,FALSE,33.2685,-91.1927
"CO001","Sand Creek","No Data","1864-10-29","1864-10-29","CO","TM","TM64-06","Union Victory",198,0.0833333,TRUE,0,"Third Colorado Regiment (approx. 700 men) [US]; 500 Cheyennes and a few Arapahos [I]","Total unknown (US unknown; I 200)","Union victory (massacre)","II.2","B","http://www.nps.gov/hps/abpp/battles/co001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportFarWestUpdate.pdf",34387.6,2271.97,27027.5,TRUE,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"","B","C","http://aad.archives.gov/aad//CO001","Engagement",TRUE,NA,FALSE,NA,NA
"DC001","Fort Stevens","Action","1864-07-11","1864-07-12","DC","ME","ME64-08","Union Victory",873,0.0833333,TRUE,0,"Divisions","874 total","Union victory","IV.2","B","http://www.nps.gov/hps/abpp/battles/dc001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportWashingtonDCUpdate.pdf",9103.32,2765.73,1166.01,TRUE,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//DC001","Action",TRUE,NA,FALSE,38.9641,-77.0288
"FL001","Santa Rosa Island","No Data","1861-10-09","1861-10-09","FL","LS","LS61-02","Union Victory",154,0.0833333,TRUE,0,"Santa Rosa Island Garrison (approx. 600 men) [US]; infantry and artillery detachments (approx. 1,200 men) [CS]","154 total (US 67; CS 87)","Union victory","III.3","C","http://www.nps.gov/hps/abpp/battles/fl001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf",2826.01,330.05,2612.79,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"C","","","http://aad.archives.gov/aad//FL001","Action",TRUE,NA,FALSE,30.3242,-87.2817
"FL002","Tampa","Bombardment","1862-06-30","1862-07-01","FL","LS","LS62-04","Confederate Victory",0,0.0833333,TRUE,0,"One gunboat [US]; Osceola Rangers, company [CS]","None","Confederate victory (Inconclusive, but Union gunboat withdrew.)","IV.2","D","http://www.nps.gov/hps/abpp/battles/fl002.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf",2288.79,1199.82,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//FL002","Bombardment",TRUE,NA,FALSE,27.9415,-82.4559
"FL003","Saint John's Bluff","Engagement","1862-10-01","1862-10-03","FL","LS","LS62-06","Union Victory",NA,NA,TRUE,0,"Expeditionary Force: 2 infantry regiments, a light artillery battery and detachment of the 1st Massachusetts Cavalry (total force 1,573) [US]; a small artillery and cavalry force [CS]","Unknown","Union victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/fl003.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf",7163.85,1069.43,4245.34,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//FL003","Engagement",TRUE,NA,FALSE,30.3852,-81.4998
"FL004","Fort Brooke","Engagement","1863-10-16","1863-10-18","FL","LS","LS63-06","Union Victory",NA,NA,TRUE,0,"Tahoma, Adela, and landing force [US]; Company A, 2nd Battalion, Florida Volunteers [CS]","Unknown","Union victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/fl004.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf",5478.9,1478.65,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//FL004","Engagement",TRUE,NA,FALSE,28.0155,-82.4644
"FL005","Olustee","No Data","1864-02-20","1864-02-20","FL","LS","LS64-01","Confederate Victory",2806,0.0833333,TRUE,0,"Division [US]; District of East Florida [CS]","2,806 total (US 1,860; CS 946)","Confederate victory","III.2","B","http://www.nps.gov/hps/abpp/battles/fl005.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf",5919.08,1108.49,5528.58,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","","C","http://aad.archives.gov/aad//FL005","Engagement",TRUE,NA,FALSE,30.2142,-82.3886
"FL006","Natural Bridge","No Data","1865-03-06","1865-03-06","FL","LS","LS65-01","Confederate Victory",173,0.0833333,TRUE,0,"2nd U.S. Colored Infantry and 99th U.S. Colored Infantry [US]; Kilcrease Artillery; Dunham's Battery; Abell's Battery; 5th Florida Cavalry; 1st Florida Militia; Barwick's Company Reserves; Hodges Company Reserves; Company A, Milton Light Artillery; Companies A, B, and F, Reserves and reinforcements from Georgia amounting to approx. 1,000 men [CS]","174 (US 148; CS 26)","Confederate victory","III.3","C","http://www.nps.gov/hps/abpp/battles/fl006.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf",2301.8,344.42,2301.8,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"D","D","CD","http://aad.archives.gov/aad//FL006","Action",TRUE,NA,FALSE,30.2839,-84.1519
"GA001","Fort Pulaski","No Data","1862-04-10","1862-04-11","GA","LS","LS62-01","Union Victory",2,0.0833333,TRUE,0,"The Port Royal Expeditionary Force's Fort Pulaski investment troops [US]; Fort Pulaski Garrison [CS]","365 total (US 1; CS 364)","Union victory","III.2","B","http://www.nps.gov/hps/abpp/battles/ga001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf",8529.53,3657.49,7862,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"","A","","http://aad.archives.gov/aad//GA001","Operation",TRUE,NA,FALSE,32.0273,-80.891
"GA002","Fort Mcallister I","No Data","1863-02-27","1863-03-03","GA","LS","LS63-01","Confederate Victory",1,0.0833333,TRUE,0,"Union Navy Flotilla [US]; Fort McAllister Garrison [CS]","Unknown","Confederate victory","III.3","C","http://www.nps.gov/hps/abpp/battles/ga002.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf",2494.48,563.51,2463.59,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","B","","http://aad.archives.gov/aad//GA002","Naval",TRUE,NA,FALSE,32.02,-81.44
"GA003","Davis' Cross Roads","No Data","1863-09-10","1863-09-11","GA","MW","MW63-06","Union Victory (strategic)",NA,NA,TRUE,0,"Two divisions [US]; unknown [CS]","Unknown","Union strategic victory","II.3","C","http://www.nps.gov/hps/abpp/battles/ga003.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf",23267.2,6063.47,21406.7,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"C","","C","http://aad.archives.gov/aad//GA003","Skirmish",TRUE,NA,FALSE,34.7557,-85.368
"GA004","Chickamauga","Battle","1863-09-18","1863-09-20","GA","MW","MW63-06","Confederate Victory",34624,0.0833333,TRUE,0,"The Army of the Cumberland [US]; Army of Tennessee [CS]","34,624 total (US 16,170; CS 18,454)","Confederate victory","I.2","A","http://www.nps.gov/hps/abpp/battles/ga004.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf",29978.7,9796.38,9881.28,TRUE,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,"","","","http://aad.archives.gov/aad//GA004","Battle",TRUE,NA,FALSE,34.9176,-85.2606
"GA005","Ringgold Gap","Engagement","1863-11-27","1863-11-27","GA","MW","MW63-10","Confederate Victory",728,0.0833333,TRUE,0,"Three divisions [US]; one division [CS]","912 total (US 432; CS 480)","Confederate victory","I.3","B","http://www.nps.gov/hps/abpp/battles/ga005.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf",3143.04,580.64,148.69,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","","http://aad.archives.gov/aad//GA005","Engagement",TRUE,NA,FALSE,34.9112,-85.1015
"GA006","Dalton I","Demonstration","1864-02-22","1864-02-27","GA","MW","MW64-04","Confederate Victory",429,0.0833333,TRUE,0,"Army of the Cumberland [US]; Army of Tennessee [CS]","Unknown","Confederate victory","II.3","C","http://www.nps.gov/hps/abpp/battles/ga006.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf",7011.4,669.48,1866.79,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//GA006","Demonstration",TRUE,NA,FALSE,34.8031,-85.0124
"GA007","Rocky Face Ridge","Demonstration","1864-05-07","1864-05-13","GA","MW","MW64-06","Union Victory",1437,0.0833333,TRUE,0,"Military Division of the Mississippi [US]; Army of Tennessee [CS]","Unknown","Union victory (Union casualties were high, but they did force the Confederates off Rocky Face Ridge.)","II.3","C","http://www.nps.gov/hps/abpp/battles/ga007.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf",16250.9,2482.24,3598.68,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"C","C","C","http://aad.archives.gov/aad//GA007","Demonstration",TRUE,NA,FALSE,34.7411,-85.0157
"GA008","Resaca","Battle","1864-05-13","1864-05-15","GA","MW","MW64-06","Indecisive",5547,0.0833333,TRUE,0,"Military Division of the Mississippi [US]; Army of Tennessee [CS]","5,547 total (US 2,747; CS 2,800)","Inconclusive","II.3","C","http://www.nps.gov/hps/abpp/battles/ga008.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf",7596.32,3574.48,4617.9,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"B","","","http://aad.archives.gov/aad//GA008","Battle",TRUE,NA,FALSE,34.5815,-84.9385
"GA009","Adairsville","Engagement","1864-05-17","1864-05-17","GA","MW","MW64-06","Confederate Victory",NA,NA,TRUE,0,"Military Division of the Mississippi [US]; Army of Tennessee [CS]","Total unknown (US 200; CS unknown)","Confederate delaying action (Allowed Johnston to bait a trap at Cassville.)","III.3","C","http://www.nps.gov/hps/abpp/battles/ga009.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf",6975.76,715.88,2950.39,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"C","C","","http://aad.archives.gov/aad//GA009","Engagement",TRUE,NA,FALSE,34.4083,-84.9389
"GA010","New Hope Church","Assault","1864-05-25","1864-06-05","GA","MW","MW64-06","Confederate Victory",1015,0.0833333,TRUE,0,"Military Division of the Mississippi [US]; Army of Tennessee [CS]","Total unknown (US 1,600; CS unknown)","Confederate victory","II.3","C","http://www.nps.gov/hps/abpp/battles/ga010.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf",2753.88,490.26,0,TRUE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"B","","","http://aad.archives.gov/aad//GA010","Combat",TRUE,NA,FALSE,33.961,-84.7875
