battle,battle_name,campaign,url,state,strength,results_text,results,forces_text,study_area,core_area,potnr_boundary
GA002,Fort McAllister I,Naval Attacks on Fort McAllister (1863),http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,GA,,Confederate victory,Confederate,Flotilla from the South Atlantic Blockading Squadron [US]; Fort McAllister garrison [CS],2494.48,563.51,2463.59
GA003,Davis’ Cross Roads,Chickamauga Campaign (1863),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Union strategic victory,Union,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland [US]; Hindman's Division, Army of Tennessee [CS]",23267.17,6063.47,21406.65
GA004,Chickamauga,Chickamauga Campaign (1863),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Confederate victory,Confederate,Army of the Cumberland [US]; Army of Tennessee [CS],29978.67,9796.38,9881.28
GA005,Ringgold Gap,Chattanooga-Ringgold Campaign (1863),http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,GA,,Confederate victory,Confederate,"XX Army Corps, Army of the Cumberland [US]; Cleburne's Division, Hardee's Corps, Army of Tennessee [CS]",3143.04,580.64,148.69
GA006,Dalton I,Demonstration on Dalton (1864),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Confederate victory,Confederate,Army of the Cumberland [US]; Army of Tennessee [CS],7011.4,669.48,1866.79
GA007,Rocky Face Ridge,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,GA,,Union victory,Union,Military Division of the Mississippi [US]; Army of Tennessee [CS],16250.89,2482.24,3598.68
GA008,Resaca,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,GA,,Inconclusive,Inconclusive,Military Division of the Mississippi [US]; Army of Tennessee [CS],7596.32,3574.48,4617.9
GA009,Adairsville,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Successful Confederate delaying action,Confederate,"2nd and 3rd Divisions, IV Corps, Army of the Cumberland [US]; Cheatham’s Division, Hardee’s Corps, Army of Tennessee [CS]",6975.76,715.88,2950.39
GA010,New Hope Church,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,GA,,Confederate victory,Confederate,"XX Corps, Army of the Cumberland [US]; Army of Tennessee [CS]",2753.88,490.26,0
GA011,Dallas,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Union victory,Union,"XV Corps, Military Division of the Mississippi [US]; Hardee's Corps, Army of Tennessee [CS]",2965.42,852.47,0
GA012,Pickett’s Mill,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,GA,,Confederate victory,Confederate,"IV Corps, Military Division of the Mississippi [US]; Cleburne's Division and Kelly's Cavalry Division, Army of Tennessee [CS]",1773.4,295.34,851.2
GA013,Marietta,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,GA,,Union victory,Union,Military Division of the Mississippi [US]; Army of Tennessee [CS],60906.6,7935.61,0
GA014,Kolb’s Farm,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,GA,,Union victory,Union,"XX and XXIII Army Corps, Military Division of the Mississippi [US]; Hood's Corps, Army of Tennessee [CS]",3745.22,1894.7,836.87
GA015,Kennesaw Mountain,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,GA,,Confederate victory,Confederate,Military Division of the Mississippi [US]; Army of Tennessee [CS],15940.66,5498.21,3039.31
GA016,Peachtree Creek,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,GA,,Union victory,Union,"IV and XIV Corps, Army of the Cumberland [US]; Army of Tennessee [CS]",6097.03,2092.04,0
GA017,Atlanta,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Union victory,Union,"Army of the Tennessee, Military Division of the Mississippi [US]; Army of Tennessee [CS]",6986.79,3043.83,0
GA018,Ezra Church,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,GA,,Union victory,Union,"Army of the Tennessee [US]; Lee and Stewart's Corps, Army of Tennessee [CS]",2719.21,1053.07,0
GA019,Utoy Creek,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,GA,,Inconclusive,Inconclusive,"XXIII and XIV Corps, Military Division of the Mississippi [US]; Bate's Division, Lee's Corps, Army of Tennessee [CS]",2826.68,930.38,0
GA020,Dalton II,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Union victory,Union,District of Etowah [US]; Wheeler's Cavalry Corps [CS],6002.08,523.24,0
GA021,Lovejoy’s Station,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,GA,,Confederate victory,Confederate,"2nd and 3rd Cavalry Divisions, Army of the Cumberland [US]; Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee [CS]",3880.28,1135.86,1179.98
GA022,Jonesborough,Atlanta Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Jonesborough to New Hope Church.pdf,GA,,Union victory,Union,"Military Division of the Mississippi [US]; Hardee and Lee's Corps, Army of Tennessee [CS]",4656.82,2343.84,0
GA023,Allatoona,Franklin-Nashville Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Union victory,Union,"Detachments of the 3rd and 4th Divisions, XV Corps, Army of the Tennessee [US]; French's Division, Stewart's Corps, Army of Tennessee [CS]",1067.73,416.36,294.59
GA025,Griswoldville,Savannah Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,GA,,Union victory,Union,"2nd Brigade, 1st Division, XV Army Corps [US]; Wheeler's Cavalry Corps, Department of South Carolina Georgia and Florida; and the 1st Division Georgia Militia [CS]",7880.25,1627.79,5700.33
GA026,Buck Head Creek,Savannah Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Adairsville to Davis Cross Roads.pdf,GA,,Inconclusive,Inconclusive,"3rd Cavalry Division, Military Division of Mississippi [US]; Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida [CS]",3137.32,298.86,3137.32
GA027,Waynesborough,Savannah Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Peachtree Creek to Waynesborough.pdf,GA,,Union victory,Union,"3rd Cavalry Division, Military Division of Mississippi [US]; Wheeler's Cavalry Corps, Army of Tennessee [CS]",10572.55,1293.37,4907.14
GA028,Fort McAllister II,Savannah Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,GA,,Union victory,Union,"2nd Division, XV Army Corps [US]; Fort McAllister garrison [CS]",4198.44,1552.41,2514.54
ID001,Bear River Massacre,"Expedition from Camp Douglas, Utah Territory, to Cache Valley, Idaho Territory (1863)",http://www.nps.gov/hps/abpp/CWSII/CWSACReportFarWestUpdate.pdf,ID,,Union Victory (massacre),Union,District of Utah [US]; Shoshone Indians [I],2000.0,448.48,2000
IN001,Corydon,"Morgan’s Raid in Kentucky, Indiana, and Ohio (July 1863)",http://www.nps.gov/hps/abpp/CWSII/CWSACReportIndianaUpdatewithCover.pdf,IN,,Confederate victory,Confederate,"Indiana Legion, 400 [US]; Morgan’s Cavalry Division, 1,800 [CS]",3806.29,280.31,2456.81
KS001,Lawrence,Quantrill’s Raid into Kansas (1863),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,KS,,Confederate victory,Confederate,"None, civilian forces only [US]; Quantrill’s Raiders [CS]",914.77,386.94,0
KS002,Baxter Springs,Occupation of Indian Territory North of the Arkansas River (1863),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,KS,,Confederate Victory,Confederate,"Fort Baxter garrision: one company of the 2nd Kansas United States Colored Troops, portions of C Company and D Company,3rd Wisconsin Cavalry; Blunt's Escort: Company I, 3rd Wisconsin Cavalry, Company A, 14th Kansas Cavalry [US]; Quantrill’s Raiders [CS]",736.21,333.22,0
KS003,Mine Creek,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,KS,,Union victory,Union,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln) [US]; Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River) [CS]",12189.44,1233.92,9219.06
KS004,Marais des Cygnes,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKansasUpdate.pdf,KS,,Union victory,Union,"2nd Provisional Cavalry Division, Army of the Border [US]; Fagan’s and Marmaduke’s Divisions, Army of Missouri [CS]",4930.85,1589.31,4573.82
KY001,Barbourville,Operations in Eastern Kentucky (1861),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Confederate victory,Confederate,Home Guard (approximately 300 men) [US]; approximately 800 men commanded by Col. Joel A. Battle [CS],940.11,101.42,0
KY002,Camp Wildcat,Operations in Eastern Kentucky (1861),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Union victory,Union,Camp Wildcat Garrison and Schoepf’s Brigade [US]; Zollicoffer’s Brigade [CS],2245.51,710.34,1804.92
KY003,Ivy Mountain,Operations in Eastern Kentucky (1861),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Union victory,Union,"Detachments from 12 Ohio and Kentucky units [US]; 9 infantry companies, 2 cavalry companies [CS]",8182.2,258.6,0
KY004,Rowlett’s Station,Operations in Eastern Kentucky (1861),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Inconclusive,Inconclusive,"32nd Indiana Volunteer Infantry Regiment [US]; Terry’s Texas Rangers, 7th Texas Cavalry, 1st Arkansas Battalion [CS]",2267.74,656.82,969.43
KY005,Middle Creek,Offensive in Eastern Kentucky (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Union victory,Union,"18th Brigade, Army of the Ohio [US]; Army of Southwestern Virginia [CS]",1462.19,248.8,288.09
KY006,Mill Springs,Offensive in Eastern Kentucky (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Union victory,Union,"Brig. Gen. Albin Schoepf’s Brigade, 1st Division, Army of the Ohio [US]; 1st and 2nd Brigades, Crittenden’s Division [CS]",4434.58,1193.7,1749.35
KY007,Richmond,Confederate Heartland Offensive (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Confederate victory,Confederate,"1st and 2nd Brigades, Army of Kentucky [US]; Army of Kentucky [CS]",9706.73,3178.78,1209.87
KY008,Munfordville,Confederate Heartland Offensive (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Confederate victory,Confederate,Union garrison [US]; Army of the Mississippi [CS],8652.18,769.78,1128.72
KY009,Perryville,Confederate Heartland Offensive (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Union strategic victory,Union,Army of the Ohio [US]; Army of the Mississippi [CS],16664.86,2218.75,9765.92
KY010,Paducah,Forrest’s Expedition into West Tennessee and Kentucky (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Confederate victory,Confederate,"Union garrison (8th Colored Heavy Artillery, 16th Kentucky Cavalry, and Companies C, H, and K, 122nd Illinois Infantry) and Gunboats: USS Peosta – Tinclad Side Wheel Steamer, USS Paw Paw (Gunboat #31) – Tinclad Center Wheel Steamer [US]; 3rd, 7th, 8th, and 12th Regiments, Kentucky Cavalry [CS]",3038.55,162.9,0
KY011,Cynthiana,Morgan’s Raid into Kentucky (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportKentuckyUpdate.pdf,KY,,Union victory,Union,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, Kentucky Harrison County Home Guards [US]; Morgan’s Division [CS]",9394.7,1061.33,830.04
LA001,Forts Jackson and St. Philip,Expedition to and Capture of New Orleans (1862),http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,LA,,Union victory,Union,West Gulf Blockading Squadron [US]; Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet [CS],14619.32,5005.22,13693.59
LA002,New Orleans,Expedition to and capture of New Orleans (1862),http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,LA,,Union victory,Union,West Gulf Blockading Squadron and the Department of the Gulf [US]; New Orleans garrison [CS],24610.77,534.16,0
LA003,Baton Rouge,Confederate Offensive Against Baton Rouge (1862),http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,LA,,Union victory,Union,Baton Rouge Garrison; Division of Flotilla in Western Waters [US]; Breckinridge’s Division; ram CSS Arkansas [CS],15564.21,5187.8,0
LA004,Donaldsonville I,Confederate Offensive Against Baton Rouge (1862),http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,LA,,Union victory,Union,West Gulf Blockading Squadron [US]; Partisan rangers [CS],3610.11,456.54,3272.14
LA005,Georgia Landing,Operations in LaFourche District (1862),http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,LA,,Union victory,Union,"Department of the Gulf, Reserve Brigade [US]; 18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment [CS]",3140.48,582.14,469.32
LA006,Fort Bisland,Operations in West Louisiana (1863),http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,LA,,Union victory,Union,"XIX Army Corps, Department of the Gulf and the USS Clifton [US]; Army of Western Louisiana [CS]",9895.8,2648.92,2487.84
LA007,Irish Bend,Operations in West Louisiana (1863),http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,LA,,Union victory,Union,"4th Division, XIX Corps, Department of the Gulf, and Naval Forces in Berwick Bay [US]; Army of Western Louisiana [CS]",7772.88,2787.41,4990.88
LA008,Vermillion Bayou,Operations in West Louisiana (1863),http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,LA,,Union victory,Union,"XIX Corps, Department of the Gulf [US]; Army of Western Louisiana [CS]",2480.76,289.34,0
LA009,Plains Store,Seige of Port Hudson (1863),http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,LA,,Union victory,Union,"1st Division, XIX Corps, Department of the Gulf [US]; Elements of the Port Hudson Garrison [CS]",3718.62,1158.52,1307.6
LA010,Port Hudson,Seige of Port Hudson (1863),http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,LA,,Union victory,Union,"XIX Corps, Department of the Gulf and the Flotilla of the West Gulf Blockading Squadron [US]; Port Hudson garrison [CS]",11949.48,4275.56,6315.21
LA011,Milliken’s Bend,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,LA,,Union victory,Union,"The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington [US]; Walker's Texas Division [CS]",17395.21,1538.96,2037.71
LA012,LaFourche Crossing,Taylor’s Operations in Louisiana West of Mississippi (1863),http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,LA,,Union victory,Union,"Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery [US]; 2nd Cavalry Brigade, District of Western Louisiana [CS]",3572.68,412.87,864.64
