cwsac,combatant,forces_text,description,armies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,brigades,cavalry_brigades,cavalry_companies,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,guns,infantry_regiments,regiments,ships,strength,strength_other
NC006,CS,"24th Massachusetts Volunteer Infantry, Captain George F. Jocknick’s company of the 3rd New York Cavalry and two pieces of artillery [US]; 44th North Carolina Infantry [CS]",44th North Carolina Infantry,,,,,,,,,,,,,,,,,1,,,
NC006,US,"24th Massachusetts Volunteer Infantry, Captain George F. Jocknick’s company of the 3rd New York Cavalry and two pieces of artillery [US]; 44th North Carolina Infantry [CS]","24th Massachusetts Volunteer Infantry, Captain George F. Jocknick’s company of the 3rd New York Cavalry and two pieces of artillery",,,,,,,,1,,,,,,,,,1,,,
VA065,CS,"Corps (27,000 US; 8,000 CS)","8,000",,,,,,,,,,,,,,,,,,,8000,
VA065,US,"Corps (27,000 US; 8,000 CS)","27,000",,,,,,,,,,,,,,,,,,,27000,
VA023,CS,Brigades (unknown US; unknown CS),unknown,,,,,,1,,,,,,,,,,,,,,
VA023,US,Brigades (unknown US; unknown CS),unknown,,,,,,1,,,,,,,,,,,,,,
VA110,CS,"Armies (6,275 US; 4,090 CS)","4,090",,,,,,,,,,,,,,,,,,,4090,
VA110,US,"Armies (6,275 US; 4,090 CS)","6,275",,,,,,,,,,,,,,,,,,,6275,
MS012,CS,"Department of the Tennessee [US]; Department of Alabama, Mississippi, and East Louisiana [CS]","Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,,,,,,,,,,
MS012,US,"Department of the Tennessee [US]; Department of Alabama, Mississippi, and East Louisiana [CS]",Department of the Tennessee,,,,,,,,,,,,,,,,,,,,
VA043,CS,"Brigades (2,000 US; 2,000 CS)","2,000",,,,,,,,,,,,,,,,,,,2000,
VA043,US,"Brigades (2,000 US; 2,000 CS)","2,000",,,,,,,,,,,,,,,,,,,2000,
VA055,CS,"Armies (68,000 US; 53,000 CS)","53,000",,,,,,,,,,,,,,,,,,,53000,
VA055,US,"Armies (68,000 US; 53,000 CS)","68,000",,,,,,,,,,,,,,,,,,,68000,
VA013,CS,"Division, 12,000 [US]; Brigade, 4,000 [CS]","Brigade, 4,000",,,,,,,,,,,,,,,,,,,4000,
VA013,US,"Division, 12,000 [US]; Brigade, 4,000 [CS]","Division, 12,000",,,,,,,,,,,,,,,,,,,12000,
TN027,CS,"Cavalry Corps, Army of the Ohio, and 1st Brigade, 2nd Division, XXIII Corps [US]; Martin’s Cavalry Brigade, Department of East Tennessee [CS]","Martin’s Cavalry Brigade, Department of East Tennessee",,,,,,,1,,,,,,,,,,,,,
TN027,US,"Cavalry Corps, Army of the Ohio, and 1st Brigade, 2nd Division, XXIII Corps [US]; Martin’s Cavalry Brigade, Department of East Tennessee [CS]","Cavalry Corps, Army of the Ohio, and 1st Brigade, 2nd Division, XXIII Corps",,,,,,1,,,1,,,,,,,,,,,
MN001,US,"Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians [US]; Santee Sioux [I]","Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians",,,,,,,,,,,,2,,,,,,,,
MN001,I,"Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians [US]; Santee Sioux [I]",Santee Sioux,,,,,,,,,,,,,,,,,,,,
FL002,CS,One Federal gunboat [US]; Osceola Rangers [CS],Osceola Rangers,,,,,,,,,,,,,,,,,,,,
FL002,US,One Federal gunboat [US]; Osceola Rangers [CS],One Federal gunboat,,,,,,,,,,,,,,,,,,1,,
NC014,CS,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron [US]; Hoke’s Division and the Fort Fisher garrison [CS]",Hoke’s Division and the Fort Fisher garrison,,,,,,,,,,,,,,,,,,,,
NC014,US,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron [US]; Hoke’s Division and the Fort Fisher garrison [CS]","Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron",,,,,,,,,,,,,1,,,,,,,
GA026,CS,"3rd Cavalry Division, Military Division of Mississippi [US]; Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida [CS]","Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida",,,,,,,,,1,,,,,,,,,,,
GA026,US,"3rd Cavalry Division, Military Division of Mississippi [US]; Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida [CS]","3rd Cavalry Division, Military Division of Mississippi",,,,,,,,,,,,,,1,,,,,,
VA004,CS,"Brigades (3,000 US; 7,000 CS)","7,000",,,,,,,,,,,,,,,,,,,7000,
VA004,US,"Brigades (3,000 US; 7,000 CS)","3,000",,,,,,,,,,,,,,,,,,,7000,
TN011,CS,Two brigades [US]; Forrest’s Cavalry Brigade [CS],Forrest’s Cavalry Brigade,,,,,,,1,,,,,,,,,,,,,
TN011,US,Two brigades [US]; Forrest’s Cavalry Brigade [CS],Two brigades,,,,,,2,,,,,,,,,,,,,,
VA084,CS,"Corps (14,898 US; 10,000 CS)","10,000",,,,,,,,,,,,,,,,,,,10000,
VA084,US,"Corps (14,898 US; 10,000 CS)","14,898",,,,,,,,,,,,,,,,,,,149898,
KY001,CS,Home Guard (approximately 300 men) [US]; approximately 800 men commanded by Col. Joel A. Battle [CS],approximately 800 men commanded by Col. Joel A. Battle,,,,,,,,,,,,,,,,,,,800,
KY001,US,Home Guard (approximately 300 men) [US]; approximately 800 men commanded by Col. Joel A. Battle [CS],Home Guard (approximately 300 men),,,,,,,,,,,,,,,,,,,300,
TN008,CS,"39th Brigade, XIV Army Corps (Army of the Cumberland) [US]; expeditionary force (two brigades) [CS]",expeditionary force (two brigades),,,,,,2,,,,,,,,,,,,,,
TN008,US,"39th Brigade, XIV Army Corps (Army of the Cumberland) [US]; expeditionary force (two brigades) [CS]","39th Brigade, XIV Army Corps (Army of the Cumberland)",,,,,,1,,,,,,,,,,,,,,
MO003,CS,"500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery) [US]; 4th Division Missouri State Guard [CS]",4th Division Missouri State Guard,,,,,,,,,,,,,,1,,,,,,
MO003,US,"500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery) [US]; 4th Division Missouri State Guard [CS]","500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery)",,,,,,,,,,,,,,,,,,,570,
TN012,CS,"Garrison (approx. 800) [US]; Cavalry Division (approx. 2,500) [CS]","Cavalry Division (approx. 2,500)",,,,,,,,,,,,,,,,,,,2500,
TN012,US,"Garrison (approx. 800) [US]; Cavalry Division (approx. 2,500) [CS]",Garrison (approx. 800),,,,,,,,,,,,,,,,,,,800,
VA038,CS,Divisions (unknown US; unknown CS),unknown,,,,,,,,,,,,,,1,,,,,,
VA038,US,Divisions (unknown US; unknown CS),unknown,,,,,,,,,,,,,,1,,,,,,
VA054,CS,"Divisions (10,000 total)",,,,,,,,,,,,,,,,,,,,,
VA054,US,"Divisions (10,000 total)",,,,,,,,,,,,,,,,,,,,,
OK002,CS,"Creek, Cherokee, and Seminole allies [US]; Indian Department [CS]",Indian Department,,,,,,,,,,,,,,,,,,,,
OK002,US,"Creek, Cherokee, and Seminole allies [US]; Indian Department [CS]","Creek, Cherokee, and Seminole allies",,,,,,,,,,,,,,,,,,,,
LA006,CS,"XIX Army Corps, Department of the Gulf and the USS Clifton [US]; Army of Western Louisiana [CS]",Army of Western Louisiana,1,,,,,,,,,,,,,,,,,,,
LA006,US,"XIX Army Corps, Department of the Gulf and the USS Clifton [US]; Army of Western Louisiana [CS]","XIX Army Corps, Department of the Gulf and the USS Clifton",,,,,,,,,,,,,1,,,,,1,,
KS001,CS,"None, civilian forces only [US]; Quantrill’s Raiders [CS]",Quantrill’s Raiders,,,,,,,,,,,,,,,,,,,,
KS001,US,"None, civilian forces only [US]; Quantrill’s Raiders [CS]","None, civilian forces only",,,,,,,,,,,,,,,,,,,,
FL004,CS,"USS Tahoma and the USS Adela; Navy landing party [US]; Company A, 2nd Florida Infantry Battalion, Florida Volunteers [CS]","Company A, 2nd Florida Infantry Battalion, Florida Volunteers",,,,,,,,,,,,1,,,,,,,,
FL004,US,"USS Tahoma and the USS Adela; Navy landing party [US]; Company A, 2nd Florida Infantry Battalion, Florida Volunteers [CS]",USS Tahoma and the USS Adela; Navy landing party,,,,,,,,,,,,,,,,,,2,,
VA077,CS,Corps (unknown US; unknown CS),unknown,,,,,,,,,,,,,1,,,,,,,
VA077,US,Corps (unknown US; unknown CS),unknown,,,,,,,,,,,,,1,,,,,,,
SC002,CS,"1st and 2nd Divisions, and Williams’ 3rd Brigade, Northern District, Department of the South [US]; Second Military District of South Carolina and the Tower Battery/Fort Lamar garrison [CS]",Second Military District of South Carolina and the Tower Battery/Fort Lamar garrison,,,,,,,,,,,,,,,,,,,,
SC002,US,"1st and 2nd Divisions, and Williams’ 3rd Brigade, Northern District, Department of the South [US]; Second Military District of South Carolina and the Tower Battery/Fort Lamar garrison [CS]","1st and 2nd Divisions, and Williams’ 3rd Brigade, Northern District, Department of the South",,,,,,1,,,,,,,,2,,,,,,
VA122,CS,"Armies (31,945 US; 21,000 CS)","21,000",,,,,,,,,,,,,,,,,,,21000,
VA122,US,"Armies (31,945 US; 21,000 CS)","31,945",,,,,,,,,,,,,,,,,,,31945,
KY008,CS,Union garrison [US]; Army of the Mississippi [CS],Army of the Mississippi,1,,,,,,,,,,,,,,,,,,,
KY008,US,Union garrison [US]; Army of the Mississippi [CS],Union garrison,,,,,,,,,,,,,,,,,,,,
GA010,CS,"XX Corps, Army of the Cumberland [US]; Army of Tennessee [CS]",Army of Tennessee,1,,,,,,,,,,,,,,,,,,,
GA010,US,"XX Corps, Army of the Cumberland [US]; Army of Tennessee [CS]","XX Corps, Army of the Cumberland",,,,,,,,,,,,,1,,,,,,,
NC013,CS,"Albemarle Sound Naval Squadron [US]; the Ironclad Ram CSS Albemarle, transport steamer CSS Cotton Plant, and the Erie Canal steamer CSS Bombshell [CS]","the Ironclad Ram CSS Albemarle, transport steamer CSS Cotton Plant, and the Erie Canal steamer CSS Bombshell",,,,,,,,,,,,,,,,,,3,,
NC013,US,"Albemarle Sound Naval Squadron [US]; the Ironclad Ram CSS Albemarle, transport steamer CSS Cotton Plant, and the Erie Canal steamer CSS Bombshell [CS]",Albemarle Sound Naval Squadron,,,,,,,,,,,,,,,,,,,,
TN014,CS,"2nd Brigade, 5th Division, XIV Army Corps [US]; Morgan’s Cavalry Division [CS]",Morgan’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
TN014,US,"2nd Brigade, 5th Division, XIV Army Corps [US]; Morgan’s Cavalry Division [CS]","2nd Brigade, 5th Division, XIV Army Corps",,,,,,1,,,,,,,,,,,,,,
OH002,CS,"9th Michigan Cavalry, 2,600 [US]; Confederate Army, 800 [CS]","Confederate Army, 800",,,,,,,,,,,,,,,,,,,800,
OH002,US,"9th Michigan Cavalry, 2,600 [US]; Confederate Army, 800 [CS]","9th Michigan Cavalry, 2,600",,,,,,,,,,,,,,,,,,,2600,
LA003,CS,Baton Rouge Garrison; Division of Flotilla in Western Waters [US]; Breckinridge’s Division; ram CSS Arkansas [CS],Breckinridge’s Division; ram CSS Arkansas,,,,,,,,,,,,,,1,,,,1,,
LA003,US,Baton Rouge Garrison; Division of Flotilla in Western Waters [US]; Breckinridge’s Division; ram CSS Arkansas [CS],Baton Rouge Garrison; Division of Flotilla in Western Waters,,,,,,,,,,,,,,,,,,,,
VA039,CS,"Brigades (approximately 2,000 US; approximately 3,000 CS)","approximately 3,000",,,,,,,,,,,,,,,,,,,3000,
VA039,US,"Brigades (approximately 2,000 US; approximately 3,000 CS)","approximately 2,000",,,,,,,,,,,,,,,,,,,2000,
TN004,CS,Five ironclads and two U.S. Army Rams [US]; eight C.S. Navy Rams [CS],eight C.S. Navy Rams,,,,,,,,,,,,,,,,,,8,,
TN004,US,Five ironclads and two U.S. Army Rams [US]; eight C.S. Navy Rams [CS],Five ironclads and two U.S. Army Rams,,,,,,,,,,,,,,,,,,7,,
VA079,CS,"Corps (30,000 US; 11,691 CS)","11,691",,,,,,,,,,,,,,,,,,,11691,
VA079,US,"Corps (30,000 US; 11,691 CS)","30,000",,,,,,,,,,,,,,,,,,,30000,
GA015,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,,
GA015,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
TX003,CS,"Companies D, G, and I, 42nd Massachusetts Volunteer Infantry Regiment, and the Mortar Flotilla of the Western Gulf Blockading Squadron [US]; Department of Texas, New Mexico and Arizona, and the Texas Marine Department [CS]","Department of Texas, New Mexico and Arizona, and the Texas Marine Department",,,,,,,,,,,,,,,,,,,,
TX003,US,"Companies D, G, and I, 42nd Massachusetts Volunteer Infantry Regiment, and the Mortar Flotilla of the Western Gulf Blockading Squadron [US]; Department of Texas, New Mexico and Arizona, and the Texas Marine Department [CS]","Companies D, G, and I, 42nd Massachusetts Volunteer Infantry Regiment, and the Mortar Flotilla of the Western Gulf Blockading Squadron",,,,,,,,,,,,3,,,,,,,,
TN007,CS,"Division, Union Army of West Tennessee [US]; Army of West Tennessee[CS]",Army of West Tennessee,1,,,,,,,,,,,,,,,,,,,
TN007,US,"Division, Union Army of West Tennessee [US]; Army of West Tennessee[CS]","Division, Union Army of West Tennessee",,,,,,,,,,,,,,1,,,,,,
TN024,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,,
TN024,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
LA020,CS,"Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald [US]; Green’s Cavalry Division [CS]",Green’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
LA020,US,"Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald [US]; Green’s Cavalry Division [CS]","Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald",,,,,,,,,,,,,,1,,,,9,,
NC001,CS,"9th (220 men) and 20th New York (500 men) regiments, 60 of the 2nd United States Artillery, 100 Coast Guard guardians, 55 Marines, and the Atlantic Blockading Squadron [US]; Hatteras Island garrison [CS]",Hatteras Island garrison,,,,,,,,,,,,,,,,,,,,
NC001,US,"9th (220 men) and 20th New York (500 men) regiments, 60 of the 2nd United States Artillery, 100 Coast Guard guardians, 55 Marines, and the Atlantic Blockading Squadron [US]; Hatteras Island garrison [CS]","9th (220 men) and 20th New York (500 men) regiments, 60 of the 2nd United States Artillery, 100 Coast Guard guardians, 55 Marines, and the Atlantic Blockading Squadron",,,,,,,,,,,,,,,,,,,935,
NC012,CS,Plymouth garrison [US]; Hoke’s Division [CS],Hoke’s Division,,,,,,,,,,,,,,1,,,,,,
NC012,US,Plymouth garrison [US]; Hoke’s Division [CS],Plymouth garrison,,,,,,,,,,,,,,,,,,,,
LA015,CS,"1st Brigade, 2nd Division and the 3rd Brigade, 3rd Division, XIX Army Corps [US]; Major's Brigade and Green's Texas Brigade [CS]",Major's Brigade and Green's Texas Brigade,,,,,,2,,,,,,,,,,,,,,
LA015,US,"1st Brigade, 2nd Division and the 3rd Brigade, 3rd Division, XIX Army Corps [US]; Major's Brigade and Green's Texas Brigade [CS]","1st Brigade, 2nd Division and the 3rd Brigade, 3rd Division, XIX Army Corps",,,,,,2,,,,,,,,,,,,,,
MS005,CS,"2nd Division, XV Corps, Army of the Tennessee and a flotilla of 8 gunboats and 10 transports, Mississippi River Squadron [US]; Hebert’s Brigade [CS]",Hebert’s Brigade,,,,,,1,,,,,,,,,,,,,,
MS005,US,"2nd Division, XV Corps, Army of the Tennessee and a flotilla of 8 gunboats and 10 transports, Mississippi River Squadron [US]; Hebert’s Brigade [CS]","2nd Division, XV Corps, Army of the Tennessee and a flotilla of 8 gunboats and 10 transports, Mississippi River Squadron",,,,,,,,,,,,,,1,,,,18,,
TX005,CS,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry [US]; Detachments from Gidding’s Regiment, Anderson’s Battalion of Cavalry, and other Confederate units and southern sympathizers [CS]","Detachments from Gidding’s Regiment, Anderson’s Battalion of Cavalry, and other Confederate units and southern sympathizers",,,,,,,,,,,0.5,,,,,,0.5,,,
TX005,US,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry [US]; Detachments from Gidding’s Regiment, Anderson’s Battalion of Cavalry, and other Confederate units and southern sympathizers [CS]","Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry",,,,,,,,,,,0.5,,,,,,1,,,
OK005,CS,"Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers [US]; Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment [CS]","Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment",,,,,,,,1,,,,,,,,,1,,,
OK005,US,"Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers [US]; Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment [CS]",Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,,,,,1,,,3,,,,,,,,,,,,
OK007,CS,"District of the Frontier [US]; 1st Brigade, Indian Department [CS]","1st Brigade, Indian Department",,,,,,1,,,,,,,,,,,,,,
OK007,US,"District of the Frontier [US]; 1st Brigade, Indian Department [CS]",District of the Frontier,,,,,,,,,,,,,,,,,,,,
WV009,CS,"District of Kanawha [US]; Army of East Kentucky and Wharton’s Brigade, Department of Southwest Virginia [CS]","Army of East Kentucky and Wharton’s Brigade, Department of Southwest Virginia",1,,,,,1,,,,,,,,,,,,,,
WV009,US,"District of Kanawha [US]; Army of East Kentucky and Wharton’s Brigade, Department of Southwest Virginia [CS]",District of Kanawha,,,,,,,,,,,,,,,,,,,,
KY005,CS,"18th Brigade, Army of the Ohio [US]; Army of Southwestern Virginia [CS]",Army of Southwestern Virginia,,,,,,,,,,,,,,,,,,,,
KY005,US,"18th Brigade, Army of the Ohio [US]; Army of Southwestern Virginia [CS]","18th Brigade, Army of the Ohio",,,,,,1,,,,,,,,,,,,,,
VA018,CS,Divisions (unknown US; unknown CS),unknown,,,,,,,,,,,,,,1,,,,,,
VA018,US,Divisions (unknown US; unknown CS),unknown,,,,,,,,,,,,,,1,,,,,,
VA075,CS,"Armies (25,000 US; 14,500 CS)","14,500",,,,,,,,,,,,,,,,,,,14500,
VA075,US,"Armies (25,000 US; 14,500 CS)","25,000",,,,,,,,,,,,,,,,,,,25000,
VA099,CS,"Divisions (9,300 US; 6,400 CS)","6,400",,,,,,,,,,,,,,,,,,,6400,
VA099,US,"Divisions (9,300 US; 6,400 CS)","9,300",,,,,,,,,,,,,,,,,,,9300,
GA028,CS,"2nd Division, XV Army Corps [US]; Fort McAllister garrison [CS]",Fort McAllister garrison,,,,,,,,,,,,,,,,,,,,
GA028,US,"2nd Division, XV Army Corps [US]; Fort McAllister garrison [CS]","2nd Division, XV Army Corps",,,,,,,,,,,,,,1,,,,,,
VA088,CS,"Corps (22,000 US; 10,600 CS)","10,600",,,,,,,,,,,,,,,,,,,10600,
VA088,US,"Corps (22,000 US; 10,600 CS)","22,000",,,,,,,,,,,,,,,,,,,22000,
GA005,CS,"XX Army Corps, Army of the Cumberland [US]; Cleburne's Division, Hardee's Corps, Army of Tennessee [CS]","Cleburne's Division, Hardee's Corps, Army of Tennessee",,,,,,,,,,,,,,1,,,,,,
GA005,US,"XX Army Corps, Army of the Cumberland [US]; Cleburne's Division, Hardee's Corps, Army of Tennessee [CS]","XX Army Corps, Army of the Cumberland",,,,,,,,,,,,,1,,,,,,,
LA012,CS,"Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery [US]; 2nd Cavalry Brigade, District of Western Louisiana [CS]","2nd Cavalry Brigade, District of Western Louisiana",,,,,,1,,,,,,,,,,,,,,
LA012,US,"Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery [US]; 2nd Cavalry Brigade, District of Western Louisiana [CS]","Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery",,,,2,,,,,,,1,,,,,,5,,,
TX002,CS,Mortar Flotilla of the Western Gulf Blockading Squadron [US]; Garrison at Galveston [CS],Garrison at Galveston,,,,,,,,,,,,,,,,,,,,
TX002,US,Mortar Flotilla of the Western Gulf Blockading Squadron [US]; Garrison at Galveston [CS],Mortar Flotilla of the Western Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,,
ND002,US,District of Minnesota [US]; Santee Sioux (Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]) [I],District of Minnesota,,,,,,,,,,,,,,,,,,,,
ND002,I,District of Minnesota [US]; Santee Sioux (Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]) [I],Santee Sioux (Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]),,,,,,,,,,,,,,,,,,,,
AR003,CS,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest [US]; 12th, 16th and 17th Texas Cavalry Regiments [CS]","12th, 16th and 17th Texas Cavalry Regiments",,,,,,,,,,,3,,,,,,,,,
AR003,US,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest [US]; 12th, 16th and 17th Texas Cavalry Regiments [CS]","Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest",,,,,,2,,,,,,,,,,,,,,
VA034,CS,"Corps (approximately 25,000 US; approximately 12,000 CS)","approximately 12,000",,,,,,,,,,,,,,,,,,,12000,
VA034,US,"Corps (approximately 25,000 US; approximately 12,000 CS)","approximately 25,000",,,,,,,,,,,,,,,,,,,25000,
GA007,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,,
GA007,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
KS004,CS,"2nd Provisional Cavalry Division, Army of the Border [US]; Fagan’s and Marmaduke’s Divisions, Army of Missouri [CS]","Fagan’s and Marmaduke’s Divisions, Army of Missouri",,,,,,,,,,,,,,2,,,,,,
KS004,US,"2nd Provisional Cavalry Division, Army of the Border [US]; Fagan’s and Marmaduke’s Divisions, Army of Missouri [CS]","2nd Provisional Cavalry Division, Army of the Border",,,,,,,,,,1,,,,,,,,,,
VA046,CS,"Armies (101,895 US; 61,025 CS)","61,025",,,,,,,,,,,,,,,,,,,61025,
VA046,US,"Armies (101,895 US; 61,025 CS)","101,895",,,,,,,,,,,,,,,,,,,101895,
LA008,CS,"XIX Corps, Department of the Gulf [US]; Army of Western Louisiana [CS]",Army of Western Louisiana,1,,,,,,,,,,,,,,,,,,,
LA008,US,"XIX Corps, Department of the Gulf [US]; Army of Western Louisiana [CS]","XIX Corps, Department of the Gulf",,,,,,,,,,,,,1,,,,,,,
GA021,CS,"2nd and 3rd Cavalry Divisions, Army of the Cumberland [US]; Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee [CS]","Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee",,,,,,1,,,,1,,,,,,,,,,
GA021,US,"2nd and 3rd Cavalry Divisions, Army of the Cumberland [US]; Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee [CS]","2nd and 3rd Cavalry Divisions, Army of the Cumberland",,,,,,,,,,2,,,,,,,,,,
VA076,CS,"Brigade 5,000 [US]; Confederate Home Guard, 300 [CS]","Confederate Home Guard, 300",,,,,,,,,,,,,,,,,,,300,
