page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
,,July 5th,"Carthage, Missouri",3d and 5th Missouri (three months) and Battery of Missouri Artillery,13,31,,30,125,45,"Casualty Lists, S. G. O., No. 209, and Official Report of Colonel Franz Siegel, 3d Missouri Volunteers. Also designated Dry Forks"
,,July 5th,"Newport News, Virginia",9th New York (one company),,6,,,3,,Newspaper report
35,,July 6th,"Middle Creek Fork, West Virginia",3d Ohio Volunteers (one company),1,6,,7,,,"Casualty Lists, S. G. O., No. 555, and Ohio in the War, Vol. 2, p. 28. Also known as the action at Buckhannon"
,,July 7th,"Great Falls, Virginia",8th New York Volunteers,2,,,12,,,"Rebellion Record, Vol. II, page 21"
,,July 8th,"Laurel Hill, West Virginia",14th Ohio and 9th Indiana Volunteers,2,6,,,,,Also designated Bealington
,,July 10th,"Monroe Station, Missouri",16th Illinois and 3d Iowa Volunteers and Hannibal Home Guards,3,,,4,20,75,"Adjutant General’s Report, Illinois, Vol. 1, p. 417"
,,July 11th,"Rich Mountain, West Virginia","8th, 10th, and 13th Indiana and 19th Ohio Volunteers",11,35,,60,140,100,"See Appendix to Part I of the Medical and Surgical History of the War, page 13; Report of Medical Director J. J. B. Wright, U. S. A.; also Official Report of Major General George B McClellan, U. S. V"
,,July 12th,"Barboursville, West Virginia",2d Kentucky Volunteers,1,,,10,,,Also designated Red House
,,July 12th,"Beverly, West Virginia",4th and 9th Ohio Volunteers,,,,,,600,Official Report of General McClellan
,,July 14th,"Carrick’s Ford, West Virginia",14th Ohio and 9th and 7th Indiana Volunteers,13,40,,20,10,50,"See Appendix to Part I, Medical and Surgical History of the War, page 14. Confederate General R. S. Garnett killed"
,,July 16th,"Millsville, Missouri, North Missouri Rail-road",8th Missouri Volunteers,7,1,7,7,,,"Missouri Adjutant General’s Report, 1865, p. 128. Also designated Wentzville"
,,July 17th,"Fulton, Missouri",3d Missouri Reserves (400 men),1,15,,,,,"Tribune Almanac, 1862, page 44, and Report of Adjutant General of Missouri, 1865, page 74"
,,July 17th,"Scarytown, West Virginia","2d Kentucky, 12th and 21st Ohio Vols. and 1st Ohio Bat’y",9,38,9,,,,"Ohio in the War, Vol. 2, p. 89"
,,July 17th,"Martinsburg, Missouri",1st Missouri Reserves (one company),1,1,,,,,Official Report of Adjutant General of Missouri 1865
,,July 17th,"Bunker Hill, Virginia",Detachment of General Patterson's command,,,,4,,5,
,,July 18th and 19th,"Harrisonville and Parkersville, Missouri","Van Horn's Battalion, (Mo., ) Cass County Home Guards",1,,,14,,,"Report of Adjutant General of Missouri, 1865, page 91"
,,July 18th,"Blackburn’s Ford, Virginia","1st. Massachusetts, 2d and 3d Michigan, and 12th New York Volunteers, detachment of 2d U. S. Cavalry, and Battery E, 3d U. S. Artillery",19,38,26,15,53,,Official Reports of Generals McDowell and Beauregard
,,July 21st,"Bull Run, Virginia","Of infantry volunteers or militia, the 2d Maine. 2d New Hampshire, 2d Vermont, 1st, 4th, and 5th Massachusetts, 1st and 2d Rhode Island, 1st. 2d, and 3d Connecticut, 8th, 11th, 12th, 13th. 16th. 18th. 27th, 29th, 31st, 32d, 35th, 38th, and 39th New York Volunteers, 2d. 8th, 14th, 69th, 71st, and 79th New York Militia, 27th Pennsylvania Volunteers, 1st, 2d, and 3d Michigan , 1st Minnesota, 1st and 2d Ohio, 2d Minnesota, and detachments of the 2d, 3d, and 8th Regular Infantry and a battalion of Marines; of artillery, batteries  D, E, G, and M, 2d Artillery, E, 3d Artillery, D, 5th Artillery, and the 2d Rhode Island Battery; of cavalry, detachments from the 1st and 2d Dragoons",481,1011,1460,269,1483,,"Official Reports of Generals McDowell and Beau-regard. Appendix to Part I, Medical and Surgical  History of the War, pages 1 to 10 inclusive; MSS. Confederate casualty lists. This battle is also designated Manassas. Among the Confederate  killed were Brigadier Generals B. E. Bee and Barton"
,,July 22d,"Forsyth, Missouri","1st Iowa and 2d Kansas Volunteers, Stanley Dragoons, and Totten’s Battery",,3,,5,10,,Unofficial sources
,,July 22d,"Aetna, Missouri",21st Missouri Volunteers,,,,,,,"Official Report of the Adjutant General of Missouri, for 1865"
,,July 24th,"Blue Mills, Missouri",5th Missouri Reserves,1,12,,,,,Same Report
,,July 26th,"Lane's Prairie, near Rolla, Missouri",Home Guards,,3,,1,3,3,Unofficial
,,July 26th,"Harrisonville, Missouri",Missouri Home Guards and 5th Kansas Cavalry,,,,,,,Official
,,July 27th,"Fort Fillmore, New Mexico",7th U. S. Infantry and U. S. Mounted Rifles,,,426,,,,
36,,Aug. 2d,"Dug Springs, Missouri","1st Iowa and 3d Missouri Volunteers, and five batteries Missouri Light Artillery",4,37,,40,44,16,"Appendix to Part I, Medical and Surgical History of the War, page 15"
,,Aug. 3d,"Mesilla, New Mexico",7th U. S. Infantry and U. S. Mounted Rifles,3,6,,12,,,Unofficial sources
,,Aug. 5th,"Athens, Missouri",Home Guards and 21st Missouri Volunteers,3,8,,14,14,,"Rebellion Record, Vol. II, page 463"
,,Aug. 5th,"Point of Rocks, Maryland",28th New York Volunteers,,,,3,2,7,Unofficial
,,Aug. 7th,"Hampton, Virginia",20th New York Volunteers,,,,3,6,,Unofficial statement
,,Aug. 8th,"Lovettsville, Virginia",19th New York Volunteers,,,,1,5,,"New York Times, August 13th, 1861"
,,Aug. 10th,"Wilson’s Creek, Missouri","Cavalry: 6th and 10th Missouri, 2d Kansas Mounted Volunteers, and one company of the 1st United States. Infantry: 1st Iowa, 1st Kansas, 1st, 2d, 3d, and 5th Missouri, detachments of the 1st and 2d Regulars, Missouri Home Guards. Artillery: 1st Missouri Light, and Battery F, 2d United States. Commanded by Brigadier General Nathaniel Lyons",223,721,291,265,800,30,"Official Report of Major General Fremont. Appendix Medical and Surgical History of the War, Part I, pages 16, 17. Also known as Springfield and Oak Hills. Brigadier General Nathaniel Lyons was killed"
,,Aug. 10th,"Potosi, Missouri",Missouri Home Guards,1,,,2,3,,Unofficial sources
,,Aug. 13th,"Grafton, West Virginia",One company 4th West Virginia Volunteers,,,,,,,"Rebellion Record, Vol. II, page 65"
,,Aug. 17th,"Brunswick, Missouri",5th Missouri Reserves,1,7,,,,,"Report of Adjutant General of Missouri. 1865, page 79"
,,Aug. 19th,"Charlestown, Missouri",22d Illinois Volunteers,1,6,,40,,17,Official Report of Major General Fremont. Also known as Bird’s Point
,,Aug. 20th,"Hawk’s Nest, West Virginia",11th Ohio Volunteers,,3,,1,3,,Confederate sources
,,Aug. 20th,"Lookout Station, Missouri",,1,6,,,,,Newspaper statements
,,Aug. 21st,"Jonesboro’, Missouri",Missouri Home Guards,,,,,,,
,,Aug. 26th,"Cross Lanes, West Virginia",7th Ohio Volunteers,5,40,200,,,,"Ohio in the War, Vol. 2, page 58. Also known as Summerville"
,,Aug. 27th,"Ball’s Cross Roads, Virginia",Two companies 23d New York Volunteers,1,2,,,,,"Rebellion Record, Vol. III, page 7"
,,Aug. 27th,"Wayne Court-house, West Virginia",5th West Virginia Volunteers,,,,,,20,Unofficial
,,Aug. 29th,"Lexington, Missouri",Missouri Home Guards,,,,8,,,St Louis newspapers
,,Aug. 28th and 29th,"Fort Hatteras, Cape Hatteras Inlet, North Carolina","9th, 20th, and 99th New York Volunteers and a naval force commanded by Commodore Stringham",1,2,,5,51,715,"Vide Official Reports of Major General Butler, U. S. V., and Commodore Stringham, U. S. N"
,,Aug. 31st,"Munson’s Hill, Virginia",Two companies 23d New York Volunteers,2,2,,,,,Newspaper statement
,,Sept. 1st,"Bennett’s Mills, Missouri",Missouri Home Guards,1,8,,,,,Unofficial statement
,,Sept. 1st,"Boone Court-house, West Virginia",1st Kentucky Volunteers. ,,6,,30,,40,"Appleton's Cyclopedia, 1861, page 741. Adjutant General’s Report, Kentucky, Vol. 1, p. 527"
,,Sept. 2d,"Dallas, Missouri",11th Missouri Volunteers,2,,,,,,"Report of Adjutant General of Missouri, 1865. page 145"
,,Sept. 2d,"Worthington, Marion County, West Virginia",,,,,,,,"Rebellion Record, Vol. III, page 13"
37,,Sept. 2d,"Dry Wood, Missouri","5th and 6th Kansas Volunteers, one company 9th Cavalry, and 1st Kansas Battery",4,9,1,,,,"Official Register of Volunteer Officers, Part VIII. Also known as Fort Scott"
,,Sept. 2d,"Beher’s Mills, Virginia",13th Massachusetts Volunteers,,,,3,5,20,"Rebellion Record, Vol. III, page 13"
,,Sept. 4th,"Shelbina, Missouri",3d Iowa Volunteers,,,,,,,"Rebellion Record, Vol. III, page 15"
,,Sept. 7th,"Peters burgh, West Virginia",Three companies of the 4th Ohio Volunteers,,,,,,,"Ohio in the War, Vol. 2, page 36"
,,Sept. 10th,"Carnifex Ferry, West Virginia","9th, 10th, 12th, 13th, 28th, and 47th Ohio Volunteers",16,102,,,,,"Official Report of Brigadier General Rosecrans. List of casualties, File F, No. 10, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 14"
,,Sept. 11th,"Lewinsville, Virginia","19th Indiana, 3d Vermont, and 65th Hew York Volunteers, and 79th New York Militia",6,8,,,,,"List of casualties, File F, No. 33, S. G. O"
,,Sept. 11th,"Elkwater, West Virginia",3d Ohio and 15th and 17th Indiana Volunteers,,,,,,,"Ohio in the War, Vol. 2, p. 29"
,,Sept. 12th,"Black River, near Ironton, Missouri",Three companies of the 1st Indiana Cavalry,,,,5,,4,"Adjutant General’s Report, Indiana, Vol. II, p. 278"
,,Sept. 12th and 13th,"Cheat Mountain, West Virginia","13th, 14th, 15th, and 17th Indiana Volunteers, 3d, 6th, 24th, and 25th Ohio, and 2d West Virginia Volunteers",9 8,12,60,,80,,Official Report of General J. J. Reynolds
,,Sept. 13th,"Booneville, Missouri",Missouri Home Guards,1,4,,12,30,20,"Rebellion Record, Vol. III, page 27"
,,Sept. 14th,"Judah, Rebel privateer, destroyed near Pensacola, Florida",Crew of United States flag-ship Colorado,3,15,,,,,Official Report of Flag Officer W. Mervine
,,Sept. 15th,"Pritchard’s Mills, Virginia",28th Pennsylvania and 13th Massachusetts Volunteers,1,,,8,,,"Official Report of Colonel J. W. Geary, 28th Pennsylvania Vols. Also known as Darnestown"
,,Sept. 12th to 20th,"Lexington, Missouri","8th, 25th, and 27th Missouri Volunteers, 13th and 14th Missouri Home Guards. Berry’s and Van Horn's Missouri Cavalry, 1st Illinois Cavalry, and 23d Illinois Volunteers. Colonel James A. Mulligan, 23d Illinois, commanding",42,108,1624,25,75,,Official Reports of General’s Fremont and Price
,,Sept. 17th,"Morristown, Missouri","5th, 6th, and 9th Kansas Cavalry and 1st Kansas Battery ",2,6,,7,,,Official
,,Sept. 17th,"Blue Mills, Missouri",3d Iowa Volunteers,11,39,6,10,60,,"Official Report of Lieutenant Colonel John Scott, 3d Iowa Cavalry"
,,Sept. 18th,"Barboursville, West Virginia",Kentucky Home Guards,1,1,1,7,,,Unofficial
,,Sept. 21st and 22d,"Papinsville, Missouri","5th, 6th, and 9th Kansas Cavalry",17,,,,,,Official Register of Volunteer Officers. Also designated as Osceola
,,Sept. 22d,"Eliott's Mills, Missouri",7th Iowa Volunteers,1,5,,,,,"Also designated Camp Crittenden. Iowa Adjutant General’s Report, 1864, p. 1057"
,,Sept. 23d,"Romney, West Virginia",4th and 8th Ohio Volunteers,3,50,,35,,,"Ohio in the War. Vol. 2, pages 36, 66. Also known as Hanging Rock"
,,Sept. 25th,"Chapmansville, West Virginia",1st Kentucky and 34th Ohio Volunteers,4,9,,20,50,47,"Ohio in the War, Vol. 2, page 223"
,,Sept. 26th,"Lucas Bend, Kentucky",Captain Stewart's Cavalry,,,,4,,5,"Rebellion Record, Vol. III, page 36"
,,Sept. 27th,"Shanghai, Missouri",,,,,,,,"Tribune Almanac, 1862, page 45"
,,Sept. 29th,"Munson’s Hill, (Camp Advance, ) Va.",69th Pennsylvania fire into 71st Pennsylvania through mistake,9,25,,,,,"List of casualties, File F, No. 29, S. G. O"
,,Oct. 3d,"Greenbrier, West Virginia","Battery G, 4th U. S. Artillery, Battery A. 1st Michigan Artillery, 24th, 25th, and 32d Ohio, and 7th, 9th, 13th, 14th, 15th, and 17th Indiana Volunteers",8,32,,100,75,13,Official Report of Brig. General J. J. Reynolds
,,Oct. 4th,"Alimosa, near Fort Craig, New Mexico",Mink's New Mexico Cavalry and U. S. Regulars,,,,11,30 j,,"Rebellion Record, Vol. III, page 41"
,,Oct. 4th,"Buffalo Hill, Kentucky",,20,,,50,,,Unofficial statement
38,,Oct. 5th,"Chickamicomico, North Carolina",20th Indiana Volunteers,,,,,,,Official reports
,,Oct. 8th,"Hillsboro’, Kentucky",Flemingsburgh Home Guards,3,2,,11,29,22,Newspaper statement
,,Oct. 9th,"Santa Rosa, Florida","6th New York Volunteers, detachments of Co. A, 1st U. S. Artillery, Co. H, 2d U. S. Artillery, and Cos. C and E, 3d U. S. Infantry",14,29,24,,350,36,"Official Report of Colonel Harvey Brown, U. S. A"
,,Oct. 12th,"Cameron, Ray County, Missouri",Major James’ Cavalry,1,4,,8,,5,"Rebellion Record, Vol. III, page 46"
,,Oct. 12th,"Upton Hill, Kentucky",39th Indiana Volunteers,,,,5,3,,Newspaper statement
,,Oct. 12th,"Bayles’ Cross Roads, Louisiana",79th New York Volunteers,,4,,,,,"List of casualties, File F, No. 30, S. G. O"
,,Oct. 13th,"Beckwith Farm, (12 miles from Bird’s Point, ) Missouri",Lieutenant Tuft’s detachment of cavalry,2,5,3,1,2,,"Rebellion Record, Vol, III, page 47"
,,Oct. 13th,"West Glaze, Missouri",10th and 6th Missouri Cavalry and Fremont Battalion Cavalry,,,,62,,36,"Official Report of Major C. Wright. Also known as Shanghai, Henrytown, and Monday’s Hollow"
,,Oct. 15th,"Big River Bridge, near Potosi, Missouri",Forty men of 38th Illinois Volunteers,1,6,33,5,4,,"List of casualties, File A. 556, S. G. O"
,,Oct. 15th,"Linn Creek, Missouri",6th Missouri Cavalry and 13th Illinois Volunteers,,,,63,40,37,Official Report of Major C. Wright
,,Oct. 16th,"Bolivar Heights, Virginia","Detachments from 28th Pennsylvania, 3d Wisconsin, and 13th Massachusetts Volunteers",4,7,2,,,4,"Official Report of Colonel J. W. Geary, 28th Pennsylvania Volunteers"
,,Oct. 16th,"Warsaw, Missouri",,,,,3,,3,"Rebellion Record, Vol, III, p. 51"
,,Oct. 19th,"Big Hurricane Creek, Missouri",18th Missouri Volunteers,2,14,,14,,8,"List of casualties, File A, 556, S. G. O"
,,Oct. 21st,"Ball’s Bluff, Virginia","15th and 20th Massachusetts, 40th New York, and 71st Pennsylvania Volunteers, and Battery B, Rhode Island Artillery",223,226,445,36,264,2,"Vide lists of casualties, S. G. O. Appendix, Part I, Medical and Surgical History of the War, pages 10 to 13. Official Report of Major General McClellan. Acting Brig. General E. D. Baker was killed. Also known as Edward’s Ferry, Harrison’s Island, and Leesburg"
,,Oct. 21st,"Wild Cat, Kentucky","33d Indiana, 14th and 17th Ohio Volunteers, 1st Kentucky Cavalry, and 1st Ohio Battery",4,21,,30,200,,"List of casualties, File A, No. 556 and 588, S. G. O"
,,Oct. 17th to 21st,"Fredericktown, Missouri","Company A, 1st Missouri Light Artillery, 11th Missouri and 17th, 20th, 21st, 33d, and 38th Illinois Volunteers, 1st Indiana Cavalry, and 8th Wisconsin Volunteers",6,60,,,200,,"Official Report of Colonel J. B. Plummer, 11th Missouri Volunteers, commanding. Including the skirmish at Ironton"
,,Oct. 22d,"Buffalo Mills, Missouri",,,,,17,,90,Tribune Almanac
,,Oct. 23d,"West Liberty, Kentucky","2d Ohio Volunteers, 1st and Loughlin’s Ohio Cavalry, and 1st Ohio Artillery",,2,,10,5,34,"Ohio in the War, Vol. 2, pages 23 and 747"
,,Oct. 23d,"Hodgeville, Kentucky",Detachment of the 6th Indiana Volunteers,,3,,3,5,,Unofficial statement
,,Oct. 25th,"Springfield, Missouri","Fremont Body-guard, White’s Prairie Scouts",18,37,30,106,,27,Official Reports of Majors Zagonyi and Wright. Also known as Zagonyi’s Charge
,,Oct. 26th,"Romney, West Virginia","4th and 8th Ohio and 7th West Virginia Volunteers, 2d Regiment of Potomac Home Brigade, Maryland Volunteers, and Ringgold (Pa. ) Cavalry Battalion",2,15,,20,15,500,"Official Report of Brigadier General B. F. Kelley, commanding. Also known as Mill Creek Mills"
,,Oct. 26th,"Saratoga, Kentucky",9th Illinois Volunteers,,4,,8,17,36,"Report of Adjutant General of Illinois, Vol. I, p. 344"
39,,Oct. 27th,"Plattsburg, Clinton Col, Missouri",,,,,8,,12,Unofficial
,,Oct. 27th,"Spring Hill, Missouri",One Company of 7th Missouri Cavalry,,5,,,,,"Volunteer Officers’ Official Register, Part VII"
,,Oct. 29th,"Woodbury and Morgantown, Kentucky",17th Kentucky Volunteers and 3d Kentucky Cavalry,,1,,,,2,Unofficial statements
,,Nov. 1st,"Renick, Randolph Co., Kentucky",,,14,,,,,"Rebellion Record, Vol. III, page 268"
,,Nov. 6th,"Little Santa Fe, Missouri","4th Missouri and 5th Kansas Cavalry, and Kowald’s Missouri Battery",2,6,120,,,,Official
,,Nov. 7th,"Belmont, Missouri","22d, 27th, 30th, and 31st Illinois and 7th Iowa Volunteers , Battery B, 1st Illinois Artillery, and two companies  of the 15th Illinois Cavalry",90,173,235,261,427,278,"List of casualties, File A, No. 150. S. G. O. Official Reports of Brigadier General U. S. Grant, U. S. A., commanding, and Major General L. Polk. C. S. A. Appendix, Part I, Medical and Surgical History of the. War, pages 18 to 22"
,,Nov. 7th,"Burning of the Royal Yacht, Galveston Harbor, Texas",Crew of the U. S. Frigate Santee,1,8,,,3,,"Official Report of Lieutenant J. E. Jewett, U. S. N"
,,Nov. 7th,"Port Royal, South Carolina",U. S. Navy,8,23,,11,39,7,"Official Report of Commodore S. F. Dupont, U. S. N., commanding. Appendix to Part I, Medical and Surgical History of the War, page 231"
,,Nov. 9th,"Piketown, Pike County, Kentucky","2d, 21st, 33d, 59th Ohio and 16th Kentucky Volunteers. Commanded by Colonel J. W, Sill, 33d Ohio",4,26,,18,45,200,"Ohio in the War, Vol. 2, page 23. Also known as Try Mountain"
,,Nov. 10th,"Taylor’s Ford, Wautauga River, Tenn.",Loyal citizens,9,7,,,,,Confederate newspapers
,,Nov. 10th,"Guyandotte, West Virginia",Recruits of the 9th West Virginia Volunteers,7,20,45,3,10,12,"List of casualties, File A, 155, S. G. O. Official Report of Adjutant J. C. Wheeler, 9th West Virginia Volunteers"
,,Nov. 10th,"Gauley Bridge, West Virginia",11th Ohio Volunteers and 2d Kentucky Cavalry,2,16,5,,,,"List of casualties, File F, No. 20, S. G. O"
,,Nov. 11th,"Little Blue, Missouri",7th Kansas Cavalry (110 men),7,9,,,,,"List of casualties, File A, No. 556, S. G. O"
,,Nov. 12th,"Occoquan Creek, Virginia",Reconnoitering party of the 1st New York Cavalry —,3,1,3,,,,Official
,,Nov. 17th,"Cypress Bridge, Kentucky",,10,15,,,,25,Unofficial
,,Nov. 18th,"Palmyra, Missouri",Detachment of the 3d Missouri Cavalry,,,,3,5,16,"Rebellion Record, Vol. III, page 82"
,,Nov. 19th,"Wirt Court-house, West Virginia","Detachment of 1st West Virginia Cavalry, commanded by Captain I. Hill",,,,1,5,,"Rebellion Record, Vol. III, page 83"
,,Nov. 23d,"Pensacola, Fort Pickens, Florida","Batteries A. F, L, 1st U. S. Artillery, C, IL and K, 2d U. S. Artillery; Companies C and E, 3d U S. Infantry, and Companies G and I, 6th N. Y. Volunteers",5,7,,5,23,,"Official Report of Colonel Harvey Brown, U. S. A., commanding"
,,Nov. 24th,"Lancaster, Missouri",21st Missouri Volunteers,1,2,,13,,,Official
,,Nov. 24th,"Johnstown, Missouri",Missouri Home Guard,,,,,,,
,,Nov. 26th,"Independence. Little Blue, Missouri",7th Kansas Cavalry,1,1,,,,,Official
,,Nov. 26th,"Drainesville, Virginia",1st Pennsylvania Cavalry,,,,2,,4,"Official Report of Colonel G. D. Bayard, 1st Pennsylvania Cavalry, commanding"
,,Nov. 26th,"Hunter’s Mills, Virginia",3d Pennsylvania Cavalry,,,29,,,,Unofficial
,,Nov. 29th,"Black Walnut Creek, near Sedalia, Mo.",1st Missouri Cavalry,,15,,17,,5,"Report of Adjutant General of Missouri, 1865, p. 309"
,,Dec. 1st,"Morristown, Tennessee",,,,,,,,Unofficial
,,Dec. 3d,"Salem, Dent County, Missouri","Detachment of the 10thMissoori Cavalry, Major Bowen commanding",6,10,1,16,20 ,10,Newspaper statements
,,Dec. 3d,"Vienna, Virginia",Detachment of the 3d Pennsylvania Cavalry,,,45,1,,,
,,Dec. 4th,"Anandale, Virginia",3d Now Jersey Volunteers (30 men),1,,,7,,3,Newspaper statement
,,Dec. 4th,"Dunksburg, near Sedalia, Missouri",Citizens,,,,7,10,,"New York Herald, December 7"
40,,Dec. 9th,"Bushy Creek, Arkansas",Union Indians under Opothleyholo,,,,,,,Confederate newspapers
,,Dec. 11th,"Dam No. 4, Potomac, Virginia",12th Indiana Volunteers,,,70,,,,"Indiana Adjutant General’s Report, Vol. II, p. 91"
,,Dec. 11th,"Bertrand, Missouri",2d Illinois Cavalry,1,,,,,16,Newspaper statements
,,Dec. 12th,"Bagdad Shelby County, Kentucky",6th Kentucky Volunteers,,1,,,,,Newspaper statements
,,Dec. 13th,"Camp Alleghany, West Virginia, Buffalo Mountain","9th and 13th Indiana, 25th and 32d Ohio, and 2d West Virginia Volunteers. Commanded by Brigadier General R. H. Milroy",20,107,10,20,96,30,"List of casualties, File A, No. 34, S. G. O. Also known as Buffalo Mountain"
,,Dec. 17th,"Rowlett’s Station, Kentucky","32d Indiana Volunteers, commanded by Lieut. Colonel H. von Treba",10,22,8,33,50,,"Official Reports of Brigadier General Buell. U. S. A., and Major General Hardee, C. S. A. Report of Adjutant General of Indiana, Vol. I. p. 321. Also known as Mumfordsville and Woodsonville"
,,Dec. 18th,"Milford, Missouri","27th Ohio and 8th, 18th, 22d, and 24th Indiana Volunteers, 31st Kansas, and 1st Iowa Cavalry, a detachment of U. S. Cavalry and two Batteries of 1st Missouri Light Artillery",2,8,,,,1300,"Official Report of Major General H. W. Halleck, commanding. Also known as Shawnee Mound and Blackwater"
,,Dec. 20th,"Drainesville, Virginia","1st, 6th 9th. 10th, and 12th Regiments Pennsylvania Reserve Corps, 1st Pennsylvania Artillery, and 1st Pennsylvania Cavalry",7,61,3,43,143,44,"List of casualties in the Confederate Army, File A, No. 589. Official Reports of Brigadier General E. O. C. Ord, commanding"
,,Dec. 21st,"Hudson, Missouri","Detachment of 7th Missouri Cavalry, commanded by Major Nickel",,5,,10,,17,"Rebellion Record, Vol. III, page 117"
,,Dec. 22d,"Newmarket Bridge, near Newport News, Virginia",20th New York Volunteers,,6,,10,20,,Newspaper statements
,,Dec. 24th,"Wadesburg, Missouri",Missouri Home Guards,,2,,,,,Official
,,Dec. 28th,"Sacramento, Kentucky","3d Kentucky Cavalry, commanded by Colonel Eli H. Murray",1,8,,30,,,"Report of Adjutant General of Kentucky, Vol. I, page 80"
,,Dec. 28th,"Mount Zion, Missouri",Birges Sharp-shooters and 3d Missouri Cavalry,5,63,4,25,150,35,"Official Report of Brigadier General B. M. Prentiss, commanding. Casualty List, S. G. O"
,1862,Jan. 1st,"Port Royal, Coosaw River, South Carolina","3d Michigan, 47th, 48th, 79th New York, and 50th Pennsylvania Volunteers",1,10,2,,,,"List of casualties, File F, No. 201, S. G. O. Appendix, Part I, Medical and Surgical History of the War, page 233"
,,Jan. 3d,"Hunnewell, Missouri",Four companies of the 10th Missouri Cavalry,,,,,,8,Unofficial
,,Jan. 4th,"Huntersville, Virginia",Detachments of the 25th Ohio Volunteers and 2d West Virginia and 1st Indiana Cavalry,,1,,1,7,,"Report of Adjutant General of Indiana, Vol. I, p. 278"
,,Jan. 4th,"Bath, Virginia",39th Illinois Volunteers,2,2,16,,30,,"Report of Adjutant General of Illinois, Vol. I. p. 623. Also includes skirmishes at Great Cacapou Bridge, Alpine Station, and Hancock"
,,Jan. 4th,"Calhoun, Green County, Missouri",,,10,,,30,,Unofficial
,,Jan. 7th,"Blue Gap, near Romney, Virginia","4th, 5th, 7th, and 8th Ohio and 14th Indiana Volunteers and 1st West Virginia Cavalry. Commanded by Col. S. H. Dunning, 5th Ohio",,,,15,,20,"Ohio in the War, Vol. 2, page 42"
41,,Jan. 7th,"Jennies Creek, Kentucky",Four companies of the 1st West Virginia Cavalry,3,1,10,6,14,7,"Official Report of Colonel J. A. Garfield, commanding. Also known ns Paintsville"
