battle_id,name,other_name,start_date,end_date,location,order,siege,battle,meeting,surrender,siege,capture,page
"Mobile (April 02, 1865)",Mobile,,1865-04-02,1865-04-09,"Seefestung in Alabama, an der gleichnamigen Bai.",,1,0,0,0,1,1,542
"Murfreesborough (December 31, 1862)",Murfreesborough,Stone's River,1862-12-31,1863-01-03,"Stadt in Tennessee, am Stone's River, 50 km südöstl. von Nashville.",2,0,1,0,0,0,0,529
"Nashville (December 15, 1864)",Nashville,,1864-12-15,1864-12-16,"Haupstadt von Tennessee, 930 km. südwestl. von Washington.",3,0,1,0,0,0,0,540
"New-Hope-Church (May 28, 1864)",New Hope Church,Dallas,1864-05-28,1864-05-28,"Ort in Georgia, 50 km nordwestl. von Atlanta.",4,0,0,1,0,0,0,536
"Pamunkey (May 22, 1864)",Pamunkey,,1864-05-22,1864-05-26,"Fluß in Virginia, mündet in die York-Bay.",4,0,0,1,0,0,0,536
"Pea Ridge (March 07, 1862)",Pea Ridge,Elkhorn-Tavern,1862-03-07,1862-03-08,"Berg in nordwestlichen Teil des Staates Arkansas, in der Nähe von Bentonville",3,0,0,1,0,0,0,523
"Peach-Tree-Creek (July 20, 1864)",Peach-Tree-Creek,Atlanta,1864-07-20,1864-07-20,"Linker Nebenfluß des Chattaboochee in Georgia, mündet 11 km nordwestl. von Atlanta.",4,0,1,0,0,0,0,538
"Perryville (October 08, 1862)",Perryville,,1862-10-08,1862-10-08,"Kleine Stadt in Kentucky, 100 km südöstl. von Louisville",4,0,1,0,0,0,0,528
"Petersburg (June 09, 1864)",Petersburg,,1864-06-09,1865-04-03,"Stadt in Virginia, 40 km. südlich von Richmond.",,1,0,0,0,1,1,541
"Prairie-Grove (December 07, 1862)",Prairie-Grove,,1862-12-07,1862-12-07,"Dorf in nordwestlichen Arkansas, 20 km südwestlich von Fayetteville",6,0,0,1,0,0,0,528
"Resaca (May 14, 1864)",Resaca,,1864-05-14,1864-05-14,"Stadt in Georgia, 100 km nordwestl. von Atlanta",4,0,1,0,0,0,0,536
"Richmond (August 30, 1862)",Richmond,Rogersville,1862-08-30,1862-08-30,"Stadt in Kentucky, 20 km südöstl. von Lexington.",4,0,0,1,0,0,0,526
"Ringgold (November 23, 1863)",Ringgold,Chattanooga;Missionary Ridge,1863-11-23,1863-11-25,"Stadt in nördlichen Georgia, knapp an der Grenze von Tennessee, 30 km südöstl. von Chattanooga in Tennessee.",3,0,1,0,0,0,0,533
"Seven Pines (May 31, 1862)",Seven Pines,Fair-Oaks;White-Oak-Swamp,1862-05-31,1862-06-01,"Sümpfe an beiden Ufern des Chickahominyflusses in Virginia, 10 km östl. von Richmond.",3,0,1,0,0,0,0,524
"Shiloh (April 06, 1862)",Shiloh,Pittsburg-Landing,1862-04-06,1862-04-07,"Dorf in Südwesten des Staates Tennessee, gegenüber der Stadt Pittsburg-Landing, am Tennessee-Flusse, 150 km. östl. von Memphis.",2,0,1,0,0,0,0,523
"Spotsylvania-Court-House (May 08, 1864)",Spotsylvania-Court-House,,1864-05-08,1864-05-12,"Ort in Virginia, 70 km nördl. von Richmond",2,0,1,0,0,0,0,535
"Vicksburg (May 19, 1863)",Vicksburg,,1863-05-19,1863-07-04,"Stadt im Staate Mississippi, am linken Ufer des Mississippistromes.",,1,0,0,0,1,1,532
"Wilderness (May 05, 1864)",Wilderness,,1864-05-05,1864-05-07,"Waldige, zerklüftete, ""die Wildnis"" benannte Gegend im Staate Virginia, am rechten Ufer des Rapidan, 100 km nordwestl. von Richmond.",2,0,1,0,0,0,0,535
"Williamsburg (May 05, 1862)",Williamsburg,,1862-05-05,1862-05-05,"Stadt in Virginia, 65 km südöstl. von Richmond",5,0,1,0,0,0,0,524
"Wilson's Creek (August 10, 1861)",Wilson's Creek,Oak-Hills,1861-08-10,1861-08-10,"Fluß in den Vereinigten Staaten van Nordamerika, Missouri, in der Nähe von Springfield, 320 km südwestl. von St. Louis).",6,0,0,1,0,0,0,522
"Winchester (June 15, 1863)",Winchester,,1863-06-15,1863-06-15,"Stadt in Virginia, 100 km westl. von Washington.",4,0,0,1,0,0,0,531
"Winchester (September 19, 1864)",Winchester,Opequon,1864-09-19,1864-09-19,"Stadt in Virginia, in der Nähe des Opequon, rechtem Nebenfluß des Potomac.",4,0,1,0,0,0,0,539
