battle,belligerent,description,commanders,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
AR002,CS,Saint Chares batteries,[],,,,,,,,,,,,,,,,,,,,
AR002,US,"Flotilla of the Mississippi River Squadron (USS Mound City, USS Saint Louis, USS Lexington, USS Conestoga, two transports, and a tug) and the 46th Indiana Infantry","[{'fullname': 'Augustus H. Kilty', 'last_name': 'Kilty', 'first_name': 'Augustus', 'middle_name': 'H.', 'rank': 'Commander', 'suffix': ''}, {'fullname': 'Graham N. Fitch', 'last_name': 'Fitch', 'first_name': 'Graham', 'middle_name': 'N.', 'rank': 'Colonel', 'suffix': ''}]",,1,,,,,,,,,,,,,,,,,4,
AR003,CS,"12th, 16th and 17th Texas Cavalry Regiments","[{'fullname': 'Albert Rust', 'last_name': 'Rust', 'first_name': 'Albert', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'William H. Parsons', 'last_name': 'Parsons', 'first_name': 'William', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,3,,,,,,,,,,,,
AR003,US,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest","[{'fullname': 'Charles Hovey', 'last_name': 'Hovey', 'first_name': 'Charles', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'William P. Benton', 'last_name': 'Benton', 'first_name': 'William', 'middle_name': 'P.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
AR004,CS,Marmaduke’s Cavalry Division,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
AR004,US,"1st Division, Army of the Frontier","[{'fullname': 'James G. Blunt', 'last_name': 'Blunt', 'first_name': 'James', 'middle_name': 'G.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
AR005,CS,Army of the Trans-Mississippi,"[{'fullname': 'Thomas C. Hindman', 'last_name': 'Hindman', 'first_name': 'Thomas', 'middle_name': 'C.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
AR005,US,Army of the Frontier,"[{'fullname': 'James G. Blunt', 'last_name': 'Blunt', 'first_name': 'James', 'middle_name': 'G.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Francis J. Herron', 'last_name': 'Herron', 'first_name': 'Francis', 'middle_name': 'J.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
AR006,CS,Fort Hindman garrison,"[{'fullname': 'Thomas J. Churchill', 'last_name': 'Churchill', 'first_name': 'Thomas', 'middle_name': 'J.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
AR006,US,Army of the Mississippi and a flotilla of the Mississippi River Squadron,"[{'fullname': 'John A. McClernand', 'last_name': 'McClernand', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'David D. Porter', 'last_name': 'Porter', 'first_name': 'David', 'middle_name': 'D.', 'rank': 'Acting Rear Admiral', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
AR007,CS,Marmaduke’s Cavalry Division,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
AR007,US,"Second Division, Army of the Frontier","[{'fullname': 'William Vandever', 'last_name': 'Vandever', 'first_name': 'William', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
AR008,CS,District of Arkansas,"[{'fullname': 'Theophilus H. Holmes', 'last_name': 'Holmes', 'first_name': 'Theophilus', 'middle_name': 'H.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
AR008,US,"District of Eastern Arkansas, Timberclad gunboat USS Tyler","[{'fullname': 'Benjamin M. Prentiss', 'last_name': 'Prentiss', 'first_name': 'Benjamin', 'middle_name': 'M.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'James M. Prichett', 'last_name': 'Prichett', 'first_name': 'James', 'middle_name': 'M.', 'rank': 'Lieutenant Commander', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,1,
AR009,CS,Cabell's Brigade,"[{'fullname': 'William L. Cabell', 'last_name': 'Cabell', 'first_name': 'William', 'middle_name': 'L.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
AR009,US,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers","[{'fullname': 'William F. Cloud', 'last_name': 'Cloud', 'first_name': 'William', 'middle_name': 'F.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,2,,,,,,,,,,
AR010,CS,District of Arkansas,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
AR010,US,"Cavalry Division, Army of Arkansas","[{'fullname': 'Frederick Steele', 'last_name': 'Steele', 'first_name': 'Frederick', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John W. Davidson', 'last_name': 'Davidson', 'first_name': 'John', 'middle_name': 'W.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
AR011,CS,Marmaduke’s Cavalry Division,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
AR011,US,"5th Kansas Cavalry, 1st Indiana Cavalry, one company of Missouri State Militia, and 300 freedmen volunteers","[{'fullname': 'Powell Clayton', 'last_name': 'Clayton', 'first_name': 'Powell', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,1,,,,,2,,,,,,,,,,300,,
AR012,CS,Marmaduke’s Cavalry Division,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
AR012,US,"Third Division, VII Corps, Department of Arkansas","[{'fullname': 'Frederick Steele', 'last_name': 'Steele', 'first_name': 'Frederick', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
AR013,CS,District of Arkansas,"[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
AR013,US,"Third Division, VII Corps, Department of Arkansas","[{'fullname': 'Frederick Steele', 'last_name': 'Steele', 'first_name': 'Frederick', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
AR014,CS,Marmaduke's Cavalry Division and Maxey's Cavalry Division,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Samuel Bell Maxey', 'last_name': 'Maxey', 'first_name': 'Samuel', 'middle_name': 'Bell', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
AR014,US,"1st Kansas Volunteer Infantry (Colored) and the 18th Iowa Infantry; 6th Kansas, 2nd Kansas, and 14th Kansas Cavalry regiments; and two guns of the 2nd Indiana Battery","[{'fullname': 'James M. Williams', 'last_name': 'Williams', 'first_name': 'James', 'middle_name': 'M.', 'rank': 'Colonel', 'suffix': ''}]",,2,,,,,,3,,,,,,,,,,,,2
AR015,CS,Shelby’s Division and Cabell’s Division,"[{'fullname': 'James B. Fagan', 'last_name': 'Fagan', 'first_name': 'James', 'middle_name': 'B.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
AR015,US,"43rd Indiana, 36th Iowa, and 77th Ohio Infantry; 1st Indiana, 7th Missouri, and 1st Iowa Cavalry; two sections of the 2nd Missouri Light Artillery","[{'fullname': 'Francis Drake', 'last_name': 'Drake', 'first_name': 'Francis', 'middle_name': '', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,2,,,,,,3,,,,,,,,2,,,,
AR016,CS,"Walker's Division, the Arkansas Division, the Missouri Division, and Marmaduke's Cavalry Division, Department of Arkansas","[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,3,,,,,1,,,,,,,,,,
AR016,US,"Third Division and elements of Thayer’s Frontier Division, Army of Arkansas","[{'fullname': 'Frederick Salomon', 'last_name': 'Salomon', 'first_name': 'Frederick', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
AR017,CS,Greene's Brigade,"[{'fullname': 'Colton Greene', 'last_name': 'Greene', 'first_name': 'Colton', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
AR017,US,"1st and 3rd Brigades, 1st Division, XVI Corps","[{'fullname': 'Joseph Mower', 'last_name': 'Mower', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
AR018,CS,Marmaduke’s Cavalry Division and Dobbins’ Arkansas Regiment,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,1,,,,,,,,1,,,,,,,,,,
AR018,US,"1st Cavalry Division, Department of the Missouri, Arkansas Expedition","[{'fullname': 'John W. Davidson', 'last_name': 'Davidson', 'first_name': 'John', 'middle_name': 'W.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
CO001,I,500 Cheyenne and a few Arapaho (mostly women and children),[],500,,,,,,,,,,,,,,,,,,,
CO001,US,Chivington’s Brigade (approximately 700 men),"[{'fullname': 'John Chivington', 'last_name': 'Chivington', 'first_name': 'John', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",700,,,,,,,,,,,,,,,,,,,
DC001,CS,"Morgan’s Cavalry Division, 1,800","[{'fullname': 'Jubal A. Early', 'last_name': 'Early', 'first_name': 'Jubal', 'middle_name': 'A.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
DC001,US,"The District of Columbia Legion, 400","[{'fullname': 'Horatio G. Wright', 'last_name': 'Wright', 'first_name': 'Horatio', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Alexander McDowell McCook', 'last_name': 'McCook', 'first_name': 'Alexander', 'middle_name': 'McDowell', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL001,CS,Santa Rosa Island Expedition,"[{'fullname': 'Richard H. Anderson', 'last_name': 'Anderson', 'first_name': 'Richard', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL001,US,Fort Pickens Garrison,"[{'fullname': 'Harvey Brown', 'last_name': 'Brown', 'first_name': 'Harvey', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL002,CS,Osceola Rangers,"[{'fullname': 'John W. Pearson', 'last_name': 'Pearson', 'first_name': 'John', 'middle_name': 'W.', 'rank': 'Captain', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL002,US,One Federal gunboat,"[{'fullname': 'A.J. Drake', 'last_name': 'Drake', 'first_name': 'A.J.', 'middle_name': '', 'rank': 'Cpatain (Naval)', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,1,
FL003,CS,Saint John's Bluff Garrison,"[{'fullname': 'Charles F. Hopkins', 'last_name': 'Hopkins', 'first_name': 'Charles', 'middle_name': 'F.', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL003,US,"Saint John's River Expedition, Saint John's River Flotilla, South Atlantic Blockading Squadron","[{'fullname': 'John M. Brannan', 'last_name': 'Brannan', 'first_name': 'John', 'middle_name': 'M.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Charles Steedman', 'last_name': 'Steedman', 'first_name': 'Charles', 'middle_name': '', 'rank': 'Commander', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL004,CS,"Company A, 2nd Florida Infantry Battalion, Florida Volunteers","[{'fullname': 'John Westcott', 'last_name': 'Westcott', 'first_name': 'John', 'middle_name': '', 'rank': 'Captain', 'suffix': ''}]",,,1,,,,,,,,,,,,,,,,,
FL004,US,USS Tahoma and the USS Adela; Navy landing party,"[{'fullname': 'A. A. Semmes', 'last_name': 'Semmes', 'first_name': 'A.', 'middle_name': 'A.', 'rank': 'Lieutenant Commander', 'suffix': ''}, {'fullname': 'Thomas R. Harris', 'last_name': 'Harris', 'first_name': 'Thomas', 'middle_name': 'R.', 'rank': 'Acting Master', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,2,
FL005,CS,District of East Florida,"[{'fullname': 'Joseph Finegan', 'last_name': 'Finegan', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Alfred H. Colquitt', 'last_name': 'Colquitt', 'first_name': 'Alfred', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL005,US,District of Florida,"[{'fullname': 'Truman Seymour', 'last_name': 'Seymour', 'first_name': 'Truman', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
FL006,CS,"Kilcrease’s Artillery, Dunham’s Battery, Abell's Battery, 5th Florida Cavalry, 1st Florida Militia, Barwick’s Company Reserves, Hodges’ Company Reserves, Company A Milton Light Artillery, Companies A, B, and F - Florida Reserves","[{'fullname': 'William Miller', 'last_name': 'Miller', 'first_name': 'William', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,5,,,,,1,,,,,2,1,,,,,,
FL006,US,"2nd and 99th United States Colored Troops, battalion of the 2nd Florida U.S. Cavalry, two U.S. Navy boat howitzers","[{'fullname': 'John Newton', 'last_name': 'Newton', 'first_name': 'John', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,2,,,,,,0.5,,,,,,,,,,,2,
GA001,CS,Fort Pulaski garrison,"[{'fullname': 'Charles H. Olmstead', 'last_name': 'Olmstead', 'first_name': 'Charles', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA001,US,Port Royal Expeditionary Force,"[{'fullname': 'David Hunter', 'last_name': 'Hunter', 'first_name': 'David', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Quincy A. Gillmore', 'last_name': 'Gillmore', 'first_name': 'Quincy', 'middle_name': 'A.', 'rank': 'Captain', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA002,CS,Fort McAllister garrison,"[{'fullname': 'George A. Anderson', 'last_name': 'Anderson', 'first_name': 'George', 'middle_name': 'A.', 'rank': 'Captain', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA002,US,Flotilla from the South Atlantic Blockading Squadron,"[{'fullname': 'Samuel F. Du Pont', 'last_name': 'Pont', 'first_name': 'Samuel', 'middle_name': 'F. Du', 'rank': 'Rear Admiral', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA003,CS,"Hindman's Division, Army of Tennessee","[{'fullname': 'Thomas C. Hindman', 'last_name': 'Hindman', 'first_name': 'Thomas', 'middle_name': 'C.', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
GA003,US,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland","[{'fullname': 'James Negley', 'last_name': 'Negley', 'first_name': 'James', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
GA004,CS,Army of Tennessee,"[{'fullname': 'Braxton Bragg', 'last_name': 'Bragg', 'first_name': 'Braxton', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA004,US,Army of the Cumberland,"[{'fullname': 'William S. Rosecrans', 'last_name': 'Rosecrans', 'first_name': 'William', 'middle_name': 'S.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'George H. Thomas', 'last_name': 'Thomas', 'first_name': 'George', 'middle_name': 'H.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA005,CS,"Cleburne's Division, Hardee's Corps, Army of Tennessee","[{'fullname': 'Patrick R. Cleburne', 'last_name': 'Cleburne', 'first_name': 'Patrick', 'middle_name': 'R.', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
GA005,US,"XX Army Corps, Army of the Cumberland","[{'fullname': 'Joseph Hooker', 'last_name': 'Hooker', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
GA006,CS,Army of Tennessee,"[{'fullname': 'Joseph E. Johnston', 'last_name': 'Johnston', 'first_name': 'Joseph', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA006,US,Army of the Cumberland,"[{'fullname': 'George H. Thomas', 'last_name': 'Thomas', 'first_name': 'George', 'middle_name': 'H.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA007,CS,Army of Tennessee,"[{'fullname': 'Joseph E. Johnston', 'last_name': 'Johnston', 'first_name': 'Joseph', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA007,US,Military Division of the Mississippi,"[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA008,CS,Army of Tennessee,"[{'fullname': 'Joseph E. Johnston', 'last_name': 'Johnston', 'first_name': 'Joseph', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA008,US,Military Division of the Mississippi,"[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA009,CS,"Cheatham’s Division, Hardee’s Corps, Army of Tennessee","[{'fullname': 'Benjamin F. Cheatham', 'last_name': 'Cheatham', 'first_name': 'Benjamin', 'middle_name': 'F.', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
GA009,US,"2nd and 3rd Divisions, IV Corps, Army of the Cumberland","[{'fullname': 'Oliver O. Howard', 'last_name': 'Howard', 'first_name': 'Oliver', 'middle_name': 'O.', 'rank': 'Major General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
GA010,CS,Army of Tennessee,"[{'fullname': 'Joseph E. Johnston', 'last_name': 'Johnston', 'first_name': 'Joseph', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA010,US,"XX Corps, Army of the Cumberland","[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Joseph Hooker', 'last_name': 'Hooker', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
GA011,CS,"Hardee's Corps, Army of Tennessee","[{'fullname': 'William J. Hardee', 'last_name': 'Hardee', 'first_name': 'William', 'middle_name': 'J.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
GA011,US,,"[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John A. Logan', 'last_name': 'Logan', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA012,CS,"Cleburne's Division and Kelly's Cavalry Division, Army of Tennessee","[{'fullname': 'Patrick R. Cleburne', 'last_name': 'Cleburne', 'first_name': 'Patrick', 'middle_name': 'R.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John H. Kelly', 'last_name': 'Kelly', 'first_name': 'John', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,1,,,,,,,,,,
GA012,US,"IV Corps, Military Division of the Mississippi","[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Oliver O. Howard', 'last_name': 'Howard', 'first_name': 'Oliver', 'middle_name': 'O.', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
GA013,CS,Army of Tennessee,"[{'fullname': 'Joseph E. Johnston', 'last_name': 'Johnston', 'first_name': 'Joseph', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA013,US,Military Division of the Mississippi,"[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA014,CS,"Hood's Corps, Army of Tennessee","[{'fullname': 'John Bell Hood', 'last_name': 'Hood', 'first_name': 'John', 'middle_name': 'Bell', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
