battle,combatant,corps,strength,description,killed,divisions,brigades,ironclads,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,gunboats,casualties,strength_min,companies,missing,armies,artillery_batteries,wounded,captured,wooden_ships,rams,regiments,ships,strength_max
NC010,CS,,,Hill's Division,,1,,,,,,,,,,,,,,,,,,,,
KY011,US,,,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, and the Kentucky Harrison County Home Guards",,,,,,,,,,1092,,,,,,,,,,3,,
KY011,CS,,,Morgan's Division,,1,,,,,,,,1000,,,,,,,,,,,,
MS015,US,,,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops (14,000)",,,,,,,,,,648,14000,,,,,,,,,,,14000
MS015,CS,,,"Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,1300,,,,,,,,,,,,
VA080,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA080,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
NC014,US,1,,"Expeditionary Corps, Army of the James",,,,,,,,,,,,,,,,,,,,,,
NC014,CS,,,Hoke's Division and Fort Fisher Garrison,,1,,,,,,,,,,,,,,,,,,,,
LA020,US,,,"Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron",,1,,,,,,,,7,,,,,,,,,,,,
LA020,CS,,,Green's Cavalry Division,,,,,,,,1,,200,,,,,,,,,,,,
VA082,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA082,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
KY001,US,,,Home Guard (approx. 300 men),,,,,,,,,,15,300,,,,,,,,,,,300
KY001,CS,,,detachment of approx. 800 men under command of Col. Joel A. Battle,,,,,,,,,,5,800,,,,,,,,,,,800
TN025,US,,,Department of the Ohio,,,,,,,,,,100,,,,,,,,,,,,
TN025,CS,,,Confederate Forces in East Tennessee,,,,,,,,,,780,,,,,,,,,,,,
TN006,US,,,Detachments from four Union units (approx. 900),,,,,,,,,,890,900,,,,,,,,,,,900
TN006,CS,,,"equivalent of a brigade (about five cavalry units; approx. 1,400)",,,,,,,,,,150,1400,,,,,,,,,,,1400
WV001,US,,,,,,1,,,,,,,4,,,,,,,,,,,,
WV001,CS,,,,,,1,,,,,,,26,,,,,,,,,,,,
MO001,US,,,"Combined force of Missouri troops and Regular U.S. Army (approx. 1,700)",,,,,,,,,,31,1700,,,,,,,,,,,1700
MO001,CS,,,State Guard Troops,,,,,,,,,,50,,,,,,,,,,,,
LA017,US,,,"3rd Division, XVI Army Corps",,1,,,,,,,,48,,,,,,,,,,,,
LA017,CS,,,Fort DeRussy Garrison (approx. 350 men),,,,,,,,,,269,350,,,,,,,,,,,350
VA055,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA055,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
VA099,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA099,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
LA023,US,,,"1st and 3rd Divisions, XVI Army Corps",,2,,,,,,,,360,,,,,,,,,,,,
LA023,CS,,,District of Western Louisiana,,,,,,,,,,500,,,,,,,,,,,,
MS010,US,1,,"XIII Army Corps, Army of the Tennessee",,,,,,,,,,273,,,,,,,,,,,,
MS010,CS,,,Bridgehead Defense Force (three brigades),,,3,,,,,,,2000,,,,,,,,,,,,
KS003,US,,,Provisional cavalry division,,,,,,,,1,,100,,,,,,,,,,,,
KS003,CS,,,cavalry division,,,,,,,,1,,1200,,,,,,,,,,,,
GA027,US,,,"3rd Cavalry Division, Military Division of the Mississippi",,,,,,,,1,,190,,,,,,,,,,,,
GA027,CS,,,"Cavalry Command, Army of Tennessee",,,,,,,,,,250,,,,,,,,,,,,
AL005,US,2,,XVI and XIII Corps,,,,,,,,,,657,,,,,,,,,,,,
AL005,CS,,,Spanish Fort Garrison,,,,,,,,,,744,,,,,,,,,,,,
VA018,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA018,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
MO011,US,,,"Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450)",,,,,,,,,,11,450,,,,,,,,,,,450
MO011,CS,,,unknown,,,,,,,,,,80,,,,,,,,,,,,
AL002,US,,,9th Illinois Mounted Infantry,,,,,,,,,,20,,,,,,,,,,1,,
AL002,CS,,,1st Alabama Cavalry,,,,,1,,,,,30,,,,,,,,,,,,
VA105,US,,,"11,500",,,,,,,,,,664,11500,,,,,,,,,,,11500
VA105,CS,,,"5,800",,,,,,,,,,287,5800,,,,,,,,,,,5800
MO020,US,,,Garrison plus some reinforcements,,,,,,,,,,12,,,,,,,,,,,,
MO020,CS,,,cavalry division,,,,,,,,1,,325,,,,,,,,,,,,
VA064,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA064,CS,,,,,,,,,,,,,,,,,,,,,,,,,
AR016,US,,,Department of Arkansas,,,,,,,,,,521,,,,,,,,,,,,
AR016,CS,,,Army of Arkansas,,,,,,,,,,443,,,,,,,,,,,,
AR005,US,,,Army of the Frontier,,,,,,,,,,1251,,,,1,,,,,,,,
AR005,CS,1,,"I Corps, Trans-Mississippi Army",,,,,,,,,,1317,,,,,,,,,,,,
VA001,US,,,Two gunboats,,,,,,,,,2,,,,,,,,,,,,,
VA001,CS,,,battery garrison,,,,,,,,,,,,,,,,,,,,,,
GA007,US,,,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,,,
GA007,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
MS009,US,3,,Army of the Tennessee (three corps),,,,,,,,,,2457,,,,,,,,,,,,
MS009,CS,,,Department of Mississippi and East Louisiana,,,,,,,,,,4300,,,,,,,,,,,,
VA074,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA074,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
VA114,US,,,"5,000",,,,,,,,,,422,5000,,,,,,,,,,,5000
VA114,CS,,,"8,000",,,,,,,,,,397,8000,,,,,,,,,,,8000
VA049,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA049,CS,,,,,,,,,,,,,,,,,,,,,,,,,
VA011,US,,,,,1,,,,,,,,194,,,,,,,,,,,,
VA011,CS,,,,,1,,,,,,,,48,,,,,,,,,,,,
ID001,I,,,Shoshoni Indians,,,,,,,,,,384,,,,,,,,,,,,
ID001,US,,,District of Utah,,,,,,,,,,67,,,,,,,,,,,,
NC006,US,,,,,,,,,,,,,,,,,,,,,,,1,,
NC006,CS,,,,,,,,,,,,,,,,,,,,,,,1,,
LA015,US,,,"Godfrey Weitzel's and Cuvier Grover's Divisions, XIX Army Corps",,2,,,,,,,,430,,,,,,,,,,,,
LA015,CS,,,two understrength Confederate brigades,,,1,,,,,,,33,,,,,,,,,,,,
AR014,US,,,"Brigade (1,100 men)",,,,,,,,,,301,1100,,,,,,,,,,,1100
AR014,CS,,,Marmaduke's and Maxey's Divisions,,2,,,,,,,,114,,,,,,,,,,,,
VA111,US,,,"8,500",,,,,,,,,,875,8500,,,,,,,,,,,8500
VA111,CS,,,"5,500",,,,,,,,,,1500,5500,,,,,,,,,,,5500
VA041,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA041,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
VA004,US,,,,,,1,,,,,,,83,,,,,,,,,,,,
VA004,CS,,,,,,1,,,,,,,68,,,,,,,,,,,,
VA124,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA124,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
AR006,US,,,Army of the Mississippi,,,,,,,,,,1047,,,,1,,,,,,,,
AR006,CS,,,Fort Hindman Garrison,,,,,,,,,,5500,,,,,,,,,,,,
VA066,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA066,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
VA070,US,,,IX Corps,,,,,,,,,,,,,,,,,,,,,,
VA070,CS,,,elements of the Army of Northern Virginia,,,,,,,,,,,,,,,,,,,,,,
NC003,US,,,"Expeditionary Force and Foster's, Reno's, and Parke's Brigades",,,,,,,,,,,,,,,,,,,,,,
NC003,CS,,,"5 regiments, militia",,,,,,,,,,,,,,,,,,,,5,,
VA020B,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA020B,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
VA102,US,,,"6,500",,,,,,,,,,,6500,,,,,,,,,,,6500
VA102,CS,,,"6,000",,,,,,,,,,,6000,,,,,,,,,,,6000
OK005,US,,,Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,,,,,,,,,,,,3,,,,,,,,,,
OK005,CS,,,"Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment",,,,,,,,,,,,,,,,,,,,1,,
NC011,US,,,6 regiments and artillery units,,,,,,,,,,,,,,,,,,,,6,,
NC011,CS,,,Hill's Division,,1,,,,,,,,,,,,,,,,,,,,
MS005,US,1,,"XV Army Corps, Department of the Tennessee",,,,,,,,,,,,,,,,,,,,,,
MS005,CS,,,Hébert's Brigade,,,1,,,,,,,,,,,,,,,,,,,
VA048,US,,,"100,000",,,,,,,,,,18000,100000,,,,,,,,,,,100000
VA048,CS,,,"52,000",,,,,,,,,,12000,52000,,,,,,,,,,,52000
KY002,US,,,"Camp Wildcat Garrison and Schoepf's Brigade (approx. 7,000 men)",,,,,,,,,,25,7000,,,,,,,,,,,7000
KY002,CS,,,Zollicoffer's Brigade,,,1,,,,,,,53,,,,,,,,,,,,
LA005,US,,,"Reserve brigade, Department of the Gulf",,,1,,,,,,,86,,,,,,,,,,,,
LA005,CS,,,"18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, Detachment of Cavalry, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery and 2nd Louisiana Cavalry Regiment (approx. 1,392 men)",,,,,,,,,,229,1392,,,,,,,,,,,1392
LA021,US,,,Red River Expeditionary Force (Banks's Department of the Gulf),,,,,,,,,,200,,,,,,,,,,,,
LA021,CS,,,Bee's Cavalry Division,,,,,,,,1,,400,,,,,,,,,,,,
VA013,US,,,,,1,,,,,,,,397,,,,,,,,,,,,
VA013,CS,,,,,1,,,,,,,,930,,,,,,,,,,,,
TN008,US,,,"39th Brigade, XIV Army Corps (Army of the Cumberland)",,,1,,,,,,,1855,,,,,,,,,,,,
TN008,CS,,,expeditionary force (two brigades),,,2,,,,,,,149,,,,,,,,,,,,
AR004,US,,,Department of Missouri,,,,,,,,,,40,,,,,,,,,,,,
AR004,CS,,,two cavalry brigades,,,,,,2,,,,435,,,,,,,,,,,,
VA093,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA093,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
VA115,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA115,CS,,,,,,,,,,,,,,,,,,,,,,,,,
KS001,US,,,No Union troops,,,,,,,,,,164,,,,,,,,,,,,
KS001,CS,,,Quantrill's Raiders and other guerrillas,,,,,,,,,,40,,,,,,,,,,,,
VA003,US,,,"3,500",,,,,,,,,,79,3500,,,,,,,,,,,3500
VA003,CS,,,"1,200",,,,,,,,,,8,1200,,,,,,,,,,,1200
GA008,US,,,Military Division of the Mississippi,,,,,,,,,,2747,,,,,,,,,,,,
GA008,CS,,,Army of Tennessee,,,,,,,,,,2800,,,,1,,,,,,,,
SC011,US,,,"5,000",,,,,,,,,,92,5000,,,,,,,,,,,5000
SC011,CS,,,"1,200",,,,,,,,,,170,1200,,,,,,,,,,,1200
WV015,US,,,,,1,,,,,,,,,,,,,,,,,,,,
WV015,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
GA004,US,,,The Army of the Cumberland,,,,,,,,,,16170,,,,1,,,,,,,,
GA004,CS,,,Army of Tennessee,,,,,,,,,,18454,,,,1,,,,,,,,
GA012,US,1,,IV Corps,,,,,,,,,,1600,,,,,,,,,,,,
GA012,CS,,,Cleburne's Division and Brig. Gen. John H. Kelly's Brigade,,1,1,,,,,,,500,,,,,,,,,,,,
VA036,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA036,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
MO015,US,,,Detachments from fourteen companies of cavalry and a section of artillery (800 men),,,,,,,,,,160,800,,,,,,,,,,,800
MO015,CS,,,unknown,,,,,,,,,,110,,,,,,,,,,,,
MO012,US,,,Army of the Mississippi,,,,,,,,,,,,,,1,,,,,,,,
MO012,CS,,,Garrisons of New Madrid and Island No. 10,,,,,,,,,,,,,,,,,,,,,,
VA119,US,,,"39,240",,,,,,,,,,5020,39240,,,,,,,,,,,39240
VA119,CS,,,"15,200",,,,,,,,,,3610,15200,,,,,,,,,,,15200
SC008,US,,,Morris Island Batteries,,,,,,,,,,,,,,,,,,,,,,
SC008,CS,,,Fort Sumter Garrison,,,,,,,,,,,,,,,,,,,,,,
MO025,US,,,Provisional cavalry division,,,,,,,,1,,,,,,,,,,,,,,
MO025,CS,,,"Fagan and Marmaduke's Divisions, Army of Missouri",,2,,,,,,,,140,,,,,,,,,,,,
VA008,US,,,4 warships,,,,,,,,,,409,,,,,,,,,,,4,
VA008,CS,,,1 warship,,,,,,,,,,24,,,,,,,,,,,1,
VA046,US,,,"101,895",,,,,,,,,,18400,101895,,,,,,,,,,,101895
VA046,CS,,,"61,025",,,,,,,,,,11400,61025,,,,,,,,,,,61025
MO028,US,,,"Two brigades, provisional cavalry division",,,2,,,,,1,,,,,,,,,,,,,,
MO028,CS,,,Army of Missouri,,,,,,,,,,,,,,1,,,,,,,,
MD003,US,,,,,,,,,,,,,,,,,1,,,,,,,,
MD003,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
VA040,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA040,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
TN028,US,1,,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps",,,,,,,1,,,150,,,,,,,,,,,,
TN028,CS,,,Department of East Tennessee,,,,,,,,,,,,,,,,,,,,,,
VA021,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA021,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
TN013,US,,,Infantry brigade,,,1,,,,,,,1906,,,,,,,,,,,,
TN013,CS,1,,I Cavalry Corps,,,,,,,,,,300,,,,,,,,,,,,
VA015,US,1,,,,,,,,,,,,516,,,,,,,,,,,,
VA015,CS,1,,,,,,,,,,,,541,,,,,,,,,,,,
TN034,US,1.5,,XXIII Army Corps and elements of IV Army Corps,,,,,,,,,,,,,,,,,,,,,,
TN034,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
SC002,US,,,"6,600",,,,,,,,,,685,6600,,,,,,,,,,,6600
SC002,CS,,,"2,000",,,,,,,,,,204,2000,,,,,,,,,,,2000
TN002,US,,,Army in the Field,,,,,,,,,,2331,,,,1,,,,,,,,
TN002,CS,,,Fort Donelson Garrison,,,,,,,,,,15067,,,,,,,,,,,,
VA086,US,,,"45,247",,,,,,,,,,,45247,,,,,,,,,,,45247
VA086,CS,,,"20,030",,,,,,,,,,,20030,,,,,,,,,,,20030
VA043,US,1,,,,,,,,,,,,,,,,,,,1600,,,,,
VA043,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
MO010,US,,,Detachments of the 3rd Missouri Cavalry Regiment (approx. 240) and Birge's Sharpshooters (approx. 200),,,,,,,,,,72,440,,,,,,,,,,,440
MO010,CS,,,unknown,,,,,,,,,,210,,,,,,,,,,,,
OK002,I,,,Creek and Seminole,,,,,,,,,,,,,,,,,,,,,,
OK002,CS,,,Indian Department,,,,,,,,,,,,,,,,,,,,,,
LA008,US,,,"4th Division, XIX Army Corps, Army of the Gulf",,1,,,,,,,,,,,,,,,,,,,,
LA008,CS,,,District of Western Louisiana,,,,,,,,,,,,,,,,,,,,,,
PA001,US,,,,,,1,,,,,,,,,,,,,,,,,,,
PA001,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
MO014,US,,,Garrison (approx. 300,,,,,,,,,,344,344,,,,,,,,,,,344
MO014,CS,,,700-800,,,,,,,,,,,700,,,,,,,,,,,700
VA042,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA042,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
TN026,US,,,"Cavalry Corps, Department of the Ohio",,,,,,,1,,,700,,,,,,,,,,,,
TN026,CS,,,Confederate Forces in East Tennessee,,,,,,,,,,900,,,,,,,,,,,,
VA047,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA047,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
AR012,US,,,"3rd Division, VII Corps and 2 cavalry brigades",,1,,,,2,,,,38,,,,,,,,,,,,
AR012,CS,,,3 cavalry brigades,,,,,,3,,,,54,,,,,,,,,,,,
TN035,US,1,,IV and XXIII Army Corps,,,,,,,,,,,,,,,,,,,,,,
TN035,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
LA019,US,,,Red River Expeditionary Force (Banks's Department of the Gulf),,,,,,,,,,1100,,,,,,,,,,,,
LA019,CS,,,District of West Louisiana,,,,,,,,,,2000,,,,,,,,,,,,
MO005,US,,,Kansas Cavalry Brigade (approx. 600),,,,,,,,,,14,600,,,,,,,,,,,600
MO005,CS,,,column of Missouri State Guard,,,,,,,,,,,,,,,,,,,,,,
MS001,US,,,"2nd Division and cavalry division, Army of the Mississippi (approx. 4,000-4,500)",,,,,,,,,,782,4000,,,,,,,,,,,4000
MS001,CS,,3200,"1st Division, Army of the West (approx. 3,200)",,,,,,,,,,700,,,,,,,,,,,,
VA096,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA096,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
VA068,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA068,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
AR013,US,,,Department of Arkansas,,,,,,,,,,,,,,,,,,,,,,
AR013,CS,,,District of Arkansas,,,,,,,,,,,,,,,,,,,,,,
TN030,US,,,Detachments from three units (approx. 600),,,,,,,,,,574,600,,,,,,,,,,,600
TN030,CS,,,"Brig. Gen. James R. Chalmers's 1st Division, Forrest's Cavalry Corps",,1,,,,,,,,80,,,,,,,,,,,,
MO016,US,,,"Two brigades, Army of Kansas (1,500)",,,,,,,,,,245,1500,,,,,,,,,,,1500
MO016,CS,,,Cooper's Division,,1,,,,,,,,100,,,,,,,,,,,,
LA012,US,,,838 men from eight regiments,,,,,,,,,,48,838,,,,,,,,,,,838
LA012,CS,,,2nd Cavalry Brigade,,,,,,1,,,,219,,,,,,,,,,,,
AR010,US,,,"Cavalry Division, Army of Arkansas, Arkansas Expedition",,,,,,,,2,,72,,,,,,,,,,,,
AR010,CS,,,District of Arkansas,,,,,,,,,,,,,,,,,,,,,,
MS016,US,,,Department of the Mississippi,,,,,,,,,,,,,,,,,,,,,,
MS016,CS,,,Department No. 2,,,,,,,,,,,,,,,,,,,,,,
GA003,US,,,Two divisions,,2,,,,,,,,,,,,,,,,,,,,
GA003,CS,,,unknown,,,,,,,,,,,,,,,,,,,,,,
AR011,US,,,Pine Bluff Garrison (two under-strength cavalry regiments and a company of state militia),,,,,2,,,,,56,,1,,,,,,,,,,
AR011,CS,,,division,,1,,,,,,,,,,,,,,,,,,,,
OK007,US,,,District of the Frontier,,,,,,,,,,79,,,,,,,,,,,,
OK007,CS,,,"1st Brigade, Native American troops",,,1,,,,,,,637,,,,,,,,,,,,
WV002,US,,,,,,1,,,,,,,23,,,,,,,,,,,,
WV002,CS,,,,,,1,,,,,,,91,,,,,,,,,,,,
VA079,US,,,,,,,,,,,,,1758,,,,,,,,,,,,
VA079,CS,,,,,,,,,,,,,1300,,,,,,,,,,,,
MD002,US,1,,,,,,,,,,,,,,,,,,,,,,,,
MD002,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
GA013,US,,,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,,,
GA013,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
NC018,US,,,"Kilpatrick's Cavalry Division (1,850)",,,,,,,,,,183,1850,,,,,,,,,,,1850
NC018,CS,,,"Wheeler's and Hampton's Cavalry Division (3,000)",,,,,,,,,,86,3000,,,,,,,,,,,3000
FL004,US,,,"Tahoma, Adela, and landing force",,,,,,,,,2,,,,,,,,,,,,,
FL004,CS,,,"Company A, 2nd Battalion, Florida Volunteers",,,,,,,,,,,,1,,,,,,,,,,
GA015,US,,,Military Division of the Mississippi,,,,,,,,,,3000,,,,,,,,,,,,
GA015,CS,,,Army of Tennessee,,,,,,,,,,1000,,,,1,,,,,,,,
MS007,US,1,,"XVII Army Corps, Army of the Tennessee",,,,,,,,,,442,,,,,,,,,,,,
MS007,CS,,,Gregg's Task Force (equivalent to a brigade),,,1,,,,,,,569,,,,,,,,,,,,
NC017,US,,,"12,000",,,,,,,,,,1101,12000,,,,,,,,,,,12000
NC017,CS,,,"8,500",,,,,,,,,,1500,8500,,,,,,,,,,,8500
VA032,US,,,"97,382",,,,,,,,,,14000,97382,,,,,,,,,,,97382
VA032,CS,,,"57,352",,,,,,,,,,10000,57352,,,,,,,,,,,57352
AR007,US,,,"2nd Division, Army of the Frontier and force under command of Brig. Gen. John McNeil",,1,,,,,,,,,,,,,,,,,,,,
AR007,CS,,,Marmaduke's Cavalry Division,,,,,,,,1,,,,,,,,,,,,,,
WV012,US,,,,,,1,,,,,,,,,,,,,,,,,,,
WV012,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
SC001,US,,,80,,,,,,,,,,0,80,,,,,,,,,,,80
SC001,CS,,,500,,,,,,,,,,0,500,,,,,,,,,,,500
MO002,US,,,Brigade,,,1,,,,,,,44,,,,,,,,,,,,
MO002,CS,,,Missouri State Guard divisions,,1,,,,,,,,200,,,,,,,,,,,,
NC019,US,,,"XX Corps and XIV Corps (25,992)",,,,,,,,,,,25992,,,,,,,,,,,25992
NC019,CS,,,"Hardee's Corps (5,400)",,,,,,,,,,,5400,,,,,,,,,,,5400
VA101,US,,,"8,500",,,,,,,,,,590,8500,,,,,,,,,,,8500
VA101,CS,,,"3,800",,,,,,,,,,718,3800,,,,,,,,,,,3800
NC005,US,,,21st Massachusetts and 51st Pennsylvania,,,,,,,,,,,,,,,,,,,,2,,
NC005,CS,,,3rd Georgia,,,,,,,,,,,,,,,,,,,,1,,
VA104,US,,,"6,500",,,,,,,,,,2019,6500,,,,,,,,,,,6500
VA104,CS,,,"16,000",,,,,,,,,,400,16000,,,,,,,,,,,16000
VA010,US,,,"40,768",,,,,,,,,,2283,40768,,,,,,,,,,,40768
VA010,CS,,,"31,823",,,,,,,,,,1560,31823,,,,,,,,,,,31823
VA123,US,,,"2,500",,,,,,,,,,,2500,,,,,,,,,,,2500
VA123,CS,,,"1,600",,,,,,,,,,,1600,,,,,,,,,,,1600
VA118,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA118,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
NC016,US,,,"Cox's, Ames's, and Paine's Divisions (12,000)",,,,,,,,,,,12000,,,,,,,,,,,12000
NC016,CS,,,"Hoke's Division, Hagood's Brigade (6,600)",,,,,,,,,,,6600,,,,,,,,,,,6600
VA028,US,,,"100,007",,,,,,,,,,13353,100007,,,,,,,,,,,100007
VA028,CS,,,"72,497",,,,,,,,,,4576,72497,,,,,,,,,,,72497
LA006,US,,,"Banks's Department of the Gulf, XIX Army Corps",,,,,,,,,,234,,,,,,,,,,,,
LA006,CS,,,District of Western Louisiana,,,,,,,,,,450,,,,,,,,,,,,
MO023,US,,,"1st Division, Army of the Border",,1,,,,,,,,,,,,,,,,,,,,
MO023,CS,,,Army of Missouri,,,,,,,,,,,,,,1,,,,,,,,
MO022,US,,,Garrison (800),,,,,,,,,,400,800,,,,,,,,,,,800
MO022,CS,,,unknown,,,,,,,,,,50,,,,,,,,,,,,
SC010,US,,,"5,000",,,,,,,,,,746,5000,,,,,,,,,,,5000
SC010,CS,,,"1,400",,,,,,,,,,50,1400,,,,,,,,,,,1400
VA045,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA045,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
TN015,US,,,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400)",,,,,,,,,,305,400,,,,,,,,,,,400
TN015,CS,,,Forrest's Division,,1,,,,,,,,6,,,,,,,,,,,,
TX006,US,,,4 gunboats and 7 transports loaded with troops,,,,,,,,,,230,,,,,,,,,,,11,
TX006,CS,,,Texan Davis Guards (44 men),,,,,,,,,,,44,,,,,,,,,,,44
MD007,US,1,,,,,,,,,,,,,,,,,,,,,,,,
