seq_no,battle_name,assault_fortified,assault_outcome,union_result,confed_result,win_side,state,theater,start_date,end_date,commander_union,commander_confederate
18,PERRYVILLE,,,Victory,Defeat,UNION,KY,MW,10/8/62,10/8/62,Don_Carlos_Buell,Braxton_Bragg
19,"PRAIRIE GROVE, ARK",,,Victory,Defeat,UNION,AR,TM,12/7/62,12/7/62,Francis_J._Herron James_G._Blunt,Thomas_C._Hindman
20,FREDERICKSBURG,U,Failure,,Victory,CONFEDERATE,VA,ME,12/13/62,12/13/62,Ambrose_Burnside,Robert_E._Lee
21,CHICKASAW BAYOU AND BLUFF,U,Failure,,Victory,CONFEDERATE,MS,MW,12/27/62,12/29/62,William_Tecumseh_Sherman,John_C._Pemberton
22,STONE'S RIVER,,,Victory,Defeat,UNION,TN,MW,12/31/62,1/1/63,William_Rosecrans,Braxton_Bragg
23,ARKANSAS POST,U,Success,Victory,Defeat,UNION,AR,TM,1/11/63,1/11/63,John_Alexander_McClernand David_Dixon_Porter,Thomas_James_Churchill
24,CHANCELLORSVILLE & FREDERICKSBURG,,,Defeat,Victory,CONFEDERATE,VA,ME,5/1/63,5/4/63,Joseph_Hooker,Robert_E._Lee Stonewall_Jackson
25,CHAMPION'S HILL,,,Victory,,UNION,MS,MW,5/16/63,5/16/63,Ulysses_S._Grant,John_C._Pemberton
26,VICKSBURG,U,Failure,,,CONFEDERATE,MS,MW,5/22/63,5/22/63,Ulysses_S._Grant,John_C._Pemberton
27,PORT HUDSON I,U,Failure,,Victory,CONFEDERATE,LA,LS,5/27/63,5/27/63,Nathaniel_P._Banks,Franklin_Gardner
28,PORT HUDSON II,U,Failure,,Victory,CONFEDERATE,LA,LS,6/14/63,6/14/63,Nathaniel_P._Banks,Franklin_Gardner
29,GETTYSBURG,,,Victory,Defeat,UNION,PA,ME,7/1/63,7/3/63,George_Meade,Robert_E._Lee
30,FORT WAGNER,U,Failure,,Victory,CONFEDERATE,SC,LS,7/18/63,7/18/63,Quincy_Adams_Gillmore,P._G._T._Beauregard
31,CHICKAMAUGA,,,Defeat,Victory,CONFEDERATE,GA,MW,9/19/63,9/20/63,William_Rosecrans George_Henry_Thomas,Braxton_Bragg James_Longstreet
32,CHATTANOOGA,U,Success,Victory,,UNION,TN,MW,11/23/63,11/25/63,Ulysses_S._Grant,Braxton_Bragg
33,MINE RUN,,,,Victory,CONFEDERATE,VA,ME,11/27/63,12/1/63,George_Meade,Robert_E._Lee
34,"OLUSTEE, FLA",,,Defeat,Victory,CONFEDERATE,FL,LS,2/20/64,2/20/64,Truman_Seymour,Joseph_Finnegan_(Brigadier_general)
35,PLEASANT HILL,,,Defeat,Victory,CONFEDERATE,LA,TM,4/9/64,4/9/64,Nathaniel_P._Banks,Richard_Taylor_(general)
36,ATLANTA CAMPAIGN,,,,,UNION,GA,MW,5/5/64,5/28/64,William_Tecumseh_Sherman,Joseph_E._Johnston
37,WILDERNESS,,,,,CONFEDERATE,VA,ME,5/5/64,5/7/64,Ulysses_S._Grant George_Meade,Robert_E._Lee
38,SPOTTSYLVANIA I,U,Failure,,,CONFEDERATE,VA,ME,5/10/64,5/10/64,Ulysses_S._Grant George_Meade,Robert_E._Lee
39,SPOTTSYLVANIA II,U,Partial Success,,,CONFEDERATE,VA,ME,5/12/64,5/12/64,Ulysses_S._Grant George_Meade,Robert_E._Lee
40,DREWRY'S BLUFF,,,Defeat,Victory,CONFEDERATE,VA,ME,5/12/64,5/16/64,Benjamin_Butler_(politician),P._G._T._Beauregard
41,COLD HARBOR,U,Failure,,,CONFEDERATE,VA,ME,6/1/64,6/3/64,Ulysses_S._Grant George_Meade,Robert_E._Lee
42,PETERSBURG,U,Partial Success,,,CONFEDERATE,VA,ME,6/15/64,6/18/64,Ulysses_S._Grant George_Meade,P._G._T._Beauregard
43,KENESAW MOUNTAIN,U,Failure,,Victory,CONFEDERATE,GA,MW,6/27/64,6/27/64,William_Tecumseh_Sherman,Joseph_E._Johnston
44,"TUPELO, MISS",,,,Defeat,UNION,MS,MW,7/13/64,7/15/64,Andrew_Jackson_Smith,Stephen_D._Lee Nathan_Bedford_Forrest
45,PEACH TREE CREEK,C,Failure,Victory,,UNION,GA,MW,7/20/64,7/20/64,George_Henry_Thomas,John_Bell_Hood
46,ATLANTA,C,Failure,Victory,,UNION,GA,MW,7/22/64,7/22/64,William_Tecumseh_Sherman,John_Bell_Hood
47,EZRA CHURCH (ATLANTA),C,Failure,Victory,,UNION,GA,MW,7/28/64,7/28/64,Oliver_O._Howard,John_Bell_Hood
48,THE MINE,U,Failure,,,CONFEDERATE,VA,ME,7/30/64,7/30/64,Ambrose_Burnside,Robert_E._Lee
49,DEEP BOTTOM,U,Partial Success,,,CONFEDERATE,VA,ME,8/14/64,8/19/64,Winfield_Scott_Hancock,Robert_E._Lee Charles_W._Field
50,WELDON RAILROAD,,,Victory,Defeat,UNION,VA,ME,8/18/64,8/21/64,Gouverneur_K._Warren,A._P._Hill
51,"JONESBORO, GA I",C,Failure,Victory,,UNION,GA,MW,8/31/64,8/31/64,William_Tecumseh_Sherman,William_J._Hardee
52,"JONESBORO, GA II",U,Success,,,UNION,GA,MW,9/1/64,9/1/64,William_Tecumseh_Sherman,William_J._Hardee
53,WINCHESTER (OPEQUAN),U,Success,Victory,Rout,UNION,GA,MW,9/19/64,9/19/64,Philip_Sheridan,Jubal_Early
54,CHAFFIN'S FARM AND FORTS HARRISON AND GILMER,U,Partial Success,,,UNION,VA,ME,9/29/64,9/30/64,Benjamin_Butler_(politician),Robert_E._Lee Richard_S._Ewell
55,CEDAR CREEK,,,Victory,Rout,UNION,VA,ME,10/19/64,10/19/64,Philip_Sheridan,Jubal_Early
56,BOYDTON PLANK ROAD,,,,,CONFEDERATE,VA,ME,10/27/64,10/28/64,Winfield_Scott_Hancock,Henry_Heth
57,FRANKLIN,C,Failure,Retired,,UNION,TN,MW,11/30/64,11/30/64,John_Schofield,John_Bell_Hood
58,NASHVILLE,U,Success,,Rout,UNION,TN,MW,12/15/64,12/16/64,George_Henry_Thomas,John_Bell_Hood
59,HATCHER'S RUN,,,,,CONFEDERATE,VA,ME,2/5/65,2/7/65,Andrew_A._Humphreys Gouverneur_K._Warren,John_Brown_Gordon
60,BENTONVILLE,C,Failure,Victory,,UNION,NC,MW,3/19/65,3/19/65,William_Tecumseh_Sherman,Joseph_E._Johnston
61,APPOMATOX CAMPAIGN,,,,,UNION,VA,ME,3/29/65,4/9/65,Ulysses_S._Grant,Robert_E._Lee
62,DINWIDDIE COURTHOUSE AND WHITE OAK ROAD,,,Victory,,UNION,VA,ME,3/29/65,3/31/65,Philip_Sheridan,George_Pickett Fitzhugh_Lee
63,PETERSBURG II,U,Success,,Rout,UNION,VA,ME,4/2/65,4/2/65,Ulysses_S._Grant,Robert_E._Lee
