battle,belligerent,description,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
AR018,CS,Marmaduke’s Cavalry Division and Dobbins’ Arkansas Regiment,,1,,,,,,,,1,,,,,,,,,,
AR018,US,"1st Cavalry Division, Department of the Missouri, Arkansas Expedition",,,,,,,,,,1,,,,,,,,,,
CO001,I,500 Cheyenne and a few Arapaho (mostly women and children),500,,,,,,,,,,,,,,,,,,,
CO001,US,Chivington’s Brigade (approximately 700 men),700,,,,,,,,,,,,,,,,,,,
DC001,CS,"Morgan’s Cavalry Division, 1,800",,,,,,,,,,,,,,,,,,,,
DC001,US,"The District of Columbia Legion, 400",,,,,,,,,,,,,,,,,,,,
FL001,CS,Santa Rosa Island Expedition,,,,,,,,,,,,,,,,,,,,
FL001,US,Fort Pickens Garrison,,,,,,,,,,,,,,,,,,,,
FL002,CS,Osceola Rangers,,,,,,,,,,,,,,,,,,,,
FL002,US,One Federal gunboat,,,,,,,,,,,,,,,,,,,1,
FL003,CS,Saint John's Bluff Garrison,,,,,,,,,,,,,,,,,,,,
FL003,US,"Saint John's River Expedition, Saint John's River Flotilla, South Atlantic Blockading Squadron",,,,,,,,,,,,,,,,,,,,
FL004,CS,"Company A, 2nd Florida Infantry Battalion, Florida Volunteers",,,1,,,,,,,,,,,,,,,,,
FL004,US,USS Tahoma and the USS Adela; Navy landing party,,,,,,,,,,,,,,,,,,,2,
FL005,CS,District of East Florida,,,,,,,,,,,,,,,,,,,,
FL005,US,District of Florida,,,,,,,,,,,,,,,,,,,,
FL006,CS,"Kilcrease’s Artillery, Dunham’s Battery, Abell's Battery, 5th Florida Cavalry, 1st Florida Militia, Barwick’s Company Reserves, Hodges’ Company Reserves, Company A Milton Light Artillery, Companies A, B, and F - Florida Reserves",,,5,,,,,1,,,,,2,1,,,,,,
FL006,US,"2nd and 99th United States Colored Troops, battalion of the 2nd Florida U.S. Cavalry, two U.S. Navy boat howitzers",,2,,,,,,0.5,,,,,,,,,,,2,
GA001,CS,Fort Pulaski garrison,,,,,,,,,,,,,,,,,,,,
GA001,US,Port Royal Expeditionary Force,,,,,,,,,,,,,,,,,,,,
GA002,CS,Fort McAllister garrison,,,,,,,,,,,,,,,,,,,,
GA002,US,Flotilla from the South Atlantic Blockading Squadron,,,,,,,,,,,,,,,,,,,,
GA003,CS,"Hindman's Division, Army of Tennessee",,,,,1,,,,,,,,,,,,,,,
GA003,US,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland",,,,,2,,,,,,,,,,,,,,,
GA004,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA004,US,Army of the Cumberland,,,,,,,1,,,,,,,,,,,,,
GA005,CS,"Cleburne's Division, Hardee's Corps, Army of Tennessee",,,,,1,,,,,,,,,,,,,,,
GA005,US,"XX Army Corps, Army of the Cumberland",,,,,,1,,,,,,,,,,,,,,
GA006,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA006,US,Army of the Cumberland,,,,,,,1,,,,,,,,,,,,,
GA007,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA007,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
GA008,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA008,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
GA009,CS,"Cheatham’s Division, Hardee’s Corps, Army of Tennessee",,,,,1,,,,,,,,,,,,,,,
GA009,US,"2nd and 3rd Divisions, IV Corps, Army of the Cumberland",,,,,2,,,,,,,,,,,,,,,
GA010,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA010,US,"XX Corps, Army of the Cumberland",,,,,,1,,,,,,,,,,,,,,
GA011,CS,"Hardee's Corps, Army of Tennessee",,,,,,1,,,,,,,,,,,,,,
GA011,US,,,,,,,,,,,,,,,,,,,,,
GA012,CS,"Cleburne's Division and Kelly's Cavalry Division, Army of Tennessee",,,,,1,,,,,1,,,,,,,,,,
GA012,US,"IV Corps, Military Division of the Mississippi",,,,,,1,,,,,,,,,,,,,,
GA013,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA013,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
GA014,CS,"Hood's Corps, Army of Tennessee",,,,,,1,,,,,,,,,,,,,,
GA014,US,"XX and XXIII Army Corps, Military Division of the Mississippi",,,,,,,,,,,,,,,,,,,,
GA015,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA015,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
GA016,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA016,US,"IV and XIV Corps, Army of the Cumberland",,,,,,2,,,,,,,,,,,,,,
GA017,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
GA017,US,"Army of the Tennessee, Military Division of the Mississippi",,,,,,,1,,,,,,,,,,,,,
GA018,CS,"Lee and Stewart's Corps, Army of Tennessee",,,,,,2,,,,,,,,,,,,,,
GA018,US,Army of the Tennessee,,,,,,,2,,,,,,,,,,,,,
GA019,CS,"Bate's Division, Lee's Corps, Army of Tennessee",,,,,1,,,,,,,,,,,,,,,
GA019,US,"XXIII and XIV Corps, Military Division of the Mississippi",,,,,,2,,,,,,,,,,,,,,
GA020,CS,Wheeler's Cavalry Corps,,,,,,1,,,,,,,,,,,,,,
GA020,US,District of Etowah,,,,,,,,,,,,,,,,,,,,
GA021,CS,"Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee",,,,1,,,,,,1,,,,,,,,,,
GA021,US,"2nd and 3rd Cavalry Divisions, Army of the Cumberland",,,,,,,,,,2,,,,,,,,,,
GA022,CS,"Hardee and Lee's Corps, Army of Tennessee",,,,,,2,,,,,,,,,,,,,,
GA022,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
GA023,CS,"French's Division, Stewart's Corps, Army of Tennessee",,,,,1,,,,,,,,,,,,,,,
GA023,US,"Detachments of the 3rd and 4th Divisions, XV Corps, Army of the Tennessee",,,,,2,,,,,,,,,,,,,,,
GA025,CS,"Wheeler's Cavalry Corps, Department of South Carolina Georgia and Florida; and the 1st Division Georgia Militia",,1,,,,,,,,,1,,,,,,,,,
GA025,US,"2nd Brigade, 1st Division, XV Army Corps",,,,1,,,,,,,,,,,,,,,,
GA026,CS,"Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida",,,,,,,,,,,1,,,,,,,,,
GA026,US,"3rd Cavalry Division, Military Division of Mississippi",,,,,1,,,,,,,,,,,,,,,
GA027,CS,"Wheeler's Cavalry Corps, Army of Tennessee",,,,,,,,,,,1,,,,,,,,,
GA027,US,"3rd Cavalry Division, Military Division of Mississippi",,,,,1,,,,,,,,,,,,,,,
GA028,CS,Fort McAllister garrison,,,,,,,,,,,,,,,,,,,,
GA028,US,"2nd Division, XV Army Corps",,,,,1,,,,,,,,,,,,,,,
ID001,I,Shoshone Indians,,,,,,,,,,,,,,,,,,,,
ID001,US,District of Utah,,,,,,,,,,,,,,,,,,,,
IN001,CS,"Morgan’s Cavalry Division, 1,800",1800,,,,,,,,,,,,,,,,,,,
IN001,US,"Indiana Legion, 400",400,,,,,,,,,,,,,,,,,,,
KS001,CS,Quantrill’s Raiders,,,,,,,,,,,,,,,,,,,,
KS001,US,"None, civilian forces only",,,,,,,,,,,,,,,,,,,,
KS002,CS,Quantrill’s Raiders,,,,,,,,,,,,,,,,,,,,
KS002,US,"Fort Baxter garrision: one company of the 2nd Kansas United States Colored Troops, portions of C Company and D Company,3rd Wisconsin Cavalry; Blunt's Escort: Company I, 3rd Wisconsin Cavalry, Company A, 14th Kansas Cavalry",,,3,,,,,,,,,2,,,,,,,,
KS003,CS,"Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River)",,,,,3,,,,,,,,,,,,,,,
KS003,US,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln)",,,,,,,,,3,,,,,,,,,,,
KS004,CS,"Fagan’s and Marmaduke’s Divisions, Army of Missouri",,,,,2,,,,,,,,,,,,,,,
KS004,US,"2nd Provisional Cavalry Division, Army of the Border",,,,,,,,,,1,,,,,,,,,,
KY001,CS,approximately 800 men commanded by Col. Joel A. Battle,800,,,,,,,,,,,,,,,,,,,
KY001,US,Home Guard (approximately 300 men),300,,,,,,,,,,,,,,,,,,,
KY002,CS,Zollicoffer’s Brigade,,,,1,,,,,,,,,,,,,,,,
KY002,US,Camp Wildcat Garrison and Schoepf’s Brigade,,,,2,,,,,,,,,,,,,,,,
KY003,CS,"9 infantry companies, 2 cavalry companies",,,9,,,,,,,,,2,,,,,,,,
KY003,US,Detachments from 12 Ohio and Kentucky units,,,,,,,,,,,,,,,,,,,,
KY004,CS,"Terry’s Texas Rangers, 7th Texas Cavalry, 1st Arkansas Battalion",,,,,,,,1,,,,,,,,,,,,
KY004,US,32nd Indiana Volunteer Infantry Regiment,,1,,,,,,,,,,,,,,,,,,
KY005,CS,Army of Southwestern Virginia,,,,,,,,,,,,,,,,,,,,
KY005,US,"18th Brigade, Army of the Ohio",,,,1,,,,,,,,,,,,,,,,
KY006,CS,"1st and 2nd Brigades, Crittenden’s Division",,,,2,,,,,,,,,,,,,,,,
KY006,US,"Brig. Gen. Albin Schoepf’s Brigade, 1st Division, Army of the Ohio",,,,1,,,,,,,,,,,,,,,,
KY007,CS,Army of Kentucky,,,,,,,1,,,,,,,,,,,,,
KY007,US,"1st and 2nd Brigades, Army of Kentucky",,,,2,,,,,,,,,,,,,,,,
KY008,CS,Army of the Mississippi,,,,,,,1,,,,,,,,,,,,,
KY008,US,Union garrison,,,,,,,,,,,,,,,,,,,,
KY009,CS,Army of the Mississippi,,,,,,,1,,,,,,,,,,,,,
KY009,US,Army of the Ohio,,,,,,,1,,,,,,,,,,,,,
KY010,CS,"3rd, 7th, 8th, and 12th Regiments, Kentucky Cavalry",,,,,,,,4,,,,,,,,,,,,
KY010,US,"Union garrison (8th Colored Heavy Artillery, 16th Kentucky Cavalry, and Companies C, H, and K, 122nd Illinois Infantry) and Gunboats: USS Peosta – Tinclad Side Wheel Steamer, USS Paw Paw (Gunboat #31) – Tinclad Center Wheel Steamer",,,3,,,,,1,,,,,,,1,,,,,
KY011,CS,Morgan’s Division,,,,,1,,,,,,,,,,,,,,,
KY011,US,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, Kentucky Harrison County Home Guards",,3,,,,,,,,,,,,,,,,,,
LA001,CS,Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet,,,,,,,,,,,,,,,,,,,,
LA001,US,West Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,,
LA002,CS,New Orleans garrison,,,,,,,,,,,,,,,,,,,,
LA002,US,West Gulf Blockading Squadron and the Department of the Gulf,,,,,,,,,,,,,,,,,,,,
LA003,CS,Breckinridge’s Division; ram CSS Arkansas,,,,,1,,,,,,,,,,,,,,1,
LA003,US,Baton Rouge Garrison; Division of Flotilla in Western Waters,,,,,,,,,,,,,,,,,,,,
LA004,CS,Partisan rangers,,,,,,,,,,,,,,,,,,,,
LA004,US,West Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,,
LA005,CS,"18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment",,4,,,,,,1,,,,,2,,,,,,,
LA005,US,"Department of the Gulf, Reserve Brigade",,,,,,,,,,,,,,,,,,,,
LA006,CS,Army of Western Louisiana,,,,,,,1,,,,,,,,,,,,,
LA006,US,"XIX Army Corps, Department of the Gulf and the USS Clifton",,,,,,1,,,,,,,,,,,,,1,
LA007,CS,Army of Western Louisiana,,,,,,,1,,,,,,,,,,,,,
LA007,US,"4th Division, XIX Corps, Department of the Gulf, and Naval Forces in Berwick Bay",,,,,1,,,,,,,,,,,,,,,
LA008,CS,Army of Western Louisiana,,,,,,,1,,,,,,,,,,,,,
LA008,US,"XIX Corps, Department of the Gulf",,,,,,1,,,,,,,,,,,,,,
LA009,CS,Elements of the Port Hudson Garrison,,,,,,,,,,,,,,,,,,,,
LA009,US,"1st Division, XIX Corps, Department of the Gulf",,,,,1,,,,,,,,,,,,,,,
LA010,CS,Port Hudson garrison,,,,,,,,,,,,,,,,,,,,
LA010,US,"XIX Corps, Department of the Gulf and the Flotilla of the West Gulf Blockading Squadron",,,,,,1,,,,,,,,,,,,,,
LA011,CS,Walker's Texas Division,,,,,1,,,,,,,,,,,,,,,
LA011,US,"The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington",,1,,1,,,,,,,,2,,,,,,,2,
LA012,CS,"2nd Cavalry Brigade, District of Western Louisiana",,,,1,,,,,,,,,,,,,,,,
LA012,US,"Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery",,5,,,,,,1,,,,,,,2,,,,,
LA013,CS,Detachments of Green's and Moutons's Texas Brigades,,,,2,,,,,,,,,,,,,,,,
LA013,US,"Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo",,,,,,,,,,,,,,,,,,,3,
LA014,CS,"12th and 19th Texas Cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron’s Louisiana Battery, and Ralston’s Mississippi Battery",,,,,,,,2.5,,,,,2,,,,,,,
LA014,US,"Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana Volunteers (African Descent), and the Mississippi Marine Brigade",,,,2,,,,,,,,,,,,,,,,
LA015,CS,Major's Brigade and Green's Texas Brigade,,,,2,,,,,,,,,,,,,,,,
LA015,US,"1st Brigade, 2nd Division and the 3rd Brigade, 3rd Division, XIX Army Corps",,,,2,,,,,,,,,,,,,,,,
LA016,CS,Confederate Forces on the Atchafalaya,,,,,,,,,,,,,,,,,,,,
LA016,US,"Detachments of the 19th Iowa, 26th Indiana, and 37th Illinois Infantry Regiments, detachments of the 6th Missouri and 2nd and 36th Illinois Cavalry Regiments, and a section of Battery E, 1st Missouri Light Artillery",,3,,,,,,3,,,,,,,,1,,,,
LA017,CS,Fort DeRussy garrison,,,,,,,,,,,,,,,,,,,,
LA017,US,"Detachments of the XVI and XVII Corps, USS Eastport",,,,,,2,,,,,,,,,,,,,1,
LA018,CS,Department of West Louisiana,,,,,,,,,,,,,,,,,,,,
LA018,US,Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,
LA019,CS,Department of West Louisiana,,,,,,,,,,,,,,,,,,,,
LA019,US,Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,
LA020,CS,Green’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
LA020,US,"Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald",,,,,1,,,,,,,,,,,,,,2,
LA021,CS,Bee's Cavalry Division,,,,,,,,,,1,,,,,,,,,,
LA021,US,Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,
LA022,CS,Department of West Louisiana,,,,,,,,,,,,,,,,,,,,
LA022,US,Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,
LA023,CS,Department of West Louisiana,,,,,,,,,,,,,,,,,,,,
LA023,US,Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,
MD001,CS,The Valley District,,,,,,,,,,,,,,,,,,,,
MD001,US,Garrison of Hancock,,,,,,,,,,,,,,,,,,,,
MD002,CS,Daniel Harvey Hill’s Division and Howell Cobb’s Brigade,,,,1,1,,,,,,,,,,,,,,,
MD002,US,"1st, 9th, and 6th Corps Army of the Potomac",,,,,,3,,,,,,,,,,,,,,
MD003,CS,"Army of Northern Virginia, 40,000",40000,,,,,,,,,,,,,,,,,,,
MD003,US,"Army of the Potomac, 60,000",60000,,,,,,,,,,,,,,,,,,,
MD004,CS,Army of Northern Virginia,,,,,,,1,,,,,,,,,,,,,
MD004,US,Army of the Potomac,,,,,,,1,,,,,,,,,,,,,
MD006,CS,Stuart’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
MD006,US,First and Third U.S. Cavalry Divisions,,,,,,,,,,2,,,,,,,,,,
MD007,CS,2nd Corps Army of Northern Virginia,,,,,,1,,,,,,,,,,,,,,
MD007,US,"Home Guards and Rickett’s (3rd) Division, VI Army Corps",,,,,,,,,,,,,,,,,,,,
MD008,CS,McCausland’s and Johnson’s Cavalry Brigades,,,,,,,,,2,,,,,,,,,,,
MD008,US,Cumberland Garrison,,,,,,,,,,,,,,,,,,,,
MN001,I,Santee Sioux,,,,,,,,,,,,,,,,,,,,
MN001,US,"Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians",,,2,,,,,,,,,,,,,,,,,
MN002,I,Santee Sioux,,,,,,,,,,,,,,,,,,,,
MN002,US,"6th Minnesota Volunteer Infantry, other volunteers",,1,,,,,,,,,,,,,,,,,,
MO001,CS,Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO001,US,"Battery F, 2nd US Artillery, Company B, 2nd US Infantry, Two Recruit Companies, 4th US Artillery, 1st and 2nd Regiments Missouri Volunteers",,2,3,,,,,,,,,,1,,,,,,,
MO002,CS,2nd Division Missouri State Guard,,,,,1,,,,,,,,,,,,,,,
MO002,US,Second Brigade Missouri Volunteers,,,,,,,,,,,,,,,,,,,,
MO003,CS,4th Division Missouri State Guard,,,,,1,,,,,,,,,,,,,,,
MO003,US,"500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery)",570,,,,,,,,,,,,,,,,,,,
MO004,CS,Western Army; Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO004,US,Army of the West,,,,,,,1,,,,,,,,,,,,,
MO005,CS,Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO005,US,Kansas Brigade,,,,1,,,,,,,,,,,,,,,,
MO006,CS,Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO006,US,Lexington Garrison,,,,,,,,,,,,,,,,,,,,
MO007,CS,Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO007,US,"17th, 20th, 21st, and 33rd Illinois Volunteer Infantry, 11th Missouri Infantry, five companies of the 1st Indiana Cavalry, Stewart’s Independent Cavalry Company, Benton Hussars Cavalry Battalion, White’s section of Battery B, 1st Illinois Light Artillery, Battery A, 1st Missouri Light Artillery",,5,,,,,,0.5,,,,6,2,,,,,,,
MO008,CS,Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO008,US,"Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company",,,,,,,,,,,,6,,,,,,,,
MO009,CS,"First Division, Western Department",,,,,1,,,,,,,,,,,,,,,
MO009,US,District of Southwest Missouri; USS Lexington and USS Tyler,,,,,,,,,,,,,,,,,,,2,
MO010,CS,"Dorsey’s Battalion, Missouri Cavalry",,,,,,,,0.5,,,,,,,,,,,,
MO010,US,Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters,,,5,,,,,,,,,5,,,,,,,,
MO011,CS,5th Regiment of the Missouri State Guard,,1,,,,,,,,,,,,,,,,,,
MO011,US,"Four companies of the 1st and three companies of the 2nd Missouri Cavalry, one company of the 4th Ohio Cavalry, and the 1st Battalion of the 1st Iowa Cavalry",,,,,,,,0.5,,,,8,,,,,,,,
MO012,CS,Garrisons of New Madrid and Island No. 10; Confederate States Navy,,,,,,,,,,,,,,,,,,,,
MO012,US,Army of the Mississippi and the Mississippi River Squadron,,,,,,,1,,,,,,,,,,,,,
MO013,CS,1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars,,,,,,,,2,,,,,,,,,,,,
MO013,US,"Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry",,1,1,,,,,8,,,,,,,,,,,,
MO014,CS,"Confederate Partisans and recruits under Hughes, Hays and Quantrill",,,,,,,,,,,,,,,,,,,,
MO014,US,Independence Garrison,,,,,,,,,,,,,,,,,,,,
MO015,CS,Confederate recruits,,,,,,,,,,,,,,,,,,,,
MO015,US,"Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia",,,,,,,,,,,,14,,,,1,,,,
MO016,CS,Cooper’s Division,,,,,1,,,,,,,,,,,,,,,
MO016,US,"Division, Army of Kansas",,,,,1,,,,,,,,,,,,,,,
MO017,CS,"3rd, 4th, and 8th Missouri Cavalry, Marmaduke’s Division, Army of the West",,,,,,,,3,,,,,,,,,,,,
MO017,US,"Company C and M, 10th Illinois Cavalry and Company H, Missouri Home Guard Militia",,,1,,,,,,,,,2,,,,,,,,
MO018,CS,"4th Division, First Corps, Trans-Mississippi Department",,,,,1,,,,,,,,,,,,,,,
