"battle","start_date_1","end_date_1","outcome_cwsac1","significance","theater","campaign","casualties_total_cwsac","casualties_US_cwsac","casualties_CS_cwsac","casualties_mipat_cwsac","core_area","study_area","cwsac_name","outcome_cwsac2","start_date_2","end_date_2","strength_CS_cwsac","strength_US_cwsac","state","casualties_mipat_ken","casualties_total_ken","casualties_US_ken","casualties_CS_ken","strength_US_liv","strength_CS_liv","casualties_US_liv","casualties_CS_liv","outcome_liv","casualties_CS_phi","casualties_US_phi","outcome_bod","casualties_CS_bod","casualties_US_bod","strength_CS_bod","strength_US_bod","casualties_CS_fox","casualties_US_fox","outcome_fox","casualties_US_cdb90","casualties_CS_cdb90","strength_US_cdb90","strength_CS_cdb90","attacker_cdb90","outcome_cdb90","naval_battle","siege","outcome_dbp","dbpedia_uri","strength_US_wiki","strength_CS_wiki","casualties_US_wiki","casualties_CS_wiki","attacker","surrender","start_date","end_date","battle_name","duration","mid_date","battle_num","strength_US","casualties_US","strength_CS","casualties_CS","battle_name_short","outcome","lat","long"
"AR003","1862-07-07","1862-07-07","Union","D","Trans-Mississippi","Operations Near Cache River, Arkansas [July 1862]",308,63,245,0,1025.92,3528.55,"Hill’s Plantation","Union","1862-07-07","1862-07-07",,,"AR",0,313,63,250,,,,,,,,,,,,,,63,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Cotton_Plant",,,63,245,"US","None","1862-07-07","1862-07-07","Battle of Cotton Plant",1,"1862-07-07",84,1683.023372097,62.6745911527,2037.9913130249,244.6979657286,"Cotton Plant","Union",35.0365,-91.293
"AR004","1862-11-28","1862-11-28","Confederate","C","Trans-Mississippi","Prairie Grove Campaign [November 1862]",475,40,435,0,3254.99,9007.96,"Cane Hill","Confederate","1862-11-28","1862-11-28",,,"AR",0,86,41,45,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Cane_Hill",5000,2000,40,45,"US","None","1862-11-28","1862-11-28","Battle of Cane Hill",1,"1862-11-28",114,4917.8920940873,39.3033825632,2043.2028743619,97.4030500479,"Cane Hill","Confederate",35.9066,-94.3998
"AR005","1862-12-07","1862-12-07","Union","B","Trans-Mississippi","Prairie Grove Campaign [November 1862]",2568,1251,1317,0,2450.54,14708.69,"Prairie Grove","Union","1862-12-07","1862-12-07",,,"AR",0,2568,1251,1317,10000,10000,981,981,"Union",1500,1148,"Union",1350,1250,11000,14000,981,1251,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Prairie_Grove",9216,11059,1251,1317,"CS","None","1862-12-07","1862-12-07","Battle of Prairie Grove",1,"1862-12-07",115,9717.0669089922,1122.9849042715,10874.2625696386,1345.3552425349,"Prairie Grove","Union",35.993056,-94.307778
"AR006","1863-01-09","1863-01-11","Union","C","Western","Operations Against Vicksburg [December 1862-January 1863]",6547,1047,5500,0,976.5,3097.18,"Arkansas Post","Union","1863-01-09","1863-01-11",,,"AR",0,6096,1092,5004,28944,4564,1032,109,"Union",5500,977,"Union",5000,1100,5000,28000,,1061,"Inconclusive",,,,,,,"TRUE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Hindman",33000,5500,1061,5500,"US","Confederate complete","1863-01-09","1863-01-11","Battle of Fort Hindman",3,"1863-01-10",127,29846.9070265799,1012.7378295688,5393.566919234,4603.6834231675,"Fort Hindman","Union",34.021,-91.349
"AR007","1863-05-01","1863-05-02","Confederate","D","Trans-Mississippi","Marmaduke's Second Expedition into Missouri [April-May 1863]",,,,7,64.6,217.07,"Chalk Bluff","Confederate","1863-05-01","1863-05-02",,,"AR",6,100,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Chalk_Bluff",,,120,210,"US","None","1863-05-01","1863-05-02","Battle of Chalk Bluff",2,"1863-05-01",148,1399.871298264,98.509747083,2355.945690077,117.5790231089,"Chalk Bluff","Confederate",36.4773,-90.1588
"AR008","1863-07-04","1863-07-04","Union","B","Western","Grant's Operations Against Vicksburg [March-July 1863]",1842,206,1636,0,2298.65,7600.04,"Helena","Union","1863-07-04","1863-07-04",,,"AR",0,1875,239,1636,,,,,,,,,,,,,1590,239,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Helena",,,206,1636,"CS","None","1863-07-04","1863-07-04","Battle of Helena",1,"1863-07-04",172,4655.9863348175,217.9531105906,8998.6511658273,1619.8321699143,"Helena","Union",34.3903,-90.8697
"AR009","1863-09-01","1863-09-01","Union","C","Trans-Mississippi","Operations to Control Indian Territory [June-September 1863]",81,16,65,0,1101.02,2538.32,"Devil’s Backbone","Union","1863-09-01","1863-09-01",,,"AR",0,31,14,17,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Devil's_Backbone",,,16,47,"CS","None","1863-09-01","1863-09-01","Battle of Devil's Backbone",1,"1863-09-01",187,707.9126382054,14.2168231196,1220.3380695152,45.7451449965,"Devil's Backbone","Union",35.1785,-94.3106
"AR010","1863-09-10","1863-09-10","Union","B","Trans-Mississippi","Advance on Little Rock [September-October 1863]",,72,,5,1700.51,9666.26,"Bayou Fourche","Union","1863-09-10","1863-09-10",,,"AR",0,136,72,64,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Bayou_Fourche",,,72,,"US","None","1863-09-10","1863-09-10","Battle of Bayou Fourche",1,"1863-09-10",191,2007.2629222517,70.880886867,1186.8748287079,76.3351365358,"Bayou Fourche","Union",34.7154,-92.129
"AR011","1863-10-25","1863-10-25","Union","D","Trans-Mississippi","Advance on Little Rock [September-October 1863]",,56,,5,108.42,7633.37,"Pine Bluff","Union","1863-10-25","1863-10-25",,,"AR",0,96,56,40,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Pine_Bluff",850,2000,56,40,"CS","None","1863-10-25","1863-10-25","Battle of Pine Bluff",1,"1863-10-25",203,819.6300509156,51.546400589,2043.5070743815,40.0735433452,"Pine Bluff","Union",34.229957,-92.003455
"AR012","1864-04-03","1864-04-04","Union","C","Trans-Mississippi","Camden Expedition [April 1864]",92,38,54,0,2120.9,9221.77,"Elkin’s Ferry","Union","1864-04-03","1864-04-04",,,"AR",0,55,26,29,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Elkin's_Ferry",8500,7500,38,54,"US","None","1864-04-03","1864-04-04","Battle of Elkin's Ferry",2,"1864-04-03",227,8066.2634326946,32.5738201143,7581.9319148165,45.3339428772,"Elkin's Ferry","Union",33.9306,-93.3572
"AR013","1864-04-09","1864-04-13","Union","B","Trans-Mississippi","Camden Expedition [April 1864]",,,,7,7671.57,17318.69,"Prairie D’Ane","Union","1864-04-09","1864-04-13",,,"AR",0,150,100,50,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Prairie_D'Ane",,,,,"US","None","1864-04-09","1864-04-13","Battle of Prairie D'Ane",5,"1864-04-11",232,4256.0917933507,96.8479359893,1586.5434841197,51.9580875627,"Prairie D'Ane","Union",33.6611,-93.3008
"AR014","1864-04-18","1864-04-18","Confederate","C","Trans-Mississippi","Camden Expedition [April 1864]",415,301,114,0,3337.86,11628.13,"Poison Spring","Confederate","1864-04-18","1864-04-18",,,"AR",0,415,301,114,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Poison_Spring",1100,,301,114,"CS","None","1864-04-18","1864-04-18","Battle of Poison Spring",1,"1864-04-18",233,1090.694548843,284.6234114586,2552.7566047734,116.0174185251,"Poison Spring","Confederate",33.650781,-93.030681
"AR015","1864-04-25","1864-04-25","Confederate","D","Trans-Mississippi","Camden Expedition [April 1864]",1793,1500,293,0,4620.16,16534.56,"Marks’ Mills","Confederate","1864-04-25","1864-04-25",,,"AR",0,1793,1500,293,,,,,,,,,,,,,293,450,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Marks'_Mills",,,1500,293,"CS","None","1864-04-25","1864-04-25","Battle of Marks' Mills",1,"1864-04-25",236,2662.7556313926,923.0668176779,7884.3159445788,297.9708269795,"Marks' Mills","Confederate",33.7911,-92.2575
"AR016","1864-04-30","1864-04-30","Union","C","Trans-Mississippi","Camden Expedition [April 1864]",964,521,443,0,3078.09,7796.37,"Jenkin’s Ferry","Union","1864-04-30","1864-04-30",,,"AR",0,1700,700,1000,,,,,,1100,1155,,,,,,443,528,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Jenkins'_Ferry",12000,10000,700,1000,"CS","None","1864-04-30","1864-04-30","Battle of Jenkins' Ferry",1,"1864-04-30",237,11413.374943541,747.5302371218,9922.7584050296,793.5599187008,"Jenkins' Ferry","Union",34.2131,-92.5472
"AR017","1864-06-06","1864-06-06","Union","D","Trans-Mississippi","Expedition to Lake Village [June 1864]",280,180,100,0,2570.04,7763.14,"Old River Lake","Union","1864-06-06","1864-06-06",,,"AR",0,170,133,37,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Old_River_Lake",,,180,100,"US","None","1864-06-06","1864-06-06","Battle of Old River Lake",1,"1864-06-06",264,2894.8488662266,166.6122037274,1826.6683142938,80.4561468523,"Old River Lake","Union",33.268547,-91.192703
"AR018",,,"Confederate","D","Western","Advance on Little Rock [September-October 1863]",,,,,833.58,3220.59,"Bayou Meto","Confederate","1863-08-27","1863-08-27",,,"AR",,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE",,"http://dbpedia.org/resource/Battle_of_Bayou_Meto",,,,,"US","None","1863-08-27","1863-08-27","Battle of Bayou Meto",1,"1863-08-27",186,1793.8752683493,242.4635667068,2824.4406678201,130.3610938233,"Bayou Meto","Confederate",34.843581,-92.122061
"DC001","1864-07-11","1864-07-12","Union","B","Eastern","Early's Raid and Operations Against the B&O Railroad [June-August 1864]",874,,,6,2765.73,9103.32,"Fort Stevens","Union","1864-07-11","1864-07-12",1800,400,"DC",0,873,373,500,,,,,,,,,,,,,,373,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Stevens",9600,10000,373,450,"CS","None","1864-07-11","1864-07-12","Battle of Fort Stevens",2,"1864-07-11",281,3973.0460068202,338.9802065887,6285.6109197756,518.0922432332,"Fort Stevens","Union",38.9641,-77.0288
"FL001","1861-10-09","1861-10-09","Union","C","Lower Seaboard","Operations of the Gulf Blockading Squadron [October 1861]",154,67,87,0,330.05,2826.01,"Santa Rosa Island","Union","1861-10-09","1861-10-09",,,"FL",0,154,67,87,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Santa_Rosa_Island",600,1200,67,87,"CS","None","1861-10-09","1861-10-09","Battle of Santa Rosa Island",1,"1861-10-09",22,568.8140046801,66.8597856064,1229.872812038,90.8973506199,"Santa Rosa Island","Union",30.3242,-87.2817
"FL002","1862-06-30","1862-07-01","Confederate","D","Lower Seaboard","Operations Against Tampa [June-July 1862]",0,0,0,0,1199.82,2288.79,"Tampa","Confederate","1862-06-30","1862-07-01",,,"FL",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Tampa",,,0,0,"US","None","1862-06-30","1862-07-01","Battle of Tampa",2,"1862-06-30",82,142.0117972335,0,84.395313224,0.0454928219,"Tampa","Confederate",27.9415,-82.4559
"FL003","1862-10-01","1862-10-03","Union","D","Lower Seaboard","Expedition to St. John's Bluff [September-October 1862]",,,,7,1069.43,7163.85,"Saint John’s Bluff","Union","1862-10-01","1862-10-03",,,"FL",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Saint_John's_Bluff",1573,,,,"US","None","1862-10-01","1862-10-03","Battle of Saint John's Bluff",3,"1862-10-02",106,1499.4638910814,20.3202825501,579.3369428721,41.6723547137,"Saint John's Bluff","Union",30.3852,-81.4998
"FL004","1863-10-16","1863-10-18","Union","D","Lower Seaboard","Expedition to Hillsboro River [October 1863]",,,,7,1478.65,5478.9,"Fort Brooke","Union","1863-10-16","1863-10-18",,,"FL",5,,16,,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Brooke",,,16,,"US","None","1863-10-16","1863-10-18","Battle of Fort Brooke",3,"1863-10-17",201,886.1685790839,16.503894517,270.1706059949,13.9579757633,"Fort Brooke","Union",28.0155,-82.4644
"FL005","1864-02-20","1864-02-20","Confederate","B","Lower Seaboard","Florida Expedition [February 1864]",2806,1860,946,0,1108.49,5919.08,"Olustee","Confederate","1864-02-20","1864-02-20",,,"FL",0,2807,1861,946,5115,5200,1355,934,"Confederate",500,1828,,,,,,946,1861,"Confederate",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Olustee",5500,5000,1861,946,"US","None","1864-02-20","1864-02-20","Battle of Olustee",1,"1864-02-20",221,5369.1321707359,1808.2936509512,5170.9216970726,813.9405778751,"Olustee","Confederate",30.2142,-82.3886
"FL006","1865-03-06","1865-03-06","Confederate","C","Lower Seaboard","Operations near Saint Mark's [March 1865]",174,148,26,0,344.42,2301.8,"Natural Bridge","Confederate","1865-03-06","1865-03-06",,,"FL",0,173,148,25,,,,,,,,,,,,,,81,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Natural_Bridge",,1000,148,26,"US","None","1865-03-06","1865-03-06","Battle of Natural Bridge",1,"1865-03-06",351,2036.6965395587,120.2070693616,1017.2777512255,26.0725635522,"Natural Bridge","Confederate",30.2839,-84.1519
"GA001","1862-04-10","1862-04-11","Union","B","Lower Seaboard","Operations Against Fort Pulaski [April 1862]",365,1,364,0,3657.49,8529.53,"Fort Pulaski","Union","1862-04-10","1862-04-11",,,"GA",0,2,1,1,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Pulaski",10000,385,1,363,"US","Confederate complete","1862-04-10","1862-04-11","Battle of Fort Pulaski",2,"1862-04-10",52,9627.1964237659,0.9543047821,392.1761774127,119.7517759397,"Fort Pulaski","Union",32.0273,-80.891
"GA002","1863-03-03","1863-03-03","Confederate","C","Lower Seaboard","Naval Attacks on Fort McAllister [March 1863]",,,,7,563.51,2494.48,"Fort McAllister I","Confederate","1863-03-03","1863-03-03",,,"GA",0,1,0,1,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Fort_McAllister_I",,,3,6,"US","None","1863-03-03","1863-03-03","Battle of Fort McAllister I",1,"1863-03-03",130,308.0069379504,1.2233357095,129.2697953791,3.5023765518,"Fort McAllister I","Confederate",32.02,-81.44
"GA003","1863-09-10","1863-09-11","Union","C","Western","Chickamauga Campaign [August-September 1863]",,,,7,6063.47,23267.17,"Davis’ Cross Roads","Union","1863-09-10","1863-09-11",,,"GA",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Davis's_Cross_Roads",,,,,"CS","None","1863-09-10","1863-09-11","Battle of Davis's Cross Roads",2,"1863-09-10",192,3217.8774808243,217.7969578687,6799.5323079987,542.4654950218,"Davis's Cross Roads","Union",34.7557,-85.368
"GA004","1863-09-18","1863-09-20","Confederate","A","Western","Chickamauga Campaign [August-September 1863]",34624,16170,18454,0,9796.38,29978.67,"Chickamauga","Confederate","1863-09-18","1863-09-20",,,"GA",0,34624,16170,18454,58222,66326,11413,16986,"Confederate",17804,15851,"Confederate",17800,16500,70000,57000,16456,16179,"Confederate",16170,18454,58222,66326,"CS","Confederate","FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Chickamauga",60000,65000,16170,18454,"CS","None","1863-09-18","1863-09-20","Battle of Chickamauga",3,"1863-09-19",193,55218.0896790691,14983.2750469715,65431.0841184642,18110.3664351567,"Chickamauga","Confederate",34.9176,-85.2606
"GA005","1863-11-27","1863-11-27","Confederate","B","Western","Chattanooga-Ringgold Campaign [November 1863]",912,432,480,0,580.64,3143.04,"Ringgold Gap","Confederate","1863-11-27","1863-11-27",,,"GA",0,728,507,221,,,,,,,,,,,,,,432,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Ringgold_Gap",,,507,221,"US","None","1863-11-27","1863-11-27","Battle of Ringgold Gap",1,"1863-11-27",210,5387.1033111217,452.7221471484,3105.1865325123,281.8486078754,"Ringgold Gap","Confederate",34.9112,-85.1015
"GA006","1864-02-22","1864-02-27","Confederate","C","Western","Demonstration on Dalton [February 1864]",,,,7,669.48,7011.4,"Dalton I","Confederate","1864-02-22","1864-02-27",,,"GA",0,429,289,140,,,,,,,,,,,,,,289,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/First_Battle_of_Dalton",,,300,140,"US","None","1864-02-22","1864-02-27","First Battle of Dalton",6,"1864-02-24",223,5516.2500631576,289.0964343659,3499.5629352864,146.7347742183,"First Dalton","Confederate",34.8031,-85.0124
"GA007","1864-05-07","1864-05-13","Union","C","Western","Atlanta Campaign [May-September 1864]",,,,7,2482.24,16250.89,"Rocky Face Ridge","Union","1864-05-07","1864-05-13",,,"GA",0,1437,837,600,,,,,,600,837,,,,,,,900,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge",,,,,"US","None","1864-05-07","1864-05-13","Battle of Rocky Face Ridge",7,"1864-05-10",246,12450.5542702959,849.9415714907,7576.7322683926,561.8023140204,"Rocky Face Ridge","Union",34.7411,-85.0157
"GA008","1864-05-13","1864-05-15","Inconclusive","C","Western","Atlanta Campaign [May-September 1864]",5547,2747,2800,0,3574.48,7596.32,"Resaca","Inconclusive","1864-05-13","1864-05-15",,,"GA",0,5547,2747,2800,,,,,,2800,2747,"Union",4500,4500,52000,93000,,3000,"Union",,,,,,,"FALSE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Resaca",98787,60000,4500,2800,"US","None","1864-05-13","1864-05-15","Battle of Resaca",3,"1864-05-14",247,89380.4102051971,3879.2567379386,59807.7948383332,3679.7300697294,"Resaca","Inconclusive",34.5815,-84.9385
"GA009","1864-05-17","1864-05-17","Confederate","C","Western","Atlanta Campaign [May-September 1864]",,200,,5,715.88,6975.76,"Adairsville","Confederate","1864-05-17","1864-05-17",,,"GA",5,,200,,,,,,,,,,,,,,,699,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Adairsville",,,200,,"US","None","1864-05-17","1864-05-17","Battle of Adairsville",1,"1864-05-17",251,4373.2667902131,277.1568045998,3117.5941780691,90.0604633142,"Adairsville","Confederate",34.4083,-84.9389
"GA010","1864-05-25","1864-05-26","Confederate","C","Western","Atlanta Campaign [May-September 1864]",,1600,,5,490.26,2753.88,"New Hope Church","Confederate","1864-05-25","1864-05-26",,,"GA",0,1015,665,350,,,,,,,,,,,,,,1000,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_New_Hope_Church",,,1665,350,"US","None","1864-05-25","1864-05-26","Battle of New Hope Church",2,"1864-05-25",257,10382.4050442746,1196.7738644923,5334.9842060273,368.5217492666,"New Hope Church","Confederate",33.961,-84.7875
"GA011","1864-05-26","1864-06-01","Union","C","Western","Atlanta Campaign [May-September 1864]",5400,2400,3000,0,852.47,2965.42,"Dallas","Union","1864-05-26","1864-06-01",,,"GA",0,1630,380,1250,,,,,,3000,2400,"Union",3000,2400,40000,80000,,2700,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Dallas",80000,40000,2400,3000,"CS","None","1864-05-26","1864-06-01","Battle of Dallas",7,"1864-05-29",262,76503.5886217928,2112.0329258338,40199.5517645807,2801.1352644995,"Dallas","Union",33.9127,-84.828
"GA012","1864-05-27","1864-05-27","Confederate","C","Western","Atlanta Campaign [May-September 1864]",2100,1600,500,0,295.34,1773.4,"Pickett’s Mill","Confederate","1864-05-27","1864-05-27",,,"GA",0,2050,1600,450,,,,,,,,,,,,,,1900,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Pickett's_Mill",14000,,1600,500,"US","None","1864-05-27","1864-05-27","Battle of Pickett's Mill",1,"1864-05-27",258,13471.294548533,1671.6257901062,9283.9203703576,507.3208282973,"Pickett's Mill","Confederate",33.975,-84.759
