reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,jim,ed,bill,protected,percent,county,value,priority1,url
AR006,Arkansas Post,Engagement,1863-01-09,1863-01-11,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,1,0,1,0,0,1,Poor,C,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,Arkansas,,0,http://aad.archives.gov/aad//AR006
AR007,Chalk Bluff,Skirmish,1863-05-01,1863-05-02,Trans-Mississippi Theater of Operations,"Marmaduke's Exp. Into Missouri (1863), 04/17/63, III",,0,1,1,0,0,1,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Clay,,0,http://aad.archives.gov/aad//AR007
AR008,Helena,Attack,1863-07-04,1863-07-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,1,0,1,0,0,0,Poor,B,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,"Phillips, Helena, City of",,0,http://aad.archives.gov/aad//AR008
AR009,Devil's Backbone,Action,1863-09-01,1863-09-01,Trans-Mississippi Theater of Operations,"Ops. [U] tp Drive [C] from Indian Terr. (1863), 07/01/63, II",,0,0,1,0,0,0,Fair,C,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,C,C,C,,,Sebastian,,0,http://aad.archives.gov/aad//AR009
AR010A,Bayou Fourche (Litt.Rock),Engagement,1863-09-10,1863-09-10,Trans-Mississippi Theater of Operations,"Union Advance on Little Rock (1863), 08/14/63, II",N/A,0,0,1,0,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,C,,,Pulaski,,0,http://aad.archives.gov/aad//AR010A
AR011,Pine Bluff,Action,1863-10-25,1863-10-25,Trans-Mississippi Theater of Operations,"Union Advance on Little Rock (1863), 08/14/63, II",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Jefferson, Pine Bluff, City of",,0,http://aad.archives.gov/aad//AR011
AR012,Elkin's Ferry,Engagement,1864-04-03,1864-04-04,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,,,,"Clark, Nevada",,0,http://aad.archives.gov/aad//AR012
AR013,Prairie D'Ane,Skirmish,1864-04-09,1864-04-13,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",,0,0,1,0,0,0,Fair,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Nevada,,0,http://aad.archives.gov/aad//AR013
AR014,Poison Spring,Engagement,1864-04-18,1864-04-18,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",,0,0,1,1,0,1,Good,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Ouachita,,0,http://aad.archives.gov/aad//AR014
AR015,Marks' Mills,Action,1864-04-25,1864-04-25,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Cleveland,,0,http://aad.archives.gov/aad//AR015
AR016,Jenkins' Ferry,Engagement,1864-04-30,1864-04-30,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",,0,0,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Grant,,0,http://aad.archives.gov/aad//AR016
AR017,Old River Lake,Engagement,1864-06-06,1864-06-06,Trans-Mississippi Theater of Operations,Undefined Code,,0,0,1,0,0,0,Fair,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Chicot,,0,http://aad.archives.gov/aad//AR017
CO001,Sand Creek,Engagement,1864-11-29,1864-11-29,Trans-Mississippi Theater of Operations,"Sand Creek Campaign (1864), 11/01/64, II",,0,0,1,0,0,0,Fair,B,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,B,C,,,Kiowa,,0,http://aad.archives.gov/aad//CO001
DC001,Fort Stevens,Action,1864-07-12,1864-07-12,Main Eastern Theater of Operation,"Early's Raid and Ops agnst B&O RR (1864), 06/01/64, II",N/A,1,0,1,0,0,1,Lost,B,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,C,,,,District of Columbia,,0,http://aad.archives.gov/aad//DC001
FL001,Santa Rosa Island,Action,1861-10-09,1861-10-09,Lower Seaboard Theater of Operation,"Ops. [U] of Gulf Blockading Squadron (1861), 09/01/61, III",,1,0,0,0,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,,,,,Escambia,,0,http://aad.archives.gov/aad//FL001
FL002,Tampa,Bombardment,1862-06-30,1862-07-01,Lower Seaboard Theater of Operation,Undefined Code,N/A,1,1,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Hillsborough,,0,http://aad.archives.gov/aad//FL002
FL003,Saint John's Bluff,Engagement,1862-10-01,1862-10-01,Lower Seaboard Theater of Operation,"Exp Hilton Head, SC to St John's Bluff, FL (1862), 10/01/62, III",N/A,1,1,1,0,0,1,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Duval,,0,http://aad.archives.gov/aad//FL003
FL004,Fort Brooke,Engagement,1863-10-16,1863-10-16,Lower Seaboard Theater of Operation,"Exped to Destroy Ships in Hillsboro R., FL (1863), 10/16/63, III",N/A,1,1,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Hillsborough,,0,http://aad.archives.gov/aad//FL004
FL005,Olustee,Engagement,1864-02-20,1864-02-20,Lower Seaboard Theater of Operation,"Florida Expedition (1864), 02/20/64, II",,1,0,1,1,0,1,Good,B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,C,,,Baker,,0,http://aad.archives.gov/aad//FL005
FL006,Natural Bridge,Action,1865-03-06,1865-03-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Ops. in the Vic. of Saint Mark's FL (1865), 02/21/65, III",,0,0,1,1,0,1,Good,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,D,CD,,,Leon,,0,http://aad.archives.gov/aad//FL006
GA001,Fort Pulaski,Operation,1862-04-10,1862-04-11,Lower Seaboard Theater of Operation,"Union Operations Against Fort Pulaski (1862), 01/01/62, II",,1,1,1,1,0,1,Good,B,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,A,,,,Chatham,,0,http://aad.archives.gov/aad//GA001
GA002,Fort McAllister,Naval,1863-03-03,1863-03-03,Lower Seaboard Theater of Operation,"Naval [U] Attacks on Fort McAllister (1863), 01/27/63, III",,0,1,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Bryan,,0,http://aad.archives.gov/aad//GA002
GA003,Davis' Cross-Roads,Skirmish,1863-09-10,1863-09-11,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chickagmauga Campaign (1863), 08/21/63, I",,0,0,1,0,0,0,Good,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,,C,,,"Dade, Walker",,0,http://aad.archives.gov/aad//GA003
GA004,Chickamauga,Battle,1863-09-19,1863-09-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chickagmauga Campaign (1863), 08/21/63, I",,1,0,1,0,0,1,Good,A,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,,,,5200,98,"Catoosa, Ft. Oglethrope, Town of",,1,http://aad.archives.gov/aad//GA004
GA005,Ringgold Gap,Engagement,1863-11-27,1863-11-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chattanooga-Ringgold Campaign (1863), 11/28/63, I",,1,0,1,1,0,0,Fair,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,B,,,,"Catoosa, Ringgold, City of",,1,http://aad.archives.gov/aad//GA005
GA006,Dalton I,Demonstration,1864-02-22,1864-02-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Meridian Exp and Exp fr Memphis up Yazoo (1864), 02/14/64, II",,1,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Whitfield,,0,http://aad.archives.gov/aad//GA006
GA007,Rocky Face Ridge,Demonstration,1864-05-08,1864-05-11,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,0,1,0,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,,,Whitfield,,0,http://aad.archives.gov/aad//GA007
GA008,Resaca,Battle,1864-05-13,1864-05-15,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,0,1,0,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,,,,,"Whitfield, Gordon",,0,http://aad.archives.gov/aad//GA008
GA009,Adairsville,Engagement,1864-05-17,1864-05-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,0,1,0,0,0,Good,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,C,,,,"Gordon, Bartow",,0,http://aad.archives.gov/aad//GA009
GA010,New Hope Church,Combat,1864-05-25,1864-06-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Fair,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,,,,,"Paulding, New Hope, City of",,0,http://aad.archives.gov/aad//GA010
GA011,Dallas,Combat,1864-05-26,1864-06-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Poor,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,Paulding,,0,http://aad.archives.gov/aad//GA011
GA012,Pickett's Mills,Combat,1864-05-27,1864-05-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,0,0,1,0,1,Good,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,Paulding,,0,http://aad.archives.gov/aad//GA012
GA013A,"Marietta (b,c,d)",Operation,1864-06-10,1864-07-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Poor,B,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,B,,,,Cobb,,0,http://aad.archives.gov/aad//GA013A
GA014,Kolb's Farm,Combat,1864-06-22,1864-06-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,1,0,1,0,0,1,Fair,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Cobb,,0,http://aad.archives.gov/aad//GA014
GA015,Kennesaw Mountain,Combat,1864-06-27,1864-06-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,1,0,1,0,0,1,Fair,B,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Cobb,,1,http://aad.archives.gov/aad//GA015
GA016,Peachtree Creek,Battle,1864-07-20,1864-07-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",N/A,0,1,1,0,0,1,Lost,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,B,B,,,"Fulton, Atlanta, City of",,0,http://aad.archives.gov/aad//GA016
GA017,Atlanta,Battle,1864-07-22,1864-07-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",N/A,0,1,1,0,0,1,Lost,B,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,B,B,A,0,0,"Fulton, DeKalb, Atlanta, City of",,0,http://aad.archives.gov/aad//GA017
GA018,Ezra Church,Battle,1864-07-28,1864-07-28,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",N/A,0,1,1,0,0,0,Lost,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Fulton, Atlanta, City of",,0,http://aad.archives.gov/aad//GA018
GA019,Utoy Creek,Assault,1864-08-06,1864-08-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,D,,,,"Fulton, Atlanta, City of",,0,http://aad.archives.gov/aad//GA019
GA020,Dalton II,Combat,1864-08-14,1864-08-15,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Whitfield,,0,http://aad.archives.gov/aad//GA020
GA021,Lovejoy's Station,Combat,1864-08-20,1864-08-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Clayton,,0,http://aad.archives.gov/aad//GA021
GA022,Jonesborough,Battle,1864-08-31,1864-09-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",N/A,0,1,1,0,0,0,Lost,A,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,A,A,,,,Clayton,,0,http://aad.archives.gov/aad//GA022
GA023,Allatoona,Engagement,1864-10-05,1864-10-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Hood's Ops. Agnst Sherman's Commun. (1864), 10/05/64, II",,0,0,1,0,0,0,Good,B,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Bartow,,1,http://aad.archives.gov/aad//GA023
GA024,Dalton III,Combat,1864-10-13,1864-10-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Atlanta Campaign (1864), 05/08/64, I",,0,1,1,0,0,0,Poor,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Whitfield,,0,http://aad.archives.gov/aad//GA024
GA025,Griswoldville,Engagement,1864-11-22,1864-11-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",,0,0,1,0,0,0,Good,B,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,C,,,"Twiggs, Jones",,0,http://aad.archives.gov/aad//GA025
GA026,Buck Head Creek,Engagement,1864-11-28,1864-11-28,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",,0,0,1,0,0,0,Good,C,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Jenkins,,0,http://aad.archives.gov/aad//GA026
GA027,Waynesborough,Engagement,1864-12-04,1864-12-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",,0,0,1,0,0,0,Poor,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,C,,,,Burke,,0,http://aad.archives.gov/aad//GA027
GA028,Fort McAllister,Engagement,1864-12-13,1864-12-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",,0,0,1,1,0,1,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Bryan,,0,http://aad.archives.gov/aad//GA028
ID001,Bear River,Engagement,1863-01-29,1863-01-29,Pacific Coast Theater,"Expedition Camp Douglas to Cache Valley (1863), 01/22/63, III",,0,1,1,1,0,0,Good,C,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,C,,D,,,Franklin,,0,http://aad.archives.gov/aad//ID001
IN001,Corydon,Skirmish,1863-07-09,1863-07-09,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid in KY, IN, OH (1863), 07/02/63, III",,0,1,1,0,0,1,Good,C,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,D,C,,,Harrison,,0,http://aad.archives.gov/aad//IN001
KS001,Lawrence,Massacre,1863-08-21,1863-08-21,Trans-Mississippi Theater of Operations,"Quantrill's Raid into Kansas (1863), 07/09/63, III",N/A,0,1,1,0,0,0,Lost,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,D,C,,,"Douglas, Lawrence, City of",,0,http://aad.archives.gov/aad//KS001
KS002,Baxter Springs,Action,1863-10-06,1863-10-06,Trans-Mississippi Theater of Operations,"Occup [U] of Ind. Terr. No. of Arkansas R. (1863), 10/01/63, III",N/A,0,1,1,0,0,0,Lost,C,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Cherokee,,0,http://aad.archives.gov/aad//KS002
KS003,Mine Creek,Engagement,1864-10-25,1864-10-25,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,1,0,1,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Linn,,0,http://aad.archives.gov/aad//KS003
KS004,Marais des Cygnes,Engagement,1864-10-25,1864-10-25,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,1,1,0,1,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Linn,,0,http://aad.archives.gov/aad//KS004
KY001,Barbourville,Action,1861-09-19,1861-09-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Knox,,0,http://aad.archives.gov/aad//KY001
KY002,Camp Wild Cat,Action,1861-10-21,1861-10-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",,1,0,1,0,0,0,Good,C,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,C,,,,,Laurel,,0,http://aad.archives.gov/aad//KY002
KY003,Ivy Mountain,Engagement,1861-11-08,1861-11-09,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",N/A,0,0,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Floyd,,0,http://aad.archives.gov/aad//KY003
KY004,Rowlett's Station,Action,1861-12-17,1861-12-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Kentucky Confederate Offensive (1861), 09/01/61, III",,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Hart,,0,http://aad.archives.gov/aad//KY004
KY005,Middle Creek,Engagement,1862-01-10,1862-01-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",,0,0,1,0,0,0,Good,C,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,C,B,C,,,Floyd,,0,http://aad.archives.gov/aad//KY005
KY006,Mill Springs,Engagement,1862-01-19,1862-01-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",,0,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,,,,"Pulaski, Wayne",,1,http://aad.archives.gov/aad//KY006
KY007,Richmond,Battle,1862-08-29,1862-08-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",,1,0,1,1,0,0,Fair,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Madison,,0,http://aad.archives.gov/aad//KY007
KY008,Munfordville,Siege,1862-09-14,1862-09-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",,0,0,1,0,0,0,Good,B,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,B,,,,,Hart,,0,http://aad.archives.gov/aad//KY008
KY009,Perryville,Battle,1862-10-08,1862-10-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",,0,0,1,1,0,1,Good,A,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,A,A,196,8,Boyle,$750-1000,1,http://aad.archives.gov/aad//KY009
KY010,Paducah,Attack,1864-03-25,1864-03-25,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Exp. into W. TN and KY (1864), 03/16/64, II",N/A,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"McCraken, Paducah, City of",,0,http://aad.archives.gov/aad//KY010
KY011,Cynthiana,Action,1864-06-11,1864-06-12,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid into Kentucky (1864) 05/31/64, III",,0,1,1,0,0,0,Fair,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,C,C,C,,,"Harrison, Cynthiana, City of",,0,http://aad.archives.gov/aad//KY011
LA001,Forts Jackson & Phillip,Bombardment & Capture,1862-04-18,1862-04-28,Lower Seaboard Theater of Operation,"Expedition and Capture of New Orleans (1862), 04/18/62, II",,0,1,1,0,0,1,Poor,A,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,,A,,50,30,Plaquemines,,0,http://aad.archives.gov/aad//LA001
LA002,New Orleans,Occupation,1862-05-01,1862-05-01,Lower Seaboard Theater of Operation,"Expedition and Capture of New Orleans (1862), 04/18/62, II",,1,1,1,1,0,1,Poor,B,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,C,A,,,,"St. Bernard, Orleans, New Orleans",,0,http://aad.archives.gov/aad//LA002
LA003,Baton Rouge,Engagement,1862-08-05,1862-08-05,Lower Seaboard Theater of Operation,"Operations about Vicksburg and Baton Rouge (1862), 08/05/62, II",,0,1,1,1,0,0,Poor,B,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,B,,,,"E. Baton Rouge P, Baton Rouge, City",,0,http://aad.archives.gov/aad//LA003
