battle_id,start_date,end_date,surrender,battle_name,state,us_killed,us_wounded,us_missing,us_losses,cs_losses,page,campaign
2392,1865-3-16,1865-3-16,0,"Averysboro, N.C.",NC,77,477,0,554,865,218,0
2393,1865-3-19,1865-3-21,0,"Bentonville, N.C.",NC,191,1168,287,1646,2825,218,0
2394,1865-3-25,1865-3-25,0,"Fort Steadman, in front of Petersburg, Va.",VA,68,337,506,911,2681,218,0
2395,1865-3-25,1865-3-25,0,"Petersburg, Va.",VA,103,864,209,1176,834,218,0
2396,1865-3-26,1865-4-8,0,"Spanish Fort, Ala.",AL,100,695,0,795,552,218,0
2397,1865-3-22,1865-4-24,0,"Wilson's raid from Chickasaw, Ala., to Macon, Ga.; includes a number of engagements",GA,99,598,28,725,8020,218,1
2398,1865-3-31,1865-3-31,0,"Boydton and White Oak Roads, Va.",VA,177,1134,556,1867,1235,218,0
2399,1865-4-1,1865-4-1,0,"Five Forks, Va.",VA,124,706,54,884,8500,218,0
2400,1865-4-2,1865-4-2,0,"Fall of Petersburg, Va.",VA,296,2565,500,3361,3000,218,0
2401,1865-4-6,1865-4-6,0,"Sailor's Creek, Va.",VA,166,1014,0,1180,7000,218,0
2402,1865-4-6,1865-4-6,0,"High Bridge, Appomatox River, Va.",VA,10,31,1000,1041,,218,0
2403,1865-4-7,1865-4-7,0,"Farmville, Va.",VA,,,,655,,218,0
2404,1865-4-9,1865-4-9,0,"Fort Blakely, Ala.",AL,113,516,0,629,2900,218,0
2405,1865-4-9,1865-4-9,1,Surrender of Lee,VA,0,0,0,0,26000,218,0
2406,1865-4-26,1865-4-26,1,Johnston surrendered,NC,0,0,0,0,29924,218,0
2407,1865-5-4,1865-5-4,1,Taylor surrendered,AL,0,0,0,0,10000,218,0
2408,1865-5-10,1865-5-10,1,Sam Jones surrendered,FL,0,0,0,0,8000,218,0
2409,1865-5-11,1865-5-11,1,Jeff Thompson surrendered,AR,0,0,0,0,7454,218,0
2410,1865-5-26,1865-5-26,1,Kirby Smith surrendered,LA,0,0,0,0,20000,218,0
