battle,start_date,end_date,battle_name,state,us_killed,us_wounded,us_missing,us_losses,cs_losses,page
2354,1864-6-27,,"Kenesaw Mountain, general assault. See No. 2345",GA,,,,3000,600,217
2355,1864-7-1,1864-7-31,"Front of Petersburg, Va.; losses at the Crater and Deep Bottom not included.",VA,419,2076,1200,3695,,217
2356,1864-7-6,1864-7-10,"Chattahoochee River, Ga.",GA,80,450,200,730,600,217
2357,1864-7-9,,"Monocacy, Md.",MD,90,579,1290,1959,400,217
2358,1864-7-13,1864-7-15,"Tupleo, Miss.; includes Harrisburg and Old Town Creek.",MS,85,563,0,648,700,217
2359,1864-7-20,,"Peach Tree Creek, Ga.",GA,300,1410,0,1710,4796,217
2360,1864-7-22,,"Atlanta, Ga.; Hood's first sortie.",GA,500,2141,1000,3641,8499,217
2361,1864-7-24,,"Winchester, Va.",VA,,,,1200,600,217
2362,1864-7-26,1864-7-31,"Stoneman's raid to Macon, Ga.",GA,0,100,900,1000,,217
2363,1864-7-26,1864-7-31,"McCook's raid to Lovejoy Station, Ga.",GA,0,100,500,600,,217
2364,1864-7-28,,"Ezra Chapel, Atlanta, Ga.; second sortie",GA,100,600,0,700,4642,217
2365,1864-7-30,,"Mine explosion at Petersburg, Va.",VA,419,1679,1910,4008,1200,217
2366,1864-8-1,1864-8-31,"Trenches before Petersburg, Va.",VA,87,484,0,571,,217
2367,1864-8-14,1864-8-18,"Strawberry Plains, Deep Bottom Run, Va.",VA,400,1755,1400,3555,1100,217
2368,1864-8-18,1864-8-21,"Six Mile House, Weldon Railroad, Va.",VA,212,1155,3176,4543,4000,217
2369,1864-8-21,,"Summit Point, Va.",VA,,,,600,400,217
2370,1864-8-25,,"Ream's Station, Va.",VA,127,546,1769,2442,1500,217
2371,1864-8-31,1864-9-1,"Jonesboro, Ga.",GA,0,1149,0,1149,2000,217
2372,1864-5-5,1864-9-8,"Campaign in Northern Georgia, from Chattanooga, Tenn., to Atlanta, Ga.",TN,5284,26129,5786,37199,,217
2373,1864-9-1,1864-10-30,"Trenches before Petersburg, Va.",VA,170,822,812,1804,1000,217
2374,1864-9-19,,"Apequan, Winchester, Va.",VA,653,3719,618,4990,5500,217
2375,1864-9-23,,"Athens, Ala.",AL,0,0,950,950,30,217
2376,1864-9-24,1864-10-28,Price's invasion of Missouri; includes a number of engagements.,MO,170,336,0,506,,217
2377,1864-9-28,1864-9-30,"New Market Heights, Va.",VA,400,2029,0,2429,2000,217
2378,1864-9-30,1864-10-1,"Preble's Farm, Poplar Springs Church, Va.",VA,141,788,1756,2685,900,217
2379,1864-10-5,,"Allatoona, Ga.",GA,142,352,212,706,1142,217
2380,1864-10-19,,"Cedar Creek, Va.",VA,588,3516,1891,5995,4200,218
2381,1864-10-27,,"Hatcher's Run, South Side Railroad, Va.",VA,156,1047,699,1902,1000,218
2382,1864-10-27,1864-10-28,"Fair Oaks, near Richmond, Va.",VA,120,783,400,1303,451,218
2383,1864-11-28,,"Fort Kelly, New Creek, West Va.",VA,0,0,700,700,5,218
2384,1864-11-30,,"Franklin, Tenn.",TN,189,1033,1104,2326,6252,218
2385,1864-11-30,,"Honey Hill, Broad River, S.C.",SC,66,645,0,711,,218
2386,1864-12-6,1864-12-9,"Deveaux's Neck, S.C.",SC,39,390,200,629,400,218
2387,1864-12-15,1864-12-16,"Nashville, Tenn.",TN,400,1740,0,2140,15000,218
2388,1865-1-11,,"Beverly, West Va.",WV,5,20,583,608,,218
2389,1865-1-13,1865-1-15,"Fort Fisher, N.C.",NC,184,749,22,955,2483,218
2390,1865-2-5,1865-2-7,"Dabney's Mills, Hatcher's Run, Va.",VA,232,1062,186,1480,1200,218
2391,1865-3-8,1865-3-10,"Wilcox's Bridge, Wise's Fork, N.C.",NC,80,421,600,1101,1500,218
2392,1865-3-16,,"Averysboro, N.C.",NC,77,477,0,554,865,218
2393,1865-3-19,1865-3-21,"Bentonville, N.C.",NC,191,1168,287,1646,2825,218
2394,1865-3-25,,"Fort Steadman, in front of Petersburg, Va.",VA,68,337,506,911,2681,218
2395,1865-3-25,,"Petersburg, Va.",VA,103,864,209,1176,834,218
2396,1865-3-26,1865-4-8,"Spanish Fort, Ala.",AL,100,695,0,795,552,218
2397,1865-3-22,1865-4-24,"Wilson's raid from Chickasaw, Ala., to Macon, Ga.; includes a number of engagements",GA,99,598,28,725,8020,218
2398,1865-3-31,,"Boydton and White Oak Roads, Va.",VA,177,1134,556,1867,1235,218
2399,1865-4-1,,"Five Forks, Va.",VA,124,706,54,884,8500,218
2400,1865-4-2,,"Fall of Petersburg, Va.",VA,296,2565,500,3361,3000,218
2401,1865-4-6,,"Sailor's Creek, Va.",VA,166,1014,0,1180,7000,218
2402,1865-4-6,,"High Bridge, Appomatox River, Va.",VA,10,31,1000,1041,,218
2403,1865-4-7,,"Farmville, Va.",VA,,,,655,,218
2404,1865-4-9,,"Fort Blakely, Ala.",AL,113,516,0,629,2900,218
2405,1865-4-9,,Surrender of Lee,,0,0,0,0,26000,218
2406,1865-4-26,,Johnston surrendered,,0,0,0,0,29924,218
2407,1865-5-4,,Taylor surrendered,,0,0,0,0,10000,218
2408,1865-5-10,,Sam Jones surrendered,,0,0,0,0,8000,218
2409,1865-5-11,,Jeff Thompson surrendered,,0,0,0,0,7454,218
2410,1865-5-26,,Kirby Smith surrendered,,0,0,0,0,20000,218
