cwsac,combatant,forces_text,description,armies,artillery_batteries,brigades,cavalry_brigades,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,gunboats,ironclads,rams,regiments,ships,strength,strength_max,strength_min,wooden_ships
TN028,CS,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps [US]; Department of East Tennessee [CS]",Department of East Tennessee,,,,,,,,,,,,,,,,,,,
TN028,US,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps [US]; Department of East Tennessee [CS]","Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps",,,,,1,,,,1,,,,,,,,,,
VA055,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA055,US,Armies,,1,,,,,,,,,,,,,,,,,,
OK002,CS,Creek and Seminole [I]; Indian Department [CS],Indian Department,,,,,,,,,,,,,,,,,,,
OK002,I,Creek and Seminole [I]; Indian Department [CS],Creek and Seminole,,,,,,,,,,,,,,,,,,,
MN002,US,"Volunteer troops (about 1,500) [US]; Santee Sioux [I]","Volunteer troops (about 1,500)",,,,,,,,,,,,,,,,,1500,1500,
MN002,I,"Volunteer troops (about 1,500) [US]; Santee Sioux [I]",Santee Sioux,,,,,,,,,,,,,,,,,,,
GA013,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA013,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
NC009,CS,"Department of North Carolina, 1st Division [US]; Clingman's Brigade [CS]",Clingman's Brigade,,,1,,,,,,,,,,,,,,,,
NC009,US,"Department of North Carolina, 1st Division [US]; Clingman's Brigade [CS]","Department of North Carolina, 1st Division",,,,,,,,,,1,,,,,,,,,
LA007,CS,"4th Division, XIX Army Corps [US]; 28th Louisiana Infantry, 2nd Louisiana Cavalry, 12th Louisiana Infantry Battalion, 4th Texas Cavalry, and Cornay's Louisiana Battery [CS]","28th Louisiana Infantry, 2nd Louisiana Cavalry, 12th Louisiana Infantry Battalion, 4th Texas Cavalry, and Cornay's Louisiana Battery",,1,,,,1,,,,,,,,1.5,,,,,
LA007,US,"4th Division, XIX Army Corps [US]; 28th Louisiana Infantry, 2nd Louisiana Cavalry, 12th Louisiana Infantry Battalion, 4th Texas Cavalry, and Cornay's Louisiana Battery [CS]","4th Division, XIX Army Corps",,,,,,,,,,1,,,,,,,,,
VA027,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA027,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA051,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA051,US,Divisions,,,,,,,,,,,1,,,,,,,,,
AR006,CS,Army of the Mississippi [US]; Fort Hindman Garrison [CS],Fort Hindman Garrison,,,,,,,,,,,,,,,,,,,
AR006,US,Army of the Mississippi [US]; Fort Hindman Garrison [CS],Army of the Mississippi,1,,,,,,,,,,,,,,,,,,
GA023,CS,"One brigade (1,944 men) [US]; one division (approx. 2,000 men) [CS]","one division (approx. 2,000 men)",,,,,,,,,,,,,,,,,2000,2000,
GA023,US,"One brigade (1,944 men) [US]; one division (approx. 2,000 men) [CS]","One brigade (1,944 men)",,,,,,,,,,,,,,,,,1944,1944,
TN002,CS,Army in the Field [US]; Fort Donelson Garrison [CS],Fort Donelson Garrison,,,,,,,,,,,,,,,,,,,
TN002,US,Army in the Field [US]; Fort Donelson Garrison [CS],Army in the Field,1,,,,,,,,,,,,,,,,,,
GA015,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA015,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
VA014,CS,"(84,000 total)",,,,,,,,,,,,,,,,,,,,
VA014,US,"(84,000 total)",,,,,,,,,,,,,,,,,,,,
MO012,CS,Army of the Mississippi [US]; Garrisons of New Madrid and Island No. 10 [CS],Garrisons of New Madrid and Island No. 10,,,,,,,,,,,,,,,,,,,
MO012,US,Army of the Mississippi [US]; Garrisons of New Madrid and Island No. 10 [CS],Army of the Mississippi,1,,,,,,,,,,,,,,,,,,
VA102,CS,"12,500 total (US 6,500; CS 6,000)","6,000",,,,,,,,,,,,,,,,,6000,6000,
VA102,US,"12,500 total (US 6,500; CS 6,000)","6,500",,,,,,,,,,,,,,,,,6500,6500,
GA007,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA007,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
VA009,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA009,US,Armies,,1,,,,,,,,,,,,,,,,,,
VA011,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA011,US,Divisions,,,,,,,,,,,1,,,,,,,,,
TN012,CS,"Detachments of two regiments: 83rd Illinois Infantry and 5th Iowa Cavalry Regiments and some artillery (approx. 800) [US]; cavalry division (approx. 2,500) [CS]","cavalry division (approx. 2,500)",,,,,,,,,,,,,,,,,2500,2500,
TN012,US,"Detachments of two regiments: 83rd Illinois Infantry and 5th Iowa Cavalry Regiments and some artillery (approx. 800) [US]; cavalry division (approx. 2,500) [CS]",Detachments of two regiments: 83rd Illinois Infantry and 5th Iowa Cavalry Regiments and some artillery (approx. 800),,,,,,,,,,,,,,,,,800,800,
TX005,CS,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry [US]; Detachments from Gidding's Regiment, Anderson's Battalion of Cavalry, and numerous other Confederate units and southern sympathizers [CS]","Detachments from Gidding's Regiment, Anderson's Battalion of Cavalry, and numerous other Confederate units and southern sympathizers",,,,,,,,,,,,,,,,,,,
TX005,US,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry [US]; Detachments from Gidding's Regiment, Anderson's Battalion of Cavalry, and numerous other Confederate units and southern sympathizers [CS]","Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry",,,,,,,,,,,,,,1.5,,,,,
SC007,CS,"6,800 total (US 5,000; CS 1,800)","1,800",,,,,,,,,,,,,,,,,1800,1800,
SC007,US,"6,800 total (US 5,000; CS 1,800)","5,000",,,,,,,,,,,,,,,,,5000,5000,
VA047,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA047,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA019,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA019,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA114,CS,"13,000 total (US 5,000; CS 8,000)","8,000",,,,,,,,,,,,,,,,,8000,8000,
VA114,US,"13,000 total (US 5,000; CS 8,000)","5,000",,,,,,,,,,,,,,,,,5000,5000,
KS001,CS,No Union troops [US]; Quantrill's Raiders and other guerrillas [CS],Quantrill's Raiders and other guerrillas,,,,,,,,,,,,,,,,,,,
KS001,US,No Union troops [US]; Quantrill's Raiders and other guerrillas [CS],No Union troops,,,,,,,,,,,,,,,,,,,
SC004,CS,9 warships,,,,,,,,,,,,,,,,,,,,
SC004,US,9 warships,,,,,,,,,,,,,,,,,,,,
FL001,CS,"Santa Rosa Island Garrison (approx. 600 men) [US]; infantry and artillery detachments (approx. 1,200 men) [CS]","infantry and artillery detachments (approx. 1,200 men)",,,,,,,,,,,,,,,,,1200,1200,
FL001,US,"Santa Rosa Island Garrison (approx. 600 men) [US]; infantry and artillery detachments (approx. 1,200 men) [CS]",Santa Rosa Island Garrison (approx. 600 men),,,,,,,,,,,,,,,,,600,600,
OH001,CS,"Brigades: 4,700 total (US 3,000; CS 1,700)","1,700",,,,,,,,,,,,,,,,,1700,1700,
OH001,US,"Brigades: 4,700 total (US 3,000; CS 1,700)","3,000",,,,,,,,,,,,,,,,,3000,3000,
OK006,CS,"Detachments from nine units [US]; two regiments and detachments from two other units (approx. 1,600-1,800) [CS]","two regiments and detachments from two other units (approx. 1,600-1,800)",,,,,,,,,,,,,,,,,1600,1600,
OK006,US,"Detachments from nine units [US]; two regiments and detachments from two other units (approx. 1,600-1,800) [CS]",Detachments from nine units,,,,,,,,,,,,,,,,,,,
MS007,CS,"XVII Army Corps, Army of the Tennessee [US]; Gregg's Task Force (equivalent to a brigade) [CS]",Gregg's Task Force (equivalent to a brigade),,,1,,,,,,,,,,,,,,,,
MS007,US,"XVII Army Corps, Army of the Tennessee [US]; Gregg's Task Force (equivalent to a brigade) [CS]","XVII Army Corps, Army of the Tennessee",,,,,,,,,1,,,,,,,,,,
VA083,CS,"48,352 total (US 34,517; CS 13,835)","13,835",,,,,,,,,,,,,,,,,13835,13835,
VA083,US,"48,352 total (US 34,517; CS 13,835)","34,517",,,,,,,,,,,,,,,,,34517,34517,
TN020,CS,"Department of the Ohio [US]; 1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery [CS]","1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery",,,,,,,,,,,,,,2,,,,,
TN020,US,"Department of the Ohio [US]; 1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery [CS]",Department of the Ohio,,,,,,,,,,,,,,,,,,,
VA004,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA004,US,Brigades,,,,1,,,,,,,,,,,,,,,,
MO025,CS,"Provisional cavalry division [US]; Fagan and Marmaduke's Divisions, Army of Missouri [CS]","Fagan and Marmaduke's Divisions, Army of Missouri",,,,,,,,,,2,,,,,,,,,
MO025,US,"Provisional cavalry division [US]; Fagan and Marmaduke's Divisions, Army of Missouri [CS]",Provisional cavalry division,,,,,,1,,,,,,,,,,,,,
WV008,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV008,US,Brigades,,,,1,,,,,,,,,,,,,,,,
TN014,CS,"2nd Brigade, 5th Division, XIV Army Corps (a combined force of infantry, artillery, and cavalry comprising detachments from six units; approx. 1,300) [US]; Morgan's Cavalry Division (approx. 3,500) [CS]","Morgan's Cavalry Division (approx. 3,500)",,,,,,,,,,,,,,,,,3500,3500,
TN014,US,"2nd Brigade, 5th Division, XIV Army Corps (a combined force of infantry, artillery, and cavalry comprising detachments from six units; approx. 1,300) [US]; Morgan's Cavalry Division (approx. 3,500) [CS]","2nd Brigade, 5th Division, XIV Army Corps (a combined force of infantry, artillery, and cavalry comprising detachments from six units; approx. 1,300)",,,,,,,,,,,,,,,,,1300,1300,
VA077,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA077,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA034,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA034,US,Corps,,,,,,,,,,1,,,,,,,,,,
TN021,CS,"XI Army Corps and 2nd Division, XII Army Corps [US]; Hood's Division [CS]",Hood's Division,,,,,,,,,,1,,,,,,,,,
TN021,US,"XI Army Corps and 2nd Division, XII Army Corps [US]; Hood's Division [CS]","XI Army Corps and 2nd Division, XII Army Corps",,,,,,,,,1,1,,,,,,,,,
VA095,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA095,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA111,CS,"14,000 total (US 8,500; CS 5,500)","5,500",,,,,,,,,,,,,,,,,5500,5500,
VA111,US,"14,000 total (US 8,500; CS 5,500)","8,500",,,,,,,,,,,,,,,,,8500,8500,
VA056,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA056,US,Brigades,,,,1,,,,,,,,,,,,,,,,
LA015,CS,"Godfrey Weitzel's and Cuvier Grover's Divisions, XIX Army Corps [US]; two understrength Confederate brigades [CS]",two understrength Confederate brigades,,,1,,,,,,,,,,,,,,,,
LA015,US,"Godfrey Weitzel's and Cuvier Grover's Divisions, XIX Army Corps [US]; two understrength Confederate brigades [CS]","Godfrey Weitzel's and Cuvier Grover's Divisions, XIX Army Corps",,,,,,,,,,2,,,,,,,,,
ND004,US,"Northwestern Expedition (600-700) [US]; Santee, Yankton, Cut-heads, Hunkapapa and Teton Sioux and Blackfeet (1,200-1,500) [I]",Northwestern Expedition (600-700),,,,,,,,,,,,,,,,,600,600,
ND004,I,"Northwestern Expedition (600-700) [US]; Santee, Yankton, Cut-heads, Hunkapapa and Teton Sioux and Blackfeet (1,200-1,500) [I]","Santee, Yankton, Cut-heads, Hunkapapa and Teton Sioux and Blackfeet (1,200-1,500)",,,,,,,,,,,,,,,,,1200,1200,
TN011,CS,"Two brigades (approx. 3,000 men) [US]; expeditionary brigade [CS]",expeditionary brigade,,,1,,,,,,,,,,,,,,,,
TN011,US,"Two brigades (approx. 3,000 men) [US]; expeditionary brigade [CS]","Two brigades (approx. 3,000 men)",,,,,,,,,,,,,,,,,3000,3000,
GA022,CS,Six corps [US]; two corps [CS],two corps,,,,,,,,,2,,,,,,,,,,
GA022,US,Six corps [US]; two corps [CS],Six corps,,,,,,,,,6,,,,,,,,,,
MO006,CS,"Garrison (approx. 3,500) [US]; Missouri State Guard (12,000) [CS]","Missouri State Guard (12,000)",,,,,,,,,,,,,,,,,12000,12000,
MO006,US,"Garrison (approx. 3,500) [US]; Missouri State Guard (12,000) [CS]","Garrison (approx. 3,500)",,,,,,,,,,,,,,,,,3500,3500,
WV006,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV006,US,Brigades,,,,1,,,,,,,,,,,,,,,,
LA001,CS,West Gulf Blockading Squadron [US]; Garrisons of Forts Jackson and St. Philip and the crews of various ships [CS],Garrisons of Forts Jackson and St. Philip and the crews of various ships,,,,,,,,,,,,,,,,,,,
LA001,US,West Gulf Blockading Squadron [US]; Garrisons of Forts Jackson and St. Philip and the crews of various ships [CS],West Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,
VA089,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA089,US,Armies,,1,,,,,,,,,,,,,,,,,,
MO010,CS,Detachments of the 3rd Missouri Cavalry Regiment (approx. 240) and Birge's Sharpshooters (approx. 200) [US]; unknown [CS],unknown,,,,,,,,,,,,,,,,,,,
MO010,US,Detachments of the 3rd Missouri Cavalry Regiment (approx. 240) and Birge's Sharpshooters (approx. 200) [US]; unknown [CS],Detachments of the 3rd Missouri Cavalry Regiment (approx. 240) and Birge's Sharpshooters (approx. 200),,,,,,,,,,,,,,,,,440,440,
VA021,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA021,US,Armies,,1,,,,,,,,,,,,,,,,,,
GA003,CS,Two divisions [US]; unknown [CS],unknown,,,,,,,,,,,,,,,,,,,
GA003,US,Two divisions [US]; unknown [CS],Two divisions,,,,,,,,,,2,,,,,,,,,
CO001,US,Third Colorado Regiment (approx. 700 men) [US]; 500 Cheyennes and a few Arapahos [I],Third Colorado Regiment (approx. 700 men),,,,,,,,,,,,,,,,,700,700,
CO001,I,Third Colorado Regiment (approx. 700 men) [US]; 500 Cheyennes and a few Arapahos [I],500 Cheyennes and a few Arapahos,,,,,,,,,,,,,,,,,500,500,
AR017,CS,Two brigades of XVI Army Corps [US]; Marmaduke's Division [CS],Marmaduke's Division,,,,,,,,,,1,,,,,,,,,
AR017,US,Two brigades of XVI Army Corps [US]; Marmaduke's Division [CS],Two brigades of XVI Army Corps,,,2,,,,,,,,,,,,,,,,
LA022,CS,Banks's Red River Expeditionary Force [US]; District of West Louisiana [CS],District of West Louisiana,,,,,,,,,,,,,,,,,,,
LA022,US,Banks's Red River Expeditionary Force [US]; District of West Louisiana [CS],Banks's Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,
MO004,CS,Army of the West [US]; Missouri State Guard and McCulloch's Brigade [CS],Missouri State Guard and McCulloch's Brigade,,,,,,,,,,,,,,,,,,,
MO004,US,Army of the West [US]; Missouri State Guard and McCulloch's Brigade [CS],Army of the West,1,,,,,,,,,,,,,,,,,,
VA032,CS,"154,734 total (US 97,382; CS 57,352)","57,352",,,,,,,,,,,,,,,,,57352,57352,
VA032,US,"154,734 total (US 97,382; CS 57,352)","97,382",,,,,,,,,,,,,,,,,97382,97382,
LA017,CS,"3rd Division, XVI Army Corps [US]; Fort DeRussy Garrison (approx. 350 men) [CS]",Fort DeRussy Garrison (approx. 350 men),,,,,,,,,,,,,,,,,350,350,
LA017,US,"3rd Division, XVI Army Corps [US]; Fort DeRussy Garrison (approx. 350 men) [CS]","3rd Division, XVI Army Corps",,,,,,,,,,1,,,,,,,,,
VA107,CS,"19,500 total (US 7,000; CS 12,500)","12,500",,,,,,,,,,,,,,,,,12500,12500,
VA107,US,"19,500 total (US 7,000; CS 12,500)","7,000",,,,,,,,,,,,,,,,,7000,7000,
VA086,CS,"65,277 total (US 45,247; CS 20,030)","20,030",,,,,,,,,,,,,,,,,20030,20030,
VA086,US,"65,277 total (US 45,247; CS 20,030)","45,247",,,,,,,,,,,,,,,,,45247,45247,
MD002,CS,Corps,,,,,,,,,,1,,,,,,,,,,
MD002,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA020,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA020,US,Armies,,1,,,,,,,,,,,,,,,,,,
TN027,CS,"Cavalry Corps, Army of the Ohio and 1st Brigade, 2nd Division, XXIII Army Corps [US]; Longstreet's Cavalry, Department of East Tennessee (Sturgis reported that the Confederate cavalry was supported by a brigade of infantry; approx. 2,000 men) [CS]","Longstreet's Cavalry, Department of East Tennessee (Sturgis reported that the Confederate cavalry was supported by a brigade of infantry; approx. 2,000 men)",,,,,,,,,,,,,,,,,2000,2000,
TN027,US,"Cavalry Corps, Army of the Ohio and 1st Brigade, 2nd Division, XXIII Army Corps [US]; Longstreet's Cavalry, Department of East Tennessee (Sturgis reported that the Confederate cavalry was supported by a brigade of infantry; approx. 2,000 men) [CS]","Cavalry Corps, Army of the Ohio and 1st Brigade, 2nd Division, XXIII Army Corps",,,,,1,,,,,,,,,,,,,,
GA027,CS,"3rd Cavalry Division, Military Division of the Mississippi [US]; Cavalry Command, Army of Tennessee [CS]","Cavalry Command, Army of Tennessee",,,,,,,,,,,,,,,,,,,
GA027,US,"3rd Cavalry Division, Military Division of the Mississippi [US]; Cavalry Command, Army of Tennessee [CS]","3rd Cavalry Division, Military Division of the Mississippi",,,,,,1,,,,,,,,,,,,,
VA078,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA078,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA071,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA071,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA110,CS,"10,365 total (US 6,275; CS 4,090)","4,090",,,,,,,,,,,,,,,,,4090,4090,
VA110,US,"10,365 total (US 6,275; CS 4,090)","6,275",,,,,,,,,,,,,,,,,6275,6275,
AL006,CS,XIII and XVI Corps [US]; Fort Blakely Garrison [CS],Fort Blakely Garrison,,,,,,,,,,,,,,,,,,,
AL006,US,XIII and XVI Corps [US]; Fort Blakely Garrison [CS],XIII and XVI Corps,,,,,,,,,,,,,,,,,,,
SC005,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
SC005,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA062,CS,"170,000 total (US 108,000; CS 62,000)","62,000",,,,,,,,,,,,,,,,,62000,62000,
VA062,US,"170,000 total (US 108,000; CS 62,000)","108,000",,,,,,,,,,,,,,,,,108000,108000,
TN031,CS,Troops stationed at Memphis [US]; Forrest's Cavalry (approx. 400) [CS],Forrest's Cavalry (approx. 400),,,,,,,,,,,,,,,,,400,400,
TN031,US,Troops stationed at Memphis [US]; Forrest's Cavalry (approx. 400) [CS],Troops stationed at Memphis,,,,,,,,,,,,,,,,,,,
VA044,CS,"Armies: 114,069 total (US 69,643; CS 44,426)","44,426",,,,,,,,,,,,,,,,,44426,44426,
VA044,US,"Armies: 114,069 total (US 69,643; CS 44,426)","69,643",,,,,,,,,,,,,,,,,69643,69643,
SC009,CS,Regiments: total unknown (US 413; CS unknown),unknown,,,,,,,,,,,,,,1,,,,,
SC009,US,Regiments: total unknown (US 413; CS unknown),413,,,,,,,,,,,,,,,,,413,413,
TX002,CS,None,,,,,,,,,,,,,,,,,,,,
TX002,US,None,,,,,,,,,,,,,,,,,,,,
TN015,CS,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400) [US]; Forrest's Division [CS]",Forrest's Division,,,,,,,,,,1,,,,,,,,,
TN015,US,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400) [US]; Forrest's Division [CS]","Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400)",,,,,,,,,,,,,,,,,400,400,
VA033,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA033,US,Corps,,,,,,,,,,1,,,,,,,,,,
WV015,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
WV015,US,Divisions,,,,,,,,,,,1,,,,,,,,,
OK001,CS,Creek and Seminole [I]; Indian Department [CS],Indian Department,,,,,,,,,,,,,,,,,,,
OK001,I,Creek and Seminole [I]; Indian Department [CS],Creek and Seminole,,,,,,,,,,,,,,,,,,,
VA024,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA024,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA075,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA075,US,Armies,,1,,,,,,,,,,,,,,,,,,
NC007,CS,"Department of North Carolina, 1st Division [US]; Evans's Brigade [CS]",Evans's Brigade,,,1,,,,,,,,,,,,,,,,
NC007,US,"Department of North Carolina, 1st Division [US]; Evans's Brigade [CS]","Department of North Carolina, 1st Division",,,,,,,,,,1,,,,,,,,,
KY002,CS,"Camp Wildcat Garrison and Schoepf's Brigade (approx. 7,000 men) [US]; Zollicoffer's Brigade [CS]",Zollicoffer's Brigade,,,1,,,,,,,,,,,,,,,,
KY002,US,"Camp Wildcat Garrison and Schoepf's Brigade (approx. 7,000 men) [US]; Zollicoffer's Brigade [CS]","Camp Wildcat Garrison and Schoepf's Brigade (approx. 7,000 men)",,,,,,,,,,,,,,,,,7000,7000,
NC011,CS,6 regiments and artillery units [US]; Hill's Division [CS],Hill's Division,,,,,,,,,,1,,,,,,,,,
NC011,US,6 regiments and artillery units [US]; Hill's Division [CS],6 regiments and artillery units,,,,,,,,,,,,,,6,,,,,
MN001,US,Fort Ridgely Garrison and refugee civilians [US]; Santee Sioux [I],Fort Ridgely Garrison and refugee civilians,,,,,,,,,,,,,,,,,,,
MN001,I,Fort Ridgely Garrison and refugee civilians [US]; Santee Sioux [I],Santee Sioux,,,,,,,,,,,,,,,,,,,
LA009,CS,"1st Division, XIX Army Corps and Cavalry Brigade [US]; small combined infantry, artillery, and cavalry force [CS]","small combined infantry, artillery, and cavalry force",,,,,,,,,,,,,,,,,,,
