battle,state,location
AR001,AR,Benton County
MS001,MS,Tishomingo County
VA100,VA,Prince William County
VA100,MD,Charles County
WV006,WV,Nicholas County
WV006,WV,Fayette County
KY008,KY,Hart County
NC001,NC,Dare County
NC001,NC,Hyde County
ID001,ID,Franklin County
VA017,VA,Hanover County
VA018,VA,Henrico County
OK007,OK,Muskogee County
OK007,OK,McIntosh County
MO025,MO,Jackson County
MO023,MO,Lafayette County
TN012,TN,Stewart County
ND001,ND,Kidder County
NC012,NC,Washington County
NC012,NC,Bertie County
NC012,NC,Martin County
MS014,MS,Prentiss County
MS014,MS,Union County
MS014,MS,Tippah County
MS014,MS,Lee County
TN020,TN,Greene County
VA108,VA,Warren County
NC009,NC,Wayne County
MS015,MS,Lee County
MO007,MO,Madison County
TN007,TN,Hardeman County
TN007,TN,McNairy County
TN007,MS,Alcorn County
VA015,VA,Henrico County
VA096,VA,Appomattox County
VA109,VA,Wythe County
LA001,LA,Plaquemines Parish
LA008,LA,Lafayette Parish
GA019,GA,Fulton County
TN008,TN,Trousdale County
LA009,LA,East Baton Rouge Parish
VA035,VA,Culpeper County
VA035,VA,Fauquier County
WV005,WV,Randolph County
WV005,WV,Pocahontas County
TN016,TN,Williamson County
VA079,VA,Dinwiddie County
MO008,MO,Greene County
AR014,AR,Ouachita County
VA057,VA,Hanover County
NC004,NC,Carteret County
VA039,VA,Fauquier County
MO015,MO,Jackson County
MO015,MO,Johnson County
MO015,MO,Lafayette County
AR002,AR,Arkansas County
LA004,LA,Ascension Parish
TN015,TN,Williamson County
AL007,AL,Dallas County
VA120,VA,Shenandoah County
PA002,PA,Adams County
MO029,MO,Newton County
VA116,VA,Frederick County
VA116,VA,City of Winchester
NC013,NC,Chowan County
NC013,NC,Bertie County
NC013,NC,Washington County
MO012,MO,New Madrid County
MO012,TN,Lake County
MO012,KY,Fulton County
VA073,VA,Dinwiddie County
NC006,NC,Beaufort County
NC006,NC,Pitt County
TN024,TN,Hamilton County
TN024,TN,City of Chattanooga
MO026,MO,Jackson County
LA015,LA,Ascension Parish
LA015,LA,Assumption Parish
VA026,VA,Prince William County
SC003,SC,City of Charleston
MO014,MO,Jackson County
KY006,KY,Pulaski County
KY006,KY,Wayne County
AL004,AL,Lawrence County
AL004,AL,Limestone County
AL004,AL,Morgan County
SC001,SC,City of Charleston
VA007,VA,Fairfax County
VA059,VA,Hanover County
VA043,VA,Fauquier County
VA043,VA,Culpeper County
AR013,AR,Nevada County
TN009,TN,Madison County
TN022,TN,Shelby County
SC010,SC,Jasper County
LA018,LA,DeSoto Parish
AL001,AL,Cullman County
AL001,AL,Morgan County
DC001,DC,District of Columbia
VA072,VA,Dinwiddie County
PA001,PA,York County
NC008,NC,Wayne County
NC008,NC,Duplin County
VA114,VA,Clarke County
VA111,VA,Augusta County
VA110,VA,Shenandoah County
VA110,VA,Rockingham County
VA055,VA,Caroline County
VA055,VA,Hanover County
MO018,MO,Greene County
NC002,NC,Dare County
GA028,GA,Bryan County
GA028,GA,Chatham County
MO009,MO,Mississippi County
MO009,KY,Hickman County
LA019,LA,DeSoto Parish
LA019,LA,Sabine Parish
AR010,AR,Pulaski County
VA056,VA,Charles City County
VA056,VA,Prince George County
AR016,AR,Grant County
VA115,VA,Frederick County County
VA115,VA,City of Winchester
WV012,WV,Pocahontas County
WV012,WV,Greenbrier County
VA078,VA,Henrico County
OH002,OH,Columbiana County
VA020,VA,Henrico County
MS013,MS,Chickasaw County
MS013,MS,Pontotoc County
MS013,MS,Monroe County
MS013,MS,Clay County
VA117,VA,Warren County
TN014,TN,Rutherford County
VA063,VA,City of Petersburg
VA041,VA,Fauquier County
VA071,VA,Henrico County
VA024,VA,Prince William County
GA022,GA,Clayton County
VA089,VA,City of Petersburg
OK006,OK,Mayes County
MD002,MD,Frederick County
MD002,MD,Washington County
OK002,OK,Tulsa County
GA025,GA,Jones County
GA025,GA,Twiggs County
TN004,TN,Shelby County
TN004,AR,Crittenden County
NC007,NC,Lenoir County
WV010,WV,Jefferson County
WV010,MD,Washington County
WV010,VA,Loudoun County
AR009,AR,Sebastian County
VA030,VA,City of Suffolk
VA030,VA,Isle of Wight County
GA016,GA,Fulton County
VA036,VA,Loudoun County
MO028,MO,Vernon County
MO028,KS,Bourbon County
VA091,VA,Amelia County
LA007,LA,St. Mary Parish
TN026,TN,Grainger County
IN001,IN,Harrison County
IN001,KY,Meade County
NC016,NC,New Hanover County
NC016,NC,Brunswick County
MD003,MD,Washington County
MD003,WV,Jefferson County
KY010,KY,McCracken County
MO004,MO,Greene County
MO004,MO,Christian County
MD008,MD,Allegany County
VA040,VA,Prince William County
KS002,KS,Cherokee County
TX002,TX,Galveston County
LA020,LA,Red River Parish
LA020,LA,Natchitoches Parish
KY009,KY,Boyle County
GA008,GA,Gordon County
GA008,GA,Whitfield County
VA009,VA,York County
VA009,VA,City of Newport News
NM001,NM,Socorro County
VA047,VA,Chesterfield County
TN011,TN,Henderson County
GA004,GA,Catoosa County
GA004,GA,Walker County
GA004,TN,City of Chattanooga
GA012,GA,Paulding County
MD004,MD,Washington County
MD004,WV,Berkeley County
MD004,PA,Franklin County
GA005,GA,Catoosa County
NC020,NC,Johnston County
NC020,NC,Sampson County
NC020,NC,Wayne County
MO010,MO,Boone County
MS003,MS,Warren County
VA034,VA,City of Fredericksburg
AL006,AL,Baldwin County
VA092,VA,Prince Edward County
WV014,WV,Jefferson County
WV014,VA,Clarke County
WV014,VA,Frederick County
MS012,MS,Lauderdale County
VA031,VA,City of Suffolk
VA080,VA,Henrico County
VA005,VA,Fairfax County
VA005,VA,Prince William County
NM002,NM,Santa Fe County
NM002,NM,San Miguel County
OK004,OK,Delaware County
OK004,AR,Benton County
GA001,GA,Chatham County
GA001,SC,Jasper County
VA094,VA,Cumberland County
AR005,AR,Washington County
VA037,VA,Loudoun County
VA074,VA,Dinwiddie County
VA122,VA,Frederick County
VA122,VA,Shenandoah County
VA122,VA,Warren County
VA105,VA,Rockingham County
MS011,MS,Warren County
ND002,ND,Kidder County
TN025,TN,Knox County
WV004,WV,Nicholas County
WV004,WV,Fayette County
KS003,KS,Linn County
GA010,GA,Paulding County
MO001,MO,Cooper County
MO001,MO,Howard County
TN032,TN,Benton County
LA023,LA,Avoyelles Parish
LA023,LA,Point Coupee Parish
GA020,GA,Whitfield County
GA020,GA,Gordon County
NC018,NC,Cumberland County
NC018,NC,Hoke County
NC018,NC,Moore County
GA006,GA,Whitfield County
GA006,GA,Catoosa County
LA006,LA,St. Mary Parish
LA006,LA,St. Martin Parish
NC017,NC,Lenoir County
NC017,NC,Craven County
NC017,NC,Jones County
AR008,AR,Phillips County
MO011,MO,Randolf County
MO011,MO,Howard County
AR011,AR,Jefferson County
VA051,VA,Chesterfield County
VA084,VA,City of Petersburg
MD007,MD,Frederick County
VA053,VA,Chesterfield County
VA050,VA,Chesterfield County
AR006,AR,Arkansas County
VA106,VA,Rockingham County
LA002,LA,St. Bernard Parish
LA002,LA,Orleans Parish
LA002,LA,Plaquemines Parish
LA002,LA,Jefferson Parish
VA019,VA,Henrico County
VA081,VA,Smyth County
OH001,OH,Meigs County
FL004,FL,City of Tampa
VA107,VA,Frederick County
VA107,VA,City of Winchester
MO002,MO,Jasper County
AL003,AL,Mobile County
AL003,AL,Baldwin County
LA014,LA,East Carroll Parish
LA014,MS,Isaquena County
SC002,SC,City of Charleston
MS005,MS,Warren County
VA029,VA,Culpeper County
VA029,VA,Fauquier Counties
MS009,MS,Hinds County
NC015,NC,New Hanover County
NC015,NC,Brunswick County
ND004,ND,Dickey County
VA065,VA,Dinwiddie County
VA065,VA,City of Petersburg
GA002,GA,Bryan County
GA002,GA,Chatham County
VA095,VA,Prince Edward County
VA095,VA,Cumberland County
MO013,MO,Adair County
MO013,MO,Macon County
TN031,TN,Shelby County
GA009,GA,Gordon County
GA009,GA,Bartow County
VA097,VA,Appomattox County
WV015,WV,Jefferson County
WV015,WV,Berkeley County
VA077,VA,Henrico County
GA011,GA,Paulding County
MO020,MO,Cape Girardeau County
MO020,IL,Alexander County
TX001,TX,Jefferson County
MD001,MD,Washington County
MD001,WV,Morgan County
KY002,KY,Laurel County
VA001,VA,City of Norfolk
TN013,TN,Williamson County
ND005,ND,Dunn County
TN019,TN,Sullivan County
WV009,WV,Mercer County
VA045,VA,Orange County
VA045,VA,Culpeper County
TN010,TN,Rutherford County
VA066,VA,Charles City County
MS010,MS,Hinds County
MS010,MS,Warren County
NC005,NC,Camden County
VA068,VA,Dinwiddie County
AR018,AR,Pulaski County
TN023,TN,Knox County
MD006,MD,Washington County
MO003,MO,Clay County
MO003,MO,Jackson County
SC009,SC,Charleston County
MS007,MS,Hinds County
FL001,FL,Escambia County
SC011,SC,Bamberg County
AR003,AR,Woodruff County
VA025,VA,Fauquier County
VA025,VA,Prince William County
TX003,TX,Galveston County
VA125,VA,King County
VA125,VA,Queen County
VA049,VA,Pulaski County
TN029,TN,Sevier County
MO027,MO,Jackson County
VA022,VA,Culpeper County
VA006,VA,Loudoun County
VA006,MD,Montgomery County
VA086,VA,Dinwiddie County
CO001,CO,Kiowa County
MO019,MO,Wright County
MO019,MO,Webster County
VA085,VA,Dinwiddie County
WV013,WV,Hardy County
WV013,WV,Hampshire County
WV013,WV,Mineral County
VA101,VA,Frederick County
VA101,VA,City of Winchester
NC014,NC,New Hanover County
VA070,VA,City of Petersburg
VA102,VA,Highland County
VA102,VA,Augusta County
FL003,FL,Duval County
VA054,VA,Chesterfield County
TX006,TX,Jefferson County
VA016,VA,Hanover County
VA028,VA,Spotsylvania County
VA028,VA,City of Fredericksburg
GA015,GA,Cobb County
TN035,TN,Maury County
VA032,VA,Spotsylvania County
VA032,VA,Stafford County
KS004,KS,Linn County
MO017,MO,Douglas County
MS002,MS,Alcorn County
MS002,TN,McNairy County
TN038,TN,Davidson County
OK003,OK,Osage County
TN030,TN,Lauderdale County
VA038,VA,Loudoun County
VA064,VA,City of Lynchburg
TN018,TN,Hamilton County
TN018,TN,City of Chattanooga
GA007,GA,Whitfield County
GA007,GA,Catoosa County
GA007,GA,Walker County
GA007,GA,Gordon County
OK001,OK,Not determined
AR012,AR,Nevada County
AR012,AR,Clark County
TX005,TX,Cameron County
VA067,VA,Sussex County
MO005,MO,Vernon County
KY005,KY,Floyd County
VA103,VA,Warren County
VA008,VA,City of Hampton
LA022,LA,Avoyelles Parish
VA087,VA,Dinwiddie County
MS008,MS,Hinds County
VA042,VA,Fauquier County
VA042,VA,Prince William Counties
GA026,GA,Burke County
GA026,GA,Jenkins County
NC003,NC,Craven County
NC011,NC,Beaufort County
NC011,NC,Craven County
VA021,VA,Henrico County
LA012,LA,Lafourche Parish
LA012,LA,Assumption Parish
VA003,VA,York County
VA003,VA,Hampton County
SC006,SC,City of Charleston
VA011,VA,New Kent County
VA046,VA,Spotsylvania County
VA046,VA,Orange County
VA046,VA,Culpeper County
MS004,MS,Claiborne County
MS004,LA,Tensas Parish
TN036,TN,Williamson County
TN036,TN,City of Franklin
WV008,WV,Pocahontas County
WV008,WV,Randolph County
MO006,MO,Lafayette County
VA083,VA,Dinwiddie County
MN002,MN,Yellow Medicine County
VA010,VA,York County
VA010,VA,City of Williamsburg
NC010,NC,Craven County
NC010,NC,Jones County
MS016,MS,Alcorn County
MS016,TN,Hardin County
MS016,TN,McNairy County
TN037,TN,Rutherford County
TN028,TN,Jefferson County
LA003,LA,East Baton Rouge Parish
LA003,LA,West Baton Rouge Parish
GA003,GA,Dade County
GA003,GA,Catoosa County
GA003,GA,Walker County
WV007,WV,Pocahontas County
WV007,WV,Randolph County
AR007,AR,Clay County
SC004,SC,City of Charleston
VA048,VA,Spotsylvania County
NC019,NC,Harnett County
NC019,NC,Cumberland County
VA121,VA,Shenandoah County
MO022,MO,Howard County
MO022,MO,Saline County
VA088,VA,Dinwiddie County
