battle,combatant,fullname,rank
LA020,US,David D. Porter,Rear Admiral
LA011,CS,Henry E. McCulloch,Brigadier General
LA011,US,Hermann Lieb,Colonel
GA021,CS,William H. Jackson,Brigadier General
GA021,US,H. Judson Kilpatrick,Brigadier General
MS004,CS,John S. Bowen,Brigadier General
MS004,US,David D. Porter,Rear Admiral
NC003,US,Ambrose E. Burnside,Brigadier General
VA039,CS,J.E.B. Stuart,Major General
VA039,US,William H. French,Major General
WV004,CS,John Floyd,Brigadier General
WV004,US,Erastus Tyler,Colonel
SC007,CS,P.G.T. Beauregard,General
SC007,US,Quincy Gillmore,Major General
GA018,CS,John Bell Hood,General
GA018,US,Oliver O. Howard,Major General
TN030,CS,Nathan Bedford Forrest,Major General
TN030,US,Lionel F. Booth,Major
TN030,US,William F. Bradford,Major
MS002,CS,Earl Van Dorn,Major General
MS002,US,William S. Rosecrans,Major General
VA038,CS,Wade Hampton,Brigadier General
VA038,CS,Beverly Robertson,Brigadier General
VA038,US,Alfred Pleasonton,Major General
GA019,CS,John Bell Hood,General
GA019,US,John M. Schofield,Major General
VA106,CS,Thomas J. Jackson,Major General
VA106,US,Erastus Tyler,Brigadier General
MO018,CS,John S. Marmaduke,Brigadier General
MO018,US,Egbert B. Brown,Brigadier General
VA009,CS,John B. Magruder,Major General
VA009,CS,Joseph E. Johnston,General
VA009,US,George B. McClellan,Major General
NC011,CS,D.H. Hill,Major General
NC011,US,John G. Foster,Brigadier General
VA002,CS,Daniel Ruggles,Colonel
VA002,US,James H. Ward,Commander
TN001,CS,Lloyd Tilghman,Brigadier General
TN001,US,Ulysses S. Grant,Brigadier General
TN001,US,Andrew H. Foote,Flag Officer
TN035,CS,John Bell Hood,General
TN035,US,John M. Schofield,Major General
MO017,CS,John Q. Burbridge,Colonel
MO017,CS,Colton Greene,Colonel
MO017,US,Hiram E. Barstow,Captain
WV003,CS,John Pegram,Lieutenant Colonel
WV003,CS,Robert S. Garnett,Brigadier General
WV003,US,George B. McClellan,Major General
WV003,US,William S. Rosecrans,Brigadier General
ND004,US,Alfred Sully,Brigadier General
ND004,I,Inkpaduta,Chief
VA033,CS,Robert E. Lee,General
VA033,US,John Sedgwick,Major General
GA025,CS,Pleasant J. Philips,Brigadier General
GA025,CS,Joseph Wheeler,Major General
GA025,US,Charles C. Walcutt,Brigadier General
MO028,CS,Sterling Price,Major General
MO028,US,John McNeil,Brigadier General
AR013,CS,Sterling Price,Major General
AR013,US,Fred Steele,Major General
AL003,CS,Franklin Buchanan,Admiral
AL003,CS,Richard L. Page,Brigadier General
AL003,US,David G. Farragut,Admiral
AL003,US,Gordon Granger,Major General
VA058,CS,Fitzhugh Lee,Major General
VA058,CS,Wade Hampton,Major General
VA058,US,David M. Gregg,Brigadier General
DC001,CS,Jubal A. Early,Lieutenant General
DC001,US,Horatio G. Wright,Major General
DC001,US,Alexander McDowell McCook,Major General
WV010,CS,Thomas J. Jackson,Major General
WV010,US,Dixon S. Miles,Colonel
KS004,CS,John S. Marmaduke,Major General
KS004,CS,James F. Fagan,Major General
KS004,US,Alfred Pleasonton,Major General
AL005,CS,Randall L. Gibson,Brigadier General
AL005,US,E.R.S. Canby,Major General
OK001,CS,Douglas H. Cooper,Colonel
OK001,I,Opothleyahola,Chief
VA084,CS,Robert E. Lee,General
VA084,CS,John B. Gordon,Major General
VA084,US,John G. Parke,Major General
MO019,CS,John S. Marmaduke,Brigadier General
MO019,US,Samuel Merrill,Colonel
VA104,CS,Thomas J. Jackson,Major General
VA104,US,Nathaniel P. Banks,Major General
LA009,CS,Frank P. Powers,Colonel
LA009,CS,William R. Miles,Colonel
LA009,US,Christopher C. Augur,Major General
NC009,CS,Thomas Clingman,Brigadier General
NC009,US,John G. Foster,Brigadier General
AR002,US,Graham N. Fitch,Colonel
AR002,US,Augustus H. Kilty,Commander
NC008,CS,Beverly Robertson,Brigadier General
NC008,US,John G. Foster,Brigadier General
MO021,CS,Sterling Price,Major General
MO021,US,Thomas Ewing Jr.,Brigadier General
VA118,CS,Jubal A. Early,Lieutenant General
VA118,US,Philip Sheridan,Major General
MO012,CS,John P. McCown,Brigadier General
MO012,CS,William W. Mackall,Brigadier General
MO012,US,John Pope,Brigadier General
MO012,US,Andrew H. Foote,Flag Officer
GA008,CS,Joseph E. Johnston,General
GA008,US,William T. Sherman,Major General
AL007,CS,Nathan Bedford Forrest,Lieutenant General
AL007,US,James Wilson,Major General
AR008,CS,Theophilus H. Holmes,Lieutenant General
AR008,US,Benjamin M. Prentiss,Major General
KY007,CS,E. Kirby Smith,Major General
KY007,US,William Nelson,Major General
MN002,US,Henry Hastings Sibley,Colonel
MN002,I,Little Crow,Chief
VA110,CS,John C. Breckinridge,Major General
VA110,US,Franz Sigel,Major General
VA037,CS,J.E.B. Stuart,Major General
VA037,US,David M. Gregg,Brigadier General
LA017,CS,William Byrd,Lieutenant Colonel
LA017,US,A.J. Smith,Brigadier General
LA017,US,Joseph A. Mower,Brigadier General
TN006,CS,Nathan Bedford Forrest,Brigadier General
TN006,US,Thomas T. Crittenden,Brigadier General
LA007,CS,Richard Taylor,Major General
LA007,US,Cuvier Grover,Brigadier General
TN011,CS,Nathan Bedford Forrest,Brigadier General
TN011,US,Jeremiah C. Sullivan,Brigadier General
TN022,CS,James R. Chalmers,Brigadier General
TN022,US,Edward Hatch,Colonel
FL002,CS,J.W. Pearson,Captain
FL002,US,A.J. Drake,Captain (Naval)
TN005,CS,E. Kirby Smith,Major General
TN005,US,James Negley,Brigadier General
VA078,CS,Richard Anderson,Lieutenant General
VA078,US,Alfred H. Terry,Major General
PA001,CS,J.E.B. Stuart,Major General
PA001,US,H. Judson Kilpatrick,Brigadier General
LA012,CS,James P. Major,Colonel
LA012,US,Albert Stickney,Lieutenant Colonel
KS001,CS,William C. Quantrill,Lieutenant Colonel
VA080,CS,James Longstreet,Lieutenant General
VA080,US,Benjamin Butler,Major General
NC020,CS,Joseph E. Johnston,General
NC020,US,William T. Sherman,Major General
NC020,US,Henry Slocum,Major General
VA035,CS,J.E.B. Stuart,Major General
VA035,US,Alfred Pleasonton,Major General
NC012,CS,Robert Hoke,Major General
NC012,US,Henry W. Wessells,Colonel
LA010,CS,Franklin Gardner,Major General
LA010,US,Nathaniel P. Banks,Major General
AR005,CS,Thomas C. Hindman,Major General
AR005,US,Francis J. Herron,Brigadier General
AR005,US,James G. Blunt,Brigadier General
KY006,CS,George B. Crittenden,Major General
KY006,US,George H. Thomas,Brigadier General
AR001,CS,Earl Van Dorn,Major General
AR001,US,Samuel R. Curtis,Major General
NC015,CS,Braxton Bragg,General
NC015,CS,Robert Hoke,Major General
NC015,CS,Charles Lamb,Colonel
NC015,US,David D. Porter,Rear Admiral
NC015,US,Alfred Terry,Major General
OK007,CS,Douglas H. Cooper,Brigadier General
OK007,US,James G. Blunt,Major General
WV015,CS,Jubal A. Early,Lieutenant General
WV015,US,Wesley Merritt,Brigadier General
TX002,CS,Joseph J. Cook,Colonel
TX002,CS,X.B. Debray,Colonel
TX002,US,W.B. Renshaw,Commander
WV014,CS,Jubal A. Early,Lieutenant General
WV014,US,Philip Sheridan,Major General
VA100,CS,Samuel G. French,Brigadier General
VA100,US,R.H. Wyman,Lieutenant
FL001,US,Harvey Brown,Colonel
TN036,CS,John Bell Hood,General
TN036,US,John M. Schofield,Major General
KY004,CS,Thomas C. Hindman,Brigadier General
KY004,US,August Willich,Colonel
VA070,CS,Robert E. Lee,General
VA070,US,Ambrose E. Burnside,Major General
KY010,CS,Nathan Bedford Forrest,Major General
KY010,US,Stephen G. Hicks,Colonel
KY010,US,James W. Shirk,Lieutenant Commander
VA020A,CS,Thomas J. Jackson,Major General
VA020A,US,William B. Franklin,Major General
TN033,CS,John C. Breckinridge,Major General
TN033,US,Alvan C. Gillem,Brigadier General
GA016,CS,John Bell Hood,General
GA016,US,George H. Thomas,Major General
TX001,CS,J.S. Irvine,Major
TX001,US,Frederick Crocker,Acting Master
VA001,CS,Walter Gwynn,Brigadier General
VA001,CS,Peyton Colquitt,Captain
VA001,US,D.L. Braine,Lieutenant (Naval)
VA066,CS,Wade Hampton,Major General
VA066,US,Philip Sheridan,Major General
TN038,CS,John Bell Hood,General
TN038,US,George H. Thomas,Major General
TN034,CS,John Bell Hood,General
TN034,US,John M. Schofield,Major General
NC017,CS,Braxton Bragg,General
NC017,US,John M. Schofield,Major General
AL004,CS,John Bell Hood,General
AL004,US,Robert S. Granger,Brigadier General
VA042,CS,J.E.B. Stuart,Major General
VA042,US,H. Judson Kilpatrick,Major General
ND005,US,Alfred Sully,Brigadier General
ND005,I,Inkpaduta,Chief
TN008,CS,John Hunt Morgan,Brigadier General
TN008,US,Absalom B. Moore,Colonel
AR009,CS,W.L. Cabell,Brigadier General
AR009,US,William F. Cloud,Colonel
VA069,CS,Charles Field,Major General
VA069,US,Winfield Scott Hancock,Major General
SC005,CS,P.G.T. Beauregard,General
SC005,US,Qunicy Gillmore,Brigadier General
KS003,CS,John S. Marmaduke,Brigadier General
KS003,CS,James F. Fagan,Major General
KS003,US,Alfred Pleasonton,General
ND001,US,Henry Hastings Sibley,Brigadier General
ND001,I,Inkpaduta,Chief
KY008,CS,James R. Chalmers,Brigadier General
KY008,CS,Braxton Bragg,General
KY008,US,Cyrus L. Dunham,Colonel
KY008,US,John T. Wilder,Colonel
MD006,CS,J.E.B. Stuart,Major General
MD006,US,Alfred Pleasonton,Major General
VA082,CS,John C. Breckinridge,Major General
VA082,US,George Stoneman,Major General
VA124,CS,Fitzhugh Lee,Major General
VA124,US,George A. Custer,Major General
VA086,CS,George Pickett,Major General
VA086,CS,Fitzhugh Lee,Major General
VA086,US,Philip Sheridan,Major General
VA098,CS,P.G.T. Beauregard,General
VA098,US,Quincy Gillmore,Major General
AL001,CS,Nathan Bedford Forrest,Brigadier General
AL001,US,Abel Streight,Colonel
VA049,CS,Albert Jenkins,Brigadier General
VA049,US,George Crook,Brigadier General
LA006,CS,Richard Taylor,Major General
LA006,US,Nathaniel P. Banks,Major General
FL006,CS,Sam Jones,Major General
FL006,US,John Newton,Major General
GA004,CS,Braxton Bragg,General
GA004,CS,James Longstreet,Lieutenant General
GA004,US,William S. Rosecrans,Major General
GA004,US,George H. Thomas,Major General
VA109,CS,William E. Jones,Brigadier General
VA109,US,William W. Averell,Brigadier General
KS002,CS,William C. Quantrill,Lieutenant Colonel
KS002,US,James B. Pond,Lieutenant
KS002,US,James G. Blunt,Major General
GA007,CS,Joseph E. Johnston,General
GA007,US,William T. Sherman,Major General
WV006,CS,John Floyd,Brigadier General
WV006,US,William S. Rosecrans,Brigadier General
VA021,CS,Robert E. Lee,General
VA021,US,George B. McClellan,Major General
SC004,CS,P.G.T. Beauregard,General
SC004,US,S.F. Du Pont,Rear Admiral
PA002,CS,Robert E. Lee,General
PA002,US,George G. Meade,Major General
KY009,CS,Braxton Bragg,General
KY009,US,Don Carlos Buell,Major General
VA077,CS,Robert E. Lee,General
VA077,US,August Kautz,Brigadier General
VA077,US,David Birney,Major General
MS014,CS,Nathan Bedford Forrest,Major General
MS014,US,Samuel D. Sturgis,Brigadier General
NC013,CS,J.W. Cooke,Commander
NC013,US,Melancton Smith,Captain (Naval)
GA010,CS,Joseph E. Johnston,General
GA010,US,William T. Sherman,Major General
GA010,US,Joseph Hooker,Major General
GA011,CS,Joseph E. Johnston,General
GA011,US,William T. Sherman,Major General
TX006,CS,Richard W. Dowling,Lieutenant
TX006,US,William B. Franklin,Major General
TX006,US,Frederick Crocker,Captain (Naval)
LA016,CS,Tom Green,Brigadier General
LA016,US,Napoleon J.T. Dana,Major General
TN002,US,Ulysses S. Grant,Brigadier General
TN002,US,Andrew H. Foote,Flag Officer
TN003,CS,Albert Sidney Johnston,General
TN003,CS,P.G.T. Beauregard,General
TN003,US,Ulysses S. Grant,Major General
TN003,US,Don Carlos Buell,Major General
TN007,CS,Earl Van Dorn,Major General
TN007,US,Edward O.C. Ord,Major General
TN007,US,Stephen A. Hurlbut,Major General
VA040,CS,A.P. Hill,Lieutenant General
VA040,US,G.K. Warren,Major General
MO003,US,John Scott,Lieutenant Colonel
AR007,CS,John S. Marmaduke,Brigadier General
AR007,US,William Vandever,Brigadier General
VA018,CS,John B. Magruder,Major General
VA018,US,George B. McClellan,Major General
VA057,CS,Robert E. Lee,General
VA057,US,Ulysses S. Grant,Lieutenant General
VA057,US,George G. Meade,Major General
VA036,CS,Thomas Munford,Colonel
VA036,US,H. Judson Kilpatrick,Brigadier General
TN031,CS,Nathan Bedford Forrest,Brigadier General
TN031,US,C.C. Washburn,Major General
VA025,CS,James Longstreet,Lieutenant General
VA025,US,James Ricketts,Brigadier General
NC016,CS,Braxton Bragg,General
NC016,US,John M. Schofield,Major General
LA021,CS,Hamilton P. Bee,Brigadier General
LA021,US,Nathaniel P. Banks,Major General
GA027,CS,Joseph Wheeler,Major General
GA027,US,H. Judson Kilpatrick,Brigadier General
VA097,CS,Robert E. Lee,General
VA097,US,Ulysses S. Grant,Lieutenant General
MD008,CS,John McCausland,Brigadier General
MD008,US,Benjamin F. Kelly,Brigadier General
VA117,CS,Richard Anderson,Lieutenant General
VA117,US,Wesley Merritt,Brigadier General
VA102,CS,Thomas J. Jackson,Major General
VA102,US,Robert Milroy,Brigadier General
VA102,US,Robert Schenck,Brigadier General
MO026,CS,Joseph Shelby,Brigadier General
MO026,CS,John S. Marmaduke,Brigadier General
MO026,US,James G. Blunt,Major General
MO026,US,Alfred Pleasonton,Major General
MO023,CS,Sterling Price,Major General
MO023,US,James G. Blunt,Major General
AR015,CS,James B. Fagan,Brigadier General
AR015,US,Francis Drake,Lieutenant Colonel
MO002,US,Franz Sigel,Colonel
VA026,CS,Robert E. Lee,General
VA026,CS,Thomas J. Jackson,Major General
VA026,US,John Pope,Major General
LA002,CS,Mansfield Lovell,Major General
LA002,US,David G. Farragut,Flag Officer
LA002,US,Benjamin Franklin Butler,Major General
LA015,CS,Tom Green,Brigadier General
LA015,US,Godfrey Weitzel,Brigadier General
LA015,US,Cuvier Grover,Brigadier General
VA114,CS,Jubal A. Early,Lieutenant General
VA114,US,Horatio Wright,Major General
VA062,CS,Robert E. Lee,General
VA062,US,Ulysses S. Grant,Lieutenant General
VA062,US,George G. Meade,Major General
GA020,CS,Joseph Wheeler,Major General
GA020,US,James B. Steedman,Major General
VA043,CS,Robert E. Lee,General
VA043,US,George G. Meade,Major General
VA004,CS,P.G.T. Beauregard,Brigadier General
VA004,US,Irvin McDowell,Brigadier General
TN032,CS,Nathan Bedford Forrest,Major General
TN032,US,C.R. Thompson,Colonel
TN032,US,Edward M. King,Lieutenant Commander
WV009,CS,Humphery Marshall,Brigadier General
WV009,US,Jacob D. Cox,Brigadier General
MD004,CS,Robert E. Lee,General
MD004,US,George G. Meade,Major General
GA026,CS,Joseph Wheeler,Major General
GA026,US,H. Judson Kilpatrick,Brigadier General
VA064,CS,Jubal A. Early,Lieutenant General
VA064,US,David Hunter,Major General
LA008,CS,Richard Taylor,Major General
LA008,US,Cuvier Grover,Brigadier General
VA034,CS,Jubal A. Early,Major General
VA034,US,John Sedgwick,Major General
VA014,CS,Joseph E. Johnston,General
VA014,CS,Gustavius W. Smith,Major General
VA014,US,George B. McClellan,Major General
SC008,CS,P.G.T. Beauregard,General
SC008,US,Quincy Gillmore,Major General
TN004,CS,James E. Montgomery,Captain (Naval)
TN004,CS,M. Jeff Thompson,Brigadier General
TN004,US,Charles H. Davis,Flag Officer
TN004,US,Charles Ellet,Colonel
VA010,CS,James Longstreet,Major General
VA010,US,George B. McClellan,Major General
VA065,CS,Robert E. Lee,General
VA065,US,Ulysses S. Grant,Lieutenant General
VA065,US,George G. Meade,Major General
AR010,CS,John S. Marmaduke,Brigadier General
AR010,US,John W. Davidson,Brigadier General
MO006,CS,Sterling Price,Major General
MO006,US,James A. Mulligan,Colonel
SC001,CS,P.G.T. Beauregard,Brigadier General
SC001,US,Robert Anderson,Major
VA024,CS,Thomas J. Jackson,Major General
VA024,US,G.W. Taylor,Brigadier General
VA094,CS,Robert E. Lee,General
VA094,US,A.A. Humphreys,Major General
MO029,CS,Sterling Price,Major General
MO029,US,James G. Blunt,Major General
SC011,CS,Lafayette McLaws,Major General
SC011,US,Francis P. Blair,Major General
MO001,CS,John S. Marmaduke,Colonel
MO001,US,Nathaniel Lyon,Brigadier General
VA020B,CS,Robert E. Lee,General
VA020B,US,George B. McClellan,Major General
VA027,CS,Thomas J. Jackson,Major General
VA027,US,Philip Kearny,Major General
VA027,US,Isaac Stevens,Major General
LA003,CS,John C. Breckinridge,Major General
LA003,US,Thomas Williams,Brigadier General
NC014,CS,Robert Hoke,Major General
NC014,US,David D. Porter,Rear Admiral
NC014,US,Benjamin Butler,Major General
VA028,CS,Robert E. Lee,General
VA028,US,Ambrose E. Burnside,Major General
NM001,CS,Henry Hastings Sibley,Brigadier General
NM001,CS,Tom Green,Colonel
NM001,US,E.R.S. Canby,Colonel
TN025,CS,James Longstreet,Lieutenant General
TN025,US,Ambrose E. Burnside,Major General
MD007,CS,Jubal A. Early,Lieutenant General
MD007,US,Lew Wallace,Major General
TN009,CS,Nathan Bedford Forrest,Brigadier General
TN009,US,Adolph Englemann,Colonel
GA005,CS,Patrick R. Cleburne,Major General
GA005,US,Joseph Hooker,Major General
TN029,CS,William T. Martin,Major General
TN029,US,Samuel D. Sturgis,Brigadier General
TN029,US,Edward M. McCook,Colonel
VA076,CS,Alfred E. Jackson,Brigadier General
VA076,US,Stephen Burbridge,Brigadier General
OK005,CS,John Jumper,Lieutenant Colonel
OK005,US,Charles Willette,Major
GA001,CS,Charles H. Olmstead,Colonel
GA001,US,David Hunter,Major General
GA001,US,Quincy A. Gillmore,Captain
VA123,CS,Jubal A. Early,Lieutenant General
VA123,US,Philip Sheridan,Major General
VA063,CS,Robert E. Lee,General
VA063,CS,P.G.T. Beauregard,General
VA063,US,Ulysses S. Grant,Lieutenant General
VA063,US,George G. Meade,Major General
VA003,CS,John B. Magruder,Colonel
VA003,CS,D.H. Hill,Colonel
VA003,US,Ebenezer Pierce,Brigadier General
VA121,CS,Thomas Rosser,Major General
VA121,US,Alfred Torbert,Brigadier General
NC019,CS,William Hardee,Lieutenant General
NC019,US,Henry Slocum,Major General
VA032,CS,Robert E. Lee,General
VA032,CS,Thomas J. Jackson,Major General
VA032,US,Joseph Hooker,Major General
AR012,CS,John S. Marmaduke,Brigadier General
AR012,US,Fred Steele,Major General
ND003,US,Henry Hastings Sibley,Brigadier General
ND003,I,Inkpaduta,Chief
VA054,CS,P.G.T. Beauregard,General
VA054,US,Benjamin Butler,Major General
TN015,CS,Nathan Bedford Forrest,Brigadier General
TN015,US,Edward Bloodgood,Lieutenant Colonel
VA016,CS,Robert E. Lee,General
VA016,US,Fitz John Porter,Brigadier General
SC009,CS,P.G.T. Beauregard,General
SC009,US,Quincy Gillmore,Major General
KY001,CS,Joel A. Battle,Colonel
KY001,US,Isaac J. Black,Captain
AR003,CS,Thomas C. Hindman,Major General
AR003,CS,William Parsons,Colonel
AR003,US,Charles Hovey,Colonel
AR003,US,William P. Benton,Brigadier General
TN012,CS,Joseph Wheeler,Major General
TN012,US,A.C. Harding,Colonel
VA090,CS,Henry Heth,Major General
VA090,CS,Cadmus Wilcox,Major General
VA090,US,Nelson A. Miles,Major General
WV007,CS,Henry R. Jackson,Brigadier General
WV007,US,Joseph Reynolds,Brigadier General
VA105,CS,Richard S. Ewell,Major General
VA105,US,John C. Frémont,Major General
GA003,CS,Thomas C. Hindman,Major General
GA003,CS,John C. Breckinridge,Major General
GA003,US,James Negley,Major General
VA081,CS,John C. Breckinridge,Major General
VA081,US,George Stoneman,Major General
GA028,CS,George A. Anderson,Major
GA028,US,William B. Hazen,Brigadier General
VA044,CS,Robert E. Lee,General
VA044,US,George G. Meade,Major General
WV001,CS,George A. Porterfield,Colonel
WV001,US,Thomas A. Morris,Colonel
SC002,CS,Nathan Evans,Brigadier General
SC002,US,Henry Benham,Brigadier General
MN001,US,Timothy J. Sheehan,First Lieutenant
MN001,I,Little Crow,Chief
MS016,CS,P.G.T. Beauregard,General
MS016,US,Henry W. Halleck,Major General
MS003,CS,John C. Pemberton,Lieutenant General
MS003,US,William T. Sherman,Major General
TN023,CS,James Longstreet,Lieutenant General
TN023,US,Ambrose E. Burnside,Major General
TN037,CS,Nathan Bedford Forrest,Major General
TN037,US,Lovell H. Rousseau,Major General
TN037,US,Robert Milroy,Brigadier General
VA074,CS,A.P. Hill,Lieutenant General
VA074,CS,Wade Hampton,Major General
VA074,US,George G. Meade,Major General
VA074,US,John G. Parke,Major General
VA074,US,G.K. Warren,Major General
MS001,CS,Sterling Price,Major General
MS001,US,William S. Rosecrans,Major General
MO005,CS,Sterling Price,Major General
MO005,CS,James S. Rains,Brigadier General
MO005,US,J.H. Lane,Colonel
MS015,CS,Stephen D. Lee,Lieutenant General
MS015,CS,Nathan Bedford Forrest,Major General
MS015,US,A.J. Smith,Major General
VA030,CS,James Longstreet,Lieutenant General
VA030,US,John Peck,Brigadier General
MS011,CS,John C. Pemberton,Lieutenant General
MS011,US,Ulysses S. Grant,Major General
MS007,CS,John Gregg,Brigadier General
MS007,US,James B. McPherson,Major General
VA111,CS,William E. Jones,Brigadier General
VA111,US,David Hunter,Major General
VA019,CS,John B. Magruder,Major General
VA019,US,Edwin Sumner,Major General
MS010,CS,John S. Bowen,Brigadier General
MS010,US,John A. McClernand,Major General
WV005,CS,Robert E. Lee,General
WV005,CS,Albert Rust,Colonel
WV005,US,Joseph Reynolds,Brigadier General
VA122,CS,Jubal A. Early,Lieutenant General
VA122,US,Horatio Wright,Major General
VA122,US,Philip Sheridan,Major General
TN010,CS,Braxton Bragg,General
TN010,US,William S. Rosecrans,Major General
VA023,CS,Thomas J. Jackson,Major General
VA023,US,John Pope,Major General
AL006,US,E.R.S. Canby,Major General
VA085,CS,Bushrod R. Johnson,Major General
VA085,US,G.K. Warren,Major General
NC001,CS,William F. Martin,Colonel
NC001,US,Benjamin Butler,Major General
VA052,CS,J.E.B. Stuart,Major General
VA052,US,Philip Sheridan,Major General
MS009,CS,John C. Pemberton,Lieutenant General
