battle,combatant,fullname,rank
VA104,CS,T.J. Jackson,Major General
VA104,US,Nathaniel P. Banks,Major General
VA012,CS,E. Farrand,Commander
VA012,CS,William Mahone,Brigadier General
VA012,CS,S. S. Lee,Captain
VA012,CS,John Taylor Wood,Lieutenant
VA012,US,John Rodgers,Commander
VA044,CS,Robert E. Lee,General
VA044,US,George G. Meade,Major General
TN006,CS,Nathan Bedford Forrest,Brigadier General
TN006,US,Thomas T. Crittenden,Brigadier General
MN001,US,Timothy J. Sheehan,First Lieutenant
MN001,I,Little Crow,Chief
LA010,CS,Franklin Gardner,Major General
LA010,US,Nathanial P. Banks,Major General
LA010,US,David G. Farragut,Rear Admiral
WV002,CS,Thomas J. Jackson,Colonel
WV002,US,George H. Thomas,Colonel
WV002,US,John J. Abercrombie,Colonel
LA016,CS,Tom Green,Brigadier General
LA016,US,Joseph B. Leake,Lieutenant Colonel
VA099,CS,Wade Hampton,Major General
VA099,US,Philip Sheridan,Major General
VA118,CS,Jubal Early,Lieutenant General
VA118,US,Philip Sheridan,Major General
FL005,CS,Joseph Finegan,Brigadier General
FL005,CS,Alfred H. Colquitt,Brigadier General
FL005,US,Truman Seymour,Brigadier General
AR004,CS,John S. Marmaduke,Brigadier General
AR004,US,James G. Blunt,Brigadier General
AR017,CS,Colton Greene,Colonel
AR017,US,Joseph Mower,Brigadier General
OK005,CS,John Jumper,Lieutenant Colonel
OK005,US,Charles Willette,Major
KY004,CS,Thomas C. Hindman,Brigadier General
KY004,US,August Willich,Colonel
VA052,CS,J.E.B. Stuart,Major General
VA052,US,Philip Sheridan,Major General
VA098,CS,P.G.T. Beauregard,General
VA098,US,Quincy Gillmore,Major General
LA011,CS,John G. Walker,Major General
LA011,US,Hermann Lieb,Colonel
LA011,US,Frank M. Ramsay,Lieutenant Commander
VA023,CS,Thomas J. Jackson,Major General
VA023,US,John Pope,Major General
VA002,CS,Daniel Ruggles,Colonel
VA002,US,James H. Ward,Commander
TN005,CS,Edmund Kirby Smith,Major General
TN005,US,James Negley,Brigadier General
AR015,CS,James B. Fagan,Brigadier General
AR015,US,Francis Drake,Lieutenant Colonel
KS001,CS,William C. Quantrill,Lieutenant Colonel
VA123,CS,Jubal Early,Lieutenant General
VA123,US,Philip Sheridan,Major General
VA004,CS,P.G.T. Beauregard,Brigadier General
VA004,US,Irvin McDowell,Brigadier General
VA027,CS,Thomas J. Jackson,Major General
VA027,US,Philip Kearny,Major General
VA027,US,Isaac Stevens,Major General
VA093,CS,Richard Ewell,Lieutenant General
VA093,CS,John B. Gordon,Major General
VA093,US,Philip Sheridan,Major General
VA113,US,James Wilson,Brigadier General
VA113,US,August Kautz,Brigadier General
MS006,CS,John S. Bowen,Brigadier General
MS006,US,John A. McClernand,Major General
MS006,US,John A. Logan,Major General
GA027,CS,Joseph Wheeler,Major General
GA027,US,Judson Kilpatrick,Brigadier General
LA013,CS,Tom Green,Brigadier General
LA013,US,Joseph D. Bullen,Major
LA013,US,Melancthon B. Woolsey,Commander
FL002,CS,John W. Pearson,Captain
FL002,US,A.J. Drake,Lieutenant
TN002,CS,John B. Floyd,Brigadier General
TN002,CS,Gideon Pillow,Brigadier General
TN002,CS,Simon B. Buckner,Brigadier General
TN002,US,Ulysses S. Grant,Brigadier General
TN002,US,A.H. Foote,Flag Officer
TN027,CS,William T. Martin,Major General
TN027,US,Samuel D. Sturgis,Brigadier General
LA017,CS,William Byrd,Lieutenant Colonel
LA017,US,A.J. Smith,Brigadier General
LA017,US,Joseph Mower,Brigadier General
LA017,US,Seth L. Phelps,Lieutenant Commander
GA023,CS,Samuel G. French,Major General
GA023,US,John M. Corse,Brigadier General
KY007,CS,E. Kirby Smith,General
KY007,US,William Nelson,Major General
FL006,CS,William Miller,Brigadier General
FL006,US,John Newton,Major General
LA005,CS,Alfred Mouton,Brigadier General
LA005,US,Godfrey Weitzel,Brigadier General
AR001,CS,Earl Van Dorn,Major General
AR001,US,Samuel R. Curtis,Brigadier General
MS001,CS,Sterling Price,Major General
MS001,US,William S. Rosecrans,Major General
VA100,CS,S.G. French,Brigadier General
VA100,US,R.H. Wyman,Lieutenant
WV006,CS,John Floyd,Brigadier General
WV006,US,William S. Rosecrans,Brigadier General
KY008,CS,James R. Chalmers,Brigadier General
KY008,CS,Braxton Bragg,General
KY008,US,Cyrus L. Dunham,Colonel
KY008,US,John T. Wilder,Colonel
NC001,CS,William F. Martin,Colonel
NC001,US,Benjamin Butler,Major General
NC001,US,Silas Stringham,Flag Officer
ID001,US,Patrick Edward Connor,Colonel
ID001,I,Bear Hunter,Chief
VA017,CS,Robert E. Lee,General
VA017,US,Fitz John Porter,Brigadier General
VA018,CS,John B. Magruder,Major General
VA018,US,George B. McClellan,Major General
OK007,CS,Douglas H. Cooper,Brigadier General
OK007,US,James G. Blunt,Major General
MO025,CS,William L. Cabell,Brigadier General
MO025,CS,William F. Slemons,Colonel
MO025,US,Alfred Pleasonton,Major General
MO023,CS,Sterling Price,Major General
MO023,US,James G. Blunt,Major General
TN012,CS,Joseph Wheeler,Major General
TN012,US,Abner C. Harding,Colonel
ND001,US,Henry Hastings Sibley,Brigadier General
ND001,I,Inkpaduta,Chief
NC012,CS,Robert Hoke,Major General
NC012,US,Henry W. Wessells,Colonel
MS014,CS,Nathan Bedford Forrest,Major General
MS014,US,Samuel D. Sturgis,Brigadier General
TN020,CS,John S. Williams,Brigadier General
TN020,US,Ambrose E. Burnside,Major General
VA108,CS,Richard Anderson,Major General
VA108,US,William H. French,Major General
NC009,CS,Thomas Clingman,Brigadier General
NC009,US,John G. Foster,Brigadier General
MS015,CS,Stephen D. Lee,Lieutenant General
MS015,CS,Nathan Bedford Forrest,Major General
MS015,US,Andrew J. Smith,Major General
MO007,US,J. B. Plummer,Colonel
TN007,CS,Earl Van Dorn,Major General
TN007,US,Edward O.C. Ord,Major General
TN007,US,Stephen A. Hurlbut,Major General
VA015,CS,Robert E. Lee,General
VA015,US,George B. McClellan,Major General
VA096,CS,Lindsay Walker,Brigadier General
VA096,US,George A. Custer,Major General
VA109,US,William W. Averell,Brigadier General
LA001,CS,Johnson K. Duncan,Brigadier General
LA001,CS,John K. Mitchell,Flag Officer
LA001,US,David G. Farragut,Flag Officer
LA001,US,David Dixon Porter,Commodore
LA008,US,Nathaniel P. Banks,Major General
GA019,CS,Stephen D. Lee,Lieutenant General
GA019,CS,William B. Bate,Major General
GA019,US,John M. Schofield,Major General
TN008,CS,John Hunt Morgan,Brigadier General
TN008,US,Absalom B. Moore,Colonel
LA009,CS,Frank P. Powers,Colonel
LA009,CS,William R. Miles,Colonel
LA009,US,Christopher C. Augur,Major General
VA035,CS,J.E.B. Stuart,Major General
VA035,US,Pleasonton,Major General
WV005,CS,Robert E. Lee,General
WV005,US,Joseph J. Reynolds,Brigadier General
TN016,CS,Earl Van Dorn,Major General
TN016,US,Gordon Granger,Major General
VA079,CS,Henry Heth,Major General
VA079,US,Winfield Scott Hancock,Major General
MO008,CS,Julian Frazier,Colonel
MO008,US,Charles Zagonyi,Major
AR014,CS,John S. Marmaduke,Brigadier General
AR014,CS,Samuel Bell Maxey,Brigadier General
AR014,US,James M. Williams,Colonel
VA057,CS,Robert E. Lee,General
VA057,US,Ulysses S. Grant,Lieutenant General
VA057,US,George G. Meade,Major General
NC004,CS,Moses J. White,Colonel
NC004,US,John G. Parke,Brigadier General
NC004,US,Samuel Lockwood,Commander
VA039,CS,J.E.B. Stuart,Major General
VA039,US,William H. French,Major General
MO015,CS,Jeremiah Vard Cockrell,Colonel
MO015,CS,John T. Coffee,Colonel
MO015,US,Emory S. Foster,Major
MO015,US,Milton H. Brawner,Captain
AR002,US,Augustus H. Kilty,Commander
AR002,US,Graham N. Fitch,Colonel
LA004,CS,Phillippe Landry,Captain
LA004,US,David G. Farragut,Rear Admiral
TN015,CS,Nathan Bedford Forrest,Brigadier General
TN015,US,Edward Bloodgood,Lieutenant Colonel
AL007,CS,Nathan B. Forrest,Lieutenant General
AL007,US,James H. Wilson,Major General
VA120,CS,Jubal A. Early,Lieutenant General
VA120,US,Philip Sheridan,Major General
PA002,CS,Robert E. Lee,General
PA002,US,George G. Meade,Major General
MO029,CS,Joseph O. Shelby,Brigadier General
MO029,US,James G. Blunt,Major General
VA116,CS,Jubal Early,Lieutenant General
VA116,US,George Crook,Brigadier General
NC013,CS,James W. Cooke,Commander
NC013,US,Melancton Smith,Captain
MO012,CS,John P. McCown,Brigadier General
MO012,CS,William W. Mackall,Brigadier General
MO012,CS,George N. Hollins,Flag Officer
MO012,US,John Pope,Brigadier General
MO012,US,Andrew H. Foote,Flag Officer
VA073,CS,Henry Heth,Major General
VA073,US,Winfield Scott Hancock,Major General
NC006,CS,George Singletary,Colonel
NC006,US,F. A. Osborne,Lieutenant Colonel
TN024,CS,Braxton Bragg,General
TN024,US,Ulysses S. Grant,Major General
MO026,CS,Joseph Shelby,Brigadier General
MO026,US,Charles R. Jennison,Colonel
MO026,US,Thomas Moonlight,Colonel
LA015,CS,Tom Green,Brigadier General
LA015,US,Godfrey Weitzel,Brigadier General
LA015,US,Nathan A.M. Dudley,Colonel
LA015,US,Joseph Morgan,Colonel
VA026,CS,Robert E. Lee,General
VA026,CS,Thomas J. Jackson,Major General
VA026,US,John Pope,Major General
SC003,CS,Edward L. Parker,Captain
SC003,US,A.C. Rhind,Lieutenant
SC003,US,Horace C. Bennett,Captain
MO014,CS,John T. Hughes,Colonel
MO014,CS,Gideon W. Thompson,Colonel
MO014,US,James T. Buel,Lieutenant Colonel
KY006,CS,George B. Crittenden,Major General
KY006,CS,Felix K. Zollicoffer,Brigadier General
KY006,US,George H. Thomas,Brigadier General
AL004,CS,John Bell Hood,General
AL004,US,Robert S. Granger,Brigadier General
SC001,CS,Pierre G. T. Beauregard,Brigadier General
SC001,US,Robert Anderson,Major General
VA007,CS,J.E.B. Stuart,Brigadier General
VA007,US,E.O.C. Ord,Brigadier General
VA059,CS,Matthew C. Butler,Brigadier General
VA059,US,Alfred Torbert,Brigadier General
VA043,CS,Robert E. Lee,General
VA043,US,George G. Meade,Major General
AR013,CS,Sterling Price,Major General
AR013,US,Frederick Steele,Major General
TN009,CS,Nathan Bedford Forrest,Brigadier General
TN009,US,Adolph Englemann,Colonel
TN022,CS,James R. Chalmers,Brigadier General
TN022,US,Edward Hatch,Colonel
SC010,CS,Gustavus W. Smith,Major General
SC010,CS,Charles J. Colcock,Colonel
SC010,US,John P. Hatch,Brigadier General
SC010,US,George H. Preble,Commander
LA018,CS,Richard Taylor,Major General
LA018,US,Nathaniel P. Banks,Major General
AL001,CS,Nathan Bedford Forrest,Brigadier General
AL001,US,Abel Streight,Colonel
DC001,CS,Jubal A. Early,Lieutenant General
DC001,US,Horatio G. Wright,Major General
DC001,US,Alexander M. McCook,Major General
VA072,CS,Robert E. Lee,General
VA072,CS,A.P. Hill,Lieutenant General
VA072,CS,Henry Heth,Major General
VA072,CS,William Mahone,Major General
VA072,US,G.K. Warren,Major General
PA001,CS,J.E.B. Stuart,Major General
PA001,US,Elon J. Farnsworth,Brigadier General
PA001,US,George A. Custer,Brigadier General
NC008,CS,Beverly Robertson,Brigadier General
NC008,US,John G. Foster,Brigadier General
NC008,US,Jeptha Garrard,Major
VA114,CS,Jubal A. Early,Lieutenant General
VA114,US,Horatio Wright,Major General
VA111,CS,William E. Jones,Brigadier General
VA111,US,David Hunter,Major General
VA110,CS,John C. Breckinridge,Major General
VA110,US,Franz Sigel,Major General
VA055,CS,Robert E. Lee,General
VA055,US,Ulysses S. Grant,Lieutenant General
VA055,US,George G. Meade,Major General
MO018,CS,John S. Marmaduke,Brigadier General
MO018,US,Egbert B. Brown,Brigadier General
MO018,US,Benjamin Crabb,Colonel
NC002,CS,Henry Wise,Brigadier General
NC002,US,Ambrose E. Burnside,Brigadier General
NC002,US,Louis M. Goldsborough,Flag Officer
GA028,CS,George A. Anderson,Major
GA028,US,William B. Hazen,Brigadier General
MO009,CS,Gideon J. Pillow,Brigadier General
MO009,CS,Frank Cheatham,Brigadier General
MO009,US,Ulysses S. Grant,Brigadier General
MO009,US,Henry A. Walke,Commander
LA019,CS,Richard Taylor,Major General
LA019,US,Nathaniel P. Banks,Major General
AR010,CS,John S. Marmaduke,Brigadier General
AR010,US,Frederick Steele,Major General
AR010,US,John W. Davidson,Brigadier General
VA056,CS,Fitzhugh Lee,Major General
VA056,US,Edward Wild,Brigadier General
AR016,CS,Sterling Price,Major General
AR016,US,Frederick Salomon,Brigadier General
VA115,CS,S.D. Ramseur,Major General
VA115,US,William W. Averell,Brigadier General
WV012,CS,John Echols,Brigadier General
WV012,US,William W. Averell,Brigadier General
VA078,CS,Richard Anderson,Lieutenant General
VA078,US,Alfred Terry,Major General
OH002,CS,John Hunt Morgan,Brigadier General
OH002,US,James Shackelford,Brigadier General
VA020,CS,Robert E. Lee,General
VA020,CS,Thomas J. Jackson,Major General
VA020,US,George B. McClellan,Major General
VA020,US,William Franklin,Major General
MS013,CS,Nathan Bedford Forrest,Major General
MS013,US,William Sooy Smith,Brigadier General
VA117,CS,Richard Anderson,Lieutenant General
VA117,US,Wesley Merritt,Brigadier General
TN014,CS,John Hunt Morgan,Brigadier General
TN014,US,Albert S. Hall,Colonel
VA063,CS,Robert E. Lee,General
VA063,CS,P.G.T. Beauregard,General
VA063,US,Ulysses S. Grant,Lieutenant General
VA063,US,George G. Meade,Major General
VA041,CS,J.E.B. Stuart,Major General
VA041,US,G.K. Warren,Major General
VA071,CS,Robert E. Lee,General
VA071,CS,Charles Field,Major General
VA071,US,Winfield Scott Hancock,Major General
VA024,CS,Isaac Trimble,Brigadier General
VA024,US,G.W. Taylor,Brigadier General
GA022,CS,William J. Hardee,Lieutenant General
GA022,US,William T. Sherman,Major General
VA089,CS,Robert E. Lee,General
VA089,US,Ulysses S. Grant,Lieutenant General
OK006,CS,Stand Watie,Colonel
OK006,US,James M. Williams,Colonel
MD002,CS,Robert E. Lee,General
MD002,US,George B. McClellan,Major General
OK002,CS,Douglas H. Cooper,Colonel
OK002,US,Opothleyahola,Chief
GA025,CS,Joseph Wheeler,Major General
GA025,CS,Pleasant J. Philips,Brigadier General
GA025,US,Charles C. Walcutt,Brigadier General
TN004,CS,James E. Montgomery,Captain
TN004,CS,M. Jeff Thompson,Brigadier General
TN004,US,Charles H. Davis,Flag Officer
TN004,US,Charles Ellet,Colonel
NC007,CS,Nathan Evans,Brigadier General
NC007,US,John G. Foster,Brigadier General
NC007,US,Alexander Murry,Commander
WV010,CS,Thomas J. Jackson,Major General
WV010,US,Dixon S. Miles,Colonel
AR009,CS,William L. Cabell,Brigadier General
AR009,US,William F. Cloud,Colonel
VA030,CS,James Longstreet,Lieutenant General
VA030,US,John Peck,Brigadier General
GA016,CS,John B. Hood,General
GA016,US,George H. Thomas,Major General
VA036,CS,Thomas Munford,Colonel
VA036,US,Judson Kilpatrick,Brigadier General
MO028,CS,Joseph O. Shelby,Brigadier General
MO028,US,John H. McNeil,Brigadier General
VA091,CS,Rosser,Major General
VA091,CS,Fitzhugh Lee,Major General
VA091,US,George Crook,Major General
LA007,CS,Richard Taylor,Major General
LA007,US,Cuvier Grover,Brigadier General
LA007,US,A.P. Cooke,Lieutenant Commander
TN026,CS,James Longstreet,Lieutenant General
TN026,US,J. M. Shackelford,Brigadier General
IN001,CS,John Hunt Morgan,Brigadier General
IN001,US,Lewis Jordan,Colonel
NC016,CS,Braxton Bragg,General
NC016,US,John Schofield,Major General
NC016,US,David D. Porter,Rear Admiral
MD003,CS,Robert E. Lee,General
MD003,US,George B. McClellan,Major General
KY010,CS,Nathan B. Forrest,Major General
KY010,US,Stephen G. Hicks,Colonel
KY010,US,James W. Shirk,Lieutenant Commander
MO004,CS,Sterling Price,Major General
MO004,CS,Benjamin McCulloch,Brigadier General
MO004,US,Nathaniel Lyon,Brigadier General
MO004,US,Samuel D. Sturgis,Major
MD008,CS,John McCausland,Brigadier General
MD008,US,Benjamin F. Kelly,Brigadier General
VA040,CS,A.P. Hill,Lieutenant General
VA040,US,G.K. Warren,Major General
KS002,CS,William C. Quantrill,Lieutenant Colonel
KS002,US,James B. Pond,Lieutenant
KS002,US,James G. Blunt,Major General
TX002,CS,Joseph J. Cook,Colonel
TX002,CS,Xavier B. Debray,Colonel
TX002,US,William B. Renshaw,Commander
LA020,CS,Tom Green,Brigadier General
LA020,US,Thomas Kilby Smith,Brigadier General
LA020,US,"Thomas O. Selfridge , Jr.",Lieutenant Commander
KY009,CS,Braxton Bragg,General
KY009,US,Don Carlos Buell,Major General
GA008,CS,Joseph E. Johnston,General
GA008,US,William T. Sherman,Major General
VA009,CS,John B. Magruder,Major General
VA009,CS,Joseph E. Johnston,General
VA009,US,George B. McClellan,Major General
NM001,CS,Henry H. Sibley,Brigadier General
NM001,CS,Thomas Green,Colonel
NM001,US,Edward R. S. Canby,Colonel
VA047,CS,Johnson Hagood,Brigadier General
VA047,US,Benjamin Butler,Major General
TN011,CS,Nathan Bedford Forrest,Brigadier General
TN011,US,Jeremiah C. Sullivan,Brigadier General
GA004,CS,Braxton Bragg,General
GA004,US,William S. Rosecrans,Major General
GA004,US,George H. Thomas,Major General
GA012,CS,Patrick R. Cleburne,Major General
GA012,CS,John H. Kelly,Brigadier General
GA012,US,William T. Sherman,Major General
GA012,US,Oliver O. Howard,Major General
MD004,CS,Robert E. Lee,General
MD004,US,George G. Meade,Major General
GA005,CS,Patrick R. Cleburne,Major General
GA005,US,Joseph Hooker,Major General
NC020,CS,Joseph E. Johnston,General
NC020,US,William T. Sherman,Major General
NC020,US,Henry Slocum,Major General
MO010,CS,Caleb Dorsey,Colonel
MO010,US,Benjamin M. Prentiss,Brigadier General
MS003,CS,John C. Pemberton,Lieutenant General
MS003,CS,Stephen D. Lee,Brigadier General
MS003,US,William T. Sherman,Major General
MS003,US,David D. Porter,Acting Rear Admiral
VA034,CS,Jubal A. Early,Major General
VA034,US,John Sedgwick,Major General
AL006,US,E.R.S. Canby,Major General
VA092,CS,James Longstreet,Lieutenant General
VA092,US,John Gibbon,Major General
WV014,CS,Jubal Early,Lieutenant General
WV014,US,Philip Sheridan,Major General
MS012,CS,Leonidas Polk,Lieutenant General
MS012,US,William T. Sherman,Major General
VA031,CS,James Longstreet,Lieutenant General
VA031,US,John Peck,Brigadier General
VA080,CS,James Longstreet,Lieutenant General
VA080,US,Benjamin Butler,Major General
VA005,CS,Joseph E. Johnston,Brigadier General
VA005,CS,P.G.T. Beauregard,Brigadier General
VA005,US,Irvin McDowell,Brigadier General
NM002,CS,Charles L. Pyron,Major
NM002,CS,William R. Scurry,Lieutenant Colonel
NM002,US,John C. Chivington,Major
NM002,US,John P. Slough,Colonel
OK004,CS,Douglas H. Cooper,Colonel
OK004,US,James G. Blunt,Brigadier General
GA001,CS,Charles H. Olmstead,Colonel
GA001,US,David Hunter,Major General
GA001,US,Quincy A. Gillmore,Captain
VA094,CS,Robert E. Lee,General
VA094,US,A.A. Humphreys,Major General
AR005,CS,Thomas C. Hindman,Major General
AR005,US,James G. Blunt,Brigadier General
AR005,US,Francis J. Herron,Brigadier General
VA037,CS,J.E.B. Stuart,Major General
VA037,US,David M. Gregg,Brigadier General
VA074,CS,A.P. Hill,Lieutenant General
VA074,CS,Wade Hampton,Major General
VA074,US,George G. Meade,Major General
VA074,US,John G. Parke,Major General
VA074,US,G.K. Warren,Major General
VA122,CS,Jubal Early,Lieutenant General
VA122,US,Horatio Wright,Major General
VA122,US,Philip Sheridan,Major General
VA105,CS,Richard S. Ewell,Major General
VA105,US,John C. Frémont,Major General
MS011,CS,John C. Pemberton,Lieutenant General
MS011,US,Ulysses S. Grant,Major General
MS011,US,David D. Porter,Rear Admiral
ND002,US,Henry Hastings Sibley,Brigadier General
ND002,I,Inkpaduta,Chief
TN025,CS,James Longstreet,Lieutenant General
TN025,US,Ambrose E. Burnside,Major General
WV004,CS,John Floyd,Brigadier General
WV004,US,Erastus Tyler,Colonel
KS003,CS,Sterling Price,Major General
KS003,US,Alfred Pleasonton,Major General
GA010,CS,Joseph E. Johnston,General
GA010,US,William T. Sherman,Major General
GA010,US,Joseph Hooker,Major General
MO001,CS,John S. Marmaduke,Colonel
MO001,US,Nathaniel Lyon,Brigadier General
TN032,CS,Nathan Bedford Forrest,Major General
TN032,US,C.R. Thompson,Colonel
TN032,US,Edward M. King,Lieutenant Commander
LA023,CS,Richard Taylor,Major General
LA023,US,Nathaniel P. Banks,Major General
LA023,US,Joseph A. Mower,Brigadier General
GA020,CS,Joseph Wheeler,Major General
GA020,US,James B. Steedman,Major General
GA020,US,Bernard Laiboldt,Colonel
NC018,CS,Joseph Wheeler,Major General
NC018,CS,Wade Hampton,Lieutenant General
NC018,CS,Matthew C. Butler,Major General
NC018,US,Judson Kilpatrick,Brevet Major General
GA006,CS,Joseph E. Johnston,General
GA006,US,George H. Thomas,Major General
LA006,CS,Richard Taylor,Major General
LA006,US,Nathaniel P. Banks,Major General
LA006,US,Frederick Crocker,Captain
NC017,CS,Braxton Bragg,General
NC017,US,John Schofield,Major General
AR008,CS,Theophilus H. Holmes,Lieutenant General
AR008,US,Benjamin Prentiss,Major General
AR008,US,James M. Prichett,Lieutenant Commander
MO011,CS,John A. Poindexter,Colonel
MO011,US,W. M. G. Torrence,Major
AR011,CS,John S. Marmaduke,Brigadier General
AR011,US,Powell Clayton,Colonel
VA051,CS,P.G.T. Beauregard,General
VA051,US,Benjamin Butler,General
VA084,CS,Robert E. Lee,General
VA084,CS,John B. Gordon,Major General
VA084,US,John G. Parke,Major General
MD007,CS,Jubal A. Early,Lieutenant General
MD007,US,Lew Wallace,Major General
VA053,CS,P.G.T. Beauregard,General
VA053,US,Benjamin Butler,Major General
VA050,CS,P.G.T. Beauregard,General
VA050,US,Benjamin Butler,Major General
AR006,CS,Thomas J. Churchill,Brigadier General
AR006,US,John A. McClernand,Major General
AR006,US,David D. Porter,Acting Rear Admiral
VA106,CS,Thomas J. Jackson,Major General
VA106,US,Erastus Tyler,Brigadier General
LA002,CS,Mansfield Lovell,Major General
LA002,US,David G. Farragut,Flag Officer
LA002,US,Benjamin F. Butler,Major General
VA019,CS,John Magruder,Major General
VA019,US,Edwin Sumner,Major General
VA081,CS,John C. Breckinridge,Major General
VA081,US,George Stoneman,Major General
OH001,CS,John Hunt Morgan,Brigadier General
OH001,US,Edward H. Hobson,Brigadier General
FL004,CS,John Wescott,Captain
FL004,US,A. A. Semmes,Lieutenant Commander
FL004,US,Thomas R. Harris,Acting Master
VA107,CS,Richard S. Ewell,Lieutenant General
VA107,US,Robert Milroy,Brigadier General
MO002,CS,James S. Rains,Brigadier General
MO002,US,Franz Sigel,Colonel
AL003,CS,Franklin Buchanan,Admiral
AL003,CS,Dabney H. Maury,Major General
AL003,US,David G. Farragut,Rear Admiral
AL003,US,Gordon Granger,Major General
LA014,CS,William H. Parsons,Colonel
LA014,US,William F. Wood,Colonel
LA014,US,Alfred E. Ellet,Brigadier General
SC002,CS,Nathan G. Evans,Brigadier General
SC002,CS,Thomas G. Lamar,Colonel
SC002,US,Henry Benham,Brigadier General
MS005,CS,Louis Hebert,Brigadier General
