cwsacid	total	US_min	US_max	CS_min	CS_max	I	partic	description
GA017		3641		8499			CS US	3,641 US, 8,499 CS
GA018		700		4642			CS US	700 US, 4,642 CS
GA019		400		225			CS US	400 US, 225 CS
GA020							CS US	unknown
GA021		237		240			CS US	237 US, 240 CS
GA022		1149		2000			CS US	1,149 US, 2,000 CS
GA023		706		897			CS US	706 US, 897 CS
GA024		751		0			CS US	751 prisoners US, 0 CS
GA025		62		650			CS US	62 US, 650 CS
GA026		46		600			CS US	46 US, 600 CS
GA027		190		250			CS US	190 US, 250 CS
GA028		134		230			CS US	134 US, 230 CS
ID001		65				250	I US	65 US, 250 Shoshoni
IN001		360		51			CS US	360 US, 51 CS
KS001		150					CS US	150 US, unknown CS
KS002		103		3			CS US	103 US, 3 CS
KS003		110		1200			CS US	110 US, 1,200 CS
KS004							CS US	unknown
KY001		15		5			CS US	15 US, 5 CS
KY002		43		53			CS US	43 US, 53 CS
KY003		30		263			CS US	30 US, 263 CS
KY004		40		91			CS US	40 US, 91 CS
KY005		27		65			CS US	27 US, 65 CS
KY006		262		529			CS US	262 US, 529 CS
KY007		5623		600			CS US	5,623 US, 600 CS
KY008		4148		285			CS US	4,148 US, 285 CS
KY009		4211		3396			CS US	4,211 US, 3,396 CS
KY010		90		50			CS US	90 US, 50 CS
KY011		1092		1000			CS US	1,092 US, 1,000 CS
LA001		229		782			CS US	229 US, 782 CS
LA002	0	0		0			CS US	none
LA003		371		478			CS US	371 US, 478 CS
LA004							CS US	unknown
LA005		86		229			CS US	86 US, 229 CS
LA006		224		450			CS US	224 US, 450 CS
LA007		353					CS US	353 US, unknown CS
LA008							CS US	unknown
LA009		150		100			CS US	150 US, 100 CS
LA010		10000		7500			CS US	10,000 US, 7,500 CS
LA011		652		185			CS US	652 US, 185 CS
LA012		49		219			CS US	49 US, 219 CS
LA013		23		301			CS US	23 US, 301 CS
LA014		150		6			CS US	150 US, 6 CS
LA015		465		33			CS US	465 US, 33 CS
LA016		515		121			CS US	515 US, 121 CS
LA017		48		269			CS US	48 US, 269 CS
LA018		2235		1000			CS US	2,235 US, 1,000 CS
LA019		1369		1626			CS US	1,369 US, 1,626 CS
LA020		60		57			CS US	60 US, 57 CS
LA021		200		400			CS US	200 US, 400 CS
LA022							CS US	unknown US, unknown CS
LA023		360		500			CS US	360 US, 500 CS
MD001	25						CS US	25 total
MD002		2325		2300			CS US	2,325 US, 2,300 CS
MD003		12400		10300			CS US	12,400 US, 10,300 CS
MD004		400		254			CS US	400 US, 254 CS
MD006		158		920			CS US	158 US, 920 CS
MD007		1294		700	900		CS US	1,294 US, 700-900 CS
MD008		30		30			CS US	30 US, 30 CS
MN001		26					I US	26 US, unknown Dakotas
MN002		41				25	I US	41 US, 25 Dakotas
MO001		12		8	12		CS US	12 US, 8-12 MSG
MO002		44		74			CS US	44 US, 74 MSG
MO003		56		70			CS US	56 US, 70 MSG
MO004		1317		464			CS US	1,317 US, 464 CS, 758 MSG
MO005		14					CS US	14 US, unknown MSG
MO006		3500		100			CS US	3,500 US, 100 MSG
MO007				62			CS US	unknown US, 62 MSG
MO008		85		133			CS US	85 US, 133 MSG
MO009		607		641			CS US	607 US, 641 CS
MO010		72		210			CS US	72 US, 210 MSG
MO011		11		80			CS US	11 US, 80 MSG
MO012		51		7000			CS US	51 US, 7,000 surrendered CS
MO013		88		368			CS US	88 US, 368 CS
MO014		344					CS US	344 US, unknown MSG
MO015		272					CS US	272 US, unknown CS
MO016		245		78			CS US	245 US, 78 CS
MO017		119		34			CS US	119, including 113 prisoners, US, 34 CS
MO018		163		240			CS US	163 US, 240 CS
MO019		78		329			CS US	78 US, 329 CS
MO020		12		325			CS US	12 US, 325 CS
MO021		213		800	1000		CS US	213 US, 800-1,000 CS
MO022		400		50			CS US	400 US, 50 CS
MO023							CS US	unknown
MO024							CS US	unknown
MO025				140			CS US	unknown US, 140 CS
MO026							CS US	unknown
MO027		1500		1500			CS US	1,500 US, 1,500 CS
MO028							CS US	unknown
MO029		26		24			CS US	26 US, 24 CS
MS001		790		594			CS US	790 US, 594 CS
MS002		2350		4800			CS US	2,350 US, 4,800 CS
MS003		1176		187			CS US	1,176 US, 187 CS
MS004		80					CS US	80 US, unknown CS
MS005							CS US	unknown
MS006		875		787			CS US	875 US, 787 CS
MS007		442		514			CS US	442 US, 514 CS
MS008		286		850			CS US	286 US, 850 CS
MS009		2441		3840			CS US	2,441 US, 3,840 CS
MS010		276		1751			CS US	276 US, 1,751 CS
MS011		4835		32697			CS US	4,835 US, 32,697 (29,495 surrendered) CS
MS012		170					CS US	170 US, unknown CS
MS013		388		144			CS US	388 US, 144 CS
MS014		2612		493			CS US	2,612 US, 493 CS
MS015		674		1326			CS US	674 US, 1,326 CS
MS016		1000		1000			CS US	1,000 US, 1,000 CS
NC001		3		670			CS US	3 US, 670 CS
NC002		264		2643			CS US	264 US, 2,643 CS
NC003		476		609			CS US	476 US, 609 CS
NC004		3		439			CS US	3 US, 439 CS
NC005		114		25			CS US	114 US, 25 CS
NC006	40						CS US	40 total
NC007		160		525			CS US	160 US, 525 CS
NC008	150						CS US	150 total
NC009	220						CS US	220 total
NC010	7						CS US	7 total
NC011	100						CS US	100 total
NC012		2900		300			CS US	2,900 (including 2,834 prisoners) US, 300 CS
NC013	88						CS US	88 total
NC014	320						CS US	320 total
NC015		1059		2483	2583		CS US	1,059 US, 400-500 (plus 2,083 prisoners) CS
NC016	1150						CS US	1,150 total
NC017		1300		1500			CS US	1,300 US, 1,500 CS
NC018		183		86			CS US	183 US, 86 CS
NC019		682		865			CS US	682 US, 865 CS
NC020		1527		2606			CS US	1,527 US, 2,606 CS
ND001		7				80	I US	7 US, 80 Dakotas
ND002		1				9	I US	1 US, 9 Dakotas and Lakotas
ND003		0					I US	0 US, unknown Dakotas and Lakotas
ND004		70				550	I US	70 US, 550 Dakotas
ND005		15				31	I US	15 US, 31 Dakotas and Lakotas
NM001		263		187			CS US	263 US, 187 CS
NM002		132		227			CS US	132 US, 227 CS
OH001		25		900			CS US	25 US, 900 CS
OH002		0		364			CS US	0 US, 364 CS
OK001				10			CS I	unknown Unionist Indians, 10 CS
OK002				52		412	CS I	412 Unionist Indians, 52 CS
OK003				40		211	CS I	211 Unionist Indians, 40 CS
OK005		0		47			CS US	0 US, 47 CS
OK006		21		59			CS US	21 US, 59 CS
OK007		77		134			CS US	77 US, 134 CS
PA001		154		74			CS US	154 US, 74 CS
PA002		23000		28000			CS US	23,000 US, 28,000 CS
SC001		11		4			CS US	11 US, 4 CS
SC002		683		204			CS US	683 US, 204 CS
SC003		0		0			CS US	none
SC004		22		14			CS US	22 US, 14 CS
SC005		339		12			CS US	339 US, 12 CS
SC006		46		18			CS US	46 US, 18 CS
SC007		1515		222			CS US	1,515 US, 222 CS
SC008							CS US	unknown
SC009		117		100			CS US	117 US, 100 CS
SC010		746		50			CS US	746 US, 50 CS
SC011		92		170			CS US	92 US, 170 CS
TN001		47		99			CS US	47 US, 99 CS
TN002		2832		17000			CS US	2,832 US, 17,000 CS
TN003		13047		10699			CS US	13,047 US, 10,699 CS
TN004		1		180			CS US	1 US, 180 CS
TN005				3			CS US	unknown US, 3 CS
TN006		1200		150			CS US	1,200 US, 150 CS
TN007		500		400			CS US	500 US, 400 CS
TN008		2096		139			CS US	2,096 US, 139 CS
TN009		6					CS US	6 US, unknown CS
TN010		13000		10000			CS US	13,000 US, 10,000 CS
TN011		237		500			CS US	237 US, 500 CS
TN012		110		855			CS US	110 US, 855 CS
TN013		1600		357			CS US	1,600 US, 357 CS
TN014		38		150			CS US	38 US, 150 CS
TN015		529		3			CS US	529 US, 3 CS
TN016		100		137			CS US	100 US, 137 CS
TN017		583					CS US	583 US, unknown CS
TN018							CS US	unknown
TN019		27		165			CS US	27 US, 165 CS
TN020		100		216			CS US	100 US, 216 CS
TN021		216		356			CS US	216 US, 356 CS
TN022		60		95			CS US	60 US, 95 CS
TN023		400		570			CS US	400 US, 570 CS
TN024		5815		6667			CS US	5,815 US, 6,667 CS
TN025		15		800			CS US	15 US, 800 CS
TN026		115		222			CS US	115 US, 222 CS
TN027		151					CS US	151 US, unknown CS
TN028		150					CS US	150 US, unknown CS
TN029		100		165			CS US	100 US, 165 CS
TN030		549		100			CS US	549 US, 100 CS
TN031		480		62			CS US	80 (plus 400 prisoners) US, 62 CS
TN032							CS US	unknown
TN033		324		100			CS US	24 (plus 300 prisoners) US, 100 CS
TN034							CS US	unknown
TN035		350		500			CS US	350 US, 500 CS
TN036		2633		7300			CS US	2,633 US, 7,300 CS
TN037		208		214			CS US	208 US, 214 CS
TN038		3061		6500			CS US	3,061 US, 6,500 CS
TX001							CS US	unknown
TX002							CS US	unknown
TX003		600		50			CS US	600 US, 50 CS
TX005		118		30			CS US	30 US, 118 CS
TX006		350		0			CS US	350 US, 0 CS
VA001	10						CS US	10 total
VA002	0	0		0			CS US	0 total
VA003		76		8			CS US	76 US, 8 CS
VA004		83		68			CS US	83 US, 68 CS
VA005		2896		1982			CS US	2,896 US, 1,982 CS
VA006		921		149			CS US	921 US, 149 CS
VA007		71		230			CS US	71 US, 230 CS
VA008		409		24			CS US	409 US, 24 CS
VA009		182		300			CS US	182 US, 300 CS
VA010		2283		1560			CS US	2,283 US, 1,560 CS
VA011		186		48			CS US	186 US, 48 CS
VA012		24		15			CS US	24 US, 15 CS
VA013		355		746			CS US	355 US, 746 CS
VA014		5000		6100			CS US	5,000 US, 6,100 CS
VA015		626		441			CS US	626 US, 441 CS
VA016		361		1484			CS US	361 US, 1,484 CS
VA017		6837		8750			CS US	6,837 US, 8,750 CS
VA018		189		438			CS US	189 US, 438 CS
VA019		919		444			CS US	919 US, 444 CS
VA020		2700		3600			CS US	2,700 US, 3,600 CS
VA021		3000		5355			CS US	3,000 US, 5,355 CS
VA022		2500		1400			CS US	2,500 US, 1,400 CS
VA023	225						CS US	225 total
VA024							CS US	unknown
VA025	100						CS US	100 total
VA026		13826		8353			CS US	13,826 US, 8,353 CS
VA027		1300		800			CS US	1,300 US, 800 CS
VA028		12600		5300			CS US	12,600 US, 5,300 CS
VA029		99		80			CS US	99 US, 80 CS
VA031	1160	260		900			CS US	1,160 total for the entire siege of Suffolk, from April 11 to May 4; 260 US, 900 CS
VA032		18000		12800			CS US	18,000 US, 12,800 CS, including the engagements at Fredericksburg and Salem Church
VA035		868		515			CS US	868 US, 515 CS
VA038		827		510			CS US	for Aldie, Middleburg, and Upperville, 827 US, 510 CS
VA039	50						CS US	50 total
VA040		540		1380			CS US	540 US, 1,380 CS
VA041	113						CS US	113 total
VA042	230						CS US	230 total
VA043		461		2041			CS US	461 US, 2,041 CS
VA044		1633		795			CS US	1,633 US, 795 CS
VA045	723						CS US	723 total
VA046		18000		10800			CS US	18,000 US, 10,800 CS
VA047	560						CS US	550 total
VA048		18000		9000	10000		CS US	18,000 US, 9,000-10,000 CS
VA049		688		538			CS US	688 US, 538 CS
VA050	990						CS US	990 total
VA051	569						CS US	569 total
VA052	800						CS US	800 total
VA053		3004		1000			CS US	3,004 US, 1,000 CS
VA054	1500						CS US	1,500 total
VA055		2623		2517			CS US	2,623 US, 2,517 CS
VA056		26		140			CS US	26 US, 140 CS
VA057		731		1159			CS US	731 US, 1,159 CS
VA058		344		400			CS US	344 US, 400 CS
VA059		90					CS US	90 US, unknown CS
VA062		13000		5000			CS US	13,000 US, 5,000 CS
VA063		9964	10600	2974	4700		CS US	9,964-10,600 US, 2,974-4,700 CS
VA064		700		200			CS US	700 US, 200 CS
VA065		2962		572			CS US	2,962 US, 572 CS
VA067							CS US	see below
VA068	1445						CS US	1,445 total for the raid
VA069	1000						CS US	1,000 total
VA070		3798		1491			CS US	3,798 US, 1,491 CS
VA071		2900		1300			CS US	2,900 US, 1,300 CS
VA072		4455		1600			CS US	4,455 US, 1,600 CS
VA073		2742		814			CS US	2,742 US, 814 CS
VA074		2869		1300			CS US	2,869 US, 1,300 CS
VA075a		3300		1700			CS US	3,300 US, 1,700 CS
VA075b		850		50			CS US	850 US, 50 CS
VA076		350		108			CS US	350 US, 108 CS
VA077		458		700			CS US	458 US, 700 CS
VA078		437		50			CS US	437 US, 50 CS
VA079		1758		1300			CS US	1,758 US, about 1,300CS
VA080		1603		100			CS US	1,603 US, 100 CS
VA081	300						CS US	300 total
VA082							CS US	unknown
VA083		1539		1000			CS US	1,539 US, 1,000 CS
VA084		1017		2681			CS US	1,017 US, 2,681 (including 1,949 captured) CS
VA085		381		371			CS US	381 US, 371 CS
VA086		354		760			CS US	354 US, 760 CS
VA087		1781		900	1235		CS US	1,781 US, 900- 1,235 CS
VA088		830		3000			CS US	830 US, 3,000 CS
VA089		3894		4852			CS US	3,894 US, 4,852 CS
VA090		366		600			CS US	366 US, 600 CS
VA091		158					CS US	158 US, unknown CS
VA092		66					CS US	66 US, unknown CS
VA093		1148		7700			CS US	1,148 US, 7,700 CS
VA094		571					CS US	571 US, unknown CS
VA095		847		100			CS US	847 (including 800 captured) US, 100 CS
VA096		48		1000			CS US	48 US, 1,000 captured, unknown killed and wounded CS
VA097		164		28731			CS US	164 US, 500 CS (surrendered and paroled: 28,231)
VA098	120						CS US	120 total
VA099		1007		1071			CS US	1,007 US, 1,071 CS
VA100		0		0			CS US	none
VA101		590		718			CS US	590 US, 718 CS
VA102		256		500			CS US	256 US, 500 CS
VA103		904		56			CS US	904 US, 56 CS
VA104		2019		400			CS US	2,019 US, 400 CS
VA105		684		288			CS US	684 US, 288 CS
VA106		800	1000	800			CS US	800-1,000 US, 800 CS
VA107		4443		266			CS US	4,443 US, 266 CS
VA108	440						CS US	440 total
VA109	300						CS US	300 total
VA110		841		520			CS US	841 US, 520 CS
VA111		875		1600			CS US	875 US, 1,600 CS
VA112		350		250			CS US	350 US, 250 CS
VA113	150						CS US	150 total
VA114		422		397			CS US	422 US, 397 CS
VA115		242		500			CS US	242 US, 500 CS
VA116		1185		600			CS US	1,185 US, 600 CS
VA117		71		480			CS US	71 US, 480 CS
VA118		312		195			CS US	312 US, 195 CS
VA119		5020		3610			CS US	5,020 US, 3,610 CS
VA120		528		1235			CS US	528 US, 1,235 CS
VA121		57		350			CS US	57 US, 350 CS
VA122		5672		2910			CS US	5,672 US, 2,910 CS
VA123		30		1600			CS US	30 US, 1,600 prisoners CS
VA124		81					CS US	81 US, unknown CS
VA125		100		0			CS US	100 US, none CS
WV001		5		6			CS US	5 US, 6 CS
WV002		73		25			CS US	73 US, 25 CS
WV003		74		88			CS US	74 US, 88 CS
WV004		132		40			CS US	132 US, 40 CS
WV005		71		100			CS US	71 US, 100 CS
WV006		158		32			CS US	158 US, 32 CS
WV007		43		52			CS US	43 US, 52 CS
WV008		137		146			CS US	137 US, 146 CS
WV009		129		16			CS US	129 US, 16 CS
WV010		12719		286			CS US	12,719 US, 286 CS
WV012		140		275			CS US	140 US, 275 CS
WV013		31		500			CS US	31 US, 500 CS
WV014		600		400			CS US	600 US, 400 CS
WV015		100		200			CS US	100 US, 200 CS
WV016		363		291			CS US	363 US, 291 CS
