battle,event_type,state,year,battle_name,start_date,end_date,text,cas_k,cas_w,cas_m,cas_mp,cas_kwm,cas_total
57,Affair,AL,1863,"March 25: Affairs, Florence",1863-03-25,1863-03-25,U. S. Gunboats.,,,,,,
58,Skirmish,AL,1863,"April 6: Skirmish, Town Creek",1863-04-06,1863-04-06,(No Reports.),,,,,,
59,Skirmish,AL,1863,"April 14: Skirmish, Burnsville",1863-04-14,1863-04-14,ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry.,,,,,,
60,Skirmish,AL,1863,"April 16-17: Skirmishes, Barton Station",1863-04-16,1863-04-17,ALABAMA--1st Cavalry. MISSOURI--10th Cavalry.,,,,,,
61,Skirmish,AL,1863,"April 17: Skirmish, Dickson",1863-04-17,1863-04-17,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry; Battery ""I,"" 1st Light Arty.",,,,,,
62,Skirmish,AL,1863,"April 17: Skirmishes, Great Bear Creek, Cherokee Station and Lundy's Lane",1863-04-17,1863-04-17,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; Battery ""H,"" 1st Light Arty.; 7th, 9th (Mounted), 50th and 57th Infantry. IOWA--39th Infantry. MISSOURI--10th Cavalry; Battery ""I,"" 1st Light Arty. OHIO--81st Infantry. Union loss, 4 killed, 19 wounded. 59 missing. Total, 82.",,19,59,,4,82
63,Skirmish,AL,1863,"April 19: Skirmish, Dickson's Station",1863-04-19,1863-04-19,ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry.,,,,,,
64,Action,AL,1863,"April 22: Action, Rock Cut, near Tuscumbia",1863-04-22,1863-04-22,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; Battery ""H,"" 1st Light Arty.; 7th, 9th (Mounted), 12th, 50th, 52d. 57th and 122d Infantry. INDIANA--66th Infantry. IOWA--39th. Infantry. MICHIGAN--Battery ""C,"" 1st Light Arty. KANSAS--7th Cavalry. MISSOURI--10th Cavalry; Batteries ""D,"" ""H"" and ""I,"" 1st Light Arty. OHIO--27th, 39th, 43d, 63d and 81st Infantry.",,,,,,
65,Skirmish,AL,1863,"April 23: Skirmish, Dickson's Station",1863-04-23,1863-04-23,KANSAS--7th Cavalry. MISSOURI--10th Cavalry.,,,,,,
66,Action,AL,1863,"April 23: Action, Tuscumbia",1863-04-23,1863-04-23,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; Battery ""H,"" 1st Light Arty.; 7th, 9th (Mounted), 12th, 50th, 52d, 57th and 122d Infantry. INDIANA--66th Infantry. KANSAS--7th Cavalry. MICHIGAN--Battery ""C,"" 1st Light Arty. MISSOURI--10th Cavalry; Batterles ""D,"" ""H"" and ""I,"" 1st Light Arty. OHIO--27th, 39th, 43d, 63d and 81st Infantry. IOWA--39th Infantry.",,,,,,
67,Skirmish,AL,1863,"April 23: Skirmish, Florence",1863-04-23,1863-04-23,"ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--Battery ""H,"" 1st Light Arty. (Section).",,,,,,
68,Skirmish,AL,1863,"April 23: Skirmish, Leighton",1863-04-23,1863-04-23,KANSAS--7th Cavalry. MISSOURI--10th Cavalry.,,,,,,
69,Skirmish,AL,1863,"April 25: Skirmish, London Lane",1863-04-25,1863-04-25,MISSOURI--10th Cavalry.,,,,,,
70,Raid,AL,1863,"April 26-May 3: Raid from Tuscumbia toward Rome, Ga. (Streight's)",1863-04-26,1863-05-03,"ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.). Union loss, 12 killed, 69 wounded, 1,466 captured and missing. Total, 1,547.",,,,,,154
71,Skirmish,AL,1863,"April 27: Skirmish, Town Creek",1863-04-27,1863-04-27,ILLINOIS--52d Infantry. MISSOURI--10th Cavalry.,,,,,,
72,Skirmish,AL,1863,"April 27: Skirmish, Day's Gap",1863-04-27,1863-04-27,TENNESSEE--1st Middle Cavalry (2 Cos.).,,,,,,
73,Action,AL,1863,"April 27: Action, Town Creek",1863-04-27,1863-04-27,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; 7th, 9th (Mounted). 12th, 50th, 52d, 57th and 122d Infantry. INDIANA--66th Infantry. IOWA--39th Infantry. KANSAS--7th Cavalry. MICHIGAN--Battery ""C,"" 1st Light Arty. MISSOURI--10th Cavalry; Batteries ""D,"" ""H"" and ""I,"" 1st Light Arty. OHIO--27th, 39th, 43d, 63d and 81st Infantry.",,,,,,
74,Action,AL,1863,"April 30: Action, Sand Mountain",1863-04-30,1863-04-30,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,,,,,,
75,Action,AL,1863,"April 30: Action, Crooked Creek and Hog Mountain",1863-04-30,1863-04-30,"ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.). Union loss, 3 killed, 23 wounded. Total, 26.",,23,,,3,26
76,Skirmish,AL,1863,"May 1: Skirmish, Blountsville",1863-05-01,1863-05-01,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,,,,,,
77,Action,AL,1863,"May 1: Action, East Branch Big Warrior River",1863-05-01,1863-05-01,"ILLINOIS--80th Infantry. INDIANA--51st and 73 Infantry. OHIO--3d Infantry. TENNESSEE, 1st Middle Cavalry (2 Cos.).",,,,,,
78,Action,AL,1863,"May 2: Action, Blount's Plantation",1863-05-02,1863-05-02,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,,,,,,
79,Skirmish,AL,1863,"May 2: Skirmish, Black Warrior Creek, near Gadsden",1863-05-02,1863-05-02,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,,,,,,
80,Skirmish,AL,1863,May 2: Skirmish near Centre,1863-05-02,1863-05-02,,,,,,,
81,Exp.,AL,1863,"May 2-8: Exp. from Burnsville to Tupelo, Miss",1863-05-02,1863-05-08,ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry. KANSAS--7th Cavalry.,,,,,,
82,Action,AL,1863,"May 3: Action, Gaylesville",1863-05-03,1863-05-03,INDIANA--51st Infantry.,,,,,,
83,Action,AL,1863,"May 3: Action, Cedar Bluffs",1863-05-03,1863-05-03,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,,,,,,
84,Action,AL,1863,"May 28: Action, Florence",1863-05-28,1863-05-28,"ILLINOIS--15th Cavalry; 9th Mounted Infantry. KANSAS--7th Cavalry. MISSOURI--10th Cavalry. Union loss, 1 killed, 7 wounded, 10 missing. Total, 18.",,7,10,,1,18
85,Expedition,AL,1863,July 18-22: Expedition to Huntsville,1863-07-18,1863-07-22,"ILLINOIS--Chicago Board of Trade Battery Light Arty. INDIANA--2d, 3d and 4th Cavalry. IOWA--5th Cavalry. KENTUCKY--2d, 4th, 5th, 6th and 7th Cavalry. MICHIGAN--2d and 4th Cavalry. OHIO--1st, 3d, 4th and 10th Cavalry; Battery ""D,"" 1st Light Arty. PENNSYLVANIA--7th and 9th Cavalry. TENNESSEE--2d and 5th Cavalry. WISCONSIN--1st Cavalry. UNITED STATES--4th Cavalry.",,,,,,
86,Skirmish,AL,1863,July 29: Skirmish near Bridgeport,1863-07-29,1863-07-29,(No Reports.),,,,,,
87,Reconn,AL,1863,"Aug. --: Reconn. from Stevenson to Cross Island, Mouth of Cow Creek",1863-08-01,1863-08-31,"PENNSYLVANIA--15th Cavalry (Co. ""A"").",,,,,,
88,Skirmish,AL,1863,"Aug. 21: Skirmish, Maysville",1863-08-21,1863-08-21,KENTUCKY--4th Cavalry.,,,,,,
89,Skirmish,AL,1863,"Aug. 24: Skirmish, Gunter's Landing, near Port Deposit",1863-08-24,1863-08-24,(No Reports.),,,,,,
90,Skirmish,AL,1863,Aug. 27: Skirmish near Bridgeport,1863-08-27,1863-08-27,(No Reports.),,,,,,
91,Skirmish,AL,1863,"Aug. 28: Skirmish, Maysville",1863-08-28,1863-08-28,KENTUCKY--4th Cavalry.,,,,,,
92,Reconn,AL,1863,"Aug. 28-31: Reconn. from Stevenson to Trenton, Ga",1863-08-28,1863-08-31,OHIO--1st Cavalry.,,,,,,
93,Skirmish,AL,1863,"Aug. 29: Skirmish, Caperton's Ferry",1863-08-29,1863-08-29,ILLINOIS--25th and 35th Infantry. KANSAS--8th Infantry. WISCONSIN--15th Infantry.,,,,,,
94,Skirmish,AL,1863,"Aug. 31: Skirmish, Wills Valley",1863-08-31,1863-08-31,(No Reports.),,,,,,
95,Skirmish,AL,1863,"Sept. 1: Skirmish, Wills Creek, Davis Gap, Taps Gap and Neal's Gap",1863-09-01,1863-09-01,(No Reports.),,,,,,
96,Reconn,AL,1863,Sept. 5: Reconn. from Winston's Gap into Broomtown Valley,1863-09-05,1863-09-05,OHIO--1st and 3d Cavalry.,,,,,,
97,Skirmish,AL,1863,"Sept. 5: Skirmish, Lebanon",1863-09-05,1863-09-05,TENNESSEE--1st Cavalry.,,,,,,
98,Affair,AL,1863,"Sept. 5: Affairs, Rawlingsville",1863-09-05,1863-09-05,MICHIGAN--2d Cavalry. PENNSYLVANIA--9th Cavalry. TENNESSEE--1st Cavalry. (Destruction of Salt Works.),,,,,,
99,Skirmish,AL,1863,"Sept. 7: Skirmish, Stevenson",1863-09-07,1863-09-07,PENNSYLVANIA--9th Cavalry.,,,,,,
100,Skirmish,AL,1863,"Sept. 8: Skirmish, Winston's Gap",1863-09-08,1863-09-08,(No Reports.),,,,,,
101,Skirmish,AL,1863,"Sept. 17: Skirmish, Neal's Gap",1863-09-17,1863-09-17,KENTUCKY--2d Cavalry.,,,,,,
102,Action,AL,1863,"Sept. 26: Action, Hunt's Mills, near Larkinsville",1863-09-26,1863-09-26,ALABAMA and TENNESSEE--1st Vidette Cavalry.,,,,,,
103,Skirmish,AL,1863,"Oct. 12: Skirmish, Bucktown Tavern",1863-10-12,1863-10-12,PENNSYLVANIA--9th Cavalry. TENNESSEE--1st East Cavalry.,,,,,,
104,Affair,AL,1863,"Oct. 12: Affair, Fort Morgan",1863-10-12,1863-10-12,Naval Attack on Blockade Runner.,,,,,,
105,Skirmish,AL,1863,"Oct. 13: Skirmish, Maysville",1863-10-13,1863-10-13,WISCONSIN--1st Cavalry.,,,,,,
106,Reconn,AL,1863,Oct. 20: Reconn. from Bridgeport to Trenton,1863-10-20,1863-10-20,ILLINOIS--82d Infantry. NEW YORK--45th and 143d Infantry (Detachments).,,,,,,
107,Occupation,AL,1863,Oct. 20-29: Operations on Memphis & Charleston R. R. in Alabama,1863-10-20,1863-10-29,"ILLINOIS--Batteries ""A,"" ""B,"" ""F,"" ""H,"" ""I,"" and ""L,"" 1st Light Arty.; Cogswell's Indpt. Battery Light Arty.; 13th, 26th, 40th, 48th, 55th, 56th, 63d, 90th, 93d, 103d, 116th and 127th Infantry. INDIANA--12th, 48th, 59th, 83d, 97th, 99th and 100th Infantry. IOWA--1st Battery Light Arty.; 4th, 5th, 6th, 9th, 10th, 17th, 25th, 26th, 30th and 31st Infantry. MICHIGAN--15th Infantry. MISSOURI--Battery ""D,"" 1st Light Arty.; Landgraeber's ""F,"" 2d Light Arty.; 3d, 6th, 8th, 10th, 11th, 12th, 17th, 24th (Co. ""F""), 26th, 27th, 29th, 31st and 32d Infantry. MINNESOTA--4th Infantry. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty.; 30th, 37th, 46th, 47th, 54th, 57th, 72d, 76th, 80th and 95th Infantry. WEST VIRGINIA--4th Infantry. WISCONSIN--6th and 12th Indpt. Batteries Light Arty.; 18th Infantry. UNITED STATES--3d Cavalry; 13th Infantry.",,,,,,
108,Skirmish,AL,1863,"Oct. 20: Skirmishes, Barton Station, Cane Creek and Dickson's Station",1863-10-20,1863-10-20,"OHIO--5th Cavalry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty. UNITED STATES--3d Cavalry. Union loss, 1 killed, 4 wounded. Total, 4.",,4,,,1,4
109,Action,AL,1863,"Oct. 21: Action, Cherokee Station",1863-10-21,1863-10-21,"ILLINOIS--13th Infantry. INDIANA--83d Infantry. IOWA--1st Battery Light Arty.; 4th, 9th, 25th, 26th, 30th and 31st Infantry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty.; 3d, 12th, 17th, 27th, 29th, 31st and 32d Infantry. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty.; 76th Infantry. UNITED STATES--3d Cavalry. Union loss, 7 killed, 28 wounded. Total, 35.",,28,,,7,35
110,Skirmish,AL,1863,"Oct. 24-25: Skirmishes, Tuscumbia and Barton Station",1863-10-24,1863-10-25,"ILLINOIS--13th Infantry. MISSOURI--3d, 12th, 17th, 27th, 29th, 31st and 32d Infantry. OHIO--76th Infantry.",,,,,,
111,Skirmish,AL,1863,"Oct. 26: Skirmish, Cane Creek",1863-10-26,1863-10-26,"IOWA--1st Battery Light Arty.; 4th, 9th, 25th, 26th, 31st and 32d Infantry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty. UNITED STATES--3d Cavalry. Union loss, 2 killed, 6 wounded. Total, 8.",,6,,,2,8
112,Engagement,AL,1863,"Oct. 27: Engagement, Little Bear Creek, Tuscumbia",1863-10-27,1863-10-27,"ILLINOIS--Batteries ""A,"" ""B"" and ""H,"" 1st Light Arty.; 13th, 55th, 116th and 127th Infantry. INDIANA--83d Infantry. IOWA--1st Battery Light Arty.; 4th, 9th, 25th, 26th, 30th, 31st and 32d Infantry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty.; 3d, 6th, 8th, 12th, 17th, 27th, 29th, 31st and 32d Infantry. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty.; 30th, 37th, 47th, 54th, 57th and 76th Infantry. WEST VIRGINIA--4th Infantry. UNITED STATES--3d Cavalry; 13th Infantry.",,,,,,
113,Engagement,AL,1863,"Oct. 29: Engagement, Cherokee Station",1863-10-29,1863-10-29,"IOWA--4th, 9th and 31st Infantry. OHIO--5th Cavalry.",,,,,,
114,Skirmish,AL,1863,"Oct. 31: Skirmish, Barton Station",1863-10-31,1863-10-31,OHIO--5th Cavalry.,,,,,,
115,Skirmish,AL,1863,"Nov. 4: Skirmish, Maysville",1863-11-04,1863-11-04,OHIO--4th Cavalry.,,,,,,
116,Exp.,AL,1863,Nov. 14-17: Exp. from Maysville to Whitesburg and Decatur,1863-11-14,1863-11-17,INDIANA--17th and 72d Mounted Infantry (Detachments). IOWA--5th Cavalry (Detachment). UNITED STATES--4th Cavalry (Detachment).,,,,,,
117,Skirmish,AL,1863,"Nov. 20: Skirmish, Paint Rock",1863-11-20,1863-11-20,OHIO--46th Infantry.,,,,,,
118,Skirmish,AL,1863,"Dec. 26: Skirmish, Sand Mountain",1863-12-26,1863-12-26,ALABAMA and TENNESSEE--1st Vidette Cavalry.,,,,,,
119,Skirmish,AL,1864,"Jan. 14: Skirmish, Shoal Creek",1864-01-14,1864-01-14,TENNESSEE--2d Mounted Infantry.,,,,,,
120,Reconn,AL,1864,Jan. 20: Reconn. of Fort Gaines,1864-01-20,1864-01-20,UNITED STATES--Navy.,,,,,,
121,Reconn,AL,1864,Jan. 20: Reconn. of Mobile,1864-01-20,1864-01-20,UNITED STATES--Navy.,,,,,,
122,Affair,AL,1864,"Jan. 23: Affair, Woodville",1864-01-23,1864-01-23,(No Reports.),,,,,,
123,Occupation,AL,1864,Jan. 23-29: Operations in North Alabama,1864-01-23,1864-01-29,ILLINOIS--92d and 98th Mounted Infantry. INDIANA--72d Mounted Infantry.,,,,,,
124,Skirmish,AL,1864,"Jan. 25: Skirmish, Bainbridge Ferry",1864-01-25,1864-01-25,"ILLINOIS--92d Mounted Infantry (Co. ""I"").",,,,,,
125,Action,AL,1864,"Jan. 25: Action, Sweetwater",1864-01-25,1864-01-25,ILLINOIS--92d Mounted Infantry.,,,,,,
126,Engagement,AL,1864,"Jan. 25: Engagement, Florence",1864-01-25,1864-01-25,"ILLINOIS--92d and 98th Mounted Infantry. INDIANA--72d Mounted Infantry. Union loss, 15 killed, 25 wounded. Total, 40.",,25,,,15,40
127,Exp.,AL,1864,"Jan. 25-Feb. 5: Exp. from Scottsboro toward Rome, Ga",1864-01-25,1864-02-05,"ALABAMA--1st Cavalry. ILLINOIS--Batteries ""A"" and ""H,"" 1st Light Arty.; 55th and 116th Infantry. IOWA--25th Infantry. MICHIGAN--15th Infantry. MISSOURI--3d, 6th, 12th, 17th and 32d Infantry. OHIO--5th Cavalry; 47th and 54th Infantry.",,,,,,
128,Skirmish,AL,1864,"Jan. 26: Skirmish, Athens",1864-01-26,1864-01-26,ILLINOIS--9th Mounted Infantry (Detachment). Union loss. 20 killed and wounded.,0,0,0,0,20,20
129,Skirmish,AL,1864,Jan. 29: Skirmish near Tennessee River,1864-01-29,1864-01-29,ILLINOIS--9th Mounted Infantry.,,,,,,
130,Skirmish,AL,1864,Jan. 29: Skirmish near Cobb's Mill,1864-01-29,1864-01-29,(No Reports.),,,,,,
131,Occupation,AL,1864,Feb. 2: Operations about Whitesburg,1864-02-02,1864-02-02,MINNESOTA--4th Infantry.,,,,,,
132,Affair,AL,1864,Feb. 14: Affair at Larkinsville,1864-02-14,1864-02-14,TENNESSEE and ALABAMA--Vidette Cavalry (Detachment).,,,,,,
133,Occupation,AL,1864,Feb. 16-March 17: Operations about Mobile,1864-02-16,1864-03-17,UNITED STATES--Navy.,,,,,,
