battle_id,belligerent,battle_name,start_date,end_date,state,killed,wounded,missing,casualties,aggregregates_battles,comment
U125,US,"White Sulphur Springs, Va.",1863-8-26,1863-8-27,VA,26,125,67,218,,Cavalry engagement.
U126,US,"Chickamauga, Ga.",1863-9-19,1863-9-20,GA,1656,9749,4774,16179,,
U127,US,"Morganzia, La.",1863-9-29,1863-9-29,LA,16,45,453,514,,
U128,US,"Bristoe Station, Va.",1863-10-14,1863-10-14,VA,50,335,161,546,,
U129,US,"Philadelphia, Tenn.",1863-10-20,1863-10-20,TN,7,25,447,479,,
U130,US,"Wauhatchie, Tenn.",1863-10-27,1863-10-27,TN,75,300,8,383,,
U131,US,"Grand Coteau, La.",1863-11-3,1863-11-3,LA,25,129,562,716,,
U132,US,"Droop Mountain, W. Va.",1863-11-6,1863-11-6,WV,30,88,1,119,,
U133,US,"Rappahannock Station, Va.",1863-11-7,1863-11-7,VA,83,328,6,417,,
U134,US,"Kelly's Ford, Va.",1863-11-7,1863-11-7,VA,6,39,,45,,
U135,US,"Campbell's Station, Tenn.",1863-11-16,1863-11-16,TN,31,211,74,316,,
U136,US,"Siege of Knoxville, Tenn.",1863-11-1,1863-11-30,TN,92,393,202,687,,
U137,US,"Chattanooga, Tenn.",1863-11-23,1863-11-25,TN,687,4346,349,5382,,"Or, Missionary Ridge; Includes Orchard Knob, Nov. 23 (loss about 200); and Lookout Mountain, Nov. 24 (500)."
U137A,US,"Missionary Ridge (Chattanooga, Tenn)",1863-11-25,1863-11-25,TN,,,,4682,,
U137B,US,"Orchard Knob (Chattanooga, Tenn)",1863-11-23,1863-11-23,TN,,,,200,,
U137C,US,"Lookout Mountain (Chattanooga, Tenn)",1863-11-24,1865-11-24,TN,,,,500,,
U137D,US,"Ringgold; Graysville, Ga.",1863-11-27,1863-11-27,GA,,,,432,,
U139,US,"Mine Run Campaign, Va.",1863-11-26,1863-11-30,VA,173,1099,381,1653,,
U140,US,"Walker's Ford, W. Va.",1863-12-2,1863-12-2,WV,9,43,12,64,,
U141,US,"Bean's Station, Tenn.",1863-12-14,1863-12-14,TN,16,51,48,115,,
U142,US,"Mossy Creek, Tenn.",1863-12-29,1863-12-29,TN,18,86,5,109,,
U143,US,"Bachelor's Creek, N. C.",1864-2-1,1864-2-3,NC,9,15,302,326,,
U144,US,"Morton's Ford, Va.",1864-2-6,1864-2-6,VA,10,208,42,260,,
U145,US,"Olustee, Fla.",1864-2-20,1864-2-20,FL,203,1152,506,1861,,
U146,US,"Buzzard's Roost, Ga.",1864-2-27,1864-2-27,GA,17,272,,289,,
U147,US,"Yazoo City, Miss.",1864-3-5,1864-3-5,MS,21,89,21,131,,
U148,US,"Okolona, Ark.",1864-4-3,1864-4-3,AR,16,74,,90,,
U149,US,"Sabine Cross Roads, La and Pleasant Hill, La.",1864-4-8,1864-4-9,LA,258,1487,1772,3517,,
U150,US,"Plymouth, N. C.",1864-4-17,1864-4-20,NC,20,80,1500,1600,,
U151,US,"Cane River, La.",1864-4-23,1864-4-23,LA,40,160,,200,,
U152,US,"Marks's Mills, Ark.",1864-4-25,1864-4-25,AR,100,250,100,450,,
U153,US,"Jenkins's Ferry, Ark.",1864-4-30,1864-4-30,AR,64,378,86,528,,
U154,US,"Alexandria, La.",1864-5-1,1864-5-1,LA,23,67,21,111,,
U155,US,"Atlanta Campaign, Ga.",1864-5-5,1864-5-31,GA,1458,7436,405,9299,,"Includes Rocky Face Ridge, May 5-9 (loss about 900); Resaca, May 13-15 (3,000); New Hope Church, May 25 (1,000); Pickett's Mills, May 27 (1,900); Dallas, May 28-31 (1,800); Adairsville, Cassville, Rome Cross Roads, etc."
U155A,US,"Atlanta Campaign, Ga. (May 1-31): Rocky Face Ridge, May 5-9",1864-5-5,1864-5-9,GA,,,,900,,
U155B,US,"Atlanta Campaign, Ga. (May 1-31): Resaca, May 13-15",1864-5-13,1864-5-15,GA,,,,3000,,
U155C,US,"Atlanta Campaign, Ga. (May 1-31): New Hope Church, May 25",1864-5-25,1864-5-25,GA,,,,1000,,
U155D,US,"Atlanta Campaign, Ga. (May 1-31): Pickett's Mills, May 27",1864-5-27,1864-5-27,GA,,,,1900,,
U155E,US,"Atlanta Campaign, Ga. (May 1-31): Dallas, May 28-31",1864-5-28,1864-5-31,GA,,,,1800,,
U155F,US,"Atlanta Campaign, Ga. (May 1-31): Adairsville, Cassville, Rome Cross Roads, etc",1864-5-1,1864-5-31,GA,,,,699,,
U156,US,"Atlanta Campaign, Ga.",1864-6-1,1864-6-30,GA,1125,5740,665,7530,,"Includes Dallas, June 1-4 (900); Pine Mountain, June 14-19 (1,100); Culp's House, June 22 (700); Kenesaw Mountain, June 20-30 (1,200); Assault on Kenesaw, June 27 (3,000); Lattimore's Mill; Powder Springs, etc."
U156A,US,"Atlanta Campaign, Ga. (June 1-30): Dallas, June 1-4",1864-6-1,1864-6-4,GA,,,,900,,
U156B,US,"Atlanta Campaign, Ga. (June 1-30):  Pine Mountain, June 14-19",1864-6-14,1864-6-19,GA,,,,1100,,
U156C,US,"Atlanta Campaign, Ga. (June 1-30):  Culp's House, June 22",1864-6-22,1864-6-22,GA,,,,700,,
U156D,US,"Atlanta Campaign, Ga. (June 1-30):  Kenesaw Mountain, June 20-30",1864-6-20,1864-6-30,GA,,,,1200,,
U156E,US,"Atlanta Campaign, Ga. (June 1-30): Assault on Kenesaw, June 27",1864-6-27,1864-6-27,GA,,,,3000,,
U156F,US,"Atlanta Campaign, Ga. (June 1-30): Lattimore's Mill; Powder Springs, etc",1864-6-1,1864-6-30,GA,,,,631,,
U157,US,"Atlanta Campaign, Ga.",1864-7-1,1864-7-31,GA,1110,5915,2694,9719,,"Includes Nickajack Creek, July 2-5 (450); Chattahoochie, July 6-10 (850); Peach Tree Creek, July 20 (2,200); Atlanta, July 21, 22 (4,200); Ezra Chapel, July 28 (850); and others."
U157A,US,"Atlanta Campaign, Ga. (July 1-31): Nickajack Creek, July 2-5",1864-7-2,1864-7-5,GA,,,,450,,
U157B,US,"Atlanta Campaign, Ga. (July 1-31): Chattahoochie, July 6-10",1864-7-6,1864-7-10,GA,,,,850,,
U157C,US,"Atlanta Campaign, Ga. (July 1-31): Peach Tree Creek, July 20",1864-7-20,1864-7-20,GA,,,,2200,,
U157D,US,"Atlanta Campaign, Ga. (July 1-31): Atlanta, July 21, 22",1864-7-21,1864-7-22,GA,,,,4200,,
U157E,US,"Atlanta Campaign, Ga. (July 1-31): Ezra Chapel, July 28",1864-7-28,1864-7-28,GA,,,,850,,
U157F,US,"Atlanta Campaign, Ga. (July 1-31): others",1864-7-1,1864-7-31,GA,,,,1169,,
U158,US,"Atlanta Campaign, Ga.",1864-8-1,1864-8-31,GA,453,2318,466,3237,,"Includes Utoy Creek, Aug. 5, 6 (800); and Siege of Atlanta."
U158A,US,"Atlanta Campaign, Ga. (Aug 1-31): Utoy Creek",1864-8-5,1864-8-6,GA,,,,800,,
U158B,US,"Atlanta Campaign, Ga. (Aug 1-31): Siege of Atlanta",1864-8-1,1864-8-31,GA,,,,2437,,
U159,US,"Atlanta Campaign, Ga.",1864-9-1,1864-9-1,GA,277,1413,212,1902,,Jonesboro and Lovejoy's Station.
U160,US,"Atlanta Campaign, Ga.",1864-5-5,1864-9-1,GA,4423,22822,4442,31687,U155 U156 U157 U158 U159,
U161,US,"Wilderness, Va.",1864-5-5,1864-5-7,VA,2246,12037,3383,17666,,
U162,US,"Spotsylvania, Va.",1864-5-8,1864-5-21,VA,2725,13416,2258,18399,,"Includes Alsop's Farm, May 8 (loss about 1,800); Po River, Laurel Hill, and Upton's Charge, May 10 (5,000); Hancock's Assault, the ""Angle"" and general attack of May 12 (8,500); Spotsylvania, May 18 (800); Fredericksburg Pike, May 19 (1,400); Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc."
U162A,US,"Spotsylvania, Va.:  Alsop's Farm, May 8",1864-5-8,1864-5-8,VA,,,,1800,,
U162B,US,"Spotsylvania, Va.:  Po River, Laurel Hill, and Upton's Charge, May 10",1864-5-10,1864-5-10,VA,,,,5000,,
U162C,US,"Spotsylvania, Va.:  Hancock's Assault, the ""Angle"", and general attack of May 12",1864-5-12,1864-5-12,VA,,,,8500,,
U162D,US,"Spotsylvania, Va.:  Spotsylvania, May 18",1864-5-18,1864-5-18,VA,,,,800,,
U162E,US,"Spotsylvania, Va.:  Fredericksburg Pike, May 19",1864-5-19,1864-5-19,VA,,,,1400,,
U162F,US,"Spotsylvania, Va.:  Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc.",1864-5-8,1864-5-21,VA,,,,899,,
U163,US,"Walthall; Chester Station, Va.",1864-5-6,1864-5-7,VA,48,256,70,374,,
U164,US,"Arrowfield Church, Va.",1864-5-9,1864-5-10,VA,36,188,19,243,,
U165,US,"Drewry's Bluff, Va.",1864-5-12,1864-5-16,VA,390,2380,1390,4160,,
U166,US,"Ware Bottom Church, Va.",1864-5-18,1864-5-20,VA,103,796,49,948,,
U167,US,"Bermuda Hundred, Va.",1864-5-21,1864-5-31,VA,18,89,21,128,,
U168,US,"Kautz's Cavalry Raid, Va.",1864-5-7,1864-5-16,VA,14,60,31,105,,Cavalry engagements.
U169,US,"Cloyd's Mountain, W. Va.",1864-5-9,1864-5-10,WV,108,508,72,688,,
U170,US,"Yellow Tavern, Va.",1864-5-11,1864-5-11,VA,35,142,82,259,,Cavalry engagements.
U171,US,"Meadow Bridges, Va.",1864-5-12,1864-5-12,VA,15,128,27,170,,Cavalry engagements.
U172,US,"Newmarket, Va.",1864-5-15,1864-5-15,VA,93,482,256,831,,
U173,US,"Bayou Glaize, La.",1864-5-18,1864-5-18,LA,54,261,6,321,,
U174,US,"North Anna, Va.",1864-5-23,1864-5-27,VA,186,942,165,1293,,
U175,US,"Totopotomoy, Va.",1864-5-28,1864-5-31,VA,101,518,52,671,,
U176,US,"Sheridan's Cavalry, Va.",1864-5-25,1864-5-30,VA,110,450,96,656,,Cavalry engagements.
U177,US,"Bethesda Church, Va.",1864-6-1,1864-6-1,VA,194,824,348,1366,,
U178,US,"Cold Harbor, Va.",1864-6-2,1864-6-4,VA,1844,9077,1816,12737,,"Includes assault of Sixth and Eighteenth Corps, June 1; also, losses of the Fifth and Ninth Corps at Bethesda Church on June 2d and subsequently; also, Cavalry Corps at Cold Harbor, May 31 and June 1; also, loss in the trenches at Cold Harbor, June 4-14."
U179,US,"Bermuda Hundred, Va.",1864-6-1,1864-6-14,VA,25,134,98,257,,
U180,US,"Piedmont, Va.",1864-6-5,1864-6-5,VA,130,650,,780,,
U181,US,"Brice's Cross Roads, Miss.",1864-6-10,1864-6-10,MS,223,394,1623,2240,,
U182,US,"Lynchburg, Va.",1864-6-17,1864-6-18,VA,103,564,271,938,,
U183,US,"Trevilian Station, Va.",1864-6-11,1864-6-12,VA,102,470,435,1007,,Cavalry engagements.
U184,US,"White House, Va.",1864-6-21,1864-6-21,VA,10,51,22,83,,Cavalry engagements.
U185,US,"St. Mary's Church, Va.",1864-6-24,1864-6-24,VA,29,188,122,339,,Cavalry engagements.
U186,US,"Petersburg Assault, Va.",1864-6-15,1864-6-19,VA,1688,8513,1185,11386,,
U187,US,"Jerusalem Road, Va.",1864-6-22,1864-6-22,VA,142,654,2166,2962,,"Known, also, as Weldon Railroad, and Williams's Farm."
U188,US,"Wilson's Raid, Va.",1864-6-22,1864-6-29,VA,71,262,1119,1452,,Cavalry engagements.
U189,US,"Petersburg Trenches, Va.",1864-6-20,1864-6-30,VA,112,506,151,769,,
U190,US,"Fort Johnson, S. C.",1864-7-2,1864-7-2,SC,19,97,135,251,,
U191,US,"John's Island, S. C.",1864-7-5,1864-7-7,SC,16,82,12,110,,
U192,US,"Monocacy, Md",1864-7-9,1864-7-9,MD,123,603,568,1294,,
U193,US,"Fort Stevens, D. C",1864-7-12,1864-7-12,DC,54,319,,373,,
U194,US,"Tupelo, Miss.",1864-7-13,1864-7-13,MS,59,453,16,528,,
U195,US,"Island Ford, Va.",1864-7-18,1864-7-18,VA,65,301,56,422,,
U196,US,"Carter's Farm, Va.",1864-7-20,1864-7-20,VA,37,175,30,242,,
U197,US,"Winchester, Va.",1864-7-24,1864-7-24,VA,134,678,391,1203,,
U198,US,"Strawberry Plains, Va.",1864-7-26,1864-7-29,VA,62,340,86,488,,
U199,US,"Petersburg Mine, Va.",1864-7-30,1864-7-30,VA,504,1881,1413,3798,,
U200,US,"Petersburg Trenches, Va.",1864-7-1,1864-7-31,VA,349,1587,145,2081,,
U201,US,"White Post, Va.",1864-8-11,1864-8-11,VA,30,70,200,300,,Cavalry engagements.
U202,US,"Deep Bottom, Va.",1864-8-14,1864-8-16,VA,327,1851,721,2899,,
U203,US,"Weldon Railroad, Va.",1864-8-18,1864-8-20,VA,251,1148,2879,4278,,
U204,US,"Halltown, Va.",1864-8-24,1864-8-24,VA,9,37,16,62,,
U205,US,"Ream's Station, Va.",1864-8-25,1864-8-25,VA,140,529,2073,2742,,
U206,US,"Smithfield, Va.",1864-8-25,1864-8-25,VA,20,61,100,181,,Cavalry engagements.
U207,US,"Halltown, Va.",1864-8-26,1864-8-26,VA,30,141,,171,,
U208,US,"Smithfield, Va.",1864-8-29,1864-8-29,VA,10,90,,100,,
U209,US,Siege of Petersburg,1864-8-1,1864-8-31,VA,158,623,296,1077,,Includes operations on the north side of the James.
U210,US,"Berryville, Va.",1864-9-3,1864-9-3,VA,30,182,100,312,,
U211,US,"Opequon, Va.",1864-9-19,1864-9-19,VA,697,3983,338,5018,,
U212,US,"Fisher's Hill, Va.",1864-9-22,1864-9-22,VA,52,457,19,528,,
U213,US,"Fort Davidson, Mo.",1864-9-26,1864-9-26,MO,28,56,100,184,,Cavalry engagements.
U214,US,"Chaffin's Farm, Va.",1864-9-28,1864-9-28,VA,383,2299,645,3327,,
U215,US,"Poplar Spring Church, Va.",1864-9-30,1864-9-30,VA,187,900,1802,2889,,"Known, also, as Peebles's Farm, and Pegram's Farm."
U216,US,"Petersburg Trenches, Va.",1864-9-1,1864-9-30,VA,74,304,424,802,,Includes operations on the north side of the James.
U217,US,"Saltville, Va.",1864-10-2,1864-10-2,VA,54,190,104,348,,Cavalry engagements.
U218,US,"Allatoona Pass, Ga.",1864-10-5,1864-10-5,GA,142,352,212,706,,
U219,US,"Darbytown Road, Va.",1864-10-7,1864-10-7,VA,49,253,156,458,,
U220,US,"Tom's Brook; Woodstock, Va.",1864-10-9,1864-10-9,VA,9,67,,76,,Cavalry engagements.
U221,US,"Strasburg, Va.",1864-10-13,1864-10-13,VA,30,144,40,214,,Cavalry engagements.
U222,US,"Darbytown Road, Va.",1864-10-13,1864-10-13,VA,36,358,43,437,,
U223,US,"Cedar Creek, Va.",1864-10-19,1864-10-19,VA,644,3430,1591,5665,,
U224,US,"Little Blue, Mo.",1864-10-21,1864-10-21,MO,18,83,14,115,,Cavalry engagements.
U225,US,"Independence, Mo.",1864-10-22,1864-10-22,MO,14,58,11,83,,Cavalry engagements.
U226,US,"Decatur, Ala.",1864-10-26,1864-10-26,VA,10,45,100,155,,Cavalry engagements.
U227,US,"Boydton Road, Va.",1864-10-27,1864-10-27,VA,166,1028,564,1758,,Cavalry engagements.
U228,US,"Darbytown Road; Fair Oaks, Va.",1864-10-27,1864-10-27,VA,118,787,698,1603,,
U229,US,"Petersburg Trenches, Va.",1864-10-1,1864-10-31,VA,159,520,633,1312,,Includes operations on the north side of the James.
U230,US,"Rood's Hill, Va.",1864-11-22,1864-11-22,VA,18,52,10,80,,Cavalry engagements.
