regiment	division	corps	enrolled	killed	percent
6th Penn. Reserves	Crawford's	Fifth	1059	110	10.3
8th Penn. Reserves	Crawford's	Fifth	1062	158	14.8
9th Penn. Reserves	Crawford's	Fifth	1088	137	12.5
10th Penn. Reserves	Crawford's	Fifth	1150	160	13.9
11th Penn. Reserves	Crawford's	Fifth	1179	196	16.6
13th Penn. Reserves	Crawford's	Fifth	1165	162	13.9
11th Pennsylvania	Robinson's	First	2052	236	11.5
45th Pennsylvania	Potter's	Ninth	1960	227	11.5
46th Pennsylvania	Williams's	Twelfth	1794	179	10.0
49th Pennsylvania	Wright's	Sixth	1313	193	14.6
55th Pennsylvania	Ames's	Tenth	1820	208	11.4
61st Pennsylvania	Getty's	Sixth	1987	237	11.9
62d Pennsylvania	Griffin's	Fifth	1571	169	10.7
63d Pennsylvania	Birney's	Third	1341	186	13.8
69th Pennsylvania	Gibbon's	Second	1715	178	10.3
72d Pennsylvania	Gibbon's	Second	1596	193	12.9
81st Pennsylvania	Barlow's	Second	1608	208	12.9
83d Pennsylvania	Griffin's	Fifth	1808	282	15.5
84th Pennsylvania	Humphreys's	Third	1241	125	10.0
96th Pennsylvania	Wright's	Sixth	1153	132	11.4
100th Pennsylvania	Stevenson's	Ninth	2014	224	11.1
105th Pennsylvania	Birney's	Third	1992	245	12.2
106th Pennsylvania	Gibbon's	Second	1004	104	10.3
118th Pennsylvania	Griffin's	Fifth	1276	141	11.0
119th Pennsylvania	Wright's	Sixth	1216	141	11.5
121st Pennsylvania	Doubleday's	First	891	109	12.2
139th Pennsylvania	Getty's	Sixth	1070	145	13.5
140th Pennsylvania	Barlow's	Second	1132	198	17.4
141st Pennsylvania	Birney's	Third	1037	167	16.1
142d Pennsylvania	Doubleday's	First	935	155	16.5
143d Pennsylvania	Doubleday's	First	1491	151	10.1
145th Pennsylvania	Barlow's	Second	1456	205	14.1
148th Pennsylvania	Barlow's	Second	1339	210	15.6
149th Pennsylvania	Doubleday's	First	1454	169	11.6
184th Pennsylvania	Gibbon's	Second	959	113	11.7
188th Pennsylvania	Brooks's	Eighteenth	1201	124	10.3
2d Vermont	Getty's	Sixth	1811	224	12.3
3d Vermont	Getty's	Sixth	1748	206	11.7
5th Vermont	Getty's	Sixth	1533	213	13.8
6th Vermont	Getty's	Sixth	1568	203	12.9
10th Vermont	Ricketts's	Sixth	1304	149	11.3
17th Vermont	Potter's	Ninth	1137	147	12.9
7th West Virginia	Gibbon's	Second	1008	142	14.0
1st Wisconsin	Baird's	Fourteenth	1386	157	11.3
2d Wisconsin	Wadsworth's	First	1203	238	19.7
3d Wisconsin	Williams's	Twelfth	1333	170	12.7
6th Wisconsin	Wadsworth's	First	1940	244	12.5
7th Wisconsin	Wadsworth's	First	1630	281	17.2
21st Wisconsin	Johnson's	Fourteenth	1171	122	10.4
24th Wisconsin	Newton's	Fourth	1077	111	10.3
26th Wisconsin	Schurz's	Eleventh	1089	188	17.2
36th Wisconsin	Gibbon's	Second	1014	157	15.4
37th Wisconsin	Willcox's	Ninth	1110	156	14.0
1st U. S. "Berdan's" Sharpshooters	Birney's	Third	1392	153	10.9
2d U. S. Sharpshooters	Birney's	Third	1178	125	10.6
79th U. S. Colored Inf.	Thayer's	Seventh	1249	188	15.0
