BattlefieldCode,BattleName,BattleType,CampaignCode,CampaignDates,CampaignName,Comment,EndDate,ID,Result,ShortSummary,ShortSummarySource,State,Summary,SummarySource,TheaterCode,TheaterName,TotalCasualties
AR003,Hill's Plantation,No Data,TM62-04,July 1862,Operations Near Cacke River Arkansas,,7/7/1862,742,Union Victory,"Union Maj. Gen. Samuel R. Curtis moved on Helena, Arkansas, in search of supplies to replace those that had been promised but never delivered by the Navy. The Confederates under Maj. Gen. Thomas C. Hindman attempted to prevent this change of supply base by continually skirmishing with the Union troops. The Confederates made a stand at the Cache River on July 7. As Union Col. C.L. Harris moved forward with elements of the 11th Wisconsin, 33rd Illinois, and the 1st Indiana Cavalry, moved forward, he blundered into an ambuscade. The fighting became more general, and the Confederates, with a frontal attack, forced the Union to retreat about a quarter of a mile. The next Confederate attack, however, was stopped. With reinforcements, the Federals pursued the retreating Confederates and turned the retreat into a rout as the day progressed. Curtis was able change his supply base, but Hindman, despite suffering defeat at Hill’s Plantation, remained between Curtis and Little Rock, his objective.",,AR,"Union Maj. Gen. Samuel R. Curtis moved on Helena, Arkansas, in search of supplies to replace those that had been promised but never delivered by the Navy. The Confederates under Maj. Gen. Thomas C. Hindman attempted to prevent this change of supply base by continually skirmishing with the Union troops. The Confederates made a stand at the Cache River on July 7. As Union Col. C.L. Harris moved forward with elements of the 11th Wisconsin, 33rd Illinois, and the 1st Indiana Cavalry, moved forward, he blundered into an ambuscade. The fighting became more general, and the Confederates, with a frontal attack, forced the Union to retreat about a quarter of a mile. The next Confederate attack, however, was stopped. With reinforcements, the Federals pursued the retreating Confederates and turned the retreat into a rout as the day progressed. Curtis was able change his supply base, but Hindman, despite suffering defeat at Hill’s Plantation, remained between Curtis and Little Rock, his objective.",,TM,Trans-Mississippi Theater,313
AR004,Cane Hill,Engagement,TM62-08,November 1862,Prairie Grove Campaign,,11/28/1862,743,Confederate Victory (tactical),"In late November, Maj. Gen. Thomas C. Hindman detached Brig. Gen. John Marmaduke’s cavalry from Van Buren north to occupy the Cane Hill area. Hearing of this movement, Brig. Gen. James Blunt advanced to meet Marmaduke’s command and destroy it, if possible. The Union vanguard encountered Col. Joe Shelby’s brigade, which fought a delaying action to protect their supply trains. Shelby gradually gave ground until establishing a strong defensive perimeter on Cove Creek where he repulsed a determined attack. The Federals withdrew to Cane Hill, while the Confederates returned to Van Buren. Although fighting well, Marmaduke’s withdrawal was a setback for Hindman’s plans for recapturing northwest Arkansas. Victory at Prairie Grove a few weeks later, solidified Union control of the region.",,AR,"In late November, Maj. Gen. Thomas C. Hindman detached Brig. Gen. John Marmaduke’s cavalry from Van Buren north to occupy the Cane Hill area. Hearing of this movement, Brig. Gen. James Blunt advanced to meet Marmaduke’s command and destroy it, if possible. The Union vanguard encountered Col. Joe Shelby’s brigade, which fought a delaying action to protect their supply trains. Shelby gradually gave ground until establishing a strong defensive perimeter on Cove Creek where he repulsed a determined attack. The Federals withdrew to Cane Hill, while the Confederates returned to Van Buren. Although fighting well, Marmaduke’s withdrawal was a setback for Hindman’s plans for recapturing northwest Arkansas. Victory at Prairie Grove a few weeks later, solidified Union control of the region.",,TM,Trans-Mississippi Theater,85
AR005,Prairie Grove,Battle,TM62-08,November 1862,Prairie Grove Campaign,,12/7/1862,744,Union Victory (strategic),"Maj. Gen. Thomas C. Hindman sought to destroy Brig. Gen. Francis Herron’s and Brig. Gen. James Blunt’s divisions before they joined forces. Hindman placed his large force between the two Union divisions, turning on Herron first and routing his cavalry. As Hindman pursued the cavalry, he met Herron’s infantry which pushed him back. The Rebels then established their line of battle on a wooded high ridge northeast of Prairie Grove Church. Herron brought his artillery across the Illinois River and initiated an artillery duel. The Union troops assaulted twice and were repulsed. The Confederates counterattacked, were halted by Union canister, and then moved forward again. Just when it looked as if the Rebel attack would roll up Herron’s troops, Blunt’s men assailed the Confederate left flank. As night came, neither side had won, but Hindman retreated to Van Buren. Hindman’s retreat established Federal control of northwest Arkansas.",,AR,"Maj. Gen. Thomas C. Hindman sought to destroy Brig. Gen. Francis Herron’s and Brig. Gen. James Blunt’s divisions before they joined forces. Hindman placed his large force between the two Union divisions, turning on Herron first and routing his cavalry. As Hindman pursued the cavalry, he met Herron’s infantry which pushed him back. The Rebels then established their line of battle on a wooded high ridge northeast of Prairie Grove Church. Herron brought his artillery across the Illinois River and initiated an artillery duel. The Union troops assaulted twice and were repulsed. The Confederates counterattacked, were halted by Union canister, and then moved forward again. Just when it looked as if the Rebel attack would roll up Herron’s troops, Blunt’s men assailed the Confederate left flank. As night came, neither side had won, but Hindman retreated to Van Buren. Hindman’s retreat established Federal control of northwest Arkansas.",,TM,Trans-Mississippi Theater,2532
AR006,Arkansas Post,Engagement,MW62-08,December 1862-January 1863,Operations Against Vicksburg,,1/11/1863,745,Union Victory,"From Fort Hindman, at Arkansas Post, Confederates had been disrupting Union shipping on the Mississippi River. Maj. Gen. John McClernand, therefore, undertook a combined force movement on Arkansas Post to capture it. Union boats began landing troops near Arkansas Post in the evening of January 9, 1863. The troops started up river towards Fort Hindman. Maj. Gen. William T. Sherman’s corps overran Rebel trenches, and the enemy retreated to the protection of the fort and adjacent rifle-pits. Rear Adm. David Porter, on the 10th, moved his fleet towards Fort Hindman and bombarded it withdrawing at dusk. Union artillery fired on the fort from artillery positions across the river on the 11th, and the infantry moved into position for an attack. Union ironclads commenced shelling the fort and Porter’s fleet passed it to cutoff any retreat. As a result of this envelopment, and the attack by McClernand’s troops, the Confederate command surrendered in the afternoon. Although Union losses were high and the victory did not contribute to the capture of Vicksburg, it did eliminate one more impediment to Union shipping on the Mississippi.",,AR,"From Fort Hindman, at Arkansas Post, Confederates had been disrupting Union shipping on the Mississippi River. Maj. Gen. John McClernand, therefore, undertook a combined force movement on Arkansas Post to capture it. Union boats began landing troops near Arkansas Post in the evening of January 9, 1863. The troops started up river towards Fort Hindman. Maj. Gen. William T. Sherman’s corps overran Rebel trenches, and the enemy retreated to the protection of the fort and adjacent rifle-pits. Rear Adm. David Porter, on the 10th, moved his fleet towards Fort Hindman and bombarded it withdrawing at dusk. Union artillery fired on the fort from artillery positions across the river on the 11th, and the infantry moved into position for an attack. Union ironclads commenced shelling the fort and Porter’s fleet passed it to cutoff any retreat. As a result of this envelopment, and the attack by McClernand’s troops, the Confederate command surrendered in the afternoon. Although Union losses were high and the victory did not contribute to the capture of Vicksburg, it did eliminate one more impediment to Union shipping on the Mississippi.",,MW,Main Western Theater Minus the Gulf Approach,6096
AR007,Chalk Bluff,No Data,TM63-03,April-May 1863,Marmaduke's Second Expedition Into Missouri,,5/2/1863,746,Confederate Victory (tactical),"Union Brig. Gen. William Vandever pursued Brig. Gen. John S. Marmaduke to Chalk Bluff, where the Confederates hoped to cross the St. Francis River. To ford the river, Marmaduke established a rearguard that received heavy punishment on May 1-2. Although most of Marmaduke’s raiders crossed the St. Francis River, they suffered heavy casualties and therefore ended the expedition.",,AR,"Union Brig. Gen. William Vandever pursued Brig. Gen. John S. Marmaduke to Chalk Bluff, where the Confederates hoped to cross the St. Francis River. To ford the river, Marmaduke established a rearguard that received heavy punishment on May 1-2. Although most of Marmaduke’s raiders crossed the St. Francis River, they suffered heavy casualties and therefore ended the expedition.",,TM,Trans-Mississippi Theater,
AR008,Helena,Attack,MW63-01,March-July 1863,Grant's Operations Against Vicksburg,,7/4/1863,747,Union Victory,"Lt. Gen. Theophilus Holmes’s troops attacked Helena in an attempt to relieve pressure on Vicksburg. Although the Rebels had more troops and did initially capture some of the fortifications, the Union forces repelled them. Thus, Helena continued as an important Union enclave in the Trans-Mississippi theater and served as a base for the expedition that captured Little Rock.",,AR,"Lt. Gen. Theophilus Holmes’s troops attacked Helena in an attempt to relieve pressure on Vicksburg. Although the Rebels had more troops and did initially capture some of the fortifications, the Union forces repelled them. Thus, Helena continued as an important Union enclave in the Trans-Mississippi theater and served as a base for the expedition that captured Little Rock.",,MW,Main Western Theater Minus the Gulf Approach,1875
AR009,Devil's Backbone,Action,TM63-04,June-September 1863,Operations to Control Indian Territory,,9/1/1863,748,Union Victory,"Union Maj. Gen. James G. Blunt ordered Col. William Cloud to continue in pursuit of the Confederate forces that had withdrawn from Fort Smith and were chased to Old Jenny Lind. The Rebels turned on Cloud and skirmished with him at the base of Devil’s Backbone. Cabell’s forces ambushed approaching Union troops and momentarily halted their advance. Regrouping, the Union forces, with the help of artillery, advanced again and forced the Confederates to retire in disorder to Waldron.",,AR,"Union Maj. Gen. James G. Blunt ordered Col. William Cloud to continue in pursuit of the Confederate forces that had withdrawn from Fort Smith and were chased to Old Jenny Lind. The Rebels turned on Cloud and skirmished with him at the base of Devil’s Backbone. Cabell’s forces ambushed approaching Union troops and momentarily halted their advance. Regrouping, the Union forces, with the help of artillery, advanced again and forced the Confederates to retire in disorder to Waldron.",,TM,Trans-Mississippi Theater,31
AR010,Bayou Fourche,Engagement,TM63-08,September-October 1863,Union Advance on Little Rock,,9/10/1863,749,Union Victory,"On September 10, 1863, Maj. Gen. Fred Steele, Army of Arkansas commander, sent Brig. Gen. John W. Davidson’s cavalry division across the Arkansas River to move on Little Rock, while he took other troops to attack Confederates entrenched on the north side. In his thrust toward Little Rock, Davidson ran into Confederate troops at Bayou Fourche. Aided by Union artillery fire from the north side of the river, Davidson forced them out of their position and sent them fleeing back to Little Rock, which fell to Union troops that evening. Bayou Fourche sealed Little Rock’s fate. The fall of Little Rock further helped to contain the Confederate Trans-Mississippi theater, isolating it from the rest of the South.",,AR,"On September 10, 1863, Maj. Gen. Fred Steele, Army of Arkansas commander, sent Brig. Gen. John W. Davidson’s cavalry division across the Arkansas River to move on Little Rock, while he took other troops to attack Confederates entrenched on the north side. In his thrust toward Little Rock, Davidson ran into Confederate troops at Bayou Fourche. Aided by Union artillery fire from the north side of the river, Davidson forced them out of their position and sent them fleeing back to Little Rock, which fell to Union troops that evening. Bayou Fourche sealed Little Rock’s fate. The fall of Little Rock further helped to contain the Confederate Trans-Mississippi theater, isolating it from the rest of the South.",,TM,Trans-Mississippi Theater,136
AR011,Pine Bluff,Action,TM63-08,September-October 1863,Union Advance on Little Rock,,10/25/1863,750,Union Victory,"At 8:00 am, October 25, Col. Powell Clayton sent a company of cavalry toward Princeton which ran into Brig. Gen. John S. Marmaduke’s men advancing. After some fire, the Rebels, under a flag of truce, came forward demanding surrender. Lt. M.F. Clark answered that there would be no surrender. Clayton slowly retreated back into Pine Bluff. In the meantime, about 300 African-American soldiers rolled cotton bales out of the warehouses for barricades to protect court square. After failing to take the square by force, the Rebels attempted to burn out the Union forces but to no avail. The Confederate forces retired, leaving Pine Bluff to the Federals.",,AR,"At 8:00 am, October 25, Col. Powell Clayton sent a company of cavalry toward Princeton which ran into Brig. Gen. John S. Marmaduke’s men advancing. After some fire, the Rebels, under a flag of truce, came forward demanding surrender. Lt. M.F. Clark answered that there would be no surrender. Clayton slowly retreated back into Pine Bluff. In the meantime, about 300 African-American soldiers rolled cotton bales out of the warehouses for barricades to protect court square. After failing to take the square by force, the Rebels attempted to burn out the Union forces but to no avail. The Confederate forces retired, leaving Pine Bluff to the Federals.",,TM,Trans-Mississippi Theater,96
AR012,Elkin's Ferry,Engagement,TM64-02,April 1864,Camden Expedition,,4/4/1864,751,Union Victory,"During the expedition, Union forces sought a ford to cross the Little Missouri River because other roads were impassible. They reached Elkin’s Ferry before the Confederates. As they crossed, the Confederates attempted to stop them but to no avail.",,AR,"During the expedition, Union forces sought a ford to cross the Little Missouri River because other roads were impassible. They reached Elkin’s Ferry before the Confederates. As they crossed, the Confederates attempted to stop them but to no avail.",,TM,Trans-Mississippi Theater,55
AR013,Prairie D'Ane,No Data,TM64-02,April 1864,Camden Expedition,,4/13/1864,752,Union Victory,"On April 10, Maj. Gen. Fred Steele’s Union forces, combined with Brig. Gen. John M. Thayer’s division, marched south from the Cornelius Farm. They soon encountered a Confederate line of battle at Prairie D’Ane and attacked, driving it back about a mile before being checked. Skirmishing continued throughout the afternoon of April 11, forcing Steele to divert line of march forces away from Shreveport toward Camden. Maj. Gen. Sterling Price’s Confederates returned to Prairie D’Ane on April 13, falling upon Steele’s rearguard under Thayer. After a four-hour battle, Price disengaged, and Steele’s column continued to Camden, occupying the city.",,AR,"On April 10, Maj. Gen. Fred Steele’s Union forces, combined with Brig. Gen. John M. Thayer’s division, marched south from the Cornelius Farm. They soon encountered a Confederate line of battle at Prairie D’Ane and attacked, driving it back about a mile before being checked. Skirmishing continued throughout the afternoon of April 11, forcing Steele to divert line of march forces away from Shreveport toward Camden. Maj. Gen. Sterling Price’s Confederates returned to Prairie D’Ane on April 13, falling upon Steele’s rearguard under Thayer. After a four-hour battle, Price disengaged, and Steele’s column continued to Camden, occupying the city.",,TM,Trans-Mississippi Theater,150
AR014,Poison Spring,Engagement,TM64-02,April 1864,Camden Expedition,,4/18/1864,753,Confederate Victory,"Dwindling supplies for his army at Camden forced Maj. Gen. Fred Steele to send out a foraging party to gather corn that the Confederates had stored about twenty miles up the Prairie D’Ane-Camden Road on White Oak Creek. The party loaded the corn into wagons, and on April 18, Col. James M. Williams started his return to Camden. Brig. Gen. John S. Marmaduke’s and Brig. Gen. Samuel B. Maxey’s Confederate forces arrived at Lee Plantation, about fifteen miles from Camden, where they engaged Williams. The Rebels eventually attacked Williams in the front and rear forcing him to retreat north into a marsh where his men regrouped and then fell back to Camden. The Union lost 198 wagons and all the corn.",,AR,"Dwindling supplies for his army at Camden forced Maj. Gen. Fred Steele to send out a foraging party to gather corn that the Confederates had stored about twenty miles up the Prairie D’Ane-Camden Road on White Oak Creek. The party loaded the corn into wagons, and on April 18, Col. James M. Williams started his return to Camden. Brig. Gen. John S. Marmaduke’s and Brig. Gen. Samuel B. Maxey’s Confederate forces arrived at Lee Plantation, about fifteen miles from Camden, where they engaged Williams. The Rebels eventually attacked Williams in the front and rear forcing him to retreat north into a marsh where his men regrouped and then fell back to Camden. The Union lost 198 wagons and all the corn.",,TM,Trans-Mississippi Theater,415
AR015,Marks' Mills,Action,TM64-02,April 1864,Camden Expedition,,4/25/1864,754,Confederate Victory,"A Union force escorted 240 wagons from Camden to Pine Bluff to pick up supplies and transport them back to Maj. Gen. Fred Steele’s army. At first the Union escort rebuffed Rebel attempts to halt them. Then the Confederates moved in on the Union rear and front, causing a rout. The Rebels captured most of the men and all of the supply wagons. Thus, Steele gave up all thoughts of uniting with Maj. Gen. Nathaniel Banks on the Red River and realized that he had to save his army.",,AR,"A Union force escorted 240 wagons from Camden to Pine Bluff to pick up supplies and transport them back to Maj. Gen. Fred Steele’s army. At first the Union escort rebuffed Rebel attempts to halt them. Then the Confederates moved in on the Union rear and front, causing a rout. The Rebels captured most of the men and all of the supply wagons. Thus, Steele gave up all thoughts of uniting with Maj. Gen. Nathaniel Banks on the Red River and realized that he had to save his army.",,TM,Trans-Mississippi Theater,1793
AR016,Jenkin's Ferry,Engagement,TM64-02,April 1864,Camden Expedition,,4/30/1864,755,Union Victory,"Maj. Gen. Fred Steele’s forces retreated from Camden after being mauled at Marks’ Mills and Poison Spring. On the afternoon of April 29, the Union forces reached Jenkins’ Ferry and began crossing the Saline River, which was swollen by heavy rain. Rebel forces arrived on the 30th and attacked repeatedly. The Federals repulsed the attacks and finally crossed with all their men and supply wagons, many of which they were compelled to abandon in the swamp north of Saline. The Confederates bungled a good chance to destroy Steele’s army, which after crossing the river, regrouped at Little Rock.",,AR,"Maj. Gen. Fred Steele’s forces retreated from Camden after being mauled at Marks’ Mills and Poison Spring. On the afternoon of April 29, the Union forces reached Jenkins’ Ferry and began crossing the Saline River, which was swollen by heavy rain. Rebel forces arrived on the 30th and attacked repeatedly. The Federals repulsed the attacks and finally crossed with all their men and supply wagons, many of which they were compelled to abandon in the swamp north of Saline. The Confederates bungled a good chance to destroy Steele’s army, which after crossing the river, regrouped at Little Rock.",,TM,Trans-Mississippi Theater,1700
