battle_id,event_type,state,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured,comment
15,Skirmish,AL,"May 1: Skirmish, Bridgeport",1862-05-01,1862-05-01,OHIO--18th Infantry.,NA,NA,NA,NA,NA,NA
16,Occupation,AL,"May 1-2: Operations near Athens, Limestone Bridge, Mooresville and Elk River",1862-05-01,1862-05-02,INDIANA--37th Infantry. ILLINOIS--19th and 24th Infantry. OHIO--18th Infantry.,NA,NA,NA,NA,NA,NA
17,Skirmish,AL,"May 8: Skirmish, Athens",1862-05-08,1862-05-08,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
18,Skirmish,AL,"May 9: Skirmish, Elkton Station, near Athens",1862-05-09,1862-05-09,"INDIANA--37th Infantry (Co. ""E""). Union loss, 5 killed, 43 wounded. Total, 48.",48,5,43,48,0,NA
19,Skirmish,AL,"May 10: Skirmish, Lamb's Ferry",1862-05-10,1862-05-10,KENTUCKY--5th Cavalry (Detachment). PENNSYLVANIA--7th Cavalry (Detachment).,NA,NA,NA,NA,NA,NA
20,Expedition,AL,May 13-14: Expedition to Rodgersville,1862-05-13,1862-05-14,"KENTUCKY--5th Cavalry. INDIANA--38th Infantry. OHIO--Battery ""B,"" 1st Light Arty. PENNSYLVANIA--7th Cavalry (Detachment); 78th and 79th Infantry. WISCONSIN--1st Infantry.",NA,NA,NA,NA,NA,NA
21,Skirmish,AL,"May 14: Skirmish, Lamb's Ferry",1862-05-14,1862-05-14,"KENTUCKY--5th Cavalry (Detachment). OHIO--Battery ""B,"" 1st Light Arty. PENNSYLVANIA--7th Cavalry (Detachment); 79th Infantry.",NA,NA,NA,NA,NA,NA
22,Skirmish,AL,"May 29: Skirmish, Whitesburg",1862-05-29,1862-05-29,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
23,Skirmish,AL,"June 4-5: Skirmishes, Huntsville",1862-06-04,1862-06-05,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
24,Skirmish,AL,"July 2: Skirmish, Huntsville",1862-07-02,1862-07-02,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
25,Skirmish,AL,July 3: Skirmish near Russellville,1862-07-03,1862-07-03,"OHIO--1st Cavalry (Cos. ""B"" and ""G""). Union loss, 2 killed, 5 wounded. Total, 7.",7,2,5,7,0,NA
26,Skirmish,AL,July 12: Skirmish near Davis Gap,1862-07-12,1862-07-12,"OHIO--1st Cavalry (Detachment). Union loss, 5 wounded, 2 missing. Total, 7.",7,0,5,5,2,NA
27,Expedition,AL,July 12-16: Expedition from Decatur,1862-07-12,1862-07-16,INDIANA--51st Infantry. OHIO--1st Cavalry (Detachment).,NA,NA,NA,NA,NA,NA
28,Skirmish,AL,"July 24: Skirmish, Trinity",1862-07-24,1862-07-24,"OHIO--31st Infantry (Co. ""E""). Union loss, 2 killed, 11 wounded. Total, 13.",13,2,11,13,0,NA
29,Skirmish,AL,"July 24: Skirmish, Pond Springs",1862-07-24,1862-07-24,OHIO--1st Cavalry.,NA,NA,NA,NA,NA,NA
30,Occupation,AL,July 25: Operations near Courtland and Trinity,1862-07-25,1862-07-25,"KENTUCKY--10th Infantry. OHIO--1st Cavalry (Detachment); 31st Infantry. Union loss, 3 killed, 21 wounded, 80 missing. Total, 104.",104,3,21,24,80,NA
31,Action,AL,"July 25: Action, Courtland Bridge",1862-07-25,1862-07-25,"KENTUCKY--10th Infantry (Cos. ""A"" and ""H""). OHIO--1st Cavalry (Detachment).",NA,NA,NA,NA,NA,NA
32,Skirmish,AL,"July 26: Skirmish, Spangler's Mills",1862-07-26,1862-07-26,"MICHIGAN--3d Cavalry (Cos. ""H,"" ""L"" and ""M"").",NA,NA,NA,NA,NA,NA
33,Skirmish,AL,"July 26: Skirmish, near Jonesborough",1862-07-26,1862-07-26,"MICHIGAN--3d Cavalry (Cos. ""H,"" ""L"" and ""M"").",NA,NA,NA,NA,NA,NA
34,Expedition,AL,July 27-30: Expedition from Woodville to Guntersville,1862-07-27,1862-07-30,"KENTUCKY--15th Infantry. MICHIGAN--Battery ""A,"" 1st Light Arty. (Section). OHIO--3d Cavalry (3d Battalion).",NA,NA,NA,NA,NA,NA
35,Skirmish,AL,"July 28: Skirmish, Stevenson",1862-07-28,1862-07-28,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
36,Skirmish,AL,"July 28: Skirmishes, Guntersville and Laws Landing",1862-07-28,1862-07-28,"KENTUCKY--15th Infantry. MICHIGAN--Battery ""A,"" 1st Light Arty. (Section). OHIO--3d Cavalry (3d Battalion).",NA,NA,NA,NA,NA,NA
37,Skirmish,AL,"July 29: Skirmish, Old Deposit Ferry",1862-07-29,1862-07-29,"KENTUCKY--15th Infantry. MICHIGAN--Battery ""A,"" 1st Light Arty. (Section). OHIO--3d Cavalry (3d Battalion).",NA,NA,NA,NA,NA,NA
38,Affair,AL,Aug. 4: Affair near Woodville,1862-08-04,1862-08-04,"OHIO--3d Cavalry, picket attack.",NA,NA,NA,NA,NA,NA
39,Affair,AL,Aug. 5: Affair near New Market,1862-08-05,1862-08-05,Gen. R. L. McCook and Escort. Gen. McCook killed.,NA,NA,NA,NA,NA,NA
40,Reconnaissance,AL,Aug. 5-7: Reconn. from Woodville to Guntersville,1862-08-05,1862-08-07,OHIO--3d Cavalry (Detachment).,NA,NA,NA,NA,NA,NA
41,Skirmish,AL,"Aug. 7: Skirmish, Decatur",1862-08-07,1862-08-07,OHIO--14th and 38th Infantry (Detachments).,NA,NA,NA,NA,NA,NA
42,Scout,AL,Aug. 19-20: Scout from Woodville to Guntersville,1862-08-19,1862-08-20,"OHIO--3d Cavalry (Cos. ""A"" and ""D"").",NA,NA,NA,NA,NA,NA
43,Skirmish,AL,"Aug. 22: Skirmish, Trinity",1862-08-22,1862-08-22,ILLINOIS--7th Cavalry (Detachment).,NA,NA,NA,NA,NA,NA
44,Affair,AL,Aug. 23: Affair near Trinity,1862-08-23,1862-08-23,Train Guard.,NA,NA,NA,NA,NA,NA
45,Skirmish,AL,"Aug. 27: Skirmish, Bridgeport",1862-08-27,1862-08-27,"OHIO--4th Cavalry (Detachment); 33d Infantry (4 Cos.). Union loss, 1 killed, 9 wounded. Total, 10.",10,1,9,10,0,NA
46,Skirmish,AL,Aug. 30: Skirmish near Larkinsville,1862-08-30,1862-08-30,(No Reports.),NA,NA,NA,NA,NA,NA
47,Evacuation,AL,Aug. 31: Evacuation of Huntsville,1862-08-31,1862-08-31,(No Reports.),NA,NA,NA,NA,NA,NA
48,Skirmish,AL,"Aug. 31: Skirmish, Stevenson",1862-08-31,1862-08-31,(Confederate Reports.),NA,NA,NA,NA,NA,NA
49,Skirmish,AL,"Sept. 1: Skirmish, Huntsville",1862-09-01,1862-09-01,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
50,Skirmish,AL,"Oct. 5: Skirmish, Tuscumbia River",1862-10-05,1862-10-05,"MISSOURI--Battery ""M,"" 1st Light Arty.",NA,NA,NA,NA,NA,NA
51,Skirmish,AL,"Nov. 28: Skirmish, Little Bear Creek",1862-11-28,1862-11-28,"ILLINOIS--52d Infantry. INDIANA--66th Infantry. IOWA--2d and 7th Infantry. Union loss, 4 killed, 14 wounded. Total, 18.",18,4,14,18,0,NA
52,Action,AL,"Dec. 9: Action, Bear Creek",1862-12-09,1862-12-09,"MISSOURI--Battery ""I,"" 1st Light Arty.",NA,NA,NA,NA,NA,NA
53,Skirmish,AL,"Dec. 12: Skirmish, Cherokee Station",1862-12-12,1862-12-12,ALABAMA--1st Cavalry.,NA,NA,NA,NA,NA,NA
54,Skirmish,AL,"Dec. 12: Skirmish, Little Bear Creek",1862-12-12,1862-12-12,"ILLINOIS--52d Infantry. INDIANA--66th Infantry. IOWA--2d and 7th Infantry. Union loss, 1 killed, 2 missing. Total, 3.",3,1,0,1,2,NA
55,Skirmish,AL,"Feb. 22: Skirmish, Glendale",1863-02-22,1863-02-22,MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
56,Action,AL,"Feb. 22: Action, Tuscumbia",1863-02-22,1863-02-22,ALABAMA--1st Cavalry. KANSAS--7th Cavalry. OHIO--5th Cavalry (3d Battalion).,NA,NA,NA,NA,NA,NA
57,Affair,AL,"March 25: Affairs, Florence",1863-03-25,1863-03-25,U. S. Gunboats.,NA,NA,NA,NA,NA,NA
58,Skirmish,AL,"April 6: Skirmish, Town Creek",1863-04-06,1863-04-06,(No Reports.),NA,NA,NA,NA,NA,NA
59,Skirmish,AL,"April 14: Skirmish, Burnsville",1863-04-14,1863-04-14,ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
60,Skirmish,AL,"April 16-17: Skirmishes, Barton Station",1863-04-16,1863-04-17,ALABAMA--1st Cavalry. MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
61,Skirmish,AL,"April 17: Skirmish, Dickson",1863-04-17,1863-04-17,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry; Battery ""I,"" 1st Light Arty.",NA,NA,NA,NA,NA,NA
62,Skirmish,AL,"April 17: Skirmishes, Great Bear Creek, Cherokee Station and Lundy's Lane",1863-04-17,1863-04-17,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; Battery ""H,"" 1st Light Arty.; 7th, 9th (Mounted), 50th and 57th Infantry. IOWA--39th Infantry. MISSOURI--10th Cavalry; Battery ""I,"" 1st Light Arty. OHIO--81st Infantry. Union loss, 4 killed, 19 wounded. 59 missing. Total, 82.",82,4,19,23,59,NA
63,Skirmish,AL,"April 19: Skirmish, Dickson's Station",1863-04-19,1863-04-19,ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
64,Action,AL,"April 22: Action, Rock Cut, near Tuscumbia",1863-04-22,1863-04-22,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; Battery ""H,"" 1st Light Arty.; 7th, 9th (Mounted), 12th, 50th, 52d. 57th and 122d Infantry. INDIANA--66th Infantry. IOWA--39th. Infantry. MICHIGAN--Battery ""C,"" 1st Light Arty. KANSAS--7th Cavalry. MISSOURI--10th Cavalry; Batteries ""D,"" ""H"" and ""I,"" 1st Light Arty. OHIO--27th, 39th, 43d, 63d and 81st Infantry.",NA,NA,NA,NA,NA,NA
65,Skirmish,AL,"April 23: Skirmish, Dickson's Station",1863-04-23,1863-04-23,KANSAS--7th Cavalry. MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
66,Action,AL,"April 23: Action, Tuscumbia",1863-04-23,1863-04-23,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; Battery ""H,"" 1st Light Arty.; 7th, 9th (Mounted), 12th, 50th, 52d, 57th and 122d Infantry. INDIANA--66th Infantry. KANSAS--7th Cavalry. MICHIGAN--Battery ""C,"" 1st Light Arty. MISSOURI--10th Cavalry; Batterles ""D,"" ""H"" and ""I,"" 1st Light Arty. OHIO--27th, 39th, 43d, 63d and 81st Infantry. IOWA--39th Infantry.",NA,NA,NA,NA,NA,NA
67,Skirmish,AL,"April 23: Skirmish, Florence",1863-04-23,1863-04-23,"ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--Battery ""H,"" 1st Light Arty. (Section).",NA,NA,NA,NA,NA,NA
68,Skirmish,AL,"April 23: Skirmish, Leighton",1863-04-23,1863-04-23,KANSAS--7th Cavalry. MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
69,Skirmish,AL,"April 25: Skirmish, London Lane",1863-04-25,1863-04-25,MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
70,Raid,AL,"April 26-May 3: Raid from Tuscumbia toward Rome, Ga. (Streight's)",1863-04-26,1863-05-03,"ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.). Union loss, 12 killed, 69 wounded, 1,466 captured and missing. Total, 1,547.",1547,12,69,81,1466,NA
71,Skirmish,AL,"April 27: Skirmish, Town Creek",1863-04-27,1863-04-27,ILLINOIS--52d Infantry. MISSOURI--10th Cavalry.,NA,NA,NA,NA,NA,NA
72,Skirmish,AL,"April 27: Skirmish, Day's Gap",1863-04-27,1863-04-27,TENNESSEE--1st Middle Cavalry (2 Cos.).,NA,NA,NA,NA,NA,NA
73,Action,AL,"April 27: Action, Town Creek",1863-04-27,1863-04-27,"ALABAMA--1st Cavalry. ILLINOIS--15th Cavalry; 7th, 9th (Mounted). 12th, 50th, 52d, 57th and 122d Infantry. INDIANA--66th Infantry. IOWA--39th Infantry. KANSAS--7th Cavalry. MICHIGAN--Battery ""C,"" 1st Light Arty. MISSOURI--10th Cavalry; Batteries ""D,"" ""H"" and ""I,"" 1st Light Arty. OHIO--27th, 39th, 43d, 63d and 81st Infantry.",NA,NA,NA,NA,NA,NA
74,Action,AL,"April 30: Action, Sand Mountain",1863-04-30,1863-04-30,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,NA,NA,NA,NA,NA,NA
75,Action,AL,"April 30: Action, Crooked Creek and Hog Mountain",1863-04-30,1863-04-30,"ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.). Union loss, 3 killed, 23 wounded. Total, 26.",26,3,23,26,0,NA
76,Skirmish,AL,"May 1: Skirmish, Blountsville",1863-05-01,1863-05-01,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,NA,NA,NA,NA,NA,NA
77,Action,AL,"May 1: Action, East Branch Big Warrior River",1863-05-01,1863-05-01,"ILLINOIS--80th Infantry. INDIANA--51st and 73 Infantry. OHIO--3d Infantry. TENNESSEE, 1st Middle Cavalry (2 Cos.).",NA,NA,NA,NA,NA,NA
78,Action,AL,"May 2: Action, Blount's Plantation",1863-05-02,1863-05-02,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,NA,NA,NA,NA,NA,NA
79,Skirmish,AL,"May 2: Skirmish, Black Warrior Creek, near Gadsden",1863-05-02,1863-05-02,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,NA,NA,NA,NA,NA,NA
80,Skirmish,AL,May 2: Skirmish near Centre,1863-05-02,1863-05-02,NA,NA,NA,NA,NA,NA,NA
81,Expedition,AL,"May 2-8: Exp. from Burnsville to Tupelo, Miss",1863-05-02,1863-05-08,ILLINOIS--15th Cavalry; 9th Mounted Infantry. MISSOURI--10th Cavalry. KANSAS--7th Cavalry.,NA,NA,NA,NA,NA,NA
82,Action,AL,"May 3: Action, Gaylesville",1863-05-03,1863-05-03,INDIANA--51st Infantry.,NA,NA,NA,NA,NA,NA
83,Action,AL,"May 3: Action, Cedar Bluffs",1863-05-03,1863-05-03,ILLINOIS--80th Infantry. INDIANA--51st and 73d Infantry. OHIO--3d Infantry. TENNESSEE--1st Middle Cavalry (2 Cos.).,NA,NA,NA,NA,NA,NA
84,Action,AL,"May 28: Action, Florence",1863-05-28,1863-05-28,"ILLINOIS--15th Cavalry; 9th Mounted Infantry. KANSAS--7th Cavalry. MISSOURI--10th Cavalry. Union loss, 1 killed, 7 wounded, 10 missing. Total, 18.",18,1,7,8,10,NA
85,Expedition,AL,July 18-22: Expedition to Huntsville,1863-07-18,1863-07-22,"ILLINOIS--Chicago Board of Trade Battery Light Arty. INDIANA--2d, 3d and 4th Cavalry. IOWA--5th Cavalry. KENTUCKY--2d, 4th, 5th, 6th and 7th Cavalry. MICHIGAN--2d and 4th Cavalry. OHIO--1st, 3d, 4th and 10th Cavalry; Battery ""D,"" 1st Light Arty. PENNSYLVANIA--7th and 9th Cavalry. TENNESSEE--2d and 5th Cavalry. WISCONSIN--1st Cavalry. UNITED STATES--4th Cavalry.",NA,NA,NA,NA,NA,NA
86,Skirmish,AL,July 29: Skirmish near Bridgeport,1863-07-29,1863-07-29,(No Reports.),NA,NA,NA,NA,NA,NA
87,Reconnaissance,AL,"Aug. --: Reconn. from Stevenson to Cross Island, Mouth of Cow Creek",1863-08-01,1863-08-31,"PENNSYLVANIA--15th Cavalry (Co. ""A"").",NA,NA,NA,NA,NA,NA
88,Skirmish,AL,"Aug. 21: Skirmish, Maysville",1863-08-21,1863-08-21,KENTUCKY--4th Cavalry.,NA,NA,NA,NA,NA,NA
89,Skirmish,AL,"Aug. 24: Skirmish, Gunter's Landing, near Port Deposit",1863-08-24,1863-08-24,(No Reports.),NA,NA,NA,NA,NA,NA
90,Skirmish,AL,Aug. 27: Skirmish near Bridgeport,1863-08-27,1863-08-27,(No Reports.),NA,NA,NA,NA,NA,NA
91,Skirmish,AL,"Aug. 28: Skirmish, Maysville",1863-08-28,1863-08-28,KENTUCKY--4th Cavalry.,NA,NA,NA,NA,NA,NA
92,Reconnaissance,AL,"Aug. 28-31: Reconn. from Stevenson to Trenton, Ga",1863-08-28,1863-08-31,OHIO--1st Cavalry.,NA,NA,NA,NA,NA,NA
93,Skirmish,AL,"Aug. 29: Skirmish, Caperton's Ferry",1863-08-29,1863-08-29,ILLINOIS--25th and 35th Infantry. KANSAS--8th Infantry. WISCONSIN--15th Infantry.,NA,NA,NA,NA,NA,NA
94,Skirmish,AL,"Aug. 31: Skirmish, Wills Valley",1863-08-31,1863-08-31,(No Reports.),NA,NA,NA,NA,NA,NA
95,Skirmish,AL,"Sept. 1: Skirmish, Wills Creek, Davis Gap, Taps Gap and Neal's Gap",1863-09-01,1863-09-01,(No Reports.),NA,NA,NA,NA,NA,NA
96,Reconnaissance,AL,Sept. 5: Reconn. from Winston's Gap into Broomtown Valley,1863-09-05,1863-09-05,OHIO--1st and 3d Cavalry.,NA,NA,NA,NA,NA,NA
97,Skirmish,AL,"Sept. 5: Skirmish, Lebanon",1863-09-05,1863-09-05,TENNESSEE--1st Cavalry.,NA,NA,NA,NA,NA,NA
98,Affair,AL,"Sept. 5: Affairs, Rawlingsville",1863-09-05,1863-09-05,MICHIGAN--2d Cavalry. PENNSYLVANIA--9th Cavalry. TENNESSEE--1st Cavalry. (Destruction of Salt Works.),NA,NA,NA,NA,NA,NA
99,Skirmish,AL,"Sept. 7: Skirmish, Stevenson",1863-09-07,1863-09-07,PENNSYLVANIA--9th Cavalry.,NA,NA,NA,NA,NA,NA
100,Skirmish,AL,"Sept. 8: Skirmish, Winston's Gap",1863-09-08,1863-09-08,(No Reports.),NA,NA,NA,NA,NA,NA
101,Skirmish,AL,"Sept. 17: Skirmish, Neal's Gap",1863-09-17,1863-09-17,KENTUCKY--2d Cavalry.,NA,NA,NA,NA,NA,NA
102,Action,AL,"Sept. 26: Action, Hunt's Mills, near Larkinsville",1863-09-26,1863-09-26,ALABAMA and TENNESSEE--1st Vidette Cavalry.,NA,NA,NA,NA,NA,NA
103,Skirmish,AL,"Oct. 12: Skirmish, Bucktown Tavern",1863-10-12,1863-10-12,PENNSYLVANIA--9th Cavalry. TENNESSEE--1st East Cavalry.,NA,NA,NA,NA,NA,NA
104,Affair,AL,"Oct. 12: Affair, Fort Morgan",1863-10-12,1863-10-12,Naval Attack on Blockade Runner.,NA,NA,NA,NA,NA,NA
105,Skirmish,AL,"Oct. 13: Skirmish, Maysville",1863-10-13,1863-10-13,WISCONSIN--1st Cavalry.,NA,NA,NA,NA,NA,NA
106,Reconnaissance,AL,Oct. 20: Reconn. from Bridgeport to Trenton,1863-10-20,1863-10-20,ILLINOIS--82d Infantry. NEW YORK--45th and 143d Infantry (Detachments).,NA,NA,NA,NA,NA,NA
107,Occupation,AL,Oct. 20-29: Operations on Memphis & Charleston R. R. in Alabama,1863-10-20,1863-10-29,"ILLINOIS--Batteries ""A,"" ""B,"" ""F,"" ""H,"" ""I,"" and ""L,"" 1st Light Arty.; Cogswell's Indpt. Battery Light Arty.; 13th, 26th, 40th, 48th, 55th, 56th, 63d, 90th, 93d, 103d, 116th and 127th Infantry. INDIANA--12th, 48th, 59th, 83d, 97th, 99th and 100th Infantry. IOWA--1st Battery Light Arty.; 4th, 5th, 6th, 9th, 10th, 17th, 25th, 26th, 30th and 31st Infantry. MICHIGAN--15th Infantry. MISSOURI--Battery ""D,"" 1st Light Arty.; Landgraeber's ""F,"" 2d Light Arty.; 3d, 6th, 8th, 10th, 11th, 12th, 17th, 24th (Co. ""F""), 26th, 27th, 29th, 31st and 32d Infantry. MINNESOTA--4th Infantry. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty.; 30th, 37th, 46th, 47th, 54th, 57th, 72d, 76th, 80th and 95th Infantry. WEST VIRGINIA--4th Infantry. WISCONSIN--6th and 12th Indpt. Batteries Light Arty.; 18th Infantry. UNITED STATES--3d Cavalry; 13th Infantry.",NA,NA,NA,NA,NA,NA
108,Skirmish,AL,"Oct. 20: Skirmishes, Barton Station, Cane Creek and Dickson's Station",1863-10-20,1863-10-20,"OHIO--5th Cavalry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty. UNITED STATES--3d Cavalry. Union loss, 1 killed, 4 wounded. Total, 4.",4,1,4,5,0,NA
109,Action,AL,"Oct. 21: Action, Cherokee Station",1863-10-21,1863-10-21,"ILLINOIS--13th Infantry. INDIANA--83d Infantry. IOWA--1st Battery Light Arty.; 4th, 9th, 25th, 26th, 30th and 31st Infantry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty.; 3d, 12th, 17th, 27th, 29th, 31st and 32d Infantry. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty.; 76th Infantry. UNITED STATES--3d Cavalry. Union loss, 7 killed, 28 wounded. Total, 35.",35,7,28,35,0,NA
110,Skirmish,AL,"Oct. 24-25: Skirmishes, Tuscumbia and Barton Station",1863-10-24,1863-10-25,"ILLINOIS--13th Infantry. MISSOURI--3d, 12th, 17th, 27th, 29th, 31st and 32d Infantry. OHIO--76th Infantry.",NA,NA,NA,NA,NA,NA
111,Skirmish,AL,"Oct. 26: Skirmish, Cane Creek",1863-10-26,1863-10-26,"IOWA--1st Battery Light Arty.; 4th, 9th, 25th, 26th, 31st and 32d Infantry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty. UNITED STATES--3d Cavalry. Union loss, 2 killed, 6 wounded. Total, 8.",8,2,6,8,0,NA
112,Engagement,AL,"Oct. 27: Engagement, Little Bear Creek, Tuscumbia",1863-10-27,1863-10-27,"ILLINOIS--Batteries ""A,"" ""B"" and ""H,"" 1st Light Arty.; 13th, 55th, 116th and 127th Infantry. INDIANA--83d Infantry. IOWA--1st Battery Light Arty.; 4th, 9th, 25th, 26th, 30th, 31st and 32d Infantry. MISSOURI--Landgraeber's Battery ""F,"" 2d Light Arty.; 3d, 6th, 8th, 12th, 17th, 27th, 29th, 31st and 32d Infantry. OHIO--5th Cavalry; 4th Indpt. Battery Light Arty.; 30th, 37th, 47th, 54th, 57th and 76th Infantry. WEST VIRGINIA--4th Infantry. UNITED STATES--3d Cavalry; 13th Infantry.",NA,NA,NA,NA,NA,NA
113,Engagement,AL,"Oct. 29: Engagement, Cherokee Station",1863-10-29,1863-10-29,"IOWA--4th, 9th and 31st Infantry. OHIO--5th Cavalry.",NA,NA,NA,NA,NA,NA
114,Skirmish,AL,"Oct. 31: Skirmish, Barton Station",1863-10-31,1863-10-31,OHIO--5th Cavalry.,NA,NA,NA,NA,NA,NA
115,Skirmish,AL,"Nov. 4: Skirmish, Maysville",1863-11-04,1863-11-04,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
116,Expedition,AL,Nov. 14-17: Exp. from Maysville to Whitesburg and Decatur,1863-11-14,1863-11-17,INDIANA--17th and 72d Mounted Infantry (Detachments). IOWA--5th Cavalry (Detachment). UNITED STATES--4th Cavalry (Detachment).,NA,NA,NA,NA,NA,NA
117,Skirmish,AL,"Nov. 20: Skirmish, Paint Rock",1863-11-20,1863-11-20,OHIO--46th Infantry.,NA,NA,NA,NA,NA,NA
118,Skirmish,AL,"Dec. 26: Skirmish, Sand Mountain",1863-12-26,1863-12-26,ALABAMA and TENNESSEE--1st Vidette Cavalry.,NA,NA,NA,NA,NA,NA
119,Skirmish,AL,"Jan. 14: Skirmish, Shoal Creek",1864-01-14,1864-01-14,TENNESSEE--2d Mounted Infantry.,NA,NA,NA,NA,NA,NA
120,Reconnaissance,AL,Jan. 20: Reconn. of Fort Gaines,1864-01-20,1864-01-20,UNITED STATES--Navy.,NA,NA,NA,NA,NA,NA
121,Reconnaissance,AL,Jan. 20: Reconn. of Mobile,1864-01-20,1864-01-20,UNITED STATES--Navy.,NA,NA,NA,NA,NA,NA
122,Affair,AL,"Jan. 23: Affair, Woodville",1864-01-23,1864-01-23,(No Reports.),NA,NA,NA,NA,NA,NA
